21.2.1.26. A kormányzati szektor fõbb negyedéves adatai;;;;;;;;;;;;;;;;;;;
Év;Idõszak, negyedév;Kiadások, milliárd forint, folyó termelõ-felhasználás P.2;Kiadások, milliárd forint, munkavállalói jövedelem D.1;Kiadások, milliárd forint, kamatok D.41;Kiadások, milliárd forint, pénzbeni társadalmi juttatások D.62;Kiadások, milliárd forint, bruttó állóeszköz felhalmozás P.51G;Kiadások, milliárd forint, egyéb kiadások;Kiadások, milliárd forint, összes kiadás;Bevételek, milliárd forint, termelési és importadók D.2;Bevételek, milliárd forint, ebbõl áfa D.211;Bevételek, milliárd forint, folyó jövedelem-, vagyon- stb. adók D.5;Bevételek, milliárd forint, tényleges társadalombiztosítási hozzájárulások D.611+D.613;Bevételek, milliárd forint, tõkeadók D.91R;Bevételek, milliárd forint, egyéb bevételek;Bevételek, milliárd forint, összes bevétel;Egyéb adatok, milliárd forint, végsõ fogyasztási kiadás P.3;Egyéb adatok, milliárd forint, nettó hitelfelvétel B.9;Egyéb adatok, milliárd forint, szezonálisan kiigazított GDP;Nettó hitelfelvétel / GDP, % szezonálisan kiigazított GDP
;III.;351,0;671,0;243,6;832,2;293,7;511,6;2 903,1;959,9;495,4;515,1;709,5;4,7;365,1;2 554,3;1 193,9;-348,8;6 215,0;-5,6
;IV.;411,3;815,2;246,0;968,7;406,8;674,1;3 522,1;951,1;467,9;709,8;864,7;6,3;408,5;2 940,4;1 456,3;-581,7;6 217,7;-9,4
2007.;I.;317,8;719,4;253,5;992,1;242,2;644,3;3 169,2;940,9;486,1;589,4;816,4;2,7;337,3;2 686,6;1 274,5;-482,6;6 349,3;-7,6
;II.;415,3;699,3;263,0;898,9;255,7;400,0;2 932,1;1 016,9;490,6;618,0;854,9;3,7;327,0;2 820,6;1 295,4;-111,6;6 344,8;-1,8
;III.;377,0;732,6;261,4;898,1;237,5;578,9;3 085,6;1 014,3;485,9;632,8;845,4;5,2;370,6;2 868,3;1 292,9;-217,2;6 486,9;-3,3
;IV.;520,6;772,1;259,5;1 081,3;352,5;662,2;3 648,3;1 056,9;550,7;737,3;927,6;5,4;423,9;3 151,2;1 485,9;-497,1;6 560,9;-7,6
2008.;I.;431,3;740,7;256,1;1 080,1;122,4;480,7;3 111,4;996,8;499,1;661,7;889,6;3,9;365,0;2 917,0;1 403,8;-194,4;6 920,7;-2,8
;II.;480,5;786,7;267,1;1 001,1;210,4;423,1;3 168,8;1 081,3;542,4;697,3;907,8;4,2;338,9;3 029,5;1 464,0;-139,4;6 855,1;-2,0
;III.;451,4;733,9;274,9;986,9;197,3;454,5;3 098,8;1 065,1;525,3;683,1;893,5;4,5;343,9;2 990,1;1 412,3;-108,6;6 721,0;-1,6
;IV.;566,6;824,3;307,4;1 147,1;338,9;719,8;3 904,0;1 073,2;501,6;751,0;953,8;3,9;533,7;3 315,7;1 544,3;-588,3;6 753,2;-8,7
2009.;I.;460,0;737,0;303,4;1 115,7;112,0;520,6;3 248,6;910,8;479,7;647,9;868,2;5,4;467,5;2 899,7;1 422,8;-348,9;6 627,1;-5,3
;II.;539,0;741,8;305,1;1 048,9;206,3;483,1;3 324,2;1 076,5;543,6;692,1;876,0;3,6;449,0;3 097,3;1 471,5;-227,0;6 602,9;-3,4
;III.;426,0;698,7;300,4;1 025,3;228,7;565,6;3 244,7;1 115,4;580,2;575,3;797,4;2,3;438,3;2 928,7;1 353,0;-316,0;6 569,0;-4,8
;IV.;612,7;783,2;285,0;1 044,2;358,2;507,8;3 591,1;1 212,0;588,7;623,6;846,6;2,3;538,7;3 223,3;1 592,4;-367,8;6 721,8;-5,5
2010.;I.;499,1;778,6;293,8;1 057,2;118,7;504,4;3 251,7;1 055,8;594,2;517,7;793,4;2,9;549,5;2 919,3;1 482,7;-332,5;6 712,0;-5,0
;II.;532,3;698,7;274,9;1 059,8;231,3;592,1;3 389,1;1 144,4;607,8;536,5;778,8;2,4;478,4;2 940,4;1 451,6;-448,7;6 820,9;-6,6
;III.;484,1;701,6;274,4;1 041,2;273,6;445,1;3 220,0;1 235,8;611,2;543,9;768,2;1,7;489,1;3 038,7;1 430,4;-181,4;6 938,0;-2,6
;IV.;595,0;759,4;281,0;1 080,1;372,0;468,0;3 555,4;1 289,8;512,4;529,8;881,8;1,7;598,0;3 301,2;1 517,3;-254,2;7 014,1;-3,6
2011.;I.;490,8;687,4;295,6;1 079,4;132,3;607,4;3 292,9;1 115,2;563,8;405,2;896,0;1,7;565,8;2 983,9;1 412,3;-309,0;6 995,4;-4,4
;II.;522,9;712,0;269,0;1 086,1;227,3;507,3;3 324,6;1 201,3;590,7;417,1;924,9;1,6;465,3;3 010,1;1 462,6;-314,5;7 065,6;-4,5
;III.;488,4;704,6;305,6;1 073,5;244,3;763,6;3 579,9;1 349,9;673,4;437,3;895,0;1,9;540,7;3 224,8;1 435,1;-355,1;7 174,6;-5,0
;IV.;590,9;764,7;309,6;1 089,3;341,7;707,3;3 803,6;1 236,8;551,4;509,4;947,2;2,3;599,2;3 295,0;1 568,1;-508,6;7 302,6;-7,0
2012.;I.;462,5;668,5;316,5;1 080,3;117,0;667,7;3 312,5;1 210,9;609,6;450,8;953,2;0,9;502,7;3 118,5;1 359,3;-194,1;7 205,8;-2,7
;II.;558,7;728,7;321,6;1 068,4;218,2;600,5;3 496,0;1 307,9;675,4;475,8;1 001,1;1,7;564,6;3 350,9;1 457,3;-145,1;7 183,6;-2,0
;III.;469,4;725,8;344,2;1 064,9;243,7;612,7;3 460,7;1 384,4;660,3;485,7;964,7;2,0;538,6;3 375,5;1 414,6;-85,2;7 287,1;-1,2
;IV.;636,1;740,6;337,4;1 133,3;492,4;633,0;3 972,7;1 462,9;682,3;534,7;1 021,8;2,9;700,8;3 723,1;1 555,3;-249,6;7 320,1;-3,4
2013.;I.;503,4;733,2;341,4;1 109,3;125,0;749,9;3 562,3;1 257,6;604,3;469,4;953,5;1,8;579,5;3 261,8;1 442,7;-300,5;7 408,3;-4,1
;II.;583,7;785,5;346,6;1 115,6;310,5;610,4;3 752,5;1 431,3;730,1;488,4;1 012,4;1,7;680,2;3 614,0;1 536,0;-138,5;7 570,9;-1,8
;III.;518,9;765,7;341,3;1 103,2;325,8;673,3;3 728,2;1 411,4;661,1;491,3;997,9;1,8;640,8;3 543,2;1 442,0;-185,0;7 668,3;-2,4
;IV.;646,1;781,6;339,4;1 125,1;559,2;700,4;4 151,7;1 529,0;698,1;529,8;1 076,4;1,8;850,4;3 987,3;1 565,5;-164,4;7 704,4;-2,1
2014.;I.;543,4;769,5;337,5;1 137,7;210,2;699,3;3 697,7;1 389,0;691,4;517,8;1 036,2;2,0;559,9;3 504,9;1 519,3;-192,7;8 027,6;-2,4
;II.;623,8;849,4;315,1;1 096,1;371,7;758,9;4 015,0;1 494,4;742,1;543,9;1 081,9;2,7;614,7;3 737,7;1 625,8;-277,4;8 145,2;-3,4
;III.;549,3;859,3;321,3;1 112,0;472,1;694,2;4 008,3;1 540,1;773,0;539,9;1 058,8;2,4;727,4;3 868,6;1 588,1;-139,6;8 313,7;-1,7
;IV.;795,0;902,1;326,2;1 145,9;692,2;835,1;4 696,4;1 624,5;804,6;590,1;1 138,4;2,4;1 040,5;4 395,9;1 826,0;-300,6;8 318,2;-3,6
2015.;I.;641,8;836,8;316,7;1 154,5;234,8;845,9;4 030,5;1 446,4;738,9;520,8;1 099,5;2,4;630,8;3 699,8;1 626,6;-330,7;8 536,7;-3,9
;II.;676,7;916,5;286,1;1 083,9;530,1;705,4;4 198,9;1 559,5;803,6;540,8;1 129,0;5,0;862,5;4 096,8;1 700,5;-102,0;8 595,7;-1,2
;III.;574,2;897,1;297,4;1 111,8;507,8;692,7;4 081,1;1 638,5;837,2;536,8;1 141,3;1,2;632,1;3 949,9;1 648,6;-131,2;8 776,1;-1,5
;IV.;840,3;981,4;302,7;1 126,0;1 005,8;1 048,8;5 304,9;1 862,9;929,9;777,8;1 231,3;2,6;1 293,5;5 168,1;1 917,3;-136,8;9 041,1;-1,5
2016.;I.;632,9;893,0;287,5;1 115,0;146,2;603,1;3 677,7;1 482,8;737,3;588,3;1 159,2;2,8;541,8;3 774,9;1 697,3;97,2;8 844,7;1,1
;II.;685,3;958,4;276,7;1 132,4;219,4;755,9;4 028,1;1 624,8;831,4;616,1;1 239,4;3,6;514,5;3 998,2;1 805,9;-29,9;9 056,4;-0,3
;III.;594,2;972,2;275,4;1 115,4;308,6;690,5;3 956,3;1 644,9;824,6;614,9;1 208,0;2,6;562,4;4 032,7;1 723,4;76,4;9 103,8;0,8
;IV.;793,9;1 070,7;278,5;1 169,1;468,5;1 501,1;5 281,8;1 774,1;906,5;797,7;1 352,3;5,1;558,4;4 487,5;2 000,7;-794,3;9 201,9;-8,6
2017.;I.;604,9;985,0;265,9;1 150,0;240,1;494,4;3 740,3;1 568,9;795,5;626,8;1 190,6;3,3;618,8;4 008,3;1 713,1;268,0;9 520,2;2,8
;II.;742,1;1 042,2;262,2;1 139,0;436,5;769,8;4 391,7;1 759,8;900,0;666,6;1 246,7;7,4;615,5;4 296,0;1 938,0;-95,7;9 707,3;-1,0
;III.;785,3;1 057,3;257,3;1 134,1;441,1;887,7;4 562,9;1 757,4;904,1;665,5;1 222,8;3,6;525,1;4 174,4;1 938,7;-388,5;9 887,7;-3,9
;IV.;1 069,9;1 142,5;254,2;1 250,4;662,4;1 274,0;5 653,4;1 923,2;1 026,9;845,9;1 339,5;4,2;791,0;4 903,8;2 340,8;-749,6;10 159,6;-7,4
2018.;I.;703,3;1 121,6;239,8;1 219,6;300,6;818,3;4 403,1;1 711,9;876,2;686,5;1 253,2;3,4;693,4;4 348,4;1 947,4;-54,8;10 461,0;-0,5
;II.;875,2;1 085,2;248,8;1 213,1;580,4;841,9;4 844,6;1 971,3;1 043,0;707,6;1 315,0;3,8;713,7;4 711,4;2 083,5;-133,2;10 688,1;-1,2
;III.;863,4;1 108,9;246,4;1 194,9;735,9;727,2;4 876,6;2 004,2;1 051,9;680,8;1 269,6;4,8;854,5;4 813,9;2 047,6;-62,7;10 989,3;-0,6
