19.1.3.7. Szarvasmarha-állomány [ezer darab];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Kína;104 554;100 929;95 555;93 100;92 207;90 134;87 548;82 067;82 815;70 383;68 871;65 826;64 103;63 045;63 047;63 196;63 539;61 987;63 418;63 823;61 129
Koreai Köztársaság;2 134;1 954;1 954;1 999;2 163;2 297;2 484;2 654;2 876;3 079;3 351;3 353;3 479;3 342;3 190;3 337;3 381;3 428;3 521;3 645;3 805
Mianmar;10 982;11 243;11 551;11 728;11 939;12 123;12 364;12 634;12 929;13 186;13 609;14 088;14 559;14 993;15 481;15 993;16 571;17 646;17 860;18 311;18 886
Pakisztán;22 004;22 424;22 858;23 303;23 757;24 218;29 559;30 673;31 830;33 029;34 285;35 567;36 908;38 299;39 743;41 241;42 800;44 400;46 084;47 821;49 624
Dél-afrikai Köztársaság;13 600;13 500;13 635;13 538;13 512;13 790;13 532;13 911;13 865;13 761;13 731;13 688;13 888;13 861;13 915;13 695;13 400;12 953;12 790;12 589;12 298
Egyiptom;3 530;3 801;4 081;4 227;4 369;4 485;4 610;4 933;5 023;4 525;4 729;4 780;4 946;4 745;4 762;4 883;5 012;4 387;4 379;2 809;2 412
Etiópia;33 075;35 383;40 639;39 000;38 749;40 390;43 125;47 571;49 000;50 884;53 382;52 129;53 990;55 027;56 706;57 830;59 487;60 392;61 510;65 354;70 292
Kenya;11 445;11 476;11 940;12 531;13 022;13 019;12 416;17 537;18 383;17 468;17 863;18 174;19 130;18 139;18 248;18 728;20 529;18 339;19 635;20 899;21 654
Madagaszkár;10 364;8 800;7 877;8 020;8 105;9 500;9 573;9 647;9 730;9 805;9 881;9 958;10 038;10 030;10 199;10 280;10 301;10 323;8 606;8 700;8 949
Nigéria;15 118;15 133;15 149;15 164;15 700;15 875;16 013;16 153;16 293;16 435;16 578;19 041;19 207;19 374;19 753;20 185;19 884;20 057;20 201;20 527;20 745
