13.2.1.9. Az ipar összes értékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb fel-dolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
;december;11 222;317 574;26 770;93 832;108 015;148 357;73 712;211 822;193 329;304 529;194 596;188 060;744 527;118 260;2 723 384;596 595;3 331 201
2021.;január;6 482;296 203;29 363;89 474;89 192;168 212;78 096;240 567;210 809;367 382;240 692;141 220;662 825;73 259;2 687 295;647 420;3 341 197
;február;7 926;311 637;33 354;102 419;100 421;176 458;83 641;262 637;234 146;392 856;234 689;162 842;886 592;87 545;3 069 237;558 414;3 635 577
;március;12 625;375 446;41 267;123 167;127 596;214 982;92 154;317 286;273 459;422 485;269 426;194 615;1 015 941;103 340;3 571 164;564 782;4 148 571
;április;13 184;333 650;35 115;111 374;134 499;203 971;87 641;299 387;256 291;349 522;237 457;162 984;839 441;96 324;3 147 655;519 245;3 680 085
;május;13 345;344 790;34 044;120 056;135 431;202 433;83 709;297 658;269 337;337 227;233 915;166 439;788 641;95 323;3 109 003;464 766;3 587 113
;június;14 995;369 658;37 440;121 966;150 602;201 433;91 615;312 412;304 538;383 936;257 377;193 020;856 705;104 363;3 385 064;486 911;3 886 970
;július;15 635;368 735;35 041;116 306;170 623;205 677;71 892;298 728;281 997;307 055;239 508;173 601;733 836;101 662;3 104 661;609 540;3 729 836
;augusztus;15 298;363 164;28 789;116 347;157 247;195 072;64 253;279 931;268 016;320 924;204 102;151 283;484 335;96 941;2 730 404;610 676;3 356 378
;szeptember;15 647;407 085;33 180;125 534;166 938;182 239;83 284;314 233;319 386;399 683;257 182;197 113;758 235;112 773;3 356 866;838 119;4 210 632
;október;16 873;403 973;30 910;127 736;193 873;216 929;76 000;312 114;325 330;394 539;242 696;168 134;726 678;113 371;3 332 283;858 237;4 207 394
;november;18 259;435 653;32 734;133 822;187 679;249 086;90 761;329 664;340 478;440 267;280 336;184 025;850 930;121 185;3 676 622;1 054 529;4 749 410
;december;16 396;406 289;31 990;123 317;191 395;244 841;74 797;256 526;280 142;370 456;242 158;204 028;706 752;139 669;3 272 359;1 378 909;4 667 664
2022.;január;11 584;402 014;32 924;128 653;189 917;269 107;83 310;281 581;284 141;382 164;266 822;169 773;756 010;89 935;3 336 351;1 307 012;4 654 946
;február;13 427;402 413;38 753;132 890;204 749;261 315;85 959;296 680;312 352;413 228;282 559;187 461;938 355;105 785;3 662 499;1 183 076;4 859 002
;március;18 852;507 049;49 539;160 165;334 488;317 262;100 972;363 403;369 931;469 004;370 102;236 875;889 324;127 657;4 295 771;1 396 083;5 710 706
