22.2.2.10. Házasságkötések megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Házasságkötések száma, fõ;;;;;;;;;;;;;;;;;
Somogy;megye;86,5;98,8;116,4;120,2;201,7;108,7;103,6;107,6;92,8;114,6;102,5;100,4;96,6;104,2;104,0;
Tolna ;megye;123,3;115,4;138,4;142,7;172,3;100,9;91,4;93,1;105,1;119,8;108,9;105,7;76,7;95,0;93,9;
Dél-Dunántúl;régió;92,7;104,7;119,6;126,4;197,6;107,7;100,6;101,4;94,5;115,4;106,1;103,6;90,2;100,4;97,1;
Dunántúl;nagyrégió;92,8;107,3;121,3;129,8;217,2;111,9;104,0;103,7;97,2;122,1;110,2;108,6;85,9;92,6;90,7;
Borsod-Abaúj-Zemplén;megye;99,8;106,8;117,2;123,2;174,8;106,6;100,1;99,1;106,5;117,0;105,1;105,0;88,6;101,0;97,3;
Heves;megye;104,3;111,4;122,6;128,9;172,4;109,2;100,5;99,0;100,6;116,6;110,6;113,2;93,4;99,4;95,7;
Nógrád ;megye;83,4;97,4;107,5;114,8;179,4;115,2;106,1;101,3;106,4;118,8;108,8;107,9;89,6;94,9;95,2;
Észak-Magyarország;régió;97,5;106,3;116,9;123,2;175,0;108,6;101,1;99,4;105,0;117,2;107,1;107,6;89,9;99,6;96,5;
Hajdú-Bihar;megye;107,3;107,9;116,9;126,1;206,3;118,9;109,9;109,0;100,1;112,7;103,7;101,8;88,7;98,8;95,2;
Jász-Nagykun-Szolnok;megye;99,3;102,1;119,7;127,1;188,9;119,8;104,1;104,7;101,0;116,3;107,9;104,8;75,9;92,8;96,0;
Szabolcs-Szatmár-Bereg;megye;96,6;111,9;127,0;136,1;201,6;116,8;105,6;102,6;111,1;118,2;104,6;103,0;88,1;94,6;95,2;
Észak-Alföld;régió;100,9;107,9;121,4;130,1;199,8;118,3;106,8;105,4;104,5;115,7;105,1;103,0;85,3;95,7;95,4;
Bács-Kiskun ;megye;90,8;103,4;117,3;131,5;252,9;128,9;111,9;110,4;95,8;115,3;107,2;103,1;83,6;93,3;90,9;
Békés;megye;90,5;97,9;120,6;129,6;208,0;122,6;107,0;108,7;107,2;117,5;102,3;96,3;77,9;92,2;96,1;
Csongrád-Csanád;megye;95,6;105,7;121,7;129,1;219,9;122,7;111,0;109,4;104,6;117,9;105,4;102,1;85,9;93,0;92,0;
Dél-Alföld;régió;92,1;102,5;119,6;130,2;229,7;125,2;110,2;109,6;101,4;116,7;105,3;100,9;82,7;92,9;92,6;
Alföld és Észak;nagyrégió;97,2;105,7;119,5;128,1;200,6;117,5;106,2;105,0;103,6;116,4;105,7;103,6;85,7;95,9;94,8;
Ország összesen;ország;99,5;108,2;120,3;128,4;201,0;111,2;102,8;102,8;97,8;118,6;109,1;107,4;86,0;93,5;91,1;
