19.1.3.4. A kukorica termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;1 852;1 771;1 956;1 708;1 945;2 021;1 746;1 995;2 449;2 169;1 956;2 453;2 351;1 639;2 334;1 638;2 180;2 076;2 130;2 299;2 412
Belgium;397;461;531;555;638;634;576;699;859;808;746;860;702;827;663;597;480;609;377;429;421
Bulgária;804;873;1 288;1 161;2 123;1 586;1 588;980;1 368;1 291;2 047;2 209;1 718;2 739;3 137;2 697;2 226;2 563;3 523;4 060;3 014
Csehország;304;409;616;476;552;703;606;759;858;890;693;1 064;928;675;832;443;846;588;489;620;826
Franciaország;16 018;16 421;16 418;12 045;16 376;13 689;12 904;14 506;16 038;15 514;13 975;15 914;15 393;15 041;18 343;13 716;11 840;14 535;12 580;12 845;13 419
Görögország;2 094;2 192;2 219;2 504;2 455;2 547;2 359;2 385;2 820;2 414;2 138;2 292;2 226;2 275;1 864;1 717;1 505;1 462;1 206;1 234;1 178
Hollandia;223;242;230;206;190;183;181;231;252;245;197;204;191;185;173;121;85;117;89;148;166
Horvátország;1 190;1 733;1 956;1 280;1 932;2 207;1 935;1 425;2 505;2 183;2 068;1 734;1 298;1 874;2 047;1 709;2 154;1 560;2 147;2 298;2 431
Lengyelország;923;1 362;1 962;1 884;2 344;1 945;1 261;1 722;1 844;1 707;1 994;2 392;3 996;4 040;4 468;3 156;4 343;4 022;3 792;3 665;6 695
Magyarország;4 984;7 858;6 121;4 532;8 332;9 050;8 282;4 027;8 897;7 528;6 985;7 992;4 763;6 756;9 315;6 633;8 730;6 739;7 931;8 230;8 365
Németország;3 324;3 505;3 738;3 422;4 200;4 083;3 220;3 809;5 106;4 527;4 212;5 184;5 515;4 387;5 142;3 973;4 018;4 548;3 344;3 665;4 020
Olaszország;10 138;10 554;10 554;8 702;11 368;10 428;9 671;9 809;9 491;7 878;8 496;9 753;7 860;7 900;9 240;7 074;6 839;6 048;6 199;6 279;6 793
Portugália;882;912;803;804;795;514;543;617;702;634;626;810;849;930;897;828;711;745;714;755;682
Románia;4 898;9 119;8 400;9 577;14 542;10 388;8 985;3 854;7 849;7 973;9 042;11 718;5 953;11 305;11 989;9 021;10 746;14 326;18 664;17 432;10 942
Spanyolország;3 992;4 982;4 425;4 339;4 831;3 981;3 356;3 611;3 629;3 516;3 325;4 200;4 262;4 885;4 776;4 564;4 070;3 776;3 843;4 184;4 214
Szlovákia;440;616;757;601;862;1 074;838;624;1 261;988;921;1 444;1 170;1 123;1 814;929;1 710;1 066;1 498;1 445;1 643
Szlovénia;282;258;371;224;358;351;276;308;320;303;311;349;277;227;351;339;346;272;350;360;430
EU27_2020;52 758;63 281;62 357;54 024;73 849;65 392;58 333;51 388;66 282;60 593;59 829;70 701;59 608;67 014;77 575;59 265;62 960;65 147;69 005;70 099;67 844
Észak-Macedónia;125;117;140;141;146;148;147;118;127;158;132;129;119;135;140;137;147;123;191;148;150
Oroszország;1 489;808;1 499;2 031;3 373;3 060;3 510;3 798;6 682;3 963;3 084;6 962;8 213;11 635;11 332;13 173;15 282;13 208;11 419;14 282;13 879
Svájc;212;218;189;91;181;199;152;178;171;174;144;178;175;153;169;113;144;162;135;175;220
Szerbia;..;..;..;..;..;..;6 017;3 905;6 158;6 396;7 207;6 480;3 533;5 864;7 952;5 455;7 377;4 018;6 965;7 345;7 873
Törökország;2 300;2 200;2 100;2 800;3 000;4 200;3 811;3 535;4 274;4 250;4 310;4 200;4 600;5 900;5 950;6 400;6 400;5 900;5 700;6 000;6 500
