22.1.1.20. Ezer megfelelõ korú és nemû házasra jutó válás nem és korcsoport szerint;;;;;;;;;;;
Korcsoport, éves;1980;1990;2001;2010;2015;2016;2017;2018;2019;2020;2021
Férfi;;;;;;;;;;;
    –19;11,1;8,9;7,9;20,6;13,7;3,1;8,5;8,6;11,5;2,8;18,1
20–24;20,8;21,0;29,7;28,9;19,3;16,2;17,0;15,2;14,3;12,5;14,8
25–29;21,0;22,2;28,9;27,1;21,9;20,1;17,9;13,8;16,5;12,6;15,1
30–34;17,1;18,3;24,0;26,3;23,2;21,1;19,3;16,6;16,3;13,1;14,6
35–39;13,8;16,3;19,0;25,7;23,1;22,5;20,0;18,6;18,0;14,5;16,7
40–44;10,2;12,3;15,1;22,8;22,5;22,0;20,6;19,8;19,4;15,5;18,7
45–49;7,6;8,9;11,7;17,4;19,0;18,5;18,5;16,8;17,2;15,1;18,5
50–54;5,0;5,2;7,1;10,5;12,4;12,7;12,3;11,6;12,7;11,6;13,8
55–59;3,4;2,7;4,0;5,9;6,5;6,7;7,2;6,7;7,5;6,6;8,4
60–    ;1,7;1,1;1,1;1,6;1,9;1,9;2,0;1,8;2,0;1,8;2,2
Összesen;9,9;9,9;11,1;12,4;11,4;11,1;10,6;9,7;10,0;8,5;10,3
Nõ;;;;;;;;;;;
    –19;19,2;13,2;17,0;27,6;16,8;14,1;12,0;11,1;15,0;6,8;18,6
20–24;21,5;23,4;30,8;31,8;27,1;22,5;21,8;16,2;18,3;14,2;16,8
25–29;18,9;19,8;26,3;27,5;24,1;21,1;19,0;17,1;17,6;14,5;16,0
30–34;14,5;16,5;21,1;25,9;23,7;22,4;20,2;17,8;18,2;14,5;15,4
35–39;11,3;13,8;16,3;23,8;22,8;22,6;20,1;19,2;18,6;14,9;18,6
40–44;8,2;10,3;12,6;20,1;20,3;20,2;20,1;19,2;18,9;15,7;18,8
45–49;5,8;6,4;9,0;13,0;15,2;15,2;14,8;13,9;14,9;13,7;16,8
50–54;3,8;3,3;4,9;7,0;8,4;8,5;8,8;8,4;9,5;8,3;10,8
55–59;2,6;1,7;2,5;3,8;4,1;4,3;4,8;3,6;4,7;4,1;4,9
60–    ;1,3;0,9;0,8;1,1;1,3;1,3;1,3;1,2;1,3;1,2;1,5
Összesen;9,9;9,9;11,0;12,3;11,4;11,0;10,5;9,7;10,0;8,5;10,2
