20.2.1.33. Munkanélküliségi ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
;II.;32,5;11,2;5,5;3,9;3,8;2,7;2,9;3,5;2,9;2,9;             ...;             ...;4,1;13,3
;III.;30,4;12,2;4,6;3,6;3,5;2,9;2,3;3,1;3,1;2,3;             ...;             ...;3,9;14,5
;IV.;24,0;11,1;4,1;3,7;3,2;2,9;2,5;2,9;3,5;2,1;             …;             …;3,7;12,5
2022.;I.;22,4;9,0;4,5;3,7;3,2;2,8;2,7;3,6;3,2;3,2;             …;             …;3,7;10,4
;II.;23,8;8,3;3,2;3,0;3,4;2,5;2,2;2,7;2,4;3,8;             …;             …;3,2;10,0
;III.;22,0;9,2;5,1;2,9;3,5;2,6;2,5;3,1;2,6;3,9;             …;             …;3,6;10,8
;IV.;;;;;;;;;;;;;;
Ebbõl:;;;;;;;;;;;;;;;
férfi;;;;;;;;;;;;;;;
2009.;I.;53,1;23,0;11,7;9,2;7,7;9,9;9,3;7,0;7,3;4,1;             ...;             ...;10,1;25,7
;II.;44,0;24,9;12,6;7,9;8,2;8,3;9,4;6,7;7,7;2,6;             ...;             ...;9,9;26,5
;III.;44,6;28,1;12,6;8,4;8,5;9,4;9,1;8,4;7,3;3,4;             ...;             ...;10,5;29,4
;IV.;55,2;27,4;13,5;8,3;8,7;8,8;9,5;8,0;7,4;3,2;             ...;             ...;10,6;29,7
2010.;I.;54,2;28,3;17,4;11,0;10,5;10,4;11,6;9,7;9,5;3,4;             ...;             ...;12,6;30,1
;II.;49,9;27,1;15,1;10,8;9,3;9,9;10,3;10,4;9,1;4,7;             ...;             ...;11,8;28,6
;III.;49,8;24,9;13,7;9,6;8,8;9,9;8,2;9,7;9,2;4,9;             ...;             ...;11,0;26,9
;IV.;46,1;23,3;13,5;9,5;8,8;9,7;9,1;9,9;10,1;4,4;             ...;             ...;11,0;25,3
2011.;I.;48,0;27,5;14,3;9,5;10,4;11,2;10,8;11,0;11,7;5,9;             ...;             ...;12,2;28,9
;II.;36,7;24,1;12,3;8,1;9,3;10,1;10,8;8,9;11,1;4,8;             ...;             ...;10,8;25,0
;III.;43,0;25,9;10,4;8,3;8,9;9,7;9,3;9,5;11,1;4,6;             ...;             ...;10,6;27,4
;IV.;43,9;25,1;13,0;7,5;9,8;9,3;8,6;9,2;10,5;6,1;             ...;             ...;10,6;26,6
2012.;I.;49,7;28,3;14,5;10,1;10,7;10,5;11,5;10,8;11,3;6,4;             ...;             ...;12,3;29,7
;II.;60,5;27,5;15,0;10,5;9,8;8,1;8,6;11,1;9,5;8,3;             ...;             ...;11,5;30,0
;III.;58,9;26,8;14,5;9,6;9,1;8,3;7,2;9,1;7,8;7,2;             ...;             ...;10,8;29,8
;IV.;44,2;25,4;14,6;10,1;9,2;8,5;8,0;8,9;7,9;7,0;             ...;             ...;10,8;26,9
2013.;I.;47,4;28,0;16,4;12,2;9,2;10,6;9,6;10,4;10,2;5,4;             ...;             ...;12,3;29,5
;II.;54,4;21,8;11,8;9,8;7,8;8,4;8,0;8,6;9,5;6,9;             ...;             ...;10,1;24,4
;III.;51,5;23,2;10,9;8,6;7,3;7,8;6,9;8,3;8,9;6,8;             ...;             ...;9,6;26,0
;IV.;51,4;19,8;10,4;7,2;5,8;8,3;8,2;7,8;7,5;8,0;             ...;             ...;8,9;22,7
2014.;I.;44,4;16,9;8,9;7,1;5,9;7,4;7,0;7,5;6,1;9,5;             ...;             ...;8,1;19,4
;II.;41,9;17,8;9,1;7,6;5,6;6,5;5,8;8,0;6,5;9,5;             ...;             ...;8,0;20,0
