19.1.3.9. Baromfiállomány [ezer darab];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;14 615;11 783;12 569;13 061;13 007;13 472;15 821;14 216;14 436;15 078;16 369;16 706;16 207;17 007;17 126;17 133;17 425;17 444;17 398;17 390;17 383
Belgium;39 250;38 809;38 178;32 282;37 012;36 024;33 299;33 186;32 928;33 700;34 825;35 836;36 078;36 681;34 119;38 147;28 836;27 343;32 789;30 482;30 953
Bulgária;15 000;14 950;18 000;21 466;21 552;19 495;19 488;20 134;18 674;17 530;17 354;15 905;14 627;15 207;13 171;14 553;15 531;18 915;20 542;22 253;24 421
Ciprus;3 835;3 670;3 855;3 723;3 278;3 037;2 963;2 975;3 059;3 050;3 061;2 965;3 162;2 565;2 880;3 040;2 632;2 584;2 989;2 813;2 786
Csehország;30 785;32 043;29 947;26 874;25 493;25 373;25 735;24 591;27 317;26 490;24 839;21 249;20 691;23 266;21 463;22 508;21 315;21 495;23 573;22 979;22 276
Dánia;21 831;21 237;20 580;17 796;16 598;17 531;17 249;16 386;15 107;19 607;18 516;18 656;18 716;19 340;18 274;17 393;18 323;21 215;19 785;22 696;21 788
Észtország;2 462;2 366;2 295;2 097;1 946;2 183;1 879;1 638;1 477;1 758;1 793;2 033;2 005;2 133;2 084;2 315;2 084;2 223;2 069;2 086;2 062
Finnország;8 438;5 912;6 261;6 565;6 108;5 967;5 859;5 505;6 090;5 224;4 896;5 729;6 333;7 135;7 633;8 073;8 532;8 812;9 504;9 769;8 775
Franciaország;277 537;280 511;272 608;263 414;251 001;243 369;234 112;243 020;241 082;243 342;282 517;284 010;290 436;298 485;291 799;296 635;289 008;288 705;282 433;281 438;282 034
Görögország;30 485;30 155;28 709;30 077;29 125;30 576;31 553;31 602;31 943;29 137;28 027;29 179;28 264;30 508;32 361;34 762;35 857;37 565;37 604;37 308;37 434
Hollandia;106 517;102 724;103 355;81 053;87 777;95 190;92 584;95 129;98 970;99 077;103 371;98 925;97 016;99 370;104 686;108 558;107 313;106 864;105 627;105 668;102 495
Horvátország;7 839;8 229;7 824;7 638;8 381;7 941;7 885;7 754;7 545;7 540;6 014;5 042;5 142;4 715;10 318;10 190;9 844;10 397;11 395;12 742;13 054
Írország;14 727;14 437;14 653;14 605;14 395;14 195;14 760;14 960;15 160;16 960;15 810;16 060;16 590;17 110;17 200;17 322;17 626;17 702;17 636;18 089;18 175
Lengyelország;53 261;55 582;198 783;146 322;130 289;125 073;122 895;134 256;124 329;126 744;174 326;152 213;125 424;129 122;146 563;163 267;187 603;197 222;206 078;209 332;209 105
Lettország;3 247;3 118;3 633;3 898;4 018;4 064;4 107;4 497;4 765;4 624;4 830;4 950;4 419;4 912;4 988;4 022;4 013;2 189;2 306;2 339;2 341
Litvánia;6 373;5 577;6 576;6 848;8 065;8 418;9 393;9 431;9 868;9 102;9 300;9 458;8 913;9 079;9 754;10 208;9 356;10 092;10 367;11 814;12 009
Luxemburg;72;84;78;79;73;83;81;82;81;97;90;102;113;111;116;114;114;123;123;132;132
Magyarország;31 244;37 016;43 279;40 909;47 268;41 330;41 076;39 677;38 281;39 716;40 264;42 213;41 377;38 546;37 900;38 599;40 334;40 185;40 633;39 729;39 208
Málta;830;1 569;1 010;1 368;1 010;1 054;1 021;1 127;1 199;1 090;985;935;983;931;1 013;1 048;1 036;1 004;1 035;1 035;1 022
Németország;118 786;119 582;122 057;123 407;121 700;120 559;120 250;128 462;129 000;129 540;128 899;133 038;136 308;177 334;135 250;155 297;173 574;174 756;174 850;174 850;176 555
Olaszország;123 000;125 000;125 000;125 000;125 000;126 000;120 000;125 000;140 000;144 400;154 000;162 500;165 000;161 200;161 900;162 436;167 397;172 028;170 767;171 257;174 361
Portugália;18 631;18 131;17 962;16 946;17 095;15 899;16 558;16 271;17 309;18 392;18 105;16 566;16 699;16 636;16 760;17 059;17 179;17 155;17 095;16 774;16 693
Románia;77 993;78 936;80 273;86 239;85 516;96 214;96 052;94 491;91 536;93 873;93 443;90 695;89 742;90 016;89 340;85 276;88 451;85 580;73 289;73 993;73 905
Spanyolország;128 022;128 022;128 022;128 022;129 022;130 022;135 022;137 022;138 020;138 020;138 020;138 020;138 020;138 020;138 020;138 113;138 020;137 520;137 053;138 039;137 533
Svédország;7 467;7 608;6 469;6 206;6 820;6 884;6 280;7 181;7 306;7 271;7 824;8 338;8 395;8 662;8 346;9 496;9 834;9 175;9 286;9 785;10 869
Szlovákia;12 247;13 580;15 584;13 960;14 217;13 714;14 084;13 038;12 881;11 228;13 583;12 991;11 376;11 849;10 969;12 494;12 836;12 130;13 357;13 132;10 572
Szlovénia;4 538;3 031;3 155;3 365;2 757;1 909;1 751;1 692;3 013;2 554;3 052;2 611;2 267;3 297;2 937;3 414;3 604;3 813;4 034;4 198;4 321
EU27_2020;1 159 032;1 163 662;1 310 715;1 223 220;1 208 523;1 205 576;1 191 757;1 223 323;1 231 376;1 245 144;1 344 113;1 326 925;1 304 303;1 363 237;1 336 970;1 391 472;1 427 677;1 444 236;1 443 617;1 452 122;1 452 262
Egyesült Királyság;169 773;179 880;168 996;175 549;176 015;170 253;167 776;163 865;162 033;165 883;158 223;157 408;155 133;158 540;164 901;163 706;167 370;177 580;184 346;181 954;177 866
Észak-Macedónia;3 350;3 350;2 900;2 417;2 725;2 617;2 585;2 264;2 226;2 118;1 995;1 944;1 776;2 202;1 940;1 761;1 866;1 840;1 828;1 562;1 643
Norvégia;8 985;3 411;8 223;8 562;8 515;9 364;11 305;13 310;13 703;13 896;12 375;12 355;15 139;16 525;17 228;15 296;14 589;16 431;16 242;16 415;17 076
Oroszország;350 131;340 570;350 059;355 698;355 560;359 663;378 383;374 120;385 886;402 391;429 457;445 873;469 603;490 923;492 315;522 301;531 635;539 673;541 569;530 787;530 786
Svájc;6 983;6 939;7 339;7 588;8 062;8 259;7 670;8 228;8 543;8 816;9 030;9 478;9 954;10 079;10 722;10 807;10 971;11 493;11 626;11 911;12 394
Szerbia;..;..;..;..;..;..;16 491;16 330;17 189;22 822;33 165;19 103;18 126;17 727;17 037;17 331;16 083;16 689;16 133;15 662;15 170
Törökország;264 451;223 141;251 100;283 675;302 799;322 917;349 402;273 549;249 043;234 082;238 973;241 498;257 506;270 201;298 030;316 333;333 541;348 143;359 217;348 785;386 081
Ukrajna;125 345;123 177;136 162;146 850;141 876;152 082;161 491;166 142;168 744;176 552;190 130;202 530;199 848;213 197;219 359;212 675;203 444;200 970;203 759;209 515;219 884
Banglades;165 700;176 510;186 910;197 980;209 030;220 730;232 890;245 980;252 310;262 628;270 712;278 806;288 566;296 263;304 172;312 292;320 633;329 199;337 998;344 022;356 318
Fülöp-szigetek;126 017;126 436;137 572;138 853;133 161;147 460;146 459;146 770;165 750;170 215;170 222;173 909;175 178;174 491;178 527;187 509;190 290;187 157;187 985;198 942;191 057
India;404 400;426 300;449 100;487 358;522 476;560 336;601 196;645 377;659 360;673 740;688 600;703 500;716 185;731 700;746 900;765 819;784 933;803 459;822 284;841 405;826 539
Indonézia;888 532;992 232;1 264 407;1 238 173;1 181 947;1 207 338;1 221 295;1 311 267;1 293 271;1 430 127;1 393 928;1 610 455;1 706 979;1 843 953;1 910 394;2 013 963;2 135 503;3 538 738;3 760 170;3 792 714;3 618 322
Irán;254 600;284 600;354 600;414 600;594 600;624 600;644 600;654 600;714 600;878 304;884 600;904 600;929 600;931 650;934 600;946 398;959 574;957 596;974 301;993 629;1 013 801
Izrael;33 718;35 767;33 606;35 743;35 401;36 223;42 335;42 685;44 163;45 691;47 599;45 652;44 940;44 592;42 206;50 172;46 925;50 899;50 240;52 975;55 290
Japán;295 795;292 440;287 407;283 945;279 503;265 203;280 645;288 534;284 654;285 352;286 003;178 548;177 609;306 410;310 555;302 889;310 130;313 825;323 128;323 147;319 653
Kína;4 438 043;4 613 421;5 020 547;4 869 078;5 186 135;5 453 497;5 486 907;5 646 226;6 073 795;6 287 773;6 426 557;5 667 306;5 914 857;5 817 108;5 573 222;5 764 389;5 980 967;6 186 282;6 157 360;6 203 964;5 857 252
Koreai Köztársaság;107 706;109 137;109 551;108 062;115 030;118 049;128 594;129 903;129 501;151 513;163 613;162 260;158 031;162 259;163 966;173 916;178 270;178 096;182 007;181 573;186 473
Pakisztán;153 500;158 500;177 500;185 500;189 500;192 500;235 500;254 500;275 500;298 500;324 700;352 700;383 700;396 700;433 700;473 701;789 577;1 111 796;1 213 817;1 324 843;1 446 868
Thaiföld;252 843;261 412;260 527;265 147;266 874;209 142;224 200;234 234;235 177;244 686;248 483;257 042;262 324;274 612;282 284;287 604;291 928;286 129;291 624;295 895;299 923
Vietnám;211 110;224 881;233 000;254 610;218 152;219 910;214 600;226 000;248 300;272 566;286 834;322 600;308 461;303 646;314 485;328 842;348 475;370 157;393 827;465 133;496 063
Dél-afrikai Köztársaság;126 815;138 831;148 868;144 898;145 990;121 990;126 830;142 000;171 015;186 027;198 037;201 043;201 053;162 663;161 768;163 074;164 950;179 730;177 174;178 651;180 125
Egyiptom;105 702;108 223;109 263;112 773;87 040;85 790;88 154;101 992;107 662;112 575;121 210;128 344;133 388;162 313;162 771;167 444;171 687;178 689;185 362;190 017;185 282
Marokkó;138 100;140 100;140 100;140 100;140 200;140 250;155 024;156 500;167 500;173 000;179 000;185 000;190 000;195 000;197 000;201 101;206 998;215 391;217 948;222 538;218 221
Argentína;114 230;115 230;91 335;98 395;100 395;100 395;100 440;101 550;101 550;101 550;103 660;105 765;110 837;112 876;114 910;120 718;116 763;124 038;119 375;124 248;124 270
Brazília;856 641;898 888;901 045;939 673;964 048;1 018 791;1 031 916;1 153 258;1 228 004;1 259 587;1 269 513;1 299 059;1 277 369;1 279 338;1 353 499;1 359 071;1 380 432;1 459 690;1 499 102;1 491 675;1 513 998
Egyesült Államok;2 137 066;2 180 560;2 222 127;2 196 256;2 227 887;2 246 566;2 258 234;2 278 728;9 289 288;8 804 359;8 874 688;8 863 100;8 723 700;8 781 100;8 790 300;8 929 368;9 028 178;9 166 548;9 283 884;9 413 356;9 453 789
Kanada;164 850;165 920;167 350;167 050;166 970;167 050;167 050;172 050;172 380;172 160;172 020;171 780;173 230;174 000;174 500;175 083;175 595;177 720;177 867;178 556;179 246
Mexikó;379 898;404 187;415 487;426 821;444 954;470 695;494 158;499 740;509 078;512 983;518 588;522 561;529 077;536 417;539 123;546 934;561 330;568 256;580 604;593 101;603 856
Ausztrália;86 805;92 460;86 153;85 292;85 038;77 431;96 316;100 267;91 329;98 085;85 424;92 947;103 301;100 961;99 810;91 014;92 386;97 378;102 159;114 166;103 129
Új-Zéland;13 305;13 305;21 226;20 489;19 002;19 381;17 563;19 986;20 064;18 401;18 861;18 958;19 433;19 433;20 617;21 475;23 086;24 104;24 504;25 064;25 194
