20.2.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Szabolcs-Szatmár-Bereg;megye;239,5;24,7;264,2;90,4;354,6;33,7;74,5;9,3;67,5
Észak-Alföld;régió;635,2;46,7;681,8;236,2;918,0;71,1;74,3;6,8;69,2
Bács-Kiskun;megye;227,0;11,3;238,3;76,8;315,1;18,4;75,6;4,7;72,1
Békés;megye;145,0;7,4;152,4;49,2;201,6;12,2;75,6;4,9;71,9
Csongrád-Csanád;megye;186,1;2,2;188,2;59,0;247,2;4,7;76,1;1,1;75,3
Dél-Alföld;régió;558,1;20,9;578,9;185,0;764,0;35,4;75,8;3,6;73,0
Alföld és Észak;nagyrégió;1 664,8;100,7;1 765,5;612,8;2 378,3;163,1;74,2;5,7;70,0
Összesen;ország;4 580,0;177,6;4 757,6;1 425,4;6 183,0;293,3;76,9;3,7;74,1
2022. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;864,3;19,6;883,9;198,2;1 082,2;34,3;81,7;2,2;79,9
Pest;megye, régió;653,3;15,0;668,2;192,7;861,0;25,7;77,6;2,2;75,9
Közép-Magyarország;nagyrégió;1 517,6;34,6;1 552,2;391,0;1 943,1;60,1;79,9;2,2;78,1
Fejér;megye;206,1;5,3;211,4;59,2;270,6;8,3;78,1;2,5;76,2
Komárom-Esztergom;megye;152,3;1,7;154,0;39,9;193,9;3,3;79,4;1,1;78,5
Veszprém;megye;164,2;2,3;166,5;47,3;213,8;4,3;77,9;1,4;76,8
Közép-Dunántúl;régió;522,6;9,3;531,9;146,4;678,3;16,0;78,4;1,7;77,0
Gyõr-Moson-Sopron;megye;246,6;4,4;251,0;62,7;313,8;6,7;80,0;1,8;78,6
Vas;megye;126,5;1,1;127,5;36,5;164,0;5,0;77,8;0,8;77,1
Zala;megye;122,9;5,6;128,5;37,7;166,2;9,1;77,3;4,3;74,0
Nyugat-Dunántúl;régió;496,0;11,1;507,1;136,9;644,0;20,8;78,7;2,2;77,0
Baranya;megye;154,7;7,3;162,0;61,3;223,4;10,2;72,5;4,5;69,3
Somogy;megye;122,7;9,1;131,8;53,3;185,1;16,6;71,2;6,9;66,3
Tolna;megye;95,7;2,8;98,4;33,8;132,2;4,1;74,4;2,8;72,4
Dél-Dunántúl;régió;373,1;19,2;392,3;148,4;540,6;31,0;72,6;4,9;69,0
Dunántúl;nagyrégió;1 391,7;39,5;1 431,2;431,7;1 862,9;67,7;76,8;2,8;74,7
