20.2.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint, negyedévente;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Nógrád;megye;69,2;12,2;81,4;57,8;139,2;20,3;58,5;15,0;49,7
Észak-Magyarország;régió;409,3;69,2;478,6;339,4;818,0;114,8;58,5;14,5;50,0
Hajdú-Bihar;megye;181,5;21,4;202,9;166,6;369,5;38,2;54,9;10,5;49,1
Jász-Nagykun-Szolnok;megye;143,9;19,4;163,3;102,6;265,9;31,9;61,4;11,9;54,1
Szabolcs-Szatmár-Bereg;megye;184,6;38,8;223,4;164,3;387,8;62,7;57,6;17,4;47,6
Észak-Alföld;régió;510,0;79,6;589,6;433,5;1 023,1;132,8;57,6;13,5;49,9
Bács-Kiskun;megye;196,9;22,0;218,9;137,3;356,2;36,9;61,5;10,0;55,3
Békés;megye;127,7;18,5;146,3;102,6;248,9;28,5;58,8;12,7;51,3
Csongrád-Csanád;megye;160,4;12,9;173,3;107,5;280,8;19,2;61,7;7,4;57,1
Dél-Alföld;régió;485,1;53,4;538,5;347,4;885,9;84,6;60,8;9,9;54,8
Alföld és Észak;nagyrégió;1 404,4;202,2;1 606,7;1 120,4;2 727,0;332,2;58,9;12,6;51,5
Összesen;ország;3 879,3;400,0;4 279,4;2 476,7;6 756,1;639,6;63,3;9,3;57,4
2009. III. negyedév;;;;;;;;;;
Budapest;fõváros, régió;752,1;50,3;802,4;340,5;1 142,9;79,3;70,2;6,3;65,8
Pest;megye, régió;498,8;40,9;539,6;275,2;814,9;65,8;66,2;7,6;61,2
Közép-Magyarország;nagyrégió;1 250,9;91,2;1 342,1;615,7;1 957,8;145,0;68,6;6,8;63,9
Fejér;megye;170,8;19,2;190,0;101,3;291,3;25,4;65,2;10,1;58,6
Komárom-Esztergom;megye;128,9;12,8;141,8;70,6;212,4;20,2;66,7;9,1;60,7
Veszprém;megye;143,3;14,5;157,8;86,9;244,7;21,1;64,5;9,2;58,6
Közép-Dunántúl;régió;443,1;46,5;489,6;258,8;748,4;66,6;65,4;9,5;59,2
Gyõr-Moson-Sopron;megye;192,7;13,5;206,2;98,2;304,4;19,8;67,7;6,6;63,3
Vas;megye;105,4;12,5;118,0;60,4;178,4;17,9;66,1;10,6;59,1
Zala;megye;120,1;16,5;136,6;60,9;197,6;22,9;69,2;12,1;60,8
Nyugat-Dunántúl;régió;418,2;42,6;460,8;219,6;680,4;60,6;67,7;9,2;61,5
Baranya;megye;146,3;17,2;163,4;99,8;263,3;31,7;62,1;10,5;55,6
Somogy;megye;110,5;14,9;125,4;91,8;217,2;29,0;57,7;11,9;50,9
Tolna;megye;89,5;8,3;97,9;63,2;161,1;16,0;60,7;8,5;55,6
Dél-Dunántúl;régió;346,3;40,4;386,7;254,9;641,6;76,6;60,3;10,5;54,0
Dunántúl;nagyrégió;1 207,6;129,6;1 337,2;733,3;2 070,4;203,9;64,6;9,7;58,3
Borsod-Abaúj-Zemplén;megye;230,3;41,3;271,7;197,0;468,7;70,5;58,0;15,2;49,1
Heves;megye;107,3;16,7;123,9;84,9;208,8;26,6;59,4;13,4;51,4
Nógrád;megye;68,1;13,0;81,1;57,8;138,9;22,7;58,4;16,1;49,0
Észak-Magyarország;régió;405,6;71,1;476,7;339,7;816,4;119,8;58,4;14,9;49,7
Hajdú-Bihar;megye;180,5;24,2;204,7;164,7;369,5;40,0;55,4;11,8;48,9
Jász-Nagykun-Szolnok;megye;147,9;18,6;166,5;98,9;265,4;30,3;62,7;11,2;55,7
Szabolcs-Szatmár-Bereg;megye;183,9;37,4;221,3;166,3;387,6;58,7;57,1;16,9;47,4
Észak-Alföld;régió;512,3;80,2;592,5;430,0;1 022,5;129,1;57,9;13,5;50,1
Bács-Kiskun;megye;200,3;24,4;224,7;131,1;355,8;38,8;63,2;10,9;56,3
Békés;megye;128,0;20,6;148,6;99,7;248,3;31,5;59,8;13,8;51,6
Csongrád-Csanád;megye;163,8;13,4;177,2;103,2;280,3;20,1;63,2;7,5;58,4
Dél-Alföld;régió;492,1;58,3;550,5;334,0;884,5;90,4;62,2;10,6;55,6
Alföld és Észak;nagyrégió;1 410,1;209,6;1 619,7;1 103,7;2 723,4;339,3;59,5;12,9;51,8
Összesen;ország;3 868,6;430,3;4 298,9;2 452,7;6 751,6;688,2;63,7;10,0;57,3
2009. IV. negyedév;;;;;;;;;;
Budapest;fõváros, régió;752,0;53,9;805,9;336,8;1 142,7;83,0;70,5;6,7;65,8
Pest;megye, régió;499,6;41,1;540,7;275,4;816,1;65,7;66,3;7,6;61,2
Közép-Magyarország;nagyrégió;1 251,6;95,0;1 346,6;612,3;1 958,8;148,7;68,7;7,1;63,9
Fejér;megye;170,5;18,6;189,2;102,3;291,5;27,9;64,9;9,9;58,5
Komárom-Esztergom;megye;130,3;13,1;143,5;68,6;212,1;19,1;67,6;9,2;61,4
Veszprém;megye;141,9;15,0;157,0;87,4;244,3;21,0;64,2;9,6;58,1
Közép-Dunántúl;régió;442,8;46,8;489,6;258,3;747,9;68,0;65,5;9,6;59,2
Gyõr-Moson-Sopron;megye;192,9;14,4;207,2;97,4;304,6;20,8;68,0;6,9;63,3
Vas;megye;104,2;13,1;117,3;61,0;178,2;18,7;65,8;11,2;58,4
Zala;megye;118,5;13,5;132,0;65,3;197,3;21,8;66,9;10,2;60,1
Nyugat-Dunántúl;régió;415,5;41,0;456,5;223,6;680,2;61,3;67,1;9,0;61,1
Baranya;megye;144,7;19,2;163,9;98,8;262,7;34,3;62,4;11,7;55,1
Somogy;megye;110,3;17,0;127,3;89,5;216,9;29,9;58,7;13,4;50,9
Tolna;megye;89,7;7,6;97,3;63,5;160,9;15,0;60,5;7,8;55,8
Dél-Dunántúl;régió;344,8;43,9;388,6;251,9;640,5;79,3;60,7;11,3;53,8
Dunántúl;nagyrégió;1 203,1;131,6;1 334,7;733,8;2 068,6;208,6;64,5;9,9;58,2
Borsod-Abaúj-Zemplén;megye;229,2;43,6;272,8;195,0;467,8;72,4;58,3;16,0;49,0
Heves;megye;107,1;16,6;123,7;84,7;208,4;26,1;59,3;13,4;51,4
Nógrád;megye;69,8;11,8;81,6;57,0;138,7;20,8;58,9;14,4;50,4
Észak-Magyarország;régió;406,1;72,0;478,1;336,7;814,8;119,3;58,7;15,0;49,8
Hajdú-Bihar;megye;181,9;24,6;206,5;163,0;369,5;41,8;55,9;11,9;49,2
Jász-Nagykun-Szolnok;megye;145,8;16,1;161,8;103,1;264,9;29,4;61,1;9,9;55,0
Szabolcs-Szatmár-Bereg;megye;181,9;37,7;219,7;167,8;387,5;60,8;56,7;17,2;46,9
Észak-Alföld;régió;509,6;78,4;588,0;433,9;1 021,9;132,0;57,5;13,3;49,9
Bács-Kiskun;megye;196,3;23,8;220,1;135,3;355,4;39,4;61,9;10,8;55,2
Békés;megye;129,1;20,5;149,6;98,1;247,7;32,6;60,4;13,7;52,1
Csongrád-Csanád;megye;163,6;13,1;176,7;103,2;279,9;20,4;63,1;7,4;58,4
Dél-Alföld;régió;489,0;57,4;546,4;336,6;883,0;92,4;61,9;10,5;55,4
Alföld és Észak;nagyrégió;1 404,7;207,8;1 612,4;1 107,3;2 719,7;343,7;59,3;12,9;51,6
Összesen;ország;3 859,3;434,4;4 293,7;2 453,4;6 747,1;701,0;63,6;10,1;57,2
2010. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;738,5;71,2;809,7;332,8;1 142,5;97,0;70,9;8,8;64,6
Pest;megye, régió;498,6;45,7;544,4;273,0;817,4;67,8;66,6;8,4;61,0
Közép-Magyarország;nagyrégió;1 237,2;116,9;1 354,1;605,8;1 959,9;164,8;69,1;8,6;63,1
Fejér;megye;169,0;21,0;190,0;101,6;291,6;29,1;65,1;11,0;58,0
Komárom-Esztergom;megye;129,9;13,0;143,0;68,8;211,8;19,9;67,5;9,1;61,3
Veszprém;megye;137,1;19,8;156,9;87,2;244,0;26,3;64,3;12,6;56,2
Közép-Dunántúl;régió;436,0;53,8;489,8;257,6;747,4;75,3;65,5;11,0;58,3
Gyõr-Moson-Sopron;megye;191,5;14,5;206,1;98,7;304,8;20,6;67,6;7,0;62,8
Vas;megye;104,6;11,3;115,9;62,2;178,1;16,8;65,1;9,7;58,7
Zala;megye;115,0;15,6;130,7;66,4;197,1;22,8;66,3;12,0;58,4
Nyugat-Dunántúl;régió;411,1;41,4;452,6;227,3;679,9;60,1;66,6;9,2;60,5
Baranya;megye;140,5;23,1;163,6;98,6;262,2;38,1;62,4;14,1;53,6
Somogy;megye;108,2;20,0;128,3;88,3;216,6;32,1;59,2;15,6;50,0
Tolna;megye;86,3;9,7;96,0;64,6;160,6;18,4;59,8;10,1;53,7
Dél-Dunántúl;régió;335,1;52,8;387,9;251,5;639,4;88,5;60,7;13,6;52,4
Dunántúl;nagyrégió;1 182,2;148,0;1 330,2;736,5;2 066,7;224,0;64,4;11,1;57,2
Borsod-Abaúj-Zemplén;megye;222,5;46,3;268,8;198,1;466,9;78,9;57,6;17,2;47,6
Heves;megye;106,8;16,6;123,4;84,6;208,0;28,3;59,3;13,5;51,3
Nógrád;megye;67,6;16,3;83,9;54,5;138,4;24,8;60,6;19,4;48,9
Észak-Magyarország;régió;396,8;79,2;476,0;337,2;813,3;132,1;58,5;16,6;48,8
Hajdú-Bihar;megye;178,2;27,0;205,2;164,2;369,5;46,3;55,5;13,2;48,2
Jász-Nagykun-Szolnok;megye;138,3;20,1;158,4;106,0;264,4;36,5;59,9;12,7;52,3
Szabolcs-Szatmár-Bereg;megye;177,1;42,9;220,0;167,3;387,3;66,8;56,8;19,5;45,7
Észak-Alföld;régió;493,7;90,0;583,7;437,6;1 021,3;149,7;57,2;15,4;48,3
Bács-Kiskun;megye;193,1;23,8;216,9;138,1;355,0;41,0;61,1;11,0;54,4
Békés;megye;127,4;21,7;149,0;98,1;247,1;33,9;60,3;14,5;51,5
Csongrád-Csanád;megye;160,6;14,2;174,8;104,7;279,5;20,4;62,5;8,1;57,5
Dél-Alföld;régió;481,1;59,6;540,7;340,9;881,6;95,3;61,3;11,0;54,6
Alföld és Észak;nagyrégió;1 371,6;228,8;1 600,4;1 115,7;2 716,1;377,0;58,9;14,3;50,5
Összesen;ország;3 791,0;493,8;4 284,7;2 458,0;6 742,7;765,8;63,5;11,5;56,2
2010. II. negyedév;;;;;;;;;;
Budapest;fõváros, régió;736,2;70,1;806,3;336,0;1 142,3;99,5;70,6;8,7;64,4
Pest;megye, régió;497,6;47,8;545,4;273,2;818,6;69,9;66,6;8,8;60,8
Közép-Magyarország;nagyrégió;1 233,8;117,9;1 351,7;609,3;1 961,0;169,3;68,9;8,7;62,9
Fejér;megye;168,2;17,9;186,1;105,6;291,7;28,5;63,8;9,6;57,7
Komárom-Esztergom;megye;131,1;10,9;141,9;69,5;211,5;18,3;67,1;7,7;62,0
Veszprém;megye;139,8;18,9;158,7;85,1;243,7;24,1;65,1;11,9;57,3
Közép-Dunántúl;régió;439,0;47,7;486,7;260,2;746,9;70,9;65,2;9,8;58,8
Gyõr-Moson-Sopron;megye;193,0;13,8;206,8;98,2;305,0;19,8;67,8;6,7;63,3
Vas;megye;104,0;13,2;117,2;60,7;177,9;17,8;65,9;11,2;58,5
Zala;megye;114,2;16,1;130,3;66,5;196,8;22,5;66,2;12,3;58,0
Nyugat-Dunántúl;régió;411,2;43,0;454,2;225,4;679,7;60,1;66,8;9,5;60,5
Baranya;megye;145,0;22,4;167,4;94,3;261,7;35,9;64,0;13,4;55,4
Somogy;megye;113,7;16,4;130,1;86,1;216,3;27,4;60,2;12,6;52,6
Tolna;megye;89,4;8,4;97,8;62,5;160,3;16,5;61,0;8,6;55,8
Dél-Dunántúl;régió;348,1;47,1;395,3;242,9;638,2;79,7;61,9;11,9;54,5
Dunántúl;nagyrégió;1 198,4;137,8;1 336,2;728,6;2 064,8;210,7;64,7;10,3;58,0
Borsod-Abaúj-Zemplén;megye;224,1;47,2;271,3;194,8;466,0;78,6;58,2;17,4;48,1
Heves;megye;108,6;14,2;122,8;84,8;207,6;24,7;59,2;11,5;52,3
Nógrád;megye;69,4;14,6;84,1;54,0;138,1;23,3;60,9;17,4;50,3
Észak-Magyarország;régió;402,1;76,0;478,1;333,6;811,7;126,6;58,9;15,9;49,5
Hajdú-Bihar;megye;185,0;27,7;212,7;156,8;369,5;43,6;57,6;13,0;50,1
Jász-Nagykun-Szolnok;megye;142,9;15,7;158,6;105,3;264,0;30,2;60,1;9,9;54,1
Szabolcs-Szatmár-Bereg;megye;186,5;39,7;226,2;161,0;387,2;61,8;58,4;17,5;48,2
Észak-Alföld;régió;514,4;83,1;597,5;423,2;1 020,6;135,6;58,5;13,9;50,4
Bács-Kiskun;megye;197,4;23,1;220,5;134,1;354,7;40,0;62,2;10,5;55,7
Békés;megye;131,7;17,5;149,2;97,3;246,5;29,0;60,5;11,7;53,4
Csongrád-Csanád;megye;162,3;15,1;177,4;101,7;279,0;20,4;63,6;8,5;58,2
Dél-Alföld;régió;491,4;55,7;547,1;333,1;880,2;89,4;62,2;10,2;55,8
Alföld és Észak;nagyrégió;1 407,9;214,7;1 622,6;1 089,8;2 712,5;351,6;59,8;13,2;51,9
Összesen;ország;3 840,1;470,5;4 310,6;2 427,7;6 738,2;731,6;64,0;10,9;57,0
2010. III. negyedév;;;;;;;;;;
Budapest;fõváros, régió;730,9;74,1;805,0;337,1;1 142,1;105,4;70,5;9,2;64,0
Pest;megye, régió;499,2;45,0;544,2;275,7;819,9;71,5;66,4;8,3;60,9
Közép-Magyarország;nagyrégió;1 230,1;119,1;1 349,2;612,8;1 962,0;176,9;68,8;8,8;62,7
Fejér;megye;174,1;15,1;189,2;102,7;291,8;23,6;64,8;8,0;59,7
Komárom-Esztergom;megye;131,5;11,9;143,4;67,8;211,2;19,4;67,9;8,3;62,3
Veszprém;megye;144,2;18,3;162,5;80,9;243,4;22,8;66,8;11,3;59,2
Közép-Dunántúl;régió;449,8;45,3;495,1;251,4;746,4;65,7;66,3;9,1;60,3
Gyõr-Moson-Sopron;megye;192,8;13,9;206,7;98,4;305,2;19,9;67,7;6,7;63,2
Vas;megye;107,0;12,6;119,6;58,1;177,7;16,5;67,3;10,5;60,2
Zala;megye;112,9;15,2;128,1;68,5;196,6;22,8;65,2;11,8;57,5
Nyugat-Dunántúl;régió;412,8;41,7;454,4;225,0;679,4;59,2;66,9;9,2;60,7
Baranya;megye;145,2;18,4;163,6;97,5;261,1;29,8;62,7;11,3;55,6
Somogy;megye;115,5;16,8;132,3;83,6;215,9;28,5;61,3;12,7;53,5
Tolna;megye;89,6;6,6;96,2;63,9;160,0;14,5;60,1;6,8;56,0
Dél-Dunántúl;régió;350,3;41,8;392,1;245,0;637,1;72,8;61,5;10,7;55,0
Dunántúl;nagyrégió;1 212,8;128,8;1 341,6;721,4;2 063,0;197,8;65,0;9,6;58,8
Borsod-Abaúj-Zemplén;megye;224,9;46,7;271,5;193,6;465,1;79,4;58,4;17,2;48,3
Heves;megye;109,9;13,8;123,7;83,5;207,2;23,7;59,7;11,2;53,0
Nógrád;megye;68,9;14,3;83,3;54,5;137,8;22,7;60,4;17,2;50,0
Észak-Magyarország;régió;403,7;74,8;478,5;331,6;810,1;125,8;59,1;15,6;49,8
Hajdú-Bihar;megye;189,2;28,6;217,8;151,7;369,5;43,5;58,9;13,1;51,2
Jász-Nagykun-Szolnok;megye;147,3;15,0;162,4;101,1;263,5;27,5;61,6;9,3;55,9
Szabolcs-Szatmár-Bereg;megye;190,8;37,6;228,4;158,6;387,1;59,0;59,0;16,5;49,3
Észak-Alföld;régió;527,3;81,3;608,6;411,4;1 020,0;130,0;59,7;13,4;51,7
Bács-Kiskun;megye;202,1;20,7;222,9;131,4;354,3;36,2;62,9;9,3;57,1
Békés;megye;135,0;17,1;152,1;93,7;245,8;29,7;61,9;11,3;54,9
Csongrád-Csanád;megye;165,0;15,8;180,7;97,9;278,6;21,7;64,9;8,7;59,2
Dél-Alföld;régió;502,1;53,6;555,7;323,0;878,7;87,5;63,2;9,7;57,1
Alföld és Észak;nagyrégió;1 433,1;209,8;1 642,9;1 066,0;2 708,8;343,4;60,6;12,8;52,9
Összesen;ország;3 876,0;457,7;4 333,7;2 400,1;6 733,8;718,1;64,4;10,6;57,6
2010. IV. negyedév;;;;;;;;;;
Budapest;fõváros, régió;731,5;66,8;798,3;343,6;1 141,9;104,3;69,9;8,4;64,1
Pest;megye, régió;499,4;44,4;543,8;277,3;821,2;68,3;66,2;8,2;60,8
Közép-Magyarország;nagyrégió;1 230,9;111,2;1 342,1;621,0;1 963,1;172,7;68,4;8,3;62,7
Fejér;megye;175,0;14,8;189,8;102,2;292,0;22,8;65,0;7,8;59,9
Komárom-Esztergom;megye;133,1;11,8;145,0;65,9;210,9;18,1;68,7;8,2;63,1
Veszprém;megye;143,4;17,6;161,0;82,1;243,1;23,1;66,2;10,9;59,0
Közép-Dunántúl;régió;451,5;44,3;495,8;250,2;745,9;63,9;66,5;8,9;60,5
Gyõr-Moson-Sopron;megye;193,3;13,7;207,0;98,3;305,3;19,6;67,8;6,6;63,3
Vas;megye;110,1;10,4;120,5;57,1;177,5;14,1;67,9;8,6;62,0
Zala;megye;114,6;13,6;128,2;68,1;196,3;22,3;65,3;10,6;58,4
Nyugat-Dunántúl;régió;417,9;37,8;455,7;223,5;679,2;55,9;67,1;8,3;61,5
Baranya;megye;138,7;22,9;161,7;98,9;260,6;35,6;62,0;14,2;53,2
Somogy;megye;110,5;18,3;128,7;86,9;215,6;31,2;59,7;14,2;51,2
Tolna;megye;91,3;7,0;98,3;61,5;159,8;14,0;61,5;7,1;57,2
Dél-Dunántúl;régió;340,5;48,2;388,7;247,3;636,0;80,7;61,1;12,4;53,5
Dunántúl;nagyrégió;1 209,9;130,2;1 340,2;720,9;2 061,1;200,6;65,0;9,7;58,7
Borsod-Abaúj-Zemplén;megye;228,0;45,0;273,0;191,3;464,2;77,0;58,8;16,5;49,1
Heves;megye;111,0;15,2;126,2;80,6;206,8;24,6;61,0;12,0;53,7
Nógrád;megye;65,5;14,5;80,0;57,5;137,5;23,7;58,2;18,2;47,6
Észak-Magyarország;régió;404,5;74,7;479,2;329,3;808,5;125,3;59,3;15,6;50,0
Hajdú-Bihar;megye;189,2;28,0;217,1;152,4;369,5;45,0;58,8;12,9;51,2
Jász-Nagykun-Szolnok;megye;148,3;16,5;164,8;98,2;263,0;29,4;62,7;10,0;56,4
Szabolcs-Szatmár-Bereg;megye;186,5;39,4;225,9;161,0;386,9;60,5;58,4;17,4;48,2
Észak-Alföld;régió;524,0;83,9;607,9;411,5;1 019,4;134,9;59,6;13,8;51,4
Bács-Kiskun;megye;199,5;20,9;220,4;133,5;353,9;39,4;62,3;9,5;56,4
Békés;megye;134,3;16,6;150,9;94,4;245,2;29,3;61,5;11,0;54,8
Csongrád-Csanád;megye;160,7;16,2;177,0;101,2;278,2;23,0;63,6;9,2;57,8
Dél-Alföld;régió;494,5;53,7;548,2;329,0;877,3;91,7;62,5;9,8;56,4
Alföld és Észak;nagyrégió;1 423,0;212,3;1 635,3;1 069,9;2 705,2;351,8;60,5;13,0;52,6
Összesen;ország;3 863,9;453,7;4 317,6;2 411,8;6 729,4;725,0;64,2;10,5;57,4
2011. I. negyedév;;;;;;;;;;
Budapest;fõváros, régió;733,0;74,2;807,3;334,5;1 141,7;111,8;70,7;9,2;64,2
Pest;megye, régió;501,5;40,9;542,3;280,1;822,4;68,9;65,9;7,5;61,0
Közép-Magyarország;nagyrégió;1 234,5;115,1;1 349,6;614,5;1 964,1;180,6;68,7;8,5;62,9
Fejér;megye;177,9;16,3;194,2;97,9;292,1;26,2;66,5;8,4;60,9
Komárom-Esztergom;megye;131,7;12,5;144,2;66,4;210,5;19,5;68,5;8,7;62,5
Veszprém;megye;142,1;18,4;160,5;82,3;242,8;23,8;66,1;11,5;58,5
Közép-Dunántúl;régió;451,7;47,2;498,9;246,6;745,4;69,5;66,9;9,5;60,6
Gyõr-Moson-Sopron;megye;189,1;14,0;203,1;102,5;305,5;18,5;66,5;6,9;61,9
Vas;megye;109,3;9,7;119,0;58,4;177,4;13,0;67,1;8,1;61,6
Zala;megye;116,7;12,2;128,9;67,2;196,1;19,0;65,7;9,5;59,5
Nyugat-Dunántúl;régió;415,1;35,9;451,0;228,0;678,9;50,6;66,4;8,0;61,1
Baranya;megye;135,8;23,6;159,4;100,6;260,1;35,6;61,3;14,8;52,2
Somogy;megye;106,0;21,0;127,0;88,3;215,3;35,9;59,0;16,5;49,2
Tolna;megye;87,9;8,9;96,8;62,7;159,5;17,1;60,7;9,2;55,1
Dél-Dunántúl;régió;329,8;53,4;383,2;251,6;634,8;88,6;60,4;13,9;51,9
Dunántúl;nagyrégió;1 196,5;136,5;1 333,1;726,2;2 059,2;208,7;64,7;10,2;58,1
Borsod-Abaúj-Zemplén;megye;220,7;49,6;270,3;193,1;463,4;83,0;58,3;18,4;47,6
Heves;megye;108,5;16,0;124,4;82,0;206,4;28,9;60,3;12,8;52,6
Nógrád;megye;60,8;14,8;75,6;61,6;137,2;24,7;55,1;19,6;44,3
Észak-Magyarország;régió;389,9;80,4;470,3;336,7;806,9;136,6;58,3;17,1;48,3
Hajdú-Bihar;megye;184,3;31,9;216,2;153,3;369,5;52,6;58,5;14,8;49,9
Jász-Nagykun-Szolnok;megye;139,8;20,0;159,8;102,7;262,5;37,0;60,9;12,5;53,2
Szabolcs-Szatmár-Bereg;megye;171,8;46,2;218,0;168,7;386,8;74,6;56,4;21,2;44,4
Észak-Alföld;régió;495,9;98,1;594,0;424,7;1 018,8;164,3;58,3;16,5;48,7
Bács-Kiskun;megye;193,0;24,8;217,8;135,7;353,5;42,8;61,6;11,4;54,6
Békés;megye;128,8;19,9;148,8;95,8;244,6;32,8;60,8;13,4;52,7
Csongrád-Csanád;megye;161,2;17,1;178,3;99,4;277,7;23,4;64,2;9,6;58,0
Dél-Alföld;régió;483,1;61,8;544,9;330,9;875,8;99,0;62,2;11,3;55,2
Alföld és Észak;nagyrégió;1 368,9;240,3;1 609,2;1 092,3;2 701,5;400,0;59,6;14,9;50,7
Összesen;ország;3 799,9;492,0;4 291,9;2 433,0;6 724,9;789,3;63,8;11,5;56,5
2011. II. negyedév;;;;;;;;;;
Budapest;fõváros, régió;736,7;75,6;812,3;329,2;1 141,5;106,0;71,2;9,3;64,5
Pest;megye, régió;506,1;41,7;547,7;275,9;823,7;66,2;66,5;7,6;61,4
Közép-Magyarország;nagyrégió;1 242,7;117,3;1 360,0;605,2;1 965,2;172,1;69,2;8,6;63,2
Fejér;megye;177,5;18,4;195,9;96,4;292,2;28,0;67,0;9,4;60,7
Komárom-Esztergom;megye;134,6;9,7;144,2;66,0;210,2;17,3;68,6;6,7;64,0
Veszprém;megye;143,6;16,9;160,5;82,0;242,5;22,7;66,2;10,6;59,2
Közép-Dunántúl;régió;455,6;45,0;500,6;244,3;744,9;68,0;67,2;9,0;61,2
Gyõr-Moson-Sopron;megye;190,4;12,6;202,9;102,8;305,7;17,7;66,4;6,2;62,3
Vas;megye;109,5;7,8;117,3;59,9;177,2;11,5;66,2;6,7;61,8
Zala;megye;119,3;11,9;131,2;64,6;195,8;18,1;67,0;9,1;60,9
Nyugat-Dunántúl;régió;419,2;32,3;451,4;227,3;678,7;47,3;66,5;7,1;61,8
Baranya;megye;139,1;18,8;157,8;101,7;259,5;32,3;60,8;11,9;53,6
Somogy;megye;112,0;18,0;130,1;84,9;215,0;30,3;60,5;13,9;52,1
Tolna;megye;88,7;8,9;97,5;61,7;159,2;17,3;61,2;9,1;55,7
Dél-Dunántúl;régió;339,8;45,7;385,4;248,3;633,7;79,8;60,8;11,8;53,6
Dunántúl;nagyrégió;1 214,6;122,9;1 337,5;719,9;2 057,3;195,1;65,0;9,2;59,0
Borsod-Abaúj-Zemplén;megye;227,4;44,5;271,9;190,6;462,5;77,4;58,8;16,4;49,2
Heves;megye;110,6;16,2;126,8;79,2;206,0;27,4;61,6;12,8;53,7
Nógrád;megye;61,6;15,3;76,9;60,0;136,9;26,3;56,2;19,9;45,0
Észak-Magyarország;régió;399,6;76,0;475,6;329,8;805,4;131,0;59,1;16,0;49,6
Hajdú-Bihar;megye;192,1;28,6;220,7;148,7;369,5;48,1;59,7;13,0;52,0
Jász-Nagykun-Szolnok;megye;145,6;17,9;163,5;98,5;262,0;34,8;62,4;11,0;55,6
Szabolcs-Szatmár-Bereg;megye;183,6;39,9;223,5;163,2;386,7;69,5;57,8;17,9;47,5
Észak-Alföld;régió;521,2;86,4;607,7;410,5;1 018,1;152,3;59,7;14,2;51,2
Bács-Kiskun;megye;199,2;22,5;221,7;131,4;353,1;40,4;62,8;10,2;56,4
Békés;megye;129,7;17,9;147,6;96,4;244,0;31,7;60,5;12,1;53,1
Csongrád-Csanád;megye;160,4;15,1;175,5;101,8;277,3;21,8;63,3;8,6;57,8
Dél-Alföld;régió;489,2;55,6;544,8;329,6;874,4;94,0;62,3;10,2;56,0
Alföld és Észak;nagyrégió;1 410,1;218,0;1 628,1;1 069,8;2 697,9;377,4;60,3;13,4;52,3
Összesen;ország;3 867,3;458,2;4 325,6;2 394,9;6 720,5;744,7;64,4;10,6;57,5
2011. III. negyedév;;;;;;;;;;
Budapest;fõváros, régió;740,8;77,4;818,2;323,2;1 141,3;107,3;71,7;9,5;64,9
Pest;megye, régió;505,2;42,6;547,8;277,1;824,9;71,4;66,4;7,8;61,2
Közép-Magyarország;nagyrégió;1 245,9;120,0;1 366,0;600,3;1 966,3;178,7;69,5;8,8;63,4
Fejér;megye;175,5;18,8;194,3;98,0;292,3;29,2;66,5;9,7;60,0
Komárom-Esztergom;megye;136,4;10,6;147,1;62,8;209,9;17,8;70,1;7,2;65,0
Veszprém;megye;148,7;16,1;164,8;77,3;242,2;22,3;68,1;9,8;61,4
Közép-Dunántúl;régió;460,7;45,6;506,2;238,2;744,4;69,2;68,0;9,0;61,9
Gyõr-Moson-Sopron;megye;192,5;10,8;203,3;102,6;305,9;15,7;66,5;5,3;62,9
Vas;megye;110,4;8,3;118,7;58,3;177,0;12,1;67,1;7,0;62,4
Zala;megye;120,9;12,3;133,2;62,3;195,5;18,0;68,1;9,2;61,8
Nyugat-Dunántúl;régió;423,8;31,4;455,3;223,2;678,4;45,8;67,1;6,9;62,5
Baranya;megye;134,6;23,3;157,9;101,0;259,0;36,4;61,0;14,7;52,0
Somogy;megye;112,1;15,7;127,8;86,8;214,6;29,3;59,6;12,3;52,2
Tolna;megye;89,9;7,6;97,4;61,5;159,0;14,3;61,3;7,8;56,5
Dél-Dunántúl;régió;336,6;46,6;383,2;249,4;632,6;80,0;60,6;12,2;53,2
Dunántúl;nagyrégió;1 221,1;123,6;1 344,7;710,7;2 055,4;195,0;65,4;9,2;59,4
Borsod-Abaúj-Zemplén;megye;228,1;47,0;275,1;186,5;461,6;82,1;59,6;17,1;49,4
Heves;megye;112,0;16,7;128,6;76,9;205,6;26,8;62,6;13,0;54,5
Nógrád;megye;65,3;12,1;77,5;59,1;136,6;25,0;56,7;15,7;47,8
Észak-Magyarország;régió;405,5;75,8;481,2;322,5;803,8;133,8;59,9;15,7;50,4
Hajdú-Bihar;megye;197,2;28,9;226,1;143,4;369,5;47,5;61,2;12,8;53,4
Jász-Nagykun-Szolnok;megye;148,1;16,7;164,8;96,7;261,5;33,1;63,0;10,1;56,6
