20.2.1.31. A munkanélküliek száma az elõzõ munkahelyük megszûnésének oka szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Volt már korábban rendszeres munkája, elveszítette az állását, vállalkozása tönkrement;Volt már korábban rendszeres munkája, felmondott, vállalkozása megszûnt;Volt már korábban rendszeres munkája, idõszakos vagy szezonális munkája befejezõdött;Volt már korábban rendszeres munkája, közfoglalkoztatása befejezõdött;Volt már korábban rendszeres munkája, családi kötöttségek miatt;Volt már korábban rendszeres munkája, egyéb okból;Volt már korábban rendszeres munkája, összesen;Soha nem dolgozott ;Munkanélküliek összesen
Együtt ;;;;;;;;;;
2018.;I.;33,3;11,3;5,9;14,1;6,5;6,9;78,0;11,5;89,4
;II.;25,9;12,0;2,9;11,3;6,0;6,7;64,7;12,1;76,9
;III.;29,5;11,9;5,5;11,9;8,4;8,1;75,4;17,1;92,4
;IV.;23,6;11,0;5,7;9,4;8,0;6,8;64,5;11,6;76,1
2019.;I.;22,4;11,2;4,5;9,1;6,6;10,0;63,9;11,2;75,1
;II.;21,4;8,5;5,0;10,4;5,4;5,6;56,3;10,9;67,3
;III.;21,4;13,4;3,7;9,2;6,0;7,5;61,2;16,0;77,3
;IV.;24,0;13,5;3,5;6,4;5,9;6,1;59,3;12,3;71,6
2020.;I.;29,5;12,6;3,6;5,0;9,0;9,2;68,9;12,0;81,0
;II.;49,1;14,7;2,7;5,4;5,9;4,9;82,7;19,6;102,2
;III.;44,6;14,0;2,2;3,6;8,6;7,2;80,3;17,4;97,6
;IV.;45,9;10,4;2,7;4,4;7,0;7,7;78,2;14,5;92,7
2021.;I.;45,8;9,5;7,5;6,7;5,2;17,2;91,8;16,7;108,5
;II.;37,2;7,9;6,3;9,4;6,0;10,8;77,7;15,8;93,6
;III.;38,7;8,5;3,7;7,9;3,6;10,8;73,1;18,1;91,2
;IV.;35,8;9,4;7,8;9,3;4,9;8,6;75,8;14,1;89,9
2022.;I.;32,8;10,7;4,7;8,5;5,2;9,1;71,0;10,9;81,9
;II.;26,8;9,2;3,4;7,4;4,4;8,9;60,1;9,5;69,6
;III.;24,2;12,1;4,8;9,0;6,1;10,8;67,1;13,9;81,0
;IV.;;;;;;;;;
