13.1.1.9. Az ipar belföldi értékesítésének volumenindexei alágak szerint [az elõzõ év = 100,0%];;;;;;;;;;;;;;;;;
Év Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
2001;111,9;97,1;87,8;99,6;102,0;99,7;95,5;107,9;102,8;63,9;102,2;107,9;107,3;122,0;98,9;103,3;100,4
2002;95,7;102,8;92,4;99,8;98,7;95,3;103,1;104,1;97,3;79,0;103,8;137,4;113,2;106,6;101,5;103,3;102,0
2003;98,7;96,8;92,9;108,3;91,9;99,1;97,6;104,4;109,1;123,6;101,7;93,9;111,3;85,3;100,3;101,5;100,7
2004;108,1;93,3;89,6;99,3;106,3;96,6;95,0;99,6;90,8;141,8;117,8;94,9;95,0;104,2;98,1;97,5;98,0
2005;95,7;95,7;83,5;104,4;107,3;110,9;99,4;109,9;95,0;130,3;95,5;107,0;130,3;94,3;103,2;109,0;105,3
2006;118,5;99,1;93,7;102,7;110,0;95,9;95,6;113,3;103,3;127,3;94,0;102,5;112,9;110,4;105,2;98,6;102,5
2007;78,0;94,9;88,5;94,4;99,1;99,9;103,6;102,9;91,9;62,2;98,5;110,0;118,3;109,6;96,7;107,8;101,3
2008;138,1;91,7;99,0;100,1;104,4;96,0;98,4;99,0;98,9;86,1;90,2;118,0;99,7;110,9;98,2;99,8;99,2
2009;90,0;95,4;77,8;91,8;93,5;82,3;108,7;75,9;67,9;80,6;77,8;80,1;70,4;99,1;85,4;90,0;87,7
2010;77,9;97,8;98,6;111,7;93,4;114,1;79,9;95,6;104,0;137,3;99,5;77,0;97,6;90,0;99,0;94,1;96,4
2011;103,6;97,5;105,5;90,3;93,9;107,2;110,0;98,4;112,4;81,9;94,8;133,9;104,4;98,8;99,2;87,6;93,7
2012;101,7;101,2;119,8;95,4;89,9;102,1;93,7;90,9;102,7;76,9;98,1;117,0;89,9;110,0;97,0;94,7;96,0
2013;93,1;97,2;80,2;100,3;97,4;100,1;102,6;96,9;92,7;80,5;105,2;93,5;119,8;92,5;97,5;97,3;97,4
2014;97,5;104,5;103,0;113,7;99,4;109,6;115,9;99,6;109,8;88,6;98,5;93,2;126,4;86,9;104,5;95,2;100,6
2015;88,2;101,1;102,0;98,0;110,0;97,4;97,7;109,6;106,1;90,3;106,9;112,4;136,5;120,9;106,7;98,6;103,3
2016;83,4;101,6;112,7;106,1;97,3;94,7;102,3;101,2;108,2;133,7;96,9;106,5;97,5;99,8;101,8;96,6;99,8
2017;127,4;101,2;110,0;101,3;98,1;75,9;98,1;112,8;109,2;122,3;109,7;116,9;108,8;107,5;102,9;102,1;102,8
2018;165,6;105,8;95,9;109,8;106,8;109,5;103,7;125,2;109,1;95,0;105,7;100,3;108,4;119,0;109,2;98,0;105,8
2019;119,0;102,6;92,3;104,2;100,0;106,5;93,6;106,3;105,0;86,9;118,5;118,0;125,3;111,3;106,3;100,8;104,7
2020;69,9;99,3;96,4;92,8;95,0;93,4;105,3;88,2;88,1;96,3;101,2;86,5;84,2;88,3;92,3;105,5;95,9
2021;111,4;107,1;99,8;108,5;116,7;110,1;107,8;113,7;122,4;141,7;110,8;115,9;97,8;107,8;111,3;108,2;110,3
