20.2.1.19. A foglalkoztatottak száma a foglalkoztatás jellege szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;
Év;Negyedév;Alkalmazott;Nem alkalmazott összesen;Nem alkalmazott, ebbõl: társas vállalkozás tagja;Nem alkalmazott, ebbõl: egyéni vállalkozó, önálló;Nem alkalmazott, ebbõl: segítõ családtag;Összesen ;Nem besorolt ;Foglalkoztatottak összesen
Együtt ;;;;;;;;;
;IV.;4 149,4;467,6;147,5;310,1;9,9;4 617,0;3,6;4 620,6
2019.;I.;4 145,1;480,6;163,6;309,4;7,4;4 625,7;5,3;4 631,0
;II.;4 151,5;485,3;158,5;317,4;9,2;4 636,8;6,3;4 643,1
;III.;4 157,1;492,0;164,3;318,5;9,0;4 649,1;5,1;4 654,2
;IV.;4 126,6;519,4;177,3;331,0;11,0;4 646,0;4,0;4 649,9
2020.;I.;4 076,3;526,1;171,2;345,6;9,1;4 602,4;4,4;4 606,8
;II.;4 012,7;538,7;175,7;352,5;10,3;4 551,4;5,0;4 556,4
;III.;4 080,9;543,0;186,0;344,4;12,4;4 623,9;3,3;4 627,2
;IV.;4 056,6;562,8;186,4;365,1;10,8;4 619,4;3,2;4 622,6
2021.;I.;4 008,0;559,6;160,0;386,3;11,6;4 567,6;0,0;4 567,6
;II.;4 047,1;572,1;159,8;398,7;12,3;4 619,2;0,0;4 619,2
;III.;4 076,6;586,8;146,4;425,4;14,0;4 663,4;0,0;4 663,4
;IV.;4 099,2;588,7;151,7;421,6;14,7;4 687,9;0,0;4 687,9
2022.;I.;4 090,5;583,8;142,8;426,8;13,6;4 674,3;0,0;4 674,3
;II.;4 108,5;584,7;151,7;418,1;14,1;4 693,2;0,0;4 693,2
;III.;4 118,1;594,1;153,6;422,5;16,7;4 712,2;0,0;4 712,2
;IV.;;;;;;;;
Ebbõl:;;;;;;;;;
férfi;;;;;;;;;
2009.;I.;1 690,7;323,7;92,5;223,0;6,4;2 014,5;0,0;2 014,5
;II.;1 723,3;317,0;87,8;219,7;7,7;2 040,3;0,1;2 040,4
;III.;1 717,8;311,1;86,2;214,9;7,5;2 028,9;0,1;2 029,0
;IV.;1 712,2;308,0;89,2;210,2;6,4;2 020,2;0,1;2 020,2
2010.;I.;1 648,7;304,8;92,0;206,4;4,0;1 953,6;0,2;1 953,8
;II.;1 686,4;304,2;92,8;204,0;5,1;1 990,6;0,0;1 990,6
