21.1.1.18. A kormányzat végsõ fogyasztási kiadása funkciók szerint [millió Ft];;;;;;;;;;;;;
"COFOG 
funkciók";Funkciók megnevezése;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
07;Egészségügy;1 257 980;1 323 531;1 336 637;1 402 094;1 430 663;1 562 559;1 640 086;1 738 623;1 876 258;1 970 984;2 465 066;2 756 226
G0801;Szabadidõvel és sporttal kapcsolatos szolgáltatások;31 929;27 970;31 952;29 378;33 173;50 932;56 482;123 980;97 338;105 512;79 373;97 060
G0802;Kulturális szolgáltatások;151 695;149 210;136 433;150 982;164 977;160 802;166 840;206 739;223 653;247 421;238 229;262 611
G0803;Mûsorszórás és kiadói szolgáltatás;47 817;50 047;56 284;40 225;59 441;66 267;63 544;69 997;80 198;80 365;83 024;105 741
G0804;Vallásügyek és egyéb közösségi szolgáltatások;2 597;3 361;4 457;5 434;6 390;5 594;4 447;4 250;5 661;7 618;7 879;7 851
G0805;A szabadidõvel, kultúrával és vallásügyekkel kapcsolatos kutatás-fejlesztés;883;1 319;894;487;0;8;0;0;31;67;15;0
G0806;Máshová nem sorolható szabadidõ, kultúra és vallásügyek;2 171;2 346;1 644;1 129;12 659;27 177;28 986;22 257;23 086;31 362;17 966;17 733
08;Szabadidõ, kultúra és vallásügyek;237 092;234 253;231 664;227 635;276 640;310 780;320 299;427 223;429 967;472 345;426 486;490 996
G0901;Iskola-elõkészítõ  és alapfokú oktatás;347 205;336 014;354 297;252 500;348 412;440 044;509 899;554 417;567 682;584 894;593 000;629 611
G0902;Középfokú oktatás;419 306;395 258;364 462;322 524;479 935;517 132;503 604;462 930;491 438;517 913;511 835;532 361
G0903;Középfok feletti, nem felsõfokú oktatás;7 436;7 657;7 243;6 892;829;708;254;1 225;334;802;559;423
G0904;Felsõfokú oktatás;149 386;144 640;145 517;130 198;153 842;135 499;164 857;177 474;199 015;234 767;257 300;452 420
G0905;Oktatási szinthez nem kapcsolódó oktatás;11 828;15 737;9 078;93 825;23 892;8 135;7 908;13 141;17 902;16 156;24 229;37 349
G0906;Oktatáshoz kapcsolódó kiegészítõ szolgáltatások;146 348;150 712;145 312;130 033;134 097;146 829;137 013;189 699;197 799;218 282;194 117;202 045
G0907;Oktatással kapcsolatos kutatás-fejlesztés;0;0;0;0;15 203;19 482;13 671;11 732;12 118;10 848;9 706;6 855
G0908;Máshová nem sorolható oktatás;29 238;25 513;18 123;96 819;74 863;43 534;33 591;58 508;65 760;88 321;92 415;122 221
09;Oktatás;1 110 747;1 075 531;1 044 032;1 032 791;1 231 073;1 311 363;1 370 797;1 469 126;1 552 048;1 671 983;1 683 161;1 983 285
G1001;Betegség és rokkantság;34 398;29 489;30 684;35 340;34 126;39 792;40 532;45 693;49 634;52 429;57 648;58 991
G1002;Idõskor;66 970;64 626;57 978;57 645;66 969;66 778;73 642;76 711;80 038;84 119;85 110;91 517
G1003;Hátramaradottak;0;0;0;0;0;0;0;0;0;0;0;0
G1004;Család és gyermekek;84 966;86 738;88 075;98 225;94 322;100 066;115 576;138 174;156 954;175 139;173 975;193 185
G1005;Munkanélküliség;4 434;3 947;1 797;1 310;6 979;13 009;0;0;0;118;650;894
G1006;Szociális jellegû lakásügyek;38 496;22 894;24 050;31 451;26 222;24 454;22 376;24 064;24 274;28 622;31 218;29 775
G1007;Máshová nem sorolható társadalmi kirekesztés;146 859;130 038;109 169;115 583;130 353;129 473;118 343;126 605;122 855;136 439;124 539;141 221
G1008;Szociális védelemmel kapcsolatos kutatás-fejlesztés;590;668;615;367;20;0;0;2;436;587;719;610
G1009;Máshová nem sorolható szociális védelem;42 793;38 306;34 539;51 530;65 932;67 582;67 585;71 536;73 872;79 878;79 347;79 203
10;Szociális védelem;419 506;376 706;346 907;391 451;424 923;441 154;438 054;482 785;508 063;557 331;553 206;595 395
;Összesen;5 881 918;5 878 101;5 786 563;5 986 308;6 559 134;6 893 002;7 227 251;7 930 679;8 543 099;9 564 797;10 315 669;11 513 630
