19.1.3.5. A burgonya termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;695;695;684;560;693;763;655;669;757;722;672;816;665;604;751;536;767;653;698;751;886
Belgium;2 922;2 564;2 909;2 522;3 230;2 781;2 593;3 190;2 943;3 296;3 456;4 129;2 930;3 428;4 381;3 690;3 403;4 417;3 045;4 028;3 929
Bulgária;398;600;627;450;573;375;386;299;353;232;251;232;151;187;133;165;127;228;262;197;192
Ciprus;117;121;149;128;132;153;128;156;115;113;82;126;82;98;115;96;123;110;105;82;80
Csehország;1 476;1 130;901;683;862;1 013;692;821;770;753;665;805;662;536;698;505;700;689;584;623;696
Dánia;1 645;1 543;1 504;1 412;1 629;1 576;1 361;1 626;1 693;1 618;1 358;1 620;1 664;1 646;1 733;1 772;1 954;2 171;1 807;2 409;2 763
Észtország;472;343;211;244;167;210;153;192;125;139;163;165;139;128;117;117;90;91;58;80;88
Finnország;785;733;780;617;619;743;576;702;684;755;659;673;490;622;600;532;588;612;600;619;624
Franciaország;6 440;6 050;6 874;6 355;7 255;6 605;6 363;7 189;6 818;7 119;6 622;7 440;6 376;6 957;8 085;7 120;6 955;8 547;7 860;8 560;8 692
Görögország;1 012;958;901;954;925;892;902;950;913;941;923;902;876;894;615;581;492;500;466;470;451
Hollandia;8 227;7 115;7 363;6 469;7 488;6 777;6 240;6 870;6 923;7 181;6 844;7 333;6 766;6 577;7 100;6 652;6 534;7 392;6 025;6 961;7 020
Horvátország;554;670;736;375;247;273;275;296;256;270;179;168;151;163;161;171;194;156;182;173;174
Írország;455;478;519;488;552;409;383;399;345;336;420;356;232;410;383;360;352;412;273;382;300
Lengyelország;24 232;19 379;15 523;13 732;13 999;10 369;8 982;11 791;10 462;9 703;8 448;9 362;9 092;7 290;7 689;6 314;8 872;9 172;7 312;6 482;7 849
Lettország;747;615;768;739;628;658;551;642;673;525;484;499;539;496;506;497;492;408;196;224;181
Litvánia;1 792;1 054;1 531;1 445;1 021;895;457;576;716;663;477;588;550;427;469;399;351;237;290;330;297
Luxemburg;28;23;20;18;22;19;16;20;22;20;20;20;21;18;19;13;19;21;16;15;16
Magyarország;864;908;752;582;784;657;564;563;684;561;440;600;548;487;567;452;429;403;328;344;270
Málta;35;25;28;23;23;20;18;14;19;10;16;19;13;13;13;8;7;9;9;9;8
Németország;13 193;11 503;11 114;9 916;13 044;11 624;10 031;11 644;11 369;11 683;10 143;11 837;10 666;9 670;11 607;10 370;10 772;11 720;8 921;10 602;11 715
Olaszország;2 053;1 957;1 855;1 610;1 822;1 754;1 783;1 782;1 604;1 753;1 558;1 547;1 486;1 272;1 365;1 369;1 369;1 347;1 308;1 338;1 435
Portugália;790;738;811;738;742;548;595;621;528;468;384;390;446;488;540;487;451;515;432;424;410
Románia;3 470;3 997;4 078;3 947;4 230;3 739;4 016;3 712;3 649;4 004;3 284;4 077;2 465;3 290;3 519;2 700;2 690;3 117;3 023;2 627;2 699
Spanyolország;3 078;2 992;3 078;2 665;2 774;2 563;2 515;2 480;2 145;2 719;2 327;2 455;2 192;2 200;2 544;2 284;2 246;2 239;2 011;2 259;2 052
Svédország;980;925;914;857;979;947;778;789;853;858;816;882;805;806;822;803;863;853;723;847;877
Szlovákia;419;323;484;392;382;301;263;288;245;216;126;217;166;164;179;145;177;150;170;182;166
Szlovénia;186;148;166;108;171;145;107;131;100;103;101;96;79;62;97;91;85;77;73;66;89
EU27_2020;77 063;67 590;65 280;58 030;64 992;56 809;51 381;58 411;55 764;56 761;50 916;57 355;50 251;48 932;54 808;48 229;51 101;56 246;46 777;51 085;53 959
