20.2.1.12. A munkavállalási korú népesség gazdasági aktivitása nemenként, negyedévente;;;;;;;;;;
Év;Negyedév;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;Munkavállalási korú népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;II.;3 963,6;437,8;4 401,3;1 867,6;6 268,9;755,5;70,2;9,9;63,2
;III.;4 016,8;426,8;4 443,6;1 805,6;6 249,2;719,4;71,1;9,6;64,3
;IV.;4 032,8;395,4;4 428,2;1 802,0;6 230,2;679,5;71,1;8,9;64,7
2014.;I.;4 104,1;362,3;4 466,5;1 744,2;6 210,6;668,6;71,9;8,1;66,1
;II.;4 131,2;357,3;4 488,5;1 703,3;6 191,8;623,8;72,5;8,0;66,7
;III.;4 200,2;329,0;4 529,3;1 650,3;6 179,5;576,5;73,3;7,3;68,0
;IV.;4 184,8;315,9;4 500,7;1 660,1;6 160,8;555,8;73,1;7,0;67,9
2015.;I.;4 184,8;346,4;4 531,2;1 740,7;6 271,9;593,5;72,2;7,6;66,7
;II.;4 266,6;308,8;4 575,4;1 687,6;6 263,1;524,3;73,1;6,7;68,1
;III.;4 328,6;290,6;4 619,3;1 643,2;6 262,4;493,4;73,8;6,3;69,1
;IV.;4 323,1;279,5;4 602,6;1 640,3;6 242,9;481,8;73,7;6,1;69,2
2016.;I.;4 320,6;271,5;4 592,1;1 638,6;6 230,8;481,0;73,7;5,9;69,3
;II.;4 401,6;232,9;4 634,5;1 585,8;6 220,3;408,9;74,5;5,0;70,8
;III.;4 434,5;224,1;4 658,6;1 547,2;6 205,8;389,3;75,1;4,8;71,5
;IV.;4 458,0;202,3;4 660,3;1 538,8;6 199,1;362,8;75,2;4,3;71,9
2017.;I.;4 442,8;206,0;4 648,8;1 669,1;6 317,9;387,8;73,6;4,4;70,3
;II.;4 481,8;195,0;4 676,8;1 613,6;6 290,4;357,4;74,3;4,2;71,2
;III.;4 515,3;186,8;4 702,1;1 564,4;6 266,5;337,1;75,0;4,0;72,1
;IV.;4 517,3;174,6;4 691,9;1 559,2;6 251,1;312,1;75,1;3,7;72,3
2018.;I.;4 500,1;177,2;4 677,3;1 557,5;6 234,8;315,3;75,0;3,8;72,2
;II.;4 530,5;164,8;4 695,3;1 526,0;6 221,3;303,4;75,5;3,5;72,8
;III.;4 543,9;177,7;4 721,5;1 483,4;6 204,9;305,7;76,1;3,8;73,2
;IV.;4 536,4;164,4;4 700,8;1 501,0;6 201,8;300,2;75,8;3,5;73,1
2019.;I.;4 564,0;164,1;4 728,1;1 612,3;6 340,4;296,6;74,6;3,5;72,0
;II.;4 566,1;154,5;4 720,6;1 613,5;6 334,0;290,7;74,5;3,3;72,1
;III.;4 575,8;160,5;4 736,3;1 587,4;6 323,7;295,4;74,9;3,4;72,4
;IV.;4 567,9;152,3;4 720,2;1 590,1;6 310,3;285,8;74,8;3,2;72,4
2020.;I.;4 527,4;171,0;4 698,4;1 599,0;6 297,4;330,7;74,6;3,6;71,9
;II.;4 464,2;213,8;4 678,0;1 608,0;6 286,1;428,7;74,4;4,6;71,0
;III.;4 544,7;206,0;4 750,7;1 523,9;6 274,6;368,5;75,7;4,3;72,4
;IV.;4 537,9;193,5;4 731,5;1 531,5;6 263,0;357,8;75,5;4,1;72,5
2021.;I.;4 476,3;210,4;4 686,7;1 548,5;6 235,2;421,2;75,2;4,5;71,8
;II.;4 524,4;195,1;4 719,5;1 492,4;6 211,8;356,9;76,0;4,1;72,8
;III.;4 560,8;187,3;4 748,0;1 448,9;6 196,9;315,1;76,6;3,9;73,6
