21.1.1.39. A háztartások fogyasztási kiadása rendeltetés szerinti (COICOP) bontásban folyó áron [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;
COICOP-csoport;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
04.4 Vízellátás és egyéb lakásszolgáltatás;37 884;47 475;56 736;63 982;78 223;94 829;103 107;117 983;144 637;178 384;193 870;197 519;213 649;236 224;257 794;269 152;284 427;307 940;297 831;298 450;306 874;303 737;302 490;308 128;311 168;319 129;326 041
04.5  Villamos energia, gáz és egyéb tüzelõanyagok;164 010;222 931;284 439;329 058;374 983;387 595;438 822;493 123;561 850;613 347;660 489;697 018;793 537;961 545;1 038 550;1 093 003;1 133 134;1 159 338;1 068 300;890 521;895 034;925 483;957 792;930 864;942 959;975 124;1 047 709
05. Lakberendezés, lakásfelszerelés, rendszeres lakáskarbantartás;218 798;252 687;305 884;369 511;416 927;477 687;536 923;589 612;670 359;779 435;766 108;770 620;757 990;735 777;667 808;661 651;654 910;652 859;663 607;731 596;779 516;851 758;940 953;1 056 271;1 211 012;1 293 846;1 379 655
05.1 Bútorok és lakberendezési cikkek, szõnyegek és más padlóburkoló anyagok;56 329;65 266;86 031;111 742;127 676;145 234;161 129;176 523;203 486;275 058;255 556;255 789;263 113;248 021;223 489;202 665;192 189;175 800;162 554;172 939;171 734;200 245;234 333;278 310;334 689;358 875;375 829
05.2 Lakástextíliák;10 815;14 015;16 049;19 363;22 750;27 443;31 722;38 133;45 703;49 918;50 749;50 801;47 480;47 227;49 933;51 039;55 723;63 214;66 792;81 501;87 588;93 092;105 193;122 562;132 166;130 682;150 002
05.3 Háztartási gépek és készülékek;74 683;79 637;91 602;109 030;120 102;139 750;157 959;177 281;199 684;212 287;220 458;207 741;194 642;183 570;135 794;145 611;151 922;159 142;165 355;160 717;171 834;196 683;222 195;253 145;300 900;322 630;339 159
05.4 Háztartási üvegáruk, edények és konyhafelszerelés;21 799;26 661;32 757;36 971;39 253;47 407;56 968;59 785;66 944;74 875;71 628;79 936;76 605;83 161;81 381;74 821;71 796;67 972;67 486;88 702;101 918;101 666;101 796;105 622;116 566;119 524;132 736
05.5 Barkács- és kerti szerszámok, eszközök;13 889;18 193;20 603;23 631;27 850;30 496;34 798;37 812;47 617;54 063;52 264;55 739;49 447;51 209;44 085;44 476;41 590;44 942;50 266;50 163;54 417;56 938;60 899;67 390;78 831;81 667;88 305
05.6 Rendszeres lakáskarbantartáshoz igénybe vett termékek és szolgáltatások    ;41 283;48 915;58 842;68 774;79 296;87 357;94 347;100 078;106 925;113 234;115 453;120 614;126 703;122 589;133 126;143 039;141 690;141 789;151 154;177 574;192 025;203 134;216 537;229 242;247 860;280 468;293 624
06. Egészségügy;98 789;123 752;156 524;186 716;235 113;283 361;348 483;383 147;425 707;448 722;492 961;512 805;531 464;562 691;584 810;635 986;676 142;682 177;707 797;746 941;758 625;801 843;831 848;878 460;951 492;1 018 922;1 115 045
06.1 Gyógyszerek, egészségügyi termékek, gyógyászati segédeszközök;43 201;54 144;68 496;79 114;106 399;122 591;144 221;158 875;185 983;201 317;227 716;231 897;280 036;306 563;312 452;334 149;365 263;349 653;368 165;386 982;388 993;400 854;409 438;425 531;467 318;525 308;555 680
06.2 Járóbeteg-ellátás;42 597;52 635;67 381;82 173;99 372;127 216;167 037;182 855;182 865;189 894;205 304;224 335;205 042;206 451;220 713;241 470;254 154;269 701;274 044;292 363;303 220;333 320;345 205;358 899;389 412;416 457;456 059
06.3 Kórházi szolgáltatások;12 991;16 973;20 647;25 429;29 342;33 554;37 225;41 417;56 859;57 511;59 941;56 573;46 386;49 677;51 645;60 367;56 725;62 823;65 588;67 596;66 412;67 669;77 205;94 030;94 762;77 157;103 306
07. Közlekedés és szállítás;404 813;514 403;621 951;748 193;951 470;1 145 175;1 280 570;1 400 849;1 603 764;1 720 120;1 908 426;2 055 973;2 151 422;2 177 534;1 921 395;1 783 890;2 000 974;2 047 883;2 078 406;2 304 949;2 241 302;2 363 068;2 529 797;2 797 016;3 002 459;2 650 176;3 051 702
07.1 Jármûvásárlás;115 985;149 315;173 922;224 692;302 161;341 286;395 649;478 809;661 915;666 836;707 020;719 079;734 529;693 995;459 738;360 859;375 958;387 678;402 862;462 436;476 988;546 271;555 864;647 501;761 781;766 770;798 694
07.2 Személyszállító jármûvek üzemeltetése;201 209;256 770;316 849;372 198;468 609;603 203;674 221;709 449;715 933;806 893;941 562;1 047 921;1 107 874;1 199 350;1 206 022;1 178 896;1 338 656;1 394 739;1 401 170;1 539 600;1 447 874;1 491 382;1 624 512;1 784 021;1 866 476;1 663 242;2 024 511
07.3 Közlekedési és szállítási szolgáltatások;87 619;108 318;131 180;151 303;180 700;200 686;210 700;212 591;225 916;246 391;259 844;288 973;309 019;284 189;255 635;244 135;286 360;265 466;274 374;302 913;316 440;325 415;349 421;365 494;374 202;220 164;228 497
08. Hírközlés;60 440;95 546;134 475;182 551;248 912;298 856;370 187;438 947;453 895;463 080;518 843;518 052;521 037;554 260;518 443;548 420;565 887;592 863;608 724;626 935;666 096;701 695;721 597;672 727;673 920;702 797;777 558
08.1 Postai szolgáltatás ;2 509;3 036;3 433;3 663;3 719;4 136;4 418;4 815;5 623;6 668;7 368;6 194;8 132;8 950;10 184;10 451;10 416;10 834;10 346;10 469;10 173;10 310;10 309;10 037;10 011;13 204;11 484
08.2 Telefon- és egyéb hírközlõ berendezés;3 103;3 878;5 665;7 183;8 102;10 417;12 263;13 378;18 815;22 142;26 412;26 703;23 393;22 788;19 797;17 654;18 176;18 416;18 767;19 808;22 346;34 373;56 707;63 004;75 308;93 693;101 764
08.3 Telefonálás és egyéb hírközlési szolgáltatás;54 828;88 632;125 377;171 705;237 091;284 303;353 506;420 754;429 457;434 270;485 063;485 155;489 512;522 522;488 462;520 315;537 295;563 613;579 611;596 658;633 577;657 012;654 581;599 686;588 601;595 900;664 310
09. Szabadidõ és kultúra;269 636;337 036;407 142;462 895;535 896;623 694;725 978;804 929;910 483;976 352;1 065 250;1 125 967;1 158 357;1 148 614;1 108 778;1 120 598;1 126 314;1 140 583;1 112 482;1 186 742;1 246 254;1 334 438;1 449 152;1 598 103;1 780 703;1 684 079;1 934 746
09.1 Audiovizuális, fotooptikai és információfeldolgozó berendezések;62 294;73 309;89 516;105 231;112 723;133 060;156 876;167 355;205 370;215 228;217 479;223 802;213 862;193 157;150 354;141 793;136 067;141 065;141 246;148 467;153 208;163 633;174 025;193 611;204 915;210 821;229 970
09.2 Egyéb szabadidõs és kulturális tevékenységet szolgáló tartós javak;2 039;2 427;2 726;3 193;3 777;4 963;5 884;6 645;7 174;5 481;4 887;6 824;4 476;3 944;4 205;3 428;4 682;3 031;6 066;1 265;1 230;2 181;1 855;2 006;2 736;5 152;4 055
09.3 Játékok, hobbi- és sportcikkek, kertészkedés, hobbiállat;46 265;63 976;73 123;77 257;91 231;90 597;104 347;112 234;132 989;152 007;164 963;184 052;202 772;208 974;213 920;223 885;229 588;231 751;223 232;269 049;299 473;335 210;372 826;426 389;498 079;575 445;644 139
