17.2.1.1. Summary data of external trade in goods monthly;;;;;;;
Year;Period, quarters;Value, at current prices billion HUF;Value, at current prices million USD;Value, at current prices million EUR;Value index calculated from data in HUF same period of previous year = 100.0%;Value index calculated from data in USD same period of previous year = 100.0%;Value index calculated from data in EUR same period of previous year = 100.0%
;May;4 699;13 110;12 324;139,2;114,1;130,0
;June;4 745;12 706;12 039;129,0;100,0;114,6
;July;4 344;11 083;10 802;127,6;97,7;112,8
;August;4 589;11 618;11 442;155,1;118,0;136,8
;September;5 424;13 256;13 367;148,7;108,8;129,0
;October;5 132;12 171;12 365;139,8;102,4;121,0
;November;;;;;;
;December;;;;;;
Balance;;;;;;;
2018.;January;187;750;607;..;..;..
;February;263;1 041;842;..;..;..
;March;218;859;697;..;..;..
;April;150;593;483;..;..;..
;May;157;567;491;..;..;..
;June;320;1 152;988;..;..;..
;July;84;305;257;..;..;..
;August;-21;-76;-62;..;..;..
;September;60;216;181;..;..;..
;October;70;229;214;..;..;..
;November;142;497;440;..;..;..
;December;124;434;382;..;..;..
2019.;January;111;405;352;..;..;..
;February;234;836;737;..;..;..
;March;181;649;576;..;..;..
;April;67;201;186;..;..;..
;May;196;659;595;..;..;..
;June;162;584;510;..;..;..
;July;26;88;78;..;..;..
;August;6;16;15;..;..;..
;September;161;520;477;..;..;..
;October;125;419;380;..;..;..
;November;111;360;329;..;..;..
;December;32;111;99;..;..;..
2020.;January;88;281;255;..;..;..
;February;381;1 227;1 127;..;..;..
;March;118;375;333;..;..;..
;April;-194;-616;-558;..;..;..
;May;71;232;211;..;..;..
;June;251;843;727;..;..;..
;July;69;224;186;..;..;..
;August;119;421;344;..;..;..
;September;434;1 393;1 188;..;..;..
;October;333;1 085;920;..;..;..
;November;215;717;607;..;..;..
;December;99;357;280;..;..;..
2021.;January;334;1 135;933;..;..;..
;February;270;911;754;..;..;..
;March;300;969;817;..;..;..
;April;111;384;315;..;..;..
;May;15;74;55;..;..;..
;June;191;653;546;..;..;..
;July;-58;-213;-175;..;..;..
;August;-258;-845;-717;..;..;..
;September;-28;-94;-82;..;..;..
;October;-148;-497;-421;..;..;..
;November;-15;-58;-43;..;..;..
;December;-131;-405;-358;..;..;..
2022.;January;-108;-318;-284;..;..;..
;February;-40;-120;-108;..;..;..
