20.2.1.5. A 15–64 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;"Ebbõl: Potenciális munkaerõ-
tartalék, ezer fõ";Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;szeptember–november;2 366,7;109,8;2 476,6;722,7;3 199,3;185,0;77,4;4,4;74,0
;október–december;2 364,9;109,9;2 474,8;722,8;3 197,6;183,8;77,4;4,4;74,0
;november–2017. január;2 359,0;110,6;2 469,7;726,1;3 195,8;188,0;77,3;4,5;73,8
;december–2017. február;2 351,5;111,0;2 462,5;729,7;3 192,3;191,6;77,1;4,5;73,7
2017.;január–március;2 352,9;108,7;2 461,6;727,4;3 189,0;193,8;77,2;4,4;73,8
;február–április;2 357,7;106,6;2 464,3;721,0;3 185,3;186,9;77,4;4,3;74,0
;március–május;2 366,8;103,8;2 470,7;712,0;3 182,6;181,6;77,6;4,2;74,4
;április–június;2 389,3;100,1;2 489,4;690,2;3 179,7;175,8;78,3;4,0;75,1
;május–július;2 402,0;98,6;2 500,6;676,4;3 177,0;175,6;78,7;3,9;75,6
;június–augusztus;2 404,5;94,1;2 498,6;676,3;3 174,9;168,1;78,7;3,8;75,7
;július–szeptember;2 408,6;90,8;2 499,5;673,3;3 172,7;161,1;78,8;3,6;75,9
;augusztus–október;2 405,3;87,1;2 492,3;678,3;3 170,6;154,0;78,6;3,5;75,9
;szeptember–november;2 412,3;86,6;2 499,0;669,5;3 168,5;150,9;78,9;3,5;76,1
;október–december;2 408,5;83,0;2 491,5;674,9;3 166,4;147,2;78,7;3,3;76,1
;november–2018. január;2 402,1;83,7;2 485,8;678,4;3 164,2;153,7;78,6;3,4;75,9
;december–2018. február;2 401,4;87,0;2 488,3;676,2;3 164,5;157,8;78,6;3,5;75,9
2018.;január–március;2 398,8;88,3;2 487,1;677,8;3 164,9;152,9;78,6;3,6;75,8
;február–április;2 406,2;86,9;2 493,1;672,1;3 165,2;147,7;78,8;3,5;76,0
;március–május;2 406,3;87,3;2 493,5;671,1;3 164,6;147,4;78,8;3,5;76,0
;április–június;2 409,7;88,1;2 497,9;666,5;3 164,4;146,5;78,9;3,5;76,2
;május–július;2 413,9;86,6;2 500,5;663,7;3 164,2;142,9;79,0;3,5;76,3
;június–augusztus;2 419,6;86,0;2 505,6;656,9;3 162,4;142,3;79,2;3,4;76,5
;július–szeptember;2 422,2;85,6;2 507,8;652,6;3 160,4;147,7;79,3;3,4;76,6
;augusztus–október;2 431,2;84,5;2 515,7;642,9;3 158,6;146,3;79,6;3,4;77,0
;szeptember–november;2 424,5;87,2;2 511,7;645,1;3 156,8;150,5;79,6;3,5;76,8
;október–december;2 415,5;90,0;2 505,5;649,5;3 155,0;156,7;79,4;3,6;76,6
;november–2019. január;2 413,7;96,1;2 509,8;643,3;3 153,1;160,6;79,6;3,8;76,6
;december–2019. február;2 430,1;92,3;2 522,4;630,1;3 152,5;156,7;80,0;3,7;77,1
2019.;január–március;2 434,2;89,6;2 523,8;628,0;3 151,8;153,3;80,1;3,5;77,2
;február–április;2 429,4;88,5;2 517,9;633,2;3 151,2;153,1;79,9;3,5;77,1
;március–május;2 432,3;89,7;2 522,1;629,4;3 151,4;152,9;80,0;3,6;77,2
;április–június;2 429,0;87,3;2 516,3;635,6;3 152,0;152,1;79,8;3,5;77,1
;május–július;2 433,9;86,5;2 520,4;632,2;3 152,7;153,0;79,9;3,4;77,2
;június–augusztus;2 441,6;80,7;2 522,3;628,9;3 151,2;146,7;80,0;3,2;77,5
;július–szeptember;2 440,2;83,4;2 523,6;626,1;3 149,7;143,9;80,1;3,3;77,5
;augusztus–október;2 438,3;83,0;2 521,3;627,0;3 148,3;139,7;80,1;3,3;77,4
;szeptember–november;2 438,9;83,0;2 521,9;624,9;3 146,8;138,2;80,1;3,3;77,5
;október–december;2 440,1;81,1;2 521,1;624,3;3 145,5;141,0;80,2;3,2;77,6
;november–2020. január;2 425,4;85,4;2 510,8;633,2;3 144,0;151,7;79,9;3,4;77,1
;december–2020. február;2 417,6;86,3;2 503,9;638,3;3 142,3;155,9;79,7;3,4;76,9
2020.;január–március;2 414,8;91,4;2 506,2;634,5;3 140,6;167,2;79,8;3,6;76,9
;február–április;2 403,6;91,0;2 494,6;644,5;3 139,2;179,6;79,5;3,6;76,6
;március–május;2 385,3;103,5;2 488,8;649,2;3 138,0;196,2;79,3;4,2;76,0
;április–június;2 385,2;111,8;2 497,0;639,7;3 136,7;205,1;79,6;4,5;76,0
;május–július;2 398,8;117,6;2 516,5;618,9;3 135,4;203,1;80,3;4,7;76,5
;június–augusztus;2 421,9;108,3;2 530,2;603,9;3 134,1;189,9;80,7;4,3;77,3
;július–szeptember;2 431,3;108,7;2 540,0;593,0;3 133,0;183,3;81,1;4,3;77,6
;augusztus–október;2 432,1;105,8;2 537,9;593,9;3 131,8;176,2;81,0;4,2;77,7
;szeptember–november;2 434,0;108,1;2 542,1;588,4;3 130,5;178,2;81,2;4,3;77,7
;október–december;2 432,6;102,0;2 534,7;594,5;3 129,1;175,8;81,0;4,0;77,7
;november–2021. január;2 424,8;107,0;2 531,7;595,8;3 127,5;188,6;81,0;4,2;77,5
;december–2021. február;2 407,8;109,6;2 517,4;604,3;3 121,7;202,5;80,6;4,4;77,1
2021.;január–március;2 407,0;104,0;2 510,9;604,9;3 115,8;193,2;80,6;4,1;77,2
;február–április;2 400,6;103,8;2 504,4;605,2;3 109,7;189,9;80,5;4,1;77,2
;március–május;2 405,4;100,1;2 505,6;601,7;3 107,3;183,5;80,6;4,0;77,4
;április–június;2 409,8;103,7;2 513,4;590,2;3 103,7;181,3;81,0;4,1;77,6
;május–július;2 424,9;101,6;2 526,5;573,8;3 100,3;170,5;81,5;4,0;78,2
;június–augusztus;2 423,6;102,7;2 526,3;570,9;3 097,2;164,4;81,6;4,1;78,3
;július–szeptember;2 422,3;97,1;2 519,4;575,9;3 095,3;158,8;81,4;3,9;78,3
;augusztus–október;2 431,4;89,4;2 520,9;572,5;3 093,4;149,2;81,5;3,5;78,6
;szeptember–november;2 427,6;85,7;2 513,3;578,1;3 091,4;144,4;81,3;3,4;78,5
;október–december;2 429,4;89,1;2 518,5;570,7;3 089,2;145,8;81,5;3,5;78,6
;november–2022. január;2 420,5;94,2;2 514,6;572,0;3 086,7;153,3;81,5;3,7;78,4
;december–2022. február;2 424,1;96,4;2 520,4;566,2;3 086,6;151,4;81,7;3,8;78,5
2022.;január–március;2 424,0;98,3;2 522,3;564,7;3 087,1;151,2;81,7;3,9;78,5
;február–április;2 427,5;94,1;2 521,6;566,5;3 088,2;140,8;81,7;3,7;78,6
;március–május;2 428,0;91,0;2 519,0;568,1;3 087,1;137,4;81,6;3,6;78,7
;április–június;2 432,5;85,8;2 518,3;567,7;3 086,0;133,4;81,6;3,4;78,8
;május–július;2 438,4;86,5;2 524,9;560,1;3 085,0;132,1;81,8;3,4;79,0
;június–augusztus;2 439,4;91,1;2 530,5;553,6;3 084,0;134,8;82,1;3,6;79,1
;július–szeptember;2 439,2;96,2;2 535,4;547,6;3 083,1;141,5;82,2;3,8;79,1
;augusztus–október;2 435,1;92,1;2 527,2;554,9;3 082,1;143,1;82,0;3,6;79,0
;szeptember–november;;;;;;;;;
;október–december;;;;;;;;;
;november–2023. január;;;;;;;;;
;december–2023. február;;;;;;;;;
Nõ;;;;;;;;;;
2009.;január–március;1 850,8;178,2;2 029,0;1 425,3;3 454,2;300,6;58,7;8,8;53,6
;február–április;1 847,5;182,5;2 030,1;1 423,2;3 453,2;304,9;58,8;9,0;53,5
;március–május;1 855,1;179,1;2 034,2;1 417,9;3 452,2;304,5;58,9;8,8;53,7
;április–június;1 857,2;176,2;2 033,3;1 417,8;3 451,1;301,0;58,9;8,7;53,8
;május–július;1 868,5;178,0;2 046,5;1 403,6;3 450,1;303,1;59,3;8,7;54,2
;június–augusztus;1 865,0;185,5;2 050,4;1 398,6;3 449,1;314,7;59,4;9,0;54,1
;július–szeptember;1 859,2;191,5;2 050,8;1 397,2;3 448,0;324,4;59,5;9,3;53,9
;augusztus–október;1 860,2;191,7;2 051,9;1 395,1;3 447,0;326,7;59,5;9,3;54,0
;szeptember–november;1 856,3;195,1;2 051,5;1 394,5;3 445,9;330,1;59,5;9,5;53,9
;október–december;1 859,1;195,3;2 054,3;1 390,5;3 444,9;329,4;59,6;9,5;54,0
;november–2010. január;1 847,4;202,4;2 049,8;1 394,1;3 443,8;336,4;59,5;9,9;53,6
;december–2010. február;1 852,0;205,5;2 057,5;1 385,3;3 442,8;338,8;59,8;10,0;53,8
2010.;január–március;1 854,9;210,9;2 065,8;1 375,9;3 441,8;345,5;60,0;10,2;53,9
;február–április;1 859,6;210,1;2 069,7;1 371,0;3 440,7;344,0;60,2;10,2;54,0
;március–május;1 859,8;209,2;2 069,1;1 370,6;3 439,7;344,7;60,2;10,1;54,1
;április–június;1 866,7;203,6;2 070,3;1 368,3;3 438,6;338,1;60,2;9,8;54,3
;május–július;1 869,0;204,1;2 073,1;1 364,5;3 437,6;339,1;60,3;9,8;54,4
;június–augusztus;1 867,1;206,3;2 073,4;1 363,2;3 436,6;340,2;60,3;9,9;54,3
;július–szeptember;1 872,9;209,0;2 081,9;1 353,7;3 435,5;345,1;60,6;10,0;54,5
;augusztus–október;1 883,3;205,1;2 088,4;1 346,1;3 434,5;338,5;60,8;9,8;54,8
;szeptember–november;1 881,3;206,5;2 087,8;1 345,6;3 433,4;340,7;60,8;9,9;54,8
;október–december;1 870,8;205,8;2 076,6;1 355,8;3 432,4;346,9;60,5;9,9;54,5
;november–2011. január;1 862,2;207,5;2 069,7;1 361,7;3 431,4;349,7;60,3;10,0;54,3
;december–2011. február;1 852,8;212,5;2 065,3;1 365,1;3 430,3;360,0;60,2;10,3;54,0
2011.;január–március;1 848,7;217,1;2 065,8;1 363,5;3 429,3;364,1;60,2;10,5;53,9
;február–április;1 851,3;215,9;2 067,3;1 361,0;3 428,2;361,2;60,3;10,4;54,0
;március–május;1 861,4;210,3;2 071,6;1 355,6;3 427,2;351,3;60,4;10,1;54,3
;április–június;1 862,6;213,1;2 075,7;1 350,4;3 426,2;355,4;60,6;10,3;54,4
;május–július;1 870,5;213,8;2 084,3;1 340,8;3 425,1;359,6;60,9;10,3;54,6
;június–augusztus;1 874,5;212,6;2 087,2;1 336,9;3 424,1;362,2;61,0;10,2;54,7
;július–szeptember;1 873,2;212,9;2 086,2;1 336,9;3 423,0;363,8;60,9;10,2;54,7
;augusztus–október;1 880,9;218,3;2 099,1;1 322,9;3 422,0;367,3;61,3;10,4;55,0
;szeptember–november;1 885,8;213,7;2 099,4;1 320,9;3 420,3;364,7;61,4;10,2;55,1
;október–december;1 878,3;212,0;2 090,3;1 327,7;3 418,0;363,8;61,2;10,1;55,0
;november–2012. január;1 864,7;216,9;2 081,6;1 333,6;3 415,2;374,2;61,0;10,4;54,6
;december–2012. február;1 859,1;221,0;2 080,2;1 332,6;3 412,7;374,3;61,0;10,6;54,5
2012.;január–március;1 856,7;225,0;2 081,7;1 328,9;3 410,6;378,4;61,0;10,8;54,4
;február–április;1 861,9;224,7;2 086,6;1 322,0;3 408,6;383,7;61,2;10,8;54,6
;március–május;1 879,7;216,3;2 096,0;1 310,7;3 406,7;376,6;61,5;10,3;55,2
;április–június;1 893,0;204,7;2 097,7;1 307,0;3 404,7;366,5;61,6;9,8;55,6
;május–július;1 907,7;199,5;2 107,2;1 295,6;3 402,8;366,2;61,9;9,5;56,1
;június–augusztus;1 908,4;202,3;2 110,7;1 290,2;3 400,9;376,5;62,1;9,6;56,1
;július–szeptember;1 927,0;202,4;2 129,4;1 269,6;3 399,0;372,5;62,6;9,5;56,7
;augusztus–október;1 921,0;204,9;2 125,9;1 271,3;3 397,1;371,5;62,6;9,6;56,5
;szeptember–november;1 913,0;208,4;2 121,3;1 273,9;3 395,3;377,7;62,5;9,8;56,3
;október–december;1 903,2;207,7;2 110,9;1 282,6;3 393,4;384,6;62,2;9,8;56,1
;november–2013. január;1 889,1;208,5;2 097,6;1 293,9;3 391,5;390,7;61,8;9,9;55,7
;december–2013. február;1 876,5;209,5;2 086,0;1 303,3;3 389,3;389,4;61,5;10,0;55,4
2013.;január–március;1 879,8;211,5;2 091,3;1 295,5;3 386,8;387,8;61,7;10,1;55,5
;február–április;1 894,3;207,4;2 101,8;1 282,3;3 384,1;381,5;62,1;9,9;56,0
;március–május;1 900,8;204,9;2 105,7;1 275,7;3 381,4;377,0;62,3;9,7;56,2
;április–június;1 907,3;203,2;2 110,5;1 268,1;3 378,7;373,6;62,5;9,6;56,5
;május–július;1 915,7;200,4;2 116,1;1 259,8;3 376,0;366,2;62,7;9,5;56,7
;június–augusztus;1 918,3;203,0;2 121,3;1 252,0;3 373,3;364,2;62,9;9,6;56,9
;július–szeptember;1 923,6;199,9;2 123,5;1 247,1;3 370,6;359,0;63,0;9,4;57,1
;augusztus–október;1 929,3;195,1;2 124,3;1 243,6;3 368,0;352,0;63,1;9,2;57,3
;szeptember–november;1 932,5;187,0;2 119,5;1 245,8;3 365,3;343,3;63,0;8,8;57,4
;október–december;1 933,9;186,9;2 120,8;1 241,8;3 362,6;342,7;63,1;8,8;57,5
;november–2014. január;1 947,1;180,7;2 127,9;1 232,0;3 359,9;334,9;63,3;8,5;58,0
;december–2014. február;1 960,7;172,8;2 133,5;1 223,5;3 357,0;328,9;63,6;8,1;58,4
2014.;január–március;1 967,9;170,8;2 138,7;1 215,4;3 354,1;326,2;63,8;8,0;58,7
;február–április;1 975,1;168,6;2 143,7;1 207,4;3 351,1;314,0;64,0;7,9;58,9
;március–május;1 971,9;167,8;2 139,7;1 208,5;3 348,3;312,7;63,9;7,8;58,9
;április–június;1 976,2;167,2;2 143,4;1 202,0;3 345,3;306,2;64,1;7,8;59,1
;május–július;1 983,4;165,8;2 149,2;1 193,3;3 342,5;301,2;64,3;7,7;59,3
;június–augusztus;1 992,8;163,3;2 156,1;1 183,5;3 339,7;295,1;64,6;7,6;59,7
;július–szeptember;2 004,1;158,5;2 162,5;1 174,3;3 336,8;290,5;64,8;7,3;60,1
;augusztus–október;1 998,2;153,1;2 151,2;1 182,7;3 333,9;286,7;64,5;7,1;59,9
;szeptember–november;2 009,5;151,7;2 161,2;1 169,8;3 331,0;279,0;64,9;7,0;60,3
;október–december;2 006,2;146,9;2 153,1;1 175,0;3 328,1;279,5;64,7;6,8;60,3
;november–2015. január;2 006,1;152,8;2 158,9;1 166,2;3 325,1;288,5;64,9;7,1;60,3
;december–2015. február;2 003,4;157,4;2 160,8;1 161,1;3 321,8;295,2;65,0;7,3;60,3
2015.;január–március;2 000,3;161,0;2 161,3;1 157,3;3 318,6;292,9;65,1;7,4;60,3
;február–április;2 011,9;153,7;2 165,6;1 149,6;3 315,3;280,0;65,3;7,1;60,7
;március–május;2 025,2;146,4;2 171,6;1 140,7;3 312,3;265,3;65,6;6,7;61,1
;április–június;2 029,4;146,4;2 175,9;1 134,7;3 310,5;256,7;65,7;6,7;61,3
;május–július;2 033,8;147,0;2 180,8;1 128,2;3 309,0;255,9;65,9;6,7;61,5
;június–augusztus;2 044,0;148,5;2 192,5;1 115,0;3 307,5;257,4;66,3;6,8;61,8
;július–szeptember;2 055,6;140,6;2 196,2;1 108,5;3 304,7;243,0;66,5;6,4;62,2
;augusztus–október;2 057,6;137,6;2 195,2;1 106,6;3 301,8;234,8;66,5;6,3;62,3
;szeptember–november;2 061,9;131,8;2 193,7;1 105,3;3 299,0;231,3;66,5;6,0;62,5
;október–december;2 056,6;134,0;2 190,6;1 105,6;3 296,2;237,1;66,5;6,1;62,4
;november–2016. január;2 045,9;130,3;2 176,3;1 117,1;3 293,3;240,1;66,1;6,0;62,1
;december–2016. február;2 049,0;126,3;2 175,3;1 114,2;3 289,5;234,1;66,1;5,8;62,3
2016.;január–március;2 060,2;125,3;2 185,5;1 100,1;3 285,6;232,7;66,5;5,7;62,7
;február–április;2 069,7;124,9;2 194,7;1 087,0;3 281,7;224,6;66,9;5,7;63,1
;március–május;2 084,2;116,3;2 200,5;1 078,2;3 278,7;210,0;67,1;5,3;63,6
;április–június;2 102,1;102,2;2 204,3;1 073,0;3 277,3;198,3;67,3;4,6;64,1
;május–július;2 117,5;101,4;2 218,9;1 057,1;3 276,0;192,1;67,7;4,6;64,6
;június–augusztus;2 121,1;104,1;2 225,1;1 049,7;3 274,9;195,0;67,9;4,7;64,8
;július–szeptember;2 119,7;103,7;2 223,4;1 048,8;3 272,2;190,2;67,9;4,7;64,8
;augusztus–október;2 121,9;103,8;2 225,7;1 043,9;3 269,5;189,1;68,1;4,7;64,9
;szeptember–november;2 124,3;97,0;2 221,3;1 045,5;3 266,8;185,3;68,0;4,4;65,0
;október–december;2 127,7;94,4;2 222,1;1 041,9;3 264,1;184,2;68,1;4,2;65,2
;november–2017. január;2 125,1;86,2;2 211,2;1 050,1;3 261,3;180,6;67,8;3,9;65,2
;december–2017. február;2 107,1;91,0;2 198,1;1 059,2;3 257,3;189,4;67,5;4,1;64,7
2017.;január–március;2 099,8;97,5;2 197,2;1 056,3;3 253,5;196,0;67,5;4,4;64,5
;február–április;2 102,2;102,1;2 204,2;1 045,1;3 249,4;197,5;67,8;4,6;64,7
;március–május;2 103,9;98,9;2 202,8;1 043,2;3 246,0;188,2;67,9;4,5;64,8
;április–június;2 103,0;96,1;2 199,0;1 043,3;3 242,3;184,2;67,8;4,4;64,9
;május–július;2 100,8;94,5;2 195,3;1 043,6;3 238,9;187,6;67,8;4,3;64,9
;június–augusztus;2 112,8;101,1;2 213,9;1 022,1;3 236,0;188,2;68,4;4,6;65,3
;július–szeptember;2 118,3;97,1;2 215,4;1 017,6;3 233,0;180,0;68,5;4,4;65,5
;augusztus–október;2 122,2;95,9;2 218,1;1 011,9;3 230,0;175,4;68,7;4,3;65,7
;szeptember–november;2 121,4;90,5;2 211,9;1 015,3;3 227,2;168,7;68,5;4,1;65,7
;október–december;2 121,2;92,2;2 213,3;1 010,9;3 224,2;168,1;68,6;4,2;65,8
;november–2018. január;2 116,5;90,0;2 206,5;1 014,7;3 221,2;168,8;68,5;4,1;65,7
;december–2018. február;2 122,2;90,6;2 212,7;1 007,1;3 219,8;168,5;68,7;4,1;65,9
2018.;január–március;2 118,9;89,2;2 208,1;1 010,4;3 218,5;164,7;68,6;4,0;65,8
;február–április;2 121,1;89,5;2 210,6;1 006,6;3 217,1;164,9;68,7;4,0;65,9
;március–május;2 134,1;82,9;2 217,0;998,1;3 215,1;158,1;69,0;3,7;66,4
;április–június;2 140,9;76,7;2 217,5;995,7;3 213,3;158,9;69,0;3,5;66,6
;május–július;2 149,0;79,4;2 228,4;983,0;3 211,4;154,4;69,4;3,6;66,9
;június–augusztus;2 141,1;86,5;2 227,7;980,7;3 208,4;158,5;69,4;3,9;66,7
;július–szeptember;2 144,1;92,1;2 236,1;969,0;3 205,2;159,8;69,8;4,1;66,9
;augusztus–október;2 148,3;87,1;2 235,4;966,7;3 202,2;155,0;69,8;3,9;67,1
;szeptember–november;2 144,9;80,2;2 225,2;974,0;3 199,2;151,5;69,6;3,6;67,0
;október–december;2 140,2;75,9;2 216,1;980,2;3 196,2;146,9;69,3;3,4;67,0
;november–2019. január;2 138,5;72,3;2 210,8;982,4;3 193,2;145,4;69,2;3,3;67,0
;december–2019. február;2 134,1;74,1;2 208,2;982,7;3 191,0;146,1;69,2;3,4;66,9
2019.;január–március;2 129,8;74,6;2 204,3;984,3;3 188,6;143,3;69,1;3,4;66,8
;február–április;2 123,2;72,9;2 196,1;990,2;3 186,3;140,3;68,9;3,3;66,6
;március–május;2 127,6;69,6;2 197,2;986,9;3 184,1;138,4;69,0;3,2;66,8
;április–június;2 137,1;67,2;2 204,3;977,8;3 182,1;138,6;69,3;3,0;67,2
;május–július;2 136,9;69,8;2 206,7;973,4;3 180,1;145,6;69,4;3,2;67,2
;június–augusztus;2 135,7;75,1;2 210,8;966,2;3 177,0;151,1;69,6;3,4;67,2
;július–szeptember;2 135,7;77,1;2 212,7;961,2;3 174,0;151,5;69,7;3,5;67,3
;augusztus–október;2 141,4;77,8;2 219,2;951,8;3 170,9;144,9;70,0;3,5;67,5
;szeptember–november;2 129,6;77,6;2 207,2;960,6;3 167,9;150,2;69,7;3,5;67,2
;október–december;2 127,9;71,2;2 199,1;965,7;3 164,8;144,8;69,5;3,2;67,2
;november–2020. január;2 119,0;73,6;2 192,6;969,2;3 161,7;151,6;69,3;3,4;67,0
;december–2020. február;2 125,2;75,5;2 200,7;958,5;3 159,2;147,4;69,7;3,4;67,3
2020.;január–március;2 112,6;79,6;2 192,3;964,5;3 156,8;163,6;69,4;3,6;66,9
;február–április;2 096,9;81,2;2 178,1;976,5;3 154,6;181,7;69,0;3,7;66,5
;március–május;2 077,9;85,2;2 163,1;988,9;3 152,0;201,4;68,6;3,9;65,9
;április–június;2 079,0;102,0;2 181,1;968,3;3 149,4;223,6;69,3;4,7;66,0
;május–július;2 091,1;105,7;2 196,9;949,9;3 146,8;218,1;69,8;4,8;66,5
;június–augusztus;2 106,9;105,0;2 211,9;932,3;3 144,2;202,9;70,3;4,7;67,0
;július–szeptember;2 113,5;97,3;2 210,7;930,9;3 141,6;185,2;70,4;4,4;67,3
;augusztus–október;2 111,5;93,0;2 204,5;934,5;3 139,1;179,9;70,2;4,2;67,3
;szeptember–november;2 104,0;91,7;2 195,7;940,8;3 136,5;180,3;70,0;4,2;67,1
;október–december;2 105,3;91,5;2 196,8;937,0;3 133,8;182,0;70,1;4,2;67,2
;november–2021. január;2 089,8;99,7;2 189,4;941,6;3 131,1;204,0;69,9;4,6;66,7
;december–2021. február;2 078,1;103,7;2 181,8;943,4;3 125,2;220,7;69,8;4,8;66,5
2021.;január–március;2 069,4;106,4;2 175,8;943,6;3 119,4;227,9;69,7;4,9;66,3
;február–április;2 084,0;97,9;2 182,0;931,5;3 113,5;209,6;70,1;4,5;66,9
;március–május;2 091,2;94,8;2 186,0;924,5;3 110,5;192,9;70,3;4,3;67,2
;április–június;2 114,6;91,4;2 206,0;902,1;3 108,2;175,6;71,0;4,1;68,0
;május–július;2 124,2;92,6;2 216,8;889,3;3 106,1;166,5;71,4;4,2;68,4
;június–augusztus;2 134,9;94,2;2 229,1;875,1;3 104,2;164,9;71,8;4,2;68,8
;július–szeptember;2 138,5;90,1;2 228,6;873,0;3 101,6;156,3;71,9;4,0;68,9
;augusztus–október;2 141,2;93,1;2 234,2;864,8;3 099,1;154,7;72,1;4,2;69,1
;szeptember–november;2 152,4;88,8;2 241,2;855,3;3 096,5;146,3;72,4;4,0;69,5
;október–december;2 150,6;88,5;2 239,1;854,7;3 093,7;147,4;72,4;4,0;69,5
;november–2022. január;2 147,5;86,4;2 233,9;857,0;3 090,8;150,9;72,3;3,9;69,5
;december–2022. február;2 145,5;85,6;2 231,2;858,9;3 090,0;150,5;72,2;3,8;69,4
2022.;január–március;2 144,6;80,6;2 225,3;864,4;3 089,7;140,1;72,0;3,6;69,4
;február–április;2 152,7;73,5;2 226,1;863,7;3 089,9;128,5;72,0;3,3;69,7
;március–május;2 156,6;70,4;2 227,0;861,3;3 088,3;122,1;72,1;3,2;69,8
;április–június;2 153,9;68,1;2 222,0;864,7;3 086,8;121,7;72,0;3,1;69,8
;május–július;2 151,0;70,3;2 221,3;863,9;3 085,3;125,0;72,0;3,2;69,7
;június–augusztus;2 164,1;71,8;2 235,9;847,9;3 083,8;129,1;72,5;3,2;70,2
;július–szeptember;2 162,0;79,6;2 241,6;840,6;3 082,3;132,6;72,7;3,6;70,1
;augusztus–október;2 166,3;80,4;2 246,7;834,1;3 080,8;131,3;72,9;3,6;70,3
;szeptember–november;;;;;;;;;
;október–december;;;;;;;;;
;november–2023. január;;;;;;;;;
;december–2023. február;;;;;;;;;
