21.2.1.28. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;
Év;Idõszak (negyedév);Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: ezen belül: kereskedelem, gépjármûjavítás;Ebbõl: ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"Ebbõl: ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";Ebbõl: ezen belül: oktatás;Ebbõl: ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
;III.;274,9;1 119,3;1 001,6;300,3;2 591,2;1 009,9;..;..;..;95,2;80,1;68,3;240,3;925,5;..;..;..;171,9;4 285,7
;IV.;239,9;1 099,5;998,8;300,4;2 586,8;1 010,3;..;..;..;95,2;80,5;67,6;246,1;920,6;..;..;..;166,6;4 226,6
2004.;I.;190,2;1 044,2;943,5;306,5;2 557,6;1 000,2;..;..;..;84,9;86,3;68,5;252,0;896,1;..;..;..;169,6;4 098,5
;II.;217,1;1 040,8;940,1;311,3;2 589,7;1 017,0;..;..;..;84,7;86,0;65,6;249,7;912,7;..;..;..;174,1;4 158,9
;III.;252,0;1 053,0;942,4;310,6;2 605,4;1 026,4;..;..;..;87,0;87,1;64,8;256,3;909,3;..;..;..;174,5;4 221,0
;IV.;218,9;1 034,1;924,4;305,3;2 571,8;1 008,1;..;..;..;87,8;87,8;63,3;261,4;899,0;..;..;..;164,3;4 130,1
2005.;I.;181,8;1 013,9;922,6;309,2;2 535,0;1 020,5;..;..;..;88,4;85,4;63,1;257,9;850,5;..;..;..;169,2;4 039,9
;II.;207,5;1 021,5;913,3;310,5;2 562,0;1 017,5;..;..;..;89,0;87,0;63,9;256,8;875,9;..;..;..;171,8;4 101,5
;III.;242,5;1 047,1;927,3;311,3;2 602,4;1 028,0;..;..;..;91,9;89,5;65,3;265,8;888,5;..;..;..;173,4;4 203,4
;IV.;210,1;1 034,5;924,2;309,4;2 589,9;1 021,6;..;..;..;92,1;90,6;65,1;269,4;882,8;..;..;..;168,5;4 143,8
2006.;I.;176,5;1 017,6;909,8;311,0;2 557,3;1 011,1;..;..;..;96,7;88,8;65,7;257,5;872,3;..;..;..;165,2;4 062,4
;II.;202,5;1 022,9;911,7;315,9;2 613,5;1 028,5;..;..;..;97,5;89,1;65,8;262,3;898,6;..;..;..;171,8;4 154,7
;III.;235,7;1 035,0;922,5;315,6;2 639,9;1 050,2;..;..;..;104,8;92,3;66,0;268,0;882,2;..;..;..;176,4;4 226,2
;IV.;206,3;1 032,5;927,2;314,2;2 626,4;1 054,8;..;..;..;107,0;96,4;65,5;271,1;863,1;..;..;..;168,6;4 179,4
2007.;I.;171,8;988,7;896,9;316,5;2 592,8;1 036,2;..;..;..;99,9;89,6;65,4;276,3;838,9;..;..;..;186,5;4 069,8
;II.;192,2;1 005,4;904,1;320,8;2 621,2;1 053,6;..;..;..;100,3;92,1;65,4;274,8;847,5;..;..;..;187,3;4 139,5
;III.;221,9;1 020,6;912,3;322,1;2 624,8;1 059,8;..;..;..;103,5;94,7;65,5;276,6;835,2;..;..;..;189,5;4 189,3
;IV.;192,6;1 006,3;906,8;320,9;2 584,0;1 045,7;..;..;..;102,6;97,2;63,8;274,4;815,8;..;..;..;184,6;4 103,8
