4.1.1.36. Korlátozottság  nem és korcsoport szerint ;;;;;;;;;;;;;;;;;;;;;;;;;
Év;"Korlátozottság a mindennapi tevékenységekben: súlyos, 
16–24 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
16–24 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
16–24 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
25–34 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
25–34 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
25–34 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
35–44 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
35–44 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
35–44 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
45–54 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
45–54 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
45–54 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
55–64 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
55–64 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
55–64 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
65–74 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
65–74 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
65–74 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
75– évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
75– évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
75– évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
együtt";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
együtt";"Korlátozottság a mindennapi tevékenységekben: nincs, 
együtt";Összesen
2018;9,6;29,5;449,3;8,0;19,9;416,8;14,3;55,8;617,9;34,9;111,6;591,6;76,8;190,6;499,6;88,2;224,8;330,3;124,0;192,6;129,3;355,8;824,7;3 034,9;4 215,3
2019;3,0;20,2;482,1;6,1;17,4;399,2;16,3;62,6;531,0;36,1;97,1;670,1;62,8;186,0;496,1;80,1;217,6;330,4;113,1;212,3;129,8;317,6;813,2;3 038,8;4 169,6
2020;6,9;20,9;449,5;6,2;21,3;435,6;14,1;56,1;503,1;30,3;103,2;701,8;48,4;179,3;538,1;73,5;214,1;372,9;107,0;194,8;148,5;286,3;789,7;3 149,5;4 225,5
2021;7,0;21,1;422,0;9,1;17,3;479,6;7,4;38,6;521,3;34,0;85,4;694,4;43,6;169,4;532,0;64,5;219,7;377,2;99,7;202,8;152,9;265,2;754,4;3 179,4;4 199,0
A népesség becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
2010;14,4;47,0;1 163,0;33,4;68,7;1 188,9;45,2;152,7;1 124,2;110,3;293,4;1 052,3;159,2;446,8;833,6;159,4;360,2;392,7;188,7;267,7;151,0;710,5;1 636,5;5 905,8;8 252,9
2011;14,4;39,6;1 098,0;22,6;67,4;1 196,1;34,4;127,8;1 131,0;95,9;283,7;1 040,4;154,4;451,2;900,9;144,1;369,3;425,8;189,2;287,4;167,9;655,1;1 626,4;5 960,2;8 241,7
2012;13,1;39,1;1 101,8;19,8;47,1;1 133,8;43,4;92,5;1 199,9;89,9;215,9;1 058,2;159,4;451,3;986,4;130,4;327,4;438,6;192,2;287,8;183,4;648,1;1 461,1;6 102,1;8 211,3
2013;13,6;45,7;1 050,9;12,1;47,7;1 088,4;30,6;119,3;1 195,3;82,1;243,9;1 026,6;167,2;457,3;1 032,6;138,5;348,0;419,7;191,8;304,6;174,3;636,0;1 566,4;5 987,8;8 190,2
2014;14,5;30,4;1 032,3;12,9;46,5;1 101,9;28,1;99,8;1 168,7;87,1;235,0;1 077,1;141,1;466,5;1 032,5;128,8;366,0;404,4;196,3;309,5;175,1;608,8;1 553,7;5 991,9;8 154,5
2015;13,7;36,4;966,5;15,3;55,1;1 109,8;31,0;125,2;1 174,9;88,0;227,3;1 070,8;164,8;490,3;1 000,5;130,4;374,3;409,6;212,4;300,4;166,3;655,6;1 609,1;5 898,5;8 163,2
2016;10,4;44,7;941,3;23,2;60,6;1 069,1;32,4;116,0;1 195,4;61,5;225,7;1 077,8;141,3;468,0;967,8;116,4;368,4;479,5;181,5;319,7;179,4;566,8;1 603,1;5 910,3;8 080,1
2017;12,8;48,8;928,0;21,2;51,7;1 018,1;34,0;131,6;1 168,2;74,3;213,8;1 167,9;147,7;373,0;954,0;128,2;374,6;503,7;192,3;295,7;198,3;610,6;1 489,3;5 938,2;8 038,1
2018;15,5;53,2;920,1;17,6;41,3;882,5;32,2;114,5;1 186,8;63,8;202,8;1 187,6;132,5;354,3;956,8;138,1;366,3;570,9;189,5;294,5;227,1;589,2;1 426,8;5 931,8;7 947,8
2019;9,5;31,9;950,4;15,5;32,8;855,1;31,9;117,3;1 098,2;64,0;177,0;1 250,6;130,7;357,4;982,9;135,7;365,2;562,4;167,7;311,3;221,1;554,9;1 392,9;5 920,8;7 868,6
2020;13,8;35,5;925,1;15,2;39,5;932,0;30,9;87,7;1 061,4;55,7;187,7;1 317,7;115,7;318,1;1 036,0;118,1;353,0;639,7;156,7;289,2;250,5;506,1;1 310,7;6 162,5;7 979,2
2021;11,5;31,6;875,0;19,2;24,4;992,8;13,6;81,2;1 058,6;63,2;156,2;1 366,8;96,0;300,6;1 012,0;108,6;367,5;660,3;143,1;285,6;263,4;455,2;1 247,0;6 229,0;7 931,2
Férfiak megoszlása, %;;;;;;;;;;;;;;;;;;;;;;;;;
2010;1,4;3,7;94,9;2,4;4,7;92,9;3,3;11,4;85,3;7,4;19,0;73,6;12,2;30,2;57,6;18,2;37,0;44,8;25,2;45,5;29,2;7,6;17,7;74,7;100,0
2011;1,1;3,4;95,5;1,7;4,9;93,5;2,3;9,0;88,7;6,3;19,8;73,9;11,0;28,2;60,8;13,3;36,4;50,3;24,4;45,3;30,3;6,6;17,5;76,0;100,0
2012;1,1;3,8;95,1;1,2;3,9;94,9;3,5;5,8;90,7;6,2;14,8;79,0;11,0;25,4;63,6;14,8;32,1;53,1;24,3;41,3;34,4;7,0;15,0;78,1;100,0
2013;1,5;4,5;94,0;1,2;3,8;95,0;2,2;8,4;89,5;6,1;16,8;77,2;10,9;25,2;63,9;14,8;35,1;50,1;27,3;39,5;33,2;7,0;16,3;76,7;100,0
2014;2,0;2,1;96,0;0,9;3,2;95,9;2,4;7,5;90,1;6,8;15,6;77,6;8,3;27,7;64,0;11,7;38,8;49,5;25,7;42,3;32,0;6,3;16,5;77,2;100,0
2015;1,5;3,5;95,0;1,1;4,7;94,2;2,2;9,3;88,5;7,1;15,6;77,3;11,4;28,9;59,7;12,6;40,7;46,7;25,5;41,6;32,9;7,0;17,7;75,3;100,0
2016;1,2;4,4;94,4;2,7;4,2;93,1;2,2;8,8;89,1;3,8;13,8;82,4;8,9;28,3;62,8;11,8;33,0;55,2;20,9;46,4;32,6;5,8;16,9;77,2;100,0
2017;1,4;5,3;93,3;2,1;4,2;93,6;2,9;8,9;88,3;5,0;13,4;81,7;9,6;23,7;66,7;12,6;34,1;53,2;23,7;40,9;35,5;6,6;16,0;77,4;100,0
2018;1,2;4,7;94,1;1,9;4,3;93,7;2,8;9,1;88,1;4,0;12,7;83,2;8,2;24,2;67,6;11,6;32,8;55,7;24,7;38,4;36,9;6,3;16,1;77,6;100,0
2019;1,3;2,4;96,3;2,0;3,2;94,8;2,5;8,6;89,0;4,0;11,6;84,4;9,3;23,6;67,0;12,8;33,9;53,3;22,3;40,4;37,3;6,4;15,7;77,9;100,0
2020;1,4;2,9;95,7;1,7;3,5;94,8;2,8;5,2;92,0;3,5;11,6;84,9;9,6;19,7;70,7;9,9;30,8;59,2;20,2;38,4;41,4;5,9;13,9;80,3;100,0
2021;1,0;2,2;96,8;1,9;1,3;96,8;1,1;7,3;91,7;3,8;9,2;87,1;7,9;19,8;72,3;9,3;31,1;59,6;18,3;35,0;46,7;5,1;13,2;81,7;100,0
Nõk megoszlása, %;;;;;;;;;;;;;;;;;;;;;;;;;
2010;1,0;4,0;95,1;2,8;6,0;91,2;3,5;11,7;84,8;7,8;21,2;71,0;10,1;31,7;58,2;17,0;41,1;41,9;33,9;43,4;22,8;9,5;21,7;68,8;100,0
2011;1,4;3,5;95,1;1,9;5,6;92,5;3,0;10,8;86,2;7,2;20,1;72,7;9,6;31,5;58,9;16,6;41,2;42,1;31,8;44,2;23,9;9,1;21,7;69,1;100,0
2012;1,1;3,0;95,8;2,1;4,0;94,0;3,0;8,1;88,9;6,9;16,8;76,3;9,1;30,7;60,2;14,4;39,3;46,3;31,5;44,5;24,0;8,7;20,3;71,0;100,0
2013;0,9;3,7;95,4;0,9;4,5;94,6;2,4;9,4;88,2;6,1;19,2;74,7;9,4;29,6;61,0;15,6;40,5;43,8;29,3;48,4;22,3;8,4;21,6;69,9;100,0
2014;0,7;3,6;95,7;1,3;4,8;93,9;1,9;7,9;90,2;5,7;17,9;76,4;8,8;29,1;62,0;16,0;42,0;42,0;30,3;47,0;22,6;8,5;21,3;70,2;100,0
2015;1,2;3,7;95,2;1,5;4,6;93,9;2,5;9,6;88,0;5,7;17,2;77,2;8,7;30,2;61,1;15,3;41,1;43,6;34,1;45,5;20,4;9,0;21,5;69,5;100,0
2016;0,9;4,6;94,5;1,3;6,3;92,4;2,7;8,5;88,8;5,2;19,1;75,7;9,0;30,9;60,1;12,2;41,5;46,2;29,8;47,3;23,0;8,0;22,4;69,6;100,0
2017;1,2;4,5;94,3;1,8;5,3;93,0;2,2;10,9;86,9;5,2;15,9;78,9;10,4;26,6;63,0;12,8;39,2;48,0;30,6;44,4;25,0;8,5;20,8;70,8;100,0
2018;2,0;6,0;92,0;1,8;4,5;93,7;2,1;8,1;89,8;4,7;15,1;80,2;10,0;24,8;65,1;13,7;34,9;51,3;27,8;43,2;29,0;8,4;19,6;72,0;100,0
2019;0,6;4,0;95,4;1,4;4,1;94,4;2,7;10,3;87,1;4,5;12,1;83,4;8,4;25,0;66,6;12,8;34,6;52,6;24,8;46,6;28,5;7,6;19,5;72,9;100,0
2020;1,4;4,4;94,2;1,3;4,6;94,1;2,5;9,8;87,8;3,6;12,4;84,0;6,3;23,4;70,3;11,1;32,4;56,5;23,8;43,3;33,0;6,8;18,7;74,5;100,0
2021;1,5;4,7;93,8;1,8;3,4;94,8;1,3;6,8;91,9;4,2;10,5;85,3;5,9;22,7;71,4;9,7;33,2;57,0;21,9;44,5;33,6;6,3;18,0;75,7;100,0
A népesség megoszlása, %;;;;;;;;;;;;;;;;;;;;;;;;;
2010;1,2;3,8;95,0;2,6;5,3;92,1;3,4;11,6;85,0;7,6;20,2;72,3;11,1;31,0;57,9;17,5;39,5;43,0;31,1;44,1;24,9;8,6;19,8;71,6;100,0
2011;1,3;3,4;95,3;1,8;5,2;93,0;2,7;9,9;87,5;6,8;20,0;73,3;10,2;29,9;59,8;15,3;39,3;45,3;29,4;44,6;26,1;7,9;19,7;72,3;100,0
2012;1,1;3,4;95,5;1,6;3,9;94,4;3,2;6,9;89,8;6,6;15,8;77,6;10,0;28,3;61,8;14,5;36,5;48,9;29,0;43,4;27,6;7,9;17,8;74,3;100,0
2013;1,2;4,1;94,7;1,1;4,2;94,8;2,3;8,9;88,9;6,1;18,0;75,9;10,1;27,6;62,3;15,3;38,4;46,3;28,6;45,4;26,0;7,8;19,1;73,1;100,0
2014;1,3;2,8;95,8;1,1;4,0;94,9;2,2;7,7;90,1;6,2;16,8;77,0;8,6;28,4;63,0;14,3;40,7;45,0;28,8;45,5;25,7;7,5;19,1;73,5;100,0
2015;1,3;3,6;95,1;1,3;4,7;94,0;2,3;9,4;88,3;6,3;16,4;77,3;10,0;29,6;60,4;14,3;40,9;44,8;31,3;44,2;24,5;8,0;19,7;72,3;100,0
2016;1,0;4,5;94,5;2,0;5,3;92,7;2,4;8,6;89,0;4,5;16,5;79,0;9,0;29,7;61,4;12,1;38,2;49,7;26,7;47,0;26,4;7,0;19,8;73,1;100,0
2017;1,3;4,9;93,8;1,9;4,7;93,3;2,6;9,9;87,6;5,1;14,7;80,2;10,0;25,3;64,7;12,7;37,2;50,0;28,0;43,1;28,9;7,6;18,5;73,9;100,0
2018;1,6;5,4;93,1;1,9;4,4;93,7;2,4;8,6;89,0;4,4;13,9;81,7;9,2;24,5;66,3;12,8;34,1;53,1;26,7;41,4;31,9;7,4;18,0;74,6;100,0
2019;1,0;3,2;95,8;1,7;3,6;94,6;2,6;9,4;88,0;4,3;11,9;83,8;8,9;24,3;66,8;12,8;34,3;52,9;24,0;44,5;31,6;7,1;17,7;75,2;100,0
2020;1,4;3,6;94,9;1,5;4,0;94,5;2,6;7,4;90,0;3,6;12,0;84,4;7,9;21,6;70,5;10,6;31,8;57,6;22,5;41,5;36,0;6,3;16,4;77,2;100,0
2021;1,3;3,4;95,3;1,9;2,4;95,8;1,2;7,0;91,8;4,0;9,8;86,2;6,8;21,3;71,8;9,6;32,3;58,1;20,7;41,3;38,1;5,7;15,7;78,5;100,0
