19.1.3.2. A gabona termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
India;234 931;242 964;206 637;236 593;229 846;239 997;242 786;260 486;266 835;250 783;267 838;287 860;293 290;294 910;296 010;284 333;297 850;310 782;321 556;324 301;335 035
Indonézia;61 575;59 808;61 075;63 024;65 314;66 675;66 064;67 879;73 985;76 644;77 611;75 902;79 092;78 607;78 067;80 643;77 609;84 176;89 454;77 190;77 149
Irán;12 878;14 944;19 874;20 948;21 988;21 914;22 470;24 078;12 211;17 953;19 597;15 018;15 777;16 428;17 551;18 255;22 420;18 114;18 651;22 555;22 013
Izrael;183;242;271;306;273;308;245;283;199;257;241;274;356;337;372;322;262;174;151;184;246
Japán;12 796;12 255;12 185;10 824;11 994;12 434;11 742;12 025;12 151;11 461;11 455;11 657;12 166;12 265;12 285;12 141;11 925;11 904;11 575;11 830;10 923
Kína;407 337;398 397;398 688;376 655;413 164;429 370;452 800;457 809;480 126;483 277;497 921;521 172;541 164;554 423;559 325;619 923;616 456;616 024;611 052;614 772;617 483
Koreai Köztársaság;7 435;7 746;6 990;6 400;7 015;6 722;6 541;6 235;6 752;6 758;6 021;5 826;5 604;5 810;5 852;5 976;5 831;5 488;5 419;5 273;4 945
Mianmar;21 785;22 514;22 500;23 946;25 650;28 735;32 014;32 625;33 806;34 007;34 043;30 636;28 341;28 622;28 794;28 635;28 110;29 010;30 021;28 683;27 553
Pakisztán;30 461;27 048;27 173;28 964;30 311;33 508;33 028;35 812;35 528;38 147;34 811;39 305;36 496;40 110;41 896;41 082;42 555;44 300;39 658;40 205;42 541
Vietnám;34 537;34 272;36 960;37 707;39 581;39 622;39 706;40 248;43 305;43 324;44 614;47 236;48 713;49 231;50 178;50 379;48 360;47 877;48 924;48 232;47 321
Dél-afrikai Köztársaság;14 549;10 715;13 048;11 819;12 027;14 175;9 452;9 508;15 339;14 571;14 701;12 928;14 556;14 155;16 617;11 908;10 194;18 861;14 972;13 324;18 237
Egyiptom;20 106;18 561;20 194;20 682;20 823;22 423;22 518;21 599;23 743;22 757;19 465;22 014;23 756;24 123;23 324;23 141;23 385;22 921;17 563;21 914;22 320
Etiópia;8 020;9 586;9 000;9 533;10 140;12 750;12 672;13 253;14 014;16 457;18 380;19 270;20 322;22 339;24 215;25 837;26 587;28 764;28 364;29 673;30 249
Marokkó;1 997;4 603;5 288;7 969;8 599;4 279;9 236;2 505;5 330;10 444;7 834;8 689;5 311;9 875;6 937;11 688;3 561;9 787;10 388;5 314;3 304
Nigéria;21 370;20 090;21 373;22 736;24 321;26 031;28 864;27 171;30 209;21 268;24 650;20 700;21 427;19 618;24 517;25 452;28 364;26 836;28 465;29 943;28 673
Argentína;37 984;36 655;35 057;32 473;34 193;41 947;32 263;42 067;44 957;26 147;39 769;50 917;47 372;50 743;50 794;55 980;61 148;76 398;70 592;84 535;86 573
Brazília;46 527;57 125;50 876;67 454;63 953;55 671;59 149;69 442;79 745;70 915;75 160;77 586;89 908;100 902;101 402;106 027;84 167;117 977;103 260;121 203;125 568
Chile;2 590;3 116;3 380;3 693;3 999;3 989;3 566;2 855;3 302;3 125;3 588;3 950;3 465;4 004;3 479;3 789;3 872;3 471;3 660;3 295;2 760
Egyesült Államok;342 632;324 995;297 143;348 248;389 024;366 436;338 337;415 131;402 400;418 666;401 126;385 545;356 210;434 308;442 849;431 870;503 466;440 273;439 711;420 873;434 875
Kanada;51 090;43 391;36 047;49 197;50 778;50 962;48 577;48 005;56 030;49 692;46 122;48 337;51 847;66 535;51 684;53 563;58 906;56 771;58 727;61 474;65 014
Kolumbia;3 619;3 549;3 621;4 285;4 439;4 099;3 685;4 013;4 324;4 179;3 536;3 798;4 270;3 817;4 052;3 999;4 397;4 648;4 349;4 434;4 925
Mexikó;27 995;31 061;28 773;31 336;32 315;29 063;32 158;34 313;36 109;31 286;34 925;28 409;33 614;33 210;36 527;34 705;38 465;37 488;36 068;36 164;36 375
Ausztrália;34 447;34 718;38 590;17 553;42 384;34 357;40 505;17 772;26 866;34 140;33 465;39 973;43 362;35 589;38 420;37 196;35 230;50 049;33 860;29 236;26 614
Új-Zéland;856;940;939;944;763;871;789;927;999;1 124;1 001;999;1 168;1 103;1 098;1 115;1 096;937;978;1 017;1 019
