21.2.1.27. A kormányzati szektor negyedéves nem pénzügyi számlái [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció Kód Idõszak, év / Soregyezõség;Tranzakció Kód Idõszak, negyedév / Soregyezõség;Piaci kibocsátás és saját végsõ felhasználási célú kibocsátás, nem piaci kibocsátásért fizetett összegek P.1O 2;Folyó termelõ-felhasználás P.2 3;Állóeszköz-felhasználás P.51C 5;Munkavállalói jövedelem, tartozás D.1 6;Egyéb termelési adók, tartozás D.29 7;Egyéb termelési támogatások, követelés D.39R 8;Termelési és importadók, követelés D.2 9=10+12;Termékadók, követelés D.21 10;Hozzáadottérték-adó típusú adók, követelés D.211 11;Egyéb termelési adók, követelés D.29 12;Tulajdonosi jövedelem, követelés D.4 13=14+15;Kamat, követelés D.41 14;Egyéb tulajdonosi jövedelem, követelés D.4N 15;Támogatások, tartozás D.3P 16=17+18;Termék-támogatások, tartozás D.31P 17;Egyéb termelési támogatások, tartozás D.39P 18;Tulajdonosi jövedelem, tartozás D.4 19=20+21;Kamat, tartozás D.41 20;Egyéb tulajdonosi jövedelem, tartozás D.4N 21;Folyó jövedelem-, vagyon-, stb. adók, követelés D.5 22;Nettó társadalombiztosítási hozzájárulások, követelés D.61 25;Ebbõl a munkaadók tényleges társadalombiztosítási hozzájárulásai D.611 26;Ebbõl a háztartások tényleges társadalombiztosítási hozzájárulásai D.613 27;Egyéb folyó jövedelemátutalások, követelés D.7 28;Folyó jövedelem-, vagyon-, stb. adók, tartozás D.5 29;Pénzbeni társadalmi juttatások, tartozás D.62 30;Természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.632 31;Természetbeni társadalmi juttatásokon kívüli társadalmi juttatások és természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.6M 32=30+31;Egyéb folyó jövedelemátutalások, tartozás D.7 33;Végsõ fogyasztási kiadás P.3 34=35+36;Egyéni fogyasztási kiadás P.31 35;Közösségi fogyasztási kiadás P.32 36;Nyugdíj-jogosultságok változása miatti korrekció D.8 37;Bruttó megtakarítás B.8G 38;Tõketranszferek, követelés D.9 39=40+41;Tõkeadók, követelés D.91 40;Egyéb tõketranszferek és beruházási támogatások, követelés D.9N 41;Tõketranszferek, tartozás D.9 42;Beruházási támogatások, tartozás D.92 43;Bruttó felhalmozás P.5 44=45+46;Bruttó állóeszköz-felhalmozás P.51G 45;Készletváltozás és értéktárgyak beszerzésének és eladásának egyenlege P.5M 46;Nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege NP 47;Bruttó felhalmozás és nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege P5L 48=44+47;Nettó hitelnyújtás (+)/nettó hitelfelvétel (-) B.9 49=51–50;"Összes kormányzati kiadás OTE 50=3+6+7+16
+19+29+32+33
+37+42+48";"Összes kormányzati bevétel OTR 51=2+8+9+13
+22+25+28+39";Kibocsátás P.1 1;Bruttó hozzáadott érték B.1G 4=1–3;Jövedelemadók D.51 23;Egyéb folyó adók D.59 24;Államháztartási tõketranszferek a megfelelõ szektorok részére, amelyek megállapított, de valószínûleg be nem hajtható adóknak és társadalombiztosítási hozzájárulásoknak felelnek meg D.995 52
;III.;111 710;231 920;154 028;400 861;–;–;651 553;630 969;355 702;20 584;41 818;27 867;13 951;64 441;46 582;17 859;181 690;181 690;–;351 162;479 738;376 896;100 464;22 955;19;470 306;93 321;563 627;58 544;766 408;391 227;375 181;–;157 834;22 623;2 456;20 167;77 581;57 944;147 947;150 381;-2 434;-4 239;143 707;-40 831;1 722 389;1 681 558;784 797;552 878;344 401;6 760;–
;IV.;128 609;329 331;154 028;528 413;–;–;594 400;574 451;303 707;19 949;49 333;32 874;16 458;74 763;54 043;20 719;181 177;181 177;–;454 874;549 970;432 072;115 171;31 423;19;508 307;103 646;611 953;79 031;984 482;502 141;482 341;–;3 923;36 599;2 180;34 419;240 915;179 936;276 826;281 381;-4 555;-3 720;273 107;-473 500;2 318 708;1 845 208;1 009 445;680 114;446 117;8 757;–
2002.;I.;110 865;242 848;159 548;483 793;–;–;581 604;554 117;280 645;27 487;33 231;18 619;14 612;66 805;43 656;23 149;173 680;173 680;–;384 809;517 029;403 642;110 828;19 974;26;524 542;108 381;632 923;69 440;880 546;459 689;420 857;–;-22 002;25 614;2 287;23 327;110 321;59 553;143 018;142 933;85;4 454;147 472;-254 181;1 927 307;1 673 127;883 029;640 181;377 755;7 054;–
;II.;124 313;270 661;159 548;476 972;–;–;626 638;599 044;334 560;27 594;27 931;15 650;12 281;72 285;47 237;25 048;174 082;174 082;–;427 889;539 724;421 360;115 693;18 852;26;564 330;117 863;682 193;69 457;897 517;472 604;424 913;–;19 672;14 585;2 683;11 903;64 933;34 961;173 504;173 402;103;13 325;186 829;-217 506;1 997 438;1 779 933;903 967;633 306;420 046;7 844;–
;III.;124 571;262 400;159 548;472 114;–;–;688 335;664 377;358 332;23 957;33 479;18 758;14 721;77 225;50 465;26 760;174 865;174 865;–;400 572;523 977;409 066;112 318;21 663;26;613 973;109 522;723 495;68 658;875 824;457 802;418 021;–;13 814;17 163;2 802;14 361;86 061;46 408;214 856;214 729;127;6 244;221 101;-276 185;2 085 945;1 809 760;890 873;628 473;393 229;7 343;–
;IV.;142 201;353 592;159 548;666 358;–;–;699 287;676 047;367 377;23 240;41 099;23 028;18 072;80 885;52 857;28 028;174 942;174 942;–;509 274;632 672;493 924;135 617;37 634;26;578 562;124 928;703 490;123 450;1 157 930;605 933;551 997;–;-40 577;31 597;2 972;28 626;453 316;245 391;363 685;363 470;215;-40 070;323 614;-785 910;2 879 674;2 093 765;1 175 203;821 610;499 939;9 336;–
2003.;I.;118 894;280 876;171 902;611 922;–;–;640 383;610 310;313 686;30 073;37 547;18 088;19 459;64 221;40 598;23 624;190 035;190 035;–;393 678;573 924;444 327;126 079;26 470;4;613 435;123 745;737 180;90 532;1 069 470;566 172;503 297;–;-183 873;11 185;2 494;8 691;39 712;31 245;108 866;108 374;492;-8 114;100 751;-313 152;2 115 233;1 802 081;1 064 619;783 744;384 525;9 153;–
;II.;142 011;302 085;171 902;575 058;–;–;742 615;712 418;387 245;30 197;35 355;17 032;18 323;63 774;40 315;23 459;191 748;191 748;–;450 227;584 352;452 401;128 370;21 070;4;627 548;128 271;755 820;87 866;1 035 136;549 406;485 730;–;-724;15 454;3 495;11 959;96 126;76 608;152 194;151 506;688;-8 212;143 982;-225 377;2 216 462;1 991 085;1 048 875;746 791;439 759;10 468;–
;III.;134 429;284 126;171 902;584 209;–;–;774 615;748 642;400 772;25 973;32 659;15 733;16 926;85 152;53 829;31 323;190 033;190 033;–;415 860;573 124;443 708;125 904;24 726;4;633 829;127 067;760 896;80 545;1 032 774;549 056;483 718;–;-29 552;17 055;2 919;14 136;70 615;56 095;185 480;184 642;838;-9 122;176 359;-259 471;2 231 938;1 972 467;1 040 136;756 010;406 192;9 669;–
;IV.;163 856;398 031;171 902;717 912;–;–;815 813;790 674;438 165;25 139;34 790;16 759;18 030;62 685;39 627;23 058;198 809;198 809;–;520 562;651 800;504 619;143 187;29 040;4;737 238;141 434;878 672;82 468;1 265 191;670 741;594 450;–;-122 719;41 357;3 665;37 692;226 031;181 065;278 631;277 372;1 259;-9 901;268 730;-576 123;2 833 342;2 257 219;1 287 614;889 583;508 459;12 103;–
