21.2.1.27. A kormányzati szektor negyedéves nem pénzügyi számlái [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció Kód Idõszak, év / Soregyezõség;Tranzakció Kód Idõszak, negyedév / Soregyezõség;Piaci kibocsátás és saját végsõ felhasználási célú kibocsátás, nem piaci kibocsátásért fizetett összegek P.1O 2;Folyó termelõ-felhasználás P.2 3;Állóeszköz-felhasználás P.51C 5;Munkavállalói jövedelem, tartozás D.1 6;Egyéb termelési adók, tartozás D.29 7;Egyéb termelési támogatások, követelés D.39R 8;Termelési és importadók, követelés D.2 9=10+12;Termékadók, követelés D.21 10;Hozzáadottérték-adó típusú adók, követelés D.211 11;Egyéb termelési adók, követelés D.29 12;Tulajdonosi jövedelem, követelés D.4 13=14+15;Kamat, követelés D.41 14;Egyéb tulajdonosi jövedelem, követelés D.4N 15;Támogatások, tartozás D.3P 16=17+18;Termék-támogatások, tartozás D.31P 17;Egyéb termelési támogatások, tartozás D.39P 18;Tulajdonosi jövedelem, tartozás D.4 19=20+21;Kamat, tartozás D.41 20;Egyéb tulajdonosi jövedelem, tartozás D.4N 21;Folyó jövedelem-, vagyon-, stb. adók, követelés D.5 22;Nettó társadalombiztosítási hozzájárulások, követelés D.61 25;Ebbõl a munkaadók tényleges társadalombiztosítási hozzájárulásai D.611 26;Ebbõl a háztartások tényleges társadalombiztosítási hozzájárulásai D.613 27;Egyéb folyó jövedelemátutalások, követelés D.7 28;Folyó jövedelem-, vagyon-, stb. adók, tartozás D.5 29;Pénzbeni társadalmi juttatások, tartozás D.62 30;Természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.632 31;Természetbeni társadalmi juttatásokon kívüli társadalmi juttatások és természetbeni társadalmi juttatások – megvásárolt, termelt piaci javak és szolgáltatások, tartozás D.6M 32=30+31;Egyéb folyó jövedelemátutalások, tartozás D.7 33;Végsõ fogyasztási kiadás P.3 34=35+36;Egyéni fogyasztási kiadás P.31 35;Közösségi fogyasztási kiadás P.32 36;Nyugdíj-jogosultságok változása miatti korrekció D.8 37;Bruttó megtakarítás B.8G 38;Tõketranszferek, követelés D.9 39=40+41;Tõkeadók, követelés D.91 40;Egyéb tõketranszferek és beruházási támogatások, követelés D.9N 41;Tõketranszferek, tartozás D.9 42;Beruházási támogatások, tartozás D.92 43;Bruttó felhalmozás P.5 44=45+46;Bruttó állóeszköz-felhalmozás P.51G 45;Készletváltozás és értéktárgyak beszerzésének és eladásának egyenlege P.5M 46;Nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege NP 47;Bruttó felhalmozás és nem termelt nem pénzügyi eszközök beszerzésének és eladásának egyenlege P5L 48=44+47;Nettó hitelnyújtás (+)/nettó hitelfelvétel (-) B.9 49=51–50;"Összes kormányzati kiadás OTE 50=3+6+7+16
+19+29+32+33
+37+42+48";"Összes kormányzati bevétel OTR 51=2+8+9+13
+22+25+28+39";Kibocsátás P.1 1;Bruttó hozzáadott érték B.1G 4=1–3;Jövedelemadók D.51 23;Egyéb folyó adók D.59 24;Államháztartási tõketranszferek a megfelelõ szektorok részére, amelyek megállapított, de valószínûleg be nem hajtható adóknak és társadalombiztosítási hozzájárulásoknak felelnek meg D.995 52
;III.;181 474;350 957;179 212;671 026;–;–;959 861;920 057;495 385;39 804;62 001;21 365;40 636;57 355;31 718;25 637;243 587;243 587;–;515 071;714 790;536 294;173 239;64 265;78;832 151;173 860;1 006 011;195 158;1 193 857;640 509;553 348;–;-26 710;56 801;4 682;52 119;91 445;68 952;297 151;293 741;3 410;-9 697;287 454;-348 808;2 903 071;2 554 262;1 201 471;850 514;501 810;13 261;–
;IV.;203 161;411 298;218 992;815 168;–;–;951 129;913 568;467 851;37 561;64 881;17 129;47 752;96 047;68 472;27 575;246 035;246 035;–;709 809;871 069;653 546;211 116;57 800;78;968 691;213 760;1 182 452;214 237;1 456 282;779 805;676 477;–;-107 466;82 531;6 268;76 263;152 460;99 472;410 220;406 824;3 396;-5 883;404 337;-581 733;3 522 112;2 940 379;1 445 683;1 034 384;691 534;18 275;–
2007.;I.;192 625;317 791;211 826;719 393;–;–;940 866;885 537;486 114;55 329;56 113;18 264;37 849;70 538;40 407;30 132;253 543;253 543;–;589 433;821 384;579 115;237 265;56 970;45;992 080;218 380;1 210 460;202 745;1 274 496;686 144;588 352;–;-117 126;29 255;2 699;26 556;156 547;96 503;245 255;242 185;3 070;-7 072;238 183;-482 601;3 169 246;2 686 645;1 248 740;930 949;575 588;13 845;–
;II.;205 537;415 272;201 989;699 303;–;–;1 016 936;955 823;490 624;61 112;63 792;16 681;47 111;75 280;42 487;32 793;262 980;262 980;–;618 012;860 151;606 447;248 463;1 285;45;898 888;184 857;1 083 745;48 893;1 295 444;676 501;618 943;–;180 195;54 864;3 710;51 154;70 728;40 786;258 790;255 722;3 068;17 095;275 885;-111 555;2 932 131;2 820 577;1 316 124;900 852;603 496;14 517;–
;III.;187 660;376 968;226 896;732 627;–;–;1 014 287;968 596;485 880;45 691;61 948;19 038;42 909;121 458;82 342;39 117;261 420;261 420;–;632 803;850 567;599 690;245 695;51 274;45;898 102;144 453;1 042 555;148 697;1 292 885;649 170;643 715;–;114 767;69 788;5 233;64 555;165 038;109 963;240 563;237 492;3 070;-3 815;236 747;-217 231;3 085 557;2 868 326;1 336 092;959 124;617 939;14 864;–
;IV.;225 960;520 627;242 146;772 131;–;–;1 056 883;1 011 366;550 653;45 518;54 839;22 858;31 981;84 719;47 972;36 748;259 494;259 494;–;737 339;933 296;658 018;269 592;78 874;45;1 081 344;177 218;1 258 562;301 023;1 485 908;750 162;735 745;–;-109 410;64 020;5 445;58 575;95 439;53 788;355 511;352 457;3 054;736;356 247;-497 075;3 648 286;3 151 211;1 534 650;1 014 023;720 019;17 319;–
2008.;I.;180 903;431 299;231 624;740 721;–;–;996 799;945 985;499 068;50 814;62 538;27 004;35 534;69 056;26 186;42 869;256 061;256 061;–;661 652;895 253;633 430;256 173;92 806;28;1 080 145;180 236;1 260 381;158 463;1 403 799;697 237;706 562;–;-26 057;27 018;3 941;23 078;84 499;69 787;126 246;122 441;3 805;-15 342;110 905;-194 442;3 111 411;2 916 969;1 404 467;973 168;646 368;15 284;–
;II.;224 452;480 513;233 462;786 665;–;–;1 081 324;1 026 115;542 425;55 209;80 438;28 131;52 307;47 880;10 482;37 398;267 106;267 106;–;697 251;913 603;646 413;261 424;638;28;1 001 123;187 010;1 188 133;89 426;1 464 022;729 208;734 814;–;137 954;31 769;4 164;27 606;99 117;73 344;217 056;210 355;6 702;-7 088;209 969;-139 363;3 168 838;3 029 475;1 501 464;1 020 951;681 145;16 106;–
;III.;171 528;451 379;233 788;733 863;–;–;1 065 077;1 013 021;525 307;52 056;76 427;27 604;48 823;76 427;36 295;40 133;274 867;274 867;–;683 079;899 203;636 224;257 303;75 583;28;986 926;164 005;1 150 931;158 054;1 412 332;689 854;722 478;–;125 346;19 215;4 506;14 708;65 758;49 700;203 429;197 259;6 170;-15 985;187 444;-108 641;3 098 752;2 990 111;1 419 855;968 475;667 300;15 779;–
;IV.;287 021;566 574;245 400;824 300;–;–;1 073 191;1 009 185;501 639;64 007;83 159;42 049;41 110;103 246;28 460;74 786;307 386;307 386;–;751 009;959 894;679 166;274 670;67 976;28;1 147 068;194 181;1 341 249;265 683;1 544 258;766 972;777 287;–;-186 217;93 451;3 915;89 535;140 208;30 475;349 481;338 881;10 600;5 850;355 331;-588 305;3 904 005;3 315 700;1 637 098;1 070 524;733 661;17 348;–
2009.;I.;197 247;459 964;235 189;736 951;1 381;–;910 787;848 552;479 735;62 235;70 189;38 920;31 270;49 432;16 104;33 327;303 441;303 441;–;647 906;874 259;608 652;259 500;120 541;414;1 115 671;187 194;1 302 866;212 665;1 422 848;704 806;718 041;–;-246 184;78 789;5 356;73 433;72 047;49 409;118 979;112 012;6 967;-9 514;109 465;-348 907;3 248 626;2 899 719;1 432 900;972 936;631 918;15 988;–
;II.;251 801;538 986;245 840;741 822;1 390;–;1 076 528;1 008 026;543 632;68 502;107 357;36 205;71 152;66 161;24 336;41 825;305 125;305 125;–;692 139;882 154;614 148;261 843;1 067;414;1 048 858;195 681;1 244 539;63 987;1 471 485;728 629;742 856;–;48 622;86 216;3 628;82 588;149 750;115 823;219 167;206 334;12 833;-7 125;212 042;-226 954;3 324 215;3 097 261;1 527 605;988 619;675 059;17 080;–
;III.;190 615;426 001;245 790;698 715;1 309;–;1 115 385;1 059 298;580 181;56 087;71 413;38 661;32 752;56 498;24 336;32 162;300 391;300 391;–;575 337;802 963;559 016;238 337;104 183;414;1 025 347;172 534;1 197 882;305 541;1 352 991;662 733;690 258;–;-126 855;68 802;2 342;66 459;17 983;6 264;242 876;228 655;14 221;-2 881;239 995;-316 032;3 244 729;2 928 698;1 371 072;945 071;561 139;14 198;–
;IV.;230 689;612 656;250 583;783 237;1 467;–;1 212 029;1 150 772;588 687;61 257;84 913;30 504;54 409;73 711;33 768;39 943;284 986;284 986;–;623 634;852 519;593 517;253 047;100 090;414;1 044 194;177 671;1 221 865;120 943;1 592 365;767 159;825 206;–;4 594;119 422;2 342;117 080;97 844;67 668;380 438;358 162;22 276;13 517;393 955;-367 783;3 591 079;3 223 296;1 645 383;1 032 727;608 244;15 389;–
2010.;I.;198 134;499 064;234 956;778 643;2 103;–;1 055 780;972 831;594 222;82 948;62 424;26 293;36 131;64 810;22 887;41 922;293 769;293 769;–;517 684;799 545;510 495;282 934;124 663;437;1 057 160;165 918;1 223 078;201 554;1 482 674;721 916;760 758;–;-305 229;161 027;2 883;158 144;71 358;1 876;118 328;118 717;-389;-1 407;116 921;-332 481;3 251 737;2 919 256;1 514 889;1 015 824;502 215;15 469;–
;II.;230 151;532 276;250 531;698 687;5 463;–;1 144 360;1 062 822;607 787;81 538;105 634;28 102;77 533;57 767;11 807;45 959;274 922;274 922;–;536 482;784 814;501 089;277 721;56 520;437;1 059 786;194 625;1 254 411;189 276;1 451 551;720 876;730 675;–;-155 276;82 450;2 402;80 049;152 612;116 431;230 584;231 343;-759;-7 352;223 231;-448 669;3 389 080;2 940 412;1 487 078;954 802;520 451;16 031;–
;III.;196 424;484 079;255 012;701 644;3 854;–;1 235 782;1 097 933;611 191;137 849;112 397;23 180;89 217;80 730;29 704;51 026;274 392;274 392;–;543 907;774 092;494 244;273 927;82 184;437;1 041 189;182 151;1 223 340;140 210;1 430 436;702 119;728 317;–;36 101;93 867;1 726;92 141;35 631;1 472;272 695;273 592;-897;3 018;275 713;-181 377;3 220 030;3 038 653;1 444 710;960 631;527 654;16 253;–
;IV.;256 740;595 035;273 755;759 421;4 062;–;1 289 820;1 157 480;512 409;132 340;23 279;17 930;5 349;86 495;73 993;12 502;280 959;280 959;–;529 833;888 613;567 363;314 452;126 288;437;1 080 070;141 603;1 221 673;141 670;1 517 257;716 516;800 741;–;24 821;186 656;1 741;184 914;91 317;63 809;370 738;371 957;-1 220;3 637;374 375;-254 215;3 555 444;3 301 229;1 632 394;1 037 359;514 000;15 832;–
2011.;I.;205 692;490 770;254 038;687 427;2 417;–;1 115 214;983 571;563 753;131 644;62 326;23 341;38 984;68 991;27 592;41 399;295 605;295 605;–;405 248;901 619;534 732;361 252;77 680;381;1 079 406;183 325;1 262 731;246 814;1 412 275;689 408;722 868;–;-287 358;216 107;1 657;214 450;108 546;81 322;127 945;132 325;-4 380;1 283;129 228;-309 025;3 292 911;2 983 886;1 434 642;943 872;390 841;14 407;–
;II.;218 797;522 887;259 605;712 035;6 670;–;1 201 271;1 081 206;590 731;120 066;98 316;28 176;70 140;107 850;63 121;44 729;269 023;269 023;–;417 063;930 677;551 966;372 894;55 641;1 035;1 086 117;180 260;1 266 377;105 002;1 462 650;709 758;752 891;–;-69 114;88 375;1 632;86 743;115 507;84 790;219 763;227 285;-7 522;-1 548;218 215;-314 461;3 324 601;3 010 140;1 501 187;978 299;402 236;14 827;–
;III.;190 868;488 379;264 404;704 624;4 528;–;1 349 946;1 232 028;673 376;117 918;73 348;32 187;41 161;107 539;63 069;44 470;305 555;305 555;–;437 314;900 581;534 116;360 835;138 838;723;1 073 464;164 045;1 237 510;199 102;1 435 102;686 362;748 740;–;42 933;133 905;1 860;132 045;295 827;1 941;236 228;244 314;-8 086;-76;236 152;-355 141;3 579 939;3 224 799;1 461 925;973 546;421 767;15 547;–
;IV.;254 487;590 888;261 847;764 677;4 511;–;1 236 805;1 136 736;551 393;100 069;80 646;34 190;46 456;63 038;25 847;37 192;309 639;309 639;–;509 447;953 169;565 306;381 906;78 880;686;1 089 317;200 648;1 289 965;191 768;1 568 074;768 094;799 980;–;-101 739;181 519;2 313;179 206;262 447;151 952;330 409;341 719;-11 310;-4 465;325 944;-508 611;3 803 563;3 294 951;1 621 913;1 031 024;491 335;18 111;–
2012.;I.;180 651;462 499;255 961;668 485;4 345;2 976;1 210 899;1 059 667;609 575;151 232;69 768;26 472;43 296;136 581;44 901;91 680;316 506;316 506;–;450 779;958 223;568 525;384 700;157 871;1 144;1 080 285;151 584;1 231 869;247 254;1 359 324;657 176;702 147;–;-37 515;87 304;911;86 393;127 136;107 878;117 286;117 049;237;-556;116 729;-194 077;3 312 549;3 118 472;1 388 390;925 891;435 490;15 290;–
;II.;245 382;558 720;261 601;728 711;4 360;2 976;1 307 863;1 189 508;675 436;118 356;107 338;28 432;78 906;162 387;84 189;78 198;321 550;321 550;–;475 784;1 006 304;597 051;404 003;69 673;1 012;1 068 354;152 226;1 220 580;196 324;1 457 336;702 556;754 781;–;21 676;135 626;1 681;133 945;82 476;56 794;218 647;218 206;441;1 268;219 915;-145 089;3 496 035;3 350 947;1 550 492;991 771;459 646;16 138;–
;III.;196 469;469 354;266 462;725 831;4 373;2 976;1 384 437;1 248 321;660 251;136 116;71 168;24 260;46 908;171 572;66 827;104 745;344 170;344 170;–;485 740;969 768;575 374;389 335;128 777;777;1 064 935;147 943;1 212 878;165 910;1 414 595;679 722;734 873;–;144 469;136 125;2 007;134 118;120 803;54 327;244 186;243 693;493;796;244 982;-85 191;3 460 650;3 375 459;1 463 121;993 766;469 264;16 476;–
;IV.;291 622;636 087;271 762;740 577;4 371;2 976;1 462 933;1 343 598;682 309;119 336;64 269;27 035;37 234;185 404;55 774;129 630;337 353;337 353;–;534 659;1 027 137;609 412;412 367;105 313;829;1 133 278;197 032;1 330 311;140 352;1 555 308;769 445;785 863;–;113 625;234 164;2 911;231 253;100 727;80 957;493 402;492 407;996;3 289;496 692;-249 631;3 972 704;3 723 073;1 649 898;1 013 810;516 524;18 135;–
2013.;I.;204 051;503 427;265 862;733 227;4 516;9 257;1 257 604;1 088 658;604 303;168 946;47 068;20 519;26 549;142 086;60 263;81 822;341 414;341 414;–;469 358;958 640;562 639;390 888;172 231;1 001;1 109 280;149 051;1 258 331;325 765;1 442 749;668 603;774 146;–;-191 557;143 573;1 784;141 789;132 320;111 671;119 254;124 975;-5 721;923;120 177;-300 481;3 562 264;3 261 783;1 497 748;994 321;451 944;17 414;–
;II.;259 152;583 742;268 517;785 548;4 188;9 257;1 431 276;1 272 410;730 104;158 866;98 605;23 008;75 596;116 710;54 117;62 593;346 628;346 628;–;488 425;1 017 809;597 366;415 014;139 611;1 071;1 115 643;162 467;1 278 110;234 571;1 536 026;716 790;819 236;–;93 566;169 879;1 745;168 134;93 751;68 201;304 814;310 535;-5 721;3 406;308 220;-138 525;3 752 538;3 614 013;1 632 711;1 048 969;470 303;18 122;–
;III.;262 389;518 883;270 108;765 685;4 351;9 257;1 411 413;1 252 099;661 069;159 313;37 100;13 856;23 244;148 845;72 397;76 449;341 336;341 336;–;491 346;1 003 250;588 821;409 077;150 006;1 360;1 103 216;154 633;1 257 849;196 785;1 441 987;673 638;768 349;–;129 667;178 482;1 812;176 670;169 976;101 855;320 087;325 808;-5 721;3 046;323 133;-184 960;3 728 202;3 543 243;1 549 743;1 030 860;473 116;18 230;–
;IV.;336 072;646 056;270 934;781 621;4 348;9 257;1 528 960;1 388 297;698 079;140 663;49 272;20 587;28 685;227 448;84 563;142 885;339 376;339 376;–;529 768;1 082 137;635 120;441 243;155 513;303;1 125 084;207 943;1 333 027;219 407;1 565 546;756 804;808 742;–;139 392;296 325;1 847;294 478;43 422;26 064;553 434;559 155;-5 721;3 281;556 715;-164 420;4 151 723;3 987 303;1 693 675;1 047 619;510 112;19 656;–
2014.;I.;203 399;543 444;276 630;769 511;5 502;9 550;1 389 012;1 215 575;691 428;173 437;39 842;13 571;26 271;171 420;88 982;82 438;337 518;337 518;–;517 766;1 042 121;622 064;414 177;231 211;665;1 137 688;137 111;1 274 799;298 300;1 519 266;698 896;820 370;–;31 742;72 032;2 039;69 993;78 911;54 933;215 053;210 199;4 854;2 548;217 601;-192 739;3 697 670;3 504 932;1 585 554;1 042 110;502 287;15 480;–
;II.;293 277;623 776;281 503;849 384;3 175;9 550;1 494 449;1 330 104;742 127;164 344;93 018;20 725;72 293;126 322;80 515;45 807;315 134;315 134;–;543 911;1 088 060;649 486;432 435;77 264;815;1 096 092;170 775;1 266 867;207 274;1 625 803;768 303;857 501;–;206 780;138 132;2 710;135 422;237 629;206 708;380 293;371 709;8 584;4 349;384 642;-277 359;4 015 019;3 737 661;1 748 306;1 124 529;526 119;17 792;–
;III.;265 264;549 321;283 478;859 348;4 604;9 550;1 540 087;1 372 411;772 979;167 676;47 822;21 406;26 416;152 779;75 620;77 158;321 259;321 259;–;539 910;1 064 847;635 630;423 210;157 761;517;1 112 027;166 139;1 278 166;206 640;1 588 094;751 550;836 544;–;252 608;243 396;2 366;241 030;149 610;125 928;482 970;472 068;10 901;3 054;486 023;-139 629;4 008 267;3 868 638;1 687 219;1 137 898;522 433;17 478;–
;IV.;334 396;795 032;288 059;902 075;4 448;9 550;1 624 477;1 464 589;804 629;159 888;43 918;16 872;27 045;190 402;56 822;133 580;326 194;326 194;–;590 099;1 144 824;683 369;454 995;141 997;1 545;1 145 904;180 287;1 326 190;299 287;1 825 971;854 634;971 338;–;44 088;506 615;2 431;504 184;131 874;14 712;708 151;692 168;15 984;11 230;719 382;-300 552;4 696 428;4 395 876;1 980 081;1 185 050;569 396;20 703;–
2015.;I.;274 377;641 779;292 265;836 824;4 637;9 757;1 446 400;1 264 366;738 870;182 035;29 660;10 295;19 366;185 643;83 847;101 795;316 726;316 726;–;520 753;1 106 349;660 250;439 221;157 195;906;1 154 505;135 256;1 289 761;260 938;1 626 627;772 010;854 617;–;7 278;155 339;2 358;152 982;255 844;134 934;235 770;234 764;1 007;1 693;237 463;-330 690;4 030 522;3 699 831;1 765 748;1 123 969;499 946;20 807;–
;II.;346 080;676 723;297 320;916 545;4 701;9 757;1 559 485;1 385 657;803 582;173 828;33 276;10 196;23 079;190 050;96 496;93 554;286 141;286 141;–;540 837;1 136 022;677 958;451 001;139 443;872;1 083 881;161 073;1 244 955;230 723;1 700 526;826 524;874 002;–;214 190;331 936;5 007;326 930;115 619;23 235;531 391;530 140;1 251;1 132;532 524;-102 016;4 198 851;4 096 835;1 885 532;1 208 809;522 426;18 411;–
;III.;276 918;574 212;302 027;897 132;5 834;9 757;1 638 451;1 466 804;837 191;171 648;65 184;7 863;57 321;151 846;63 685;88 161;297 380;297 380;–;536 795;1 148 465;685 384;455 941;93 666;892;1 111 796;156 016;1 267 812;216 970;1 648 550;796 111;852 440;–;357 155;180 671;1 241;179 430;158 145;99 218;509 058;507 825;1 233;1 776;510 834;-131 152;4 081 058;3 949 906;1 769 449;1 195 236;519 179;17 616;–
;IV.;387 978;840 270;305 967;981 418;5 178;9 757;1 862 874;1 673 970;929 897;188 904;36 003;14 125;21 878;140 565;46 297;94 268;302 655;302 655;–;777 791;1 239 002;739 415;491 884;160 789;931;1 125 989;182 203;1 308 192;279 650;1 917 299;932 124;985 175;–;615 335;693 903;2 594;691 308;435 101;240 466;1 007 448;1 005 803;1 645;3 532;1 010 980;-136 843;5 304 939;5 168 096;2 123 076;1 282 807;758 207;19 584;–
2016.;I.;278 385;632 865;309 594;893 043;6 647;10 246;1 482 751;1 300 646;737 315;182 105;23 799;9 082;14 717;185 265;87 390;97 875;287 515;287 515;–;588 292;1 162 926;693 289;465 954;148 728;796;1 114 996;143 774;1 258 770;199 574;1 697 291;810 573;886 718;–;230 651;79 753;2 823;76 930;63 460;42 417;149 643;146 156;3 487;127;149 770;97 175;3 677 706;3 774 881;1 831 902;1 199 038;569 497;18 795;–
;II.;312 120;685 309;317 570;958 378;6 101;10 246;1 624 781;1 460 038;831 429;164 743;92 139;8 299;83 840;182 418;69 210;113 209;276 713;276 713;–;616 062;1 243 268;746 939;492 429;82 133;795;1 132 357;160 923;1 293 280;251 580;1 805 913;870 260;935 654;–;326 176;17 485;3 558;13 927;152 255;94 917;224 114;219 383;4 731;-2 854;221 260;-29 855;4 028 090;3 998 235;1 957 112;1 271 802;596 687;19 376;–
;III.;323 829;594 216;319 638;972 193;6 331;10 246;1 644 857;1 473 687;824 624;171 170;25 521;7 833;17 688;174 452;83 280;91 172;275 360;275 360;–;614 908;1 212 270;724 554;483 444;97 637;795;1 115 439;165 074;1 280 513;202 677;1 723 377;839 869;883 507;–;422 731;103 409;2 555;100 854;147 844;117 746;314 047;308 582;5 465;-12 118;301 928;76 368;3 956 309;4 032 677;1 882 131;1 287 915;595 831;19 077;–
;IV.;377 652;793 935;329 961;1 070 680;6 514;10 246;1 774 103;1 601 445;906 470;172 658;32 353;7 839;24 514;190 530;83 472;107 059;278 470;278 470;–;797 651;1 355 220;822 643;529 608;126 397;795;1 169 119;187 480;1 356 598;599 716;2 000 670;975 664;1 025 006;–;176 383;13 862;5 061;8 802;603 294;474 907;471 870;468 484;3 386;-90 650;381 220;-794 268;5 281 752;4 487 484;2 190 843;1 396 908;776 134;21 517;–
2017.;I.;354 379;604 870;337 228;984 977;6 309;8 920;1 568 924;1 366 172;795 520;202 752;27 976;6 112;21 864;151 600;68 834;82 766;265 935;265 935;–;626 774;1 197 894;660 021;530 550;92 393;937;1 149 969;143 050;1 293 019;203 430;1 713 135;826 656;886 479;–;366 183;131 023;3 256;127 767;86 589;63 248;249 326;240 105;9 221;-106 707;142 619;267 997;3 740 286;4 008 284;1 924 465;1 319 594;609 516;17 258;–
;II.;337 470;742 074;339 768;1 042 172;8 147;8 920;1 759 814;1 568 455;900 049;191 359;78 810;8 879;69 931;162 523;66 157;96 366;262 189;262 188;1;666 588;1 250 465;689 824;556 923;126 629;528;1 139 021;152 257;1 291 278;315 627;1 938 027;925 965;1 012 062;–;404 159;67 320;7 364;59 956;141 165;103 115;447 177;436 453;10 725;-21 194;425 983;-95 670;4 391 686;4 296 016;2 123 241;1 381 167;651 762;14 826;–
;III.;406 871;785 337;343 243;1 057 324;7 352;8 920;1 757 395;1 565 801;904 068;191 593;30 252;6 960;23 292;184 833;75 847;108 986;257 289;257 289;–;665 518;1 226 678;673 508;549 272;24 820;530;1 134 145;161 244;1 295 389;237 038;1 938 708;936 481;1 002 227;–;295 361;53 947;3 593;50 353;285 943;227 233;454 533;441 107;13 426;-2 628;451 905;-388 540;4 562 939;4 174 399;2 184 336;1 398 999;649 126;16 392;–
;IV.;416 939;1 069 933;346 103;1 142 466;7 496;8 920;1 923 156;1 740 774;1 026 929;182 382;22 619;4 570;18 049;218 166;59 771;158 395;254 236;254 236;–;845 946;1 343 223;741 089;598 394;206 939;124;1 250 379;200 672;1 451 052;420 513;2 340 811;1 129 188;1 211 623;–;203 756;136 036;4 222;131 814;406 103;296 954;681 273;662 381;18 892;2 007;683 280;-749 590;5 653 368;4 903 778;2 557 077;1 487 145;815 223;30 722;–
2018.;I.;395 114;703 281;369 878;1 121 634;7 981;7 067;1 711 911;1 494 765;876 187;217 146;30 297;5 889;24 408;162 757;70 204;92 553;239 767;239 760;6;686 472;1 258 734;656 032;597 186;108 719;502;1 219 569;146 808;1 366 378;364 687;1 947 400;927 817;1 019 583;–;231 329;150 076;3 364;146 712;134 122;93 283;301 484;300 602;882;555;302 039;-54 756;4 403 147;4 348 391;2 195 706;1 492 426;666 215;20 257;–
;II.;404 161;875 170;376 294;1 085 219;7 762;7 067;1 971 307;1 761 275;1 043 037;210 032;82 788;8 284;74 504;138 322;64 232;74 090;248 821;248 815;6;707 588;1 320 710;685 571;629 406;143 872;453;1 213 054;150 280;1 363 334;342 070;2 083 498;976 346;1 107 151;–;576 341;73 925;3 822;70 103;195 249;147 348;588 133;580 399;7 734;37;588 170;-133 152;4 844 571;4 711 419;2 337 379;1 462 208;686 440;21 148;–
;III.;465 516;863 355;378 837;1 108 915;8 801;8 334;2 004 199;1 791 717;1 051 889;212 482;39 801;7 407;32 394;128 497;52 423;76 075;246 430;246 424;6;680 817;1 275 387;660 051;609 550;168 960;502;1 194 855;161 531;1 356 385;268 437;2 047 589;978 382;1 069 207;–;661 690;170 935;4 816;166 119;139 475;104 756;754 897;735 927;18 969;944;755 841;-62 691;4 876 638;4 813 948;2 351 574;1 488 219;660 086;20 730;–
;IV.;437 293;1 111 534;383 152;1 219 982;8 470;8 334;2 139 959;1 941 203;1 158 424;198 756;34 118;5 799;28 319;189 302;54 397;134 905;276 209;276 203;6;782 052;1 396 542;727 360;663 490;246 722;502;1 277 105;187 100;1 464 205;436 911;2 464 612;1 157 733;1 306 879;–;337 904;188 273;4 353;183 921;274 589;205 920;912 881;897 023;15 857;4 587;917 468;-665 880;5 899 173;5 233 293;2 714 805;1 603 271;760 730;21 322;–
2019.;I.;454 611;812 250;428 505;1 167 310;8 836;7 139;1 913 596;1 658 567;985 380;255 030;32 153;5 628;26 524;130 719;38 919;91 801;253 748;253 748;–;732 303;1 366 303;706 261;654 467;134 525;721;1 225 985;146 158;1 372 142;373 364;2 101 308;950 477;1 150 831;–;521 539;136 332;5 271;131 061;114 446;65 911;385 783;383 926;1 858;12 148;397 931;145 493;4 631 469;4 776 962;2 409 762;1 597 512;709 298;23 005;–
;II.;487 521;977 485;437 501;1 255 163;9 079;7 139;2 138 010;1 892 116;1 119 930;245 894;94 234;8 030;86 204;120 371;34 037;86 334;261 988;261 988;–;789 647;1 435 010;744 901;684 520;193 940;796;1 237 748;165 136;1 402 884;381 941;2 349 704;1 060 942;1 288 762;–;735 793;178 313;5 199;173 114;127 162;97 707;756 944;746 899;10 044;2 991;759 935;27 009;5 296 805;5 323 814;2 672 089;1 694 604;768 680;20 967;–
;III.;531 588;1 015 043;445 406;1 209 806;9 073;7 139;2 177 102;1 932 763;1 169 957;244 339;34 647;7 794;26 853;121 758;31 133;90 625;267 347;267 347;–;753 820;1 327 135;651 202;670 193;142 336;796;1 262 600;160 444;1 423 044;317 527;2 301 045;1 039 756;1 261 289;–;609 372;81 054;4 950;76 104;220 839;95 710;847 089;831 400;15 689;1 202;848 292;-378 704;5 433 525;5 054 821;2 672 190;1 657 146;730 425;23 395;–
;IV.;525 104;1 344 043;447 208;1 353 051;11 573;7 139;2 298 110;2 065 501;1 251 489;232 609;36 495;6 654;29 841;170 289;41 598;128 691;277 598;277 598;–;845 376;1 456 077;720 154;730 137;190 561;796;1 379 762;189 107;1 568 868;435 915;2 812 739;1 250 827;1 561 912;–;196 727;468 783;4 564;464 219;401 876;250 536;1 024 239;1 013 977;10 262;1 387;1 025 626;-761 991;6 589 636;5 827 645;3 148 736;1 804 693;825 504;19 871;–
