20.2.1.4. A 15–74 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;február–április;2 338,8;139,4;2 478,2;1 153,7;3 631,9;235,0;68,2;5,6;64,4
;március–május;2 346,1;134,1;2 480,2;1 150,5;3 630,6;224,1;68,3;5,4;64,6
;április–június;2 359,1;131,4;2 490,5;1 140,8;3 631,4;215,9;68,6;5,3;65,0
;május–július;2 369,6;126,1;2 495,8;1 136,5;3 632,3;212,7;68,7;5,1;65,2
;június–augusztus;2 380,0;122,0;2 502,0;1 131,4;3 633,4;206,6;68,9;4,9;65,5
;július–szeptember;2 384,2;121,6;2 505,9;1 126,7;3 632,6;204,6;69,0;4,9;65,6
;augusztus–október;2 393,0;114,5;2 507,5;1 124,4;3 631,8;194,6;69,0;4,6;65,9
;szeptember–november;2 397,1;109,9;2 507,0;1 124,0;3 631,0;187,3;69,0;4,4;66,0
;október–december;2 393,1;109,9;2 503,0;1 127,0;3 630,1;186,2;69,0;4,4;65,9
;november–2017. január;2 385,7;110,8;2 496,5;1 132,3;3 628,8;190,9;68,8;4,4;65,7
;december–2017. február;2 377,1;111,2;2 488,3;1 137,4;3 625,6;194,3;68,6;4,5;65,6
2017.;január–március;2 378,0;108,9;2 486,9;1 136,0;3 622,9;195,8;68,6;4,4;65,6
;február–április;2 382,9;106,6;2 489,4;1 129,9;3 619,3;189,9;68,8;4,3;65,8
;március–május;2 392,5;103,8;2 496,4;1 120,7;3 617,0;185,3;69,0;4,2;66,1
;április–június;2 417,6;100,1;2 517,7;1 096,5;3 614,1;179,7;69,7;4,0;66,9
;május–július;2 431,5;98,6;2 530,2;1 081,8;3 612,0;178,6;70,0;3,9;67,3
;június–augusztus;2 433,1;94,1;2 527,3;1 083,3;3 610,5;170,7;70,0;3,7;67,4
;július–szeptember;2 437,2;90,9;2 528,1;1 080,8;3 608,9;163,7;70,1;3,6;67,5
;augusztus–október;2 431,5;87,1;2 518,6;1 088,8;3 607,4;156,4;69,8;3,5;67,4
;szeptember–november;2 439,3;86,6;2 525,9;1 079,9;3 605,8;153,0;70,1;3,4;67,6
;október–december;2 437,0;83,0;2 520,0;1 084,3;3 604,3;149,3;69,9;3,3;67,6
;november–2018. január;2 430,9;83,7;2 514,6;1 087,9;3 602,5;156,3;69,8;3,3;67,5
;december–2018. február;2 429,9;87,0;2 516,9;1 086,4;3 603,3;160,7;69,8;3,5;67,4
2018.;január–március;2 427,2;88,3;2 515,5;1 088,6;3 604,2;156,4;69,8;3,5;67,3
;február–április;2 434,0;87,0;2 521,0;1 084,2;3 605,2;151,2;69,9;3,4;67,5
;március–május;2 435,2;87,3;2 522,6;1 082,9;3 605,4;151,1;70,0;3,5;67,5
;április–június;2 443,1;88,2;2 531,3;1 074,8;3 606,1;150,2;70,2;3,5;67,7
;május–július;2 448,4;86,6;2 535,0;1 072,0;3 607,0;146,0;70,3;3,4;67,9
;június–augusztus;2 456,6;86,1;2 542,7;1 063,7;3 606,4;145,6;70,5;3,4;68,1
;július–szeptember;2 458,1;85,7;2 543,8;1 061,8;3 605,6;150,3;70,6;3,4;68,2
;augusztus–október;2 468,6;84,9;2 553,4;1 051,4;3 604,9;149,0;70,8;3,3;68,5
;szeptember–november;2 465,9;87,4;2 553,3;1 050,8;3 604,1;152,0;70,8;3,4;68,4
;október–december;2 456,6;90,2;2 546,8;1 056,5;3 603,3;158,4;70,7;3,5;68,2
;november–2019. január;2 455,6;96,4;2 552,0;1 050,3;3 602,4;163,0;70,8;3,8;68,2
;december–2019. február;2 471,2;92,6;2 563,8;1 038,8;3 602,7;159,1;71,2;3,6;68,6
2019.;január–március;2 472,8;89,9;2 562,6;1 040,1;3 602,8;155,2;71,1;3,5;68,6
;február–április;2 470,5;88,8;2 559,4;1 043,7;3 603,1;154,3;71,0;3,5;68,6
;március–május;2 475,3;90,3;2 565,6;1 038,9;3 604,5;154,6;71,2;3,5;68,7
;április–június;2 472,4;87,9;2 560,3;1 046,1;3 606,4;154,8;71,0;3,4;68,6
;május–július;2 478,0;87,8;2 565,8;1 042,7;3 608,5;157,1;71,1;3,4;68,7
;június–augusztus;2 483,7;81,9;2 565,6;1 042,9;3 608,4;150,9;71,1;3,2;68,8
;július–szeptember;2 487,4;85,1;2 572,5;1 035,8;3 608,3;149,1;71,3;3,3;68,9
;augusztus–október;2 484,7;83,7;2 568,3;1 039,9;3 608,3;144,0;71,2;3,3;68,9
;szeptember–november;2 487,3;83,5;2 570,9;1 037,3;3 608,2;142,1;71,3;3,2;68,9
;október–december;2 487,7;81,5;2 569,2;1 039,0;3 608,1;143,9;71,2;3,2;68,9
;november–2020. január;2 472,2;86,0;2 558,2;1 049,7;3 607,9;154,3;70,9;3,4;68,5
;december–2020. február;2 462,6;87,0;2 549,6;1 058,1;3 607,7;158,3;70,7;3,4;68,3
2020.;január–március;2 457,6;92,0;2 549,6;1 057,9;3 607,5;168,9;70,7;3,6;68,1
;február–április;2 449,1;91,5;2 540,6;1 067,0;3 607,6;181,2;70,4;3,6;67,9
;március–május;2 430,0;104,0;2 534,0;1 073,8;3 607,8;197,7;70,2;4,1;67,4
;április–június;2 432,9;111,9;2 544,9;1 063,1;3 608,0;207,5;70,5;4,4;67,4
;május–július;2 449,5;118,2;2 567,7;1 040,5;3 608,2;206,1;71,2;4,6;67,9
;június–augusztus;2 472,7;109,1;2 581,7;1 026,9;3 608,6;194,1;71,5;4,2;68,5
;július–szeptember;2 477,6;110,2;2 587,9;1 021,1;3 609,0;187,8;71,7;4,3;68,7
;augusztus–október;2 477,1;107,4;2 584,4;1 024,9;3 609,3;180,6;71,6;4,2;68,6
;szeptember–november;2 478,8;109,6;2 588,4;1 021,1;3 609,5;183,0;71,7;4,2;68,7
;október–december;2 480,1;102,7;2 582,7;1 026,4;3 609,1;179,4;71,6;4,0;68,7
;november–2021. január;2 471,8;107,6;2 579,4;1 028,9;3 608,2;192,1;71,5;4,2;68,5
;december–2021. február;2 453,9;111,3;2 565,3;1 037,3;3 602,6;206,6;71,2;4,3;68,1
2021.;január–március;2 456,1;106,2;2 562,3;1 034,6;3 596,9;198,3;71,2;4,1;68,3
;február–április;2 450,0;105,8;2 555,8;1 035,0;3 590,7;194,7;71,2;4,1;68,2
;március–május;2 459,8;101,1;2 560,8;1 027,5;3 588,4;187,0;71,4;3,9;68,5
;április–június;2 463,8;104,4;2 568,2;1 016,6;3 584,8;184,1;71,6;4,1;68,7
;május–július;2 479,9;103,1;2 583,0;998,9;3 581,9;173,5;72,1;4,0;69,2
;június–augusztus;2 480,1;104,3;2 584,4;995,2;3 579,6;167,5;72,2;4,0;69,3
;július–szeptember;2 479,1;98,5;2 577,6;1 000,9;3 578,5;161,7;72,0;3,8;69,3
;augusztus–október;2 488,6;90,6;2 579,2;998,2;3 577,4;152,7;72,1;3,5;69,6
;szeptember–november;2 485,8;86,7;2 572,6;1 003,7;3 576,3;147,0;71,9;3,4;69,5
;október–december;2 488,2;90,4;2 578,5;996,0;3 574,6;148,8;72,1;3,5;69,6
;november–2022. január;2 480,6;95,1;2 575,7;996,4;3 572,1;155,5;72,1;3,7;69,4
;december–2022. február;2 482,6;97,1;2 579,7;992,3;3 572,0;153,8;72,2;3,8;69,5
2022.;január–március;2 481,9;99,2;2 581,1;991,0;3 572,1;154,1;72,3;3,8;69,5
;február–április;2 484,8;95,0;2 579,8;993,0;3 572,9;143,5;72,2;3,7;69,5
;március–május;2 488,0;92,5;2 580,5;990,9;3 571,4;140,6;72,3;3,6;69,7
;április–június;2 491,6;87,3;2 578,9;991,2;3 570,1;136,6;72,2;3,4;69,8
;május–július;2 499,1;88,1;2 587,2;981,8;3 569,0;135,7;72,5;3,4;70,0
;június–augusztus;2 500,8;92,3;2 593,1;974,9;3 568,0;137,9;72,7;3,6;70,1
;július–szeptember;2 503,2;97,3;2 600,5;966,4;3 566,9;144,9;72,9;3,7;70,2
;augusztus–október;2 499,8;92,9;2 592,8;973,1;3 565,9;146,4;72,7;3,6;70,1
;szeptember–november;;;;;;;;;
;október–december;;;;;;;;;
;november–2023. január;;;;;;;;;
;december–2023. február;;;;;;;;;
Nõ;;;;;;;;;;
2009.;január–március;1 862,6;178,2;2 040,8;1 962,8;4 003,6;302,4;51,0;8,7;46,5
;február–április;1 860,6;182,5;2 043,1;1 959,6;4 002,7;306,9;51,0;8,9;46,5
;március–május;1 867,7;179,3;2 047,0;1 954,8;4 001,8;307,0;51,2;8,8;46,7
;április–június;1 870,0;176,4;2 046,4;1 954,5;4 000,9;302,5;51,1;8,6;46,7
;május–július;1 881,2;178,5;2 059,7;1 940,3;4 000,0;305,1;51,5;8,7;47,0
;június–augusztus;1 876,8;186,2;2 063,1;1 936,0;3 999,1;317,1;51,6;9,0;46,9
;július–szeptember;1 870,5;192,3;2 062,8;1 935,4;3 998,2;326,2;51,6;9,3;46,8
;augusztus–október;1 871,6;192,5;2 064,0;1 933,3;3 997,3;328,5;51,6;9,3;46,8
;szeptember–november;1 867,5;195,4;2 062,9;1 933,5;3 996,4;331,0;51,6;9,5;46,7
;október–december;1 870,8;195,6;2 066,4;1 929,1;3 995,5;330,4;51,7;9,5;46,8
;november–2010. január;1 859,3;202,4;2 061,7;1 932,9;3 994,6;337,2;51,6;9,8;46,5
;december–2010. február;1 865,2;205,5;2 070,7;1 923,0;3 993,7;339,9;51,9;9,9;46,7
2010.;január–március;1 867,9;210,9;2 078,8;1 914,0;3 992,8;347,2;52,1;10,1;46,8
;február–április;1 871,6;210,1;2 081,7;1 910,2;3 991,9;345,5;52,1;10,1;46,9
;március–május;1 871,8;209,2;2 081,1;1 909,9;3 991,0;346,2;52,1;10,1;46,9
;április–június;1 880,2;203,6;2 083,9;1 906,2;3 990,1;339,5;52,2;9,8;47,1
;május–július;1 882,9;204,1;2 087,0;1 902,2;3 989,2;340,4;52,3;9,8;47,2
;június–augusztus;1 880,6;206,3;2 086,9;1 901,5;3 988,3;341,9;52,3;9,9;47,2
;július–szeptember;1 887,2;209,0;2 096,2;1 891,3;3 987,4;346,7;52,6;10,0;47,3
;augusztus–október;1 896,8;205,1;2 101,9;1 884,6;3 986,5;339,7;52,7;9,8;47,6
;szeptember–november;1 895,3;206,6;2 101,9;1 883,8;3 985,6;341,5;52,7;9,8;47,6
;október–december;1 884,1;205,9;2 090,0;1 894,8;3 984,7;347,7;52,4;9,9;47,3
;november–2011. január;1 874,9;207,6;2 082,5;1 901,4;3 983,9;350,6;52,3;10,0;47,1
;december–2011. február;1 866,2;212,6;2 078,8;1 904,2;3 983,0;360,8;52,2;10,2;46,9
2011.;január–március;1 861,8;217,2;2 079,1;1 903,0;3 982,1;365,3;52,2;10,4;46,8
;február–április;1 865,9;216,0;2 081,9;1 899,2;3 981,1;362,5;52,3;10,4;46,9
;március–május;1 876,2;210,4;2 086,6;1 893,6;3 980,3;353,2;52,4;10,1;47,1
;április–június;1 877,0;213,2;2 090,2;1 889,1;3 979,4;357,5;52,5;10,2;47,2
;május–július;1 885,0;213,9;2 098,9;1 879,5;3 978,5;362,3;52,8;10,2;47,4
;június–augusztus;1 889,0;212,7;2 101,7;1 875,9;3 977,5;365,0;52,8;10,1;47,5
;július–szeptember;1 888,9;213,0;2 101,9;1 874,7;3 976,6;366,2;52,9;10,1;47,5
;augusztus–október;1 897,1;218,6;2 115,7;1 860,0;3 975,7;369,2;53,2;10,3;47,7
;szeptember–november;1 901,2;214,0;2 115,2;1 858,8;3 974,0;366,8;53,2;10,1;47,8
;október–december;1 893,5;212,4;2 105,9;1 865,8;3 971,7;366,4;53,0;10,1;47,7
;november–2012. január;1 878,2;217,6;2 095,8;1 873,0;3 968,8;377,4;52,8;10,4;47,3
;december–2012. február;1 872,6;221,8;2 094,4;1 872,1;3 966,5;376,7;52,8;10,6;47,2
2012.;január–március;1 870,7;225,5;2 096,2;1 868,6;3 964,8;380,1;52,9;10,8;47,2
;február–április;1 876,4;225,3;2 101,8;1 861,6;3 963,4;386,1;53,0;10,7;47,3
;március–május;1 894,8;217,0;2 111,8;1 850,3;3 962,1;379,7;53,3;10,3;47,8
;április–június;1 907,2;205,7;2 112,9;1 848,0;3 960,9;370,3;53,3;9,7;48,2
;május–július;1 923,8;200,6;2 124,4;1 835,4;3 959,8;369,6;53,6;9,4;48,6
;június–augusztus;1 923,9;203,4;2 127,3;1 831,4;3 958,7;379,9;53,7;9,6;48,6
;július–szeptember;1 941,4;203,2;2 144,6;1 813,1;3 957,6;375,5;54,2;9,5;49,1
;augusztus–október;1 935,8;205,6;2 141,4;1 815,2;3 956,6;374,9;54,1;9,6;48,9
;szeptember–november;1 927,0;209,1;2 136,2;1 819,4;3 955,6;380,9;54,0;9,8;48,7
;október–december;1 917,8;208,4;2 126,2;1 828,4;3 954,6;388,1;53,8;9,8;48,5
;november–2013. január;1 902,7;209,2;2 111,9;1 841,5;3 953,4;394,2;53,4;9,9;48,1
;december–2013. február;1 889,8;210,3;2 100,1;1 851,9;3 952,0;393,5;53,1;10,0;47,8
2013.;január–március;1 892,8;212,3;2 105,1;1 845,2;3 950,3;392,0;53,3;10,1;47,9
;február–április;1 908,1;208,2;2 116,3;1 832,0;3 948,3;385,7;53,6;9,8;48,3
;március–május;1 914,7;205,9;2 120,5;1 825,8;3 946,4;382,4;53,7;9,7;48,5
;április–június;1 921,3;204,1;2 125,3;1 819,2;3 944,5;379,2;53,9;9,6;48,7
;május–július;1 929,1;200,9;2 130,0;1 812,8;3 942,7;371,6;54,0;9,4;48,9
;június–augusztus;1 931,4;203,3;2 134,7;1 806,3;3 941,0;369,2;54,2;9,5;49,0
;július–szeptember;1 937,1;200,3;2 137,4;1 801,9;3 939,3;362,8;54,3;9,4;49,2
;augusztus–október;1 941,7;195,4;2 137,2;1 800,4;3 937,6;355,5;54,3;9,1;49,3
;szeptember–november;1 945,7;187,2;2 132,9;1 803,0;3 935,9;345,4;54,2;8,8;49,4
;október–december;1 947,5;187,2;2 134,6;1 799,5;3 934,1;345,1;54,3;8,8;49,5
;november–2014. január;1 960,7;181,1;2 141,8;1 790,5;3 932,3;336,9;54,5;8,5;49,9
;december–2014. február;1 972,9;173,1;2 146,0;1 784,3;3 930,3;332,0;54,6;8,1;50,2
2014.;január–március;1 980,0;171,1;2 151,0;1 777,2;3 928,3;329,2;54,8;8,0;50,4
;február–április;1 987,3;168,7;2 155,9;1 770,2;3 926,1;317,0;54,9;7,8;50,6
;március–május;1 984,4;167,9;2 152,4;1 771,8;3 924,1;315,3;54,8;7,8;50,6
;április–június;1 988,6;167,3;2 155,8;1 766,3;3 922,1;309,1;55,0;7,8;50,7
;május–július;1 996,2;166,0;2 162,2;1 758,0;3 920,2;304,5;55,2;7,7;50,9
;június–augusztus;2 006,9;163,5;2 170,4;1 748,0;3 918,4;298,6;55,4;7,5;51,2
;július–szeptember;2 017,6;158,9;2 176,5;1 740,1;3 916,6;294,5;55,6;7,3;51,5
;augusztus–október;2 012,0;153,3;2 165,3;1 749,3;3 914,7;291,0;55,3;7,1;51,4
;szeptember–november;2 023,7;152,0;2 175,7;1 737,0;3 912,7;283,3;55,6;7,0;51,7
;október–december;2 020,7;147,3;2 168,0;1 742,6;3 910,7;284,0;55,4;6,8;51,7
;november–2015. január;2 020,3;153,2;2 173,4;1 735,2;3 908,6;292,6;55,6;7,0;51,7
;december–2015. február;2 018,1;157,7;2 175,8;1 730,5;3 906,3;299,4;55,7;7,2;51,7
2015.;január–március;2 014,9;161,0;2 175,9;1 727,9;3 903,9;297,7;55,7;7,4;51,6
;február–április;2 027,2;153,8;2 181,0;1 720,4;3 901,4;284,9;55,9;7,1;52,0
;március–május;2 041,2;146,4;2 187,6;1 711,5;3 899,1;270,5;56,1;6,7;52,3
;április–június;2 046,0;146,8;2 192,8;1 705,4;3 898,2;261,4;56,3;6,7;52,5
;május–július;2 049,5;147,3;2 196,8;1 700,7;3 897,6;260,8;56,4;6,7;52,6
;június–augusztus;2 059,8;148,8;2 208,6;1 688,4;3 897,0;260,1;56,7;6,7;52,9
;július–szeptember;2 071,1;140,7;2 211,7;1 683,4;3 895,1;244,7;56,8;6,4;53,2
;augusztus–október;2 072,9;137,6;2 210,5;1 682,8;3 893,3;236,6;56,8;6,2;53,2
;szeptember–november;2 077,2;132,0;2 209,2;1 682,1;3 891,3;233,9;56,8;6,0;53,4
;október–december;2 072,2;134,4;2 206,6;1 682,8;3 889,4;240,5;56,7;6,1;53,3
;november–2016. január;2 062,1;130,8;2 192,9;1 694,6;3 887,5;243,3;56,4;6,0;53,0
;december–2016. február;2 064,3;126,8;2 191,2;1 693,5;3 884,6;237,5;56,4;5,8;53,1
2016.;január–március;2 076,3;125,6;2 201,8;1 679,9;3 881,7;235,1;56,7;5,7;53,5
;február–április;2 085,3;125,3;2 210,6;1 668,2;3 878,8;226,9;57,0;5,7;53,8
;március–május;2 098,9;116,6;2 215,6;1 661,2;3 876,8;211,9;57,1;5,3;54,1
;április–június;2 117,3;102,6;2 220,0;1 656,4;3 876,4;200,3;57,3;4,6;54,6
;május–július;2 133,0;101,9;2 234,9;1 641,3;3 876,2;194,2;57,7;4,6;55,0
;június–augusztus;2 137,3;104,8;2 242,1;1 634,0;3 876,2;197,8;57,8;4,7;55,1
;július–szeptember;2 136,8;104,6;2 241,4;1 633,2;3 874,6;193,1;57,8;4,7;55,2
;augusztus–október;2 139,8;104,5;2 244,3;1 628,7;3 872,9;191,6;57,9;4,7;55,2
;szeptember–november;2 144,1;97,7;2 241,8;1 629,5;3 871,3;187,2;57,9;4,4;55,4
;október–december;2 147,8;95,0;2 242,8;1 626,7;3 869,6;186,8;58,0;4,2;55,5
;november–2017. január;2 145,2;86,8;2 231,9;1 635,8;3 867,7;183,7;57,7;3,9;55,5
;december–2017. február;2 127,0;91,2;2 218,2;1 646,1;3 864,3;192,1;57,4;4,1;55,0
2017.;január–március;2 120,0;97,8;2 217,7;1 643,4;3 861,2;198,8;57,4;4,4;54,9
;február–április;2 123,1;102,3;2 225,4;1 631,9;3 857,3;200,9;57,7;4,6;55,0
;március–május;2 124,2;99,2;2 223,3;1 630,9;3 854,3;192,6;57,7;4,5;55,1
;április–június;2 123,4;96,2;2 219,6;1 631,3;3 850,9;188,6;57,6;4,3;55,1
;május–július;2 119,9;94,7;2 214,6;1 633,4;3 848,0;191,2;57,6;4,3;55,1
;június–augusztus;2 131,0;101,3;2 232,4;1 613,3;3 845,7;191,3;58,0;4,5;55,4
;július–szeptember;2 138,0;97,3;2 235,3;1 607,9;3 843,2;182,4;58,2;4,4;55,6
;augusztus–október;2 142,3;96,1;2 238,4;1 602,4;3 840,7;177,6;58,3;4,3;55,8
;szeptember–november;2 142,5;90,6;2 233,1;1 605,4;3 838,5;171,0;58,2;4,1;55,8
;október–december;2 142,4;92,2;2 234,6;1 601,5;3 836,0;171,0;58,3;4,1;55,8
;november–2018. január;2 139,1;90,0;2 229,0;1 604,5;3 833,5;171,9;58,1;4,0;55,8
;december–2018. február;2 146,6;90,6;2 237,1;1 595,6;3 832,7;171,9;58,4;4,0;56,0
2018.;január–március;2 143,4;89,4;2 232,8;1 599,4;3 832,2;168,4;58,3;4,0;55,9
;február–április;2 145,1;89,9;2 235,0;1 596,8;3 831,8;169,0;58,3;4,0;56,0
;március–május;2 156,9;83,3;2 240,2;1 590,7;3 830,9;162,9;58,5;3,7;56,3
;április–június;2 163,8;76,9;2 240,7;1 589,4;3 830,1;163,5;58,5;3,4;56,5
;május–július;2 172,3;79,5;2 251,8;1 577,8;3 829,6;159,1;58,8;3,5;56,7
;június–augusztus;2 167,0;86,9;2 253,8;1 574,0;3 827,8;163,6;58,9;3,9;56,6
;július–szeptember;2 169,4;92,4;2 261,8;1 564,3;3 826,1;164,7;59,1;4,1;56,7
;augusztus–október;2 174,1;87,4;2 261,5;1 562,9;3 824,5;159,4;59,1;3,9;56,8
;szeptember–november;2 168,4;80,4;2 248,8;1 574,0;3 822,7;154,7;58,8;3,6;56,7
;október–december;2 164,0;76,1;2 240,1;1 580,9;3 821,0;149,8;58,6;3,4;56,6
;november–2019. január;2 164,2;72,9;2 237,0;1 582,2;3 819,2;148,9;58,6;3,3;56,7
;december–2019. február;2 161,9;74,7;2 236,6;1 581,7;3 818,3;149,6;58,6;3,3;56,6
2019.;január–március;2 158,2;75,1;2 233,3;1 583,9;3 817,3;147,1;58,5;3,4;56,5
;február–április;2 152,3;73,1;2 225,3;1 591,0;3 816,3;143,6;58,3;3,3;56,4
;március–május;2 158,7;69,7;2 228,5;1 587,0;3 815,5;141,6;58,4;3,1;56,6
;április–június;2 170,7;67,3;2 238,0;1 576,9;3 814,9;142,6;58,7;3,0;56,9
;május–július;2 170,6;69,8;2 240,3;1 574,1;3 814,5;149,9;58,7;3,1;56,9
;június–augusztus;2 167,6;75,1;2 242,6;1 570,3;3 812,9;154,9;58,8;3,3;56,8
;július–szeptember;2 166,8;77,3;2 244,0;1 567,4;3 811,4;154,8;58,9;3,4;56,8
;augusztus–október;2 172,1;78,1;2 250,2;1 559,7;3 809,9;147,5;59,1;3,5;57,0
;szeptember–november;2 162,4;77,9;2 240,3;1 568,1;3 808,4;152,6;58,8;3,5;56,8
;október–december;2 162,3;71,6;2 233,9;1 573,0;3 806,9;147,9;58,7;3,2;56,8
;november–2020. január;2 154,3;73,9;2 228,2;1 577,0;3 805,2;155,6;58,6;3,3;56,6
;december–2020. február;2 161,1;76,3;2 237,4;1 567,0;3 804,5;152,1;58,8;3,4;56,8
2020.;január–március;2 149,2;81,0;2 230,1;1 573,7;3 803,9;167,8;58,6;3,6;56,5
;február–április;2 134,9;82,6;2 217,5;1 586,1;3 803,6;186,2;58,3;3,7;56,1
;március–május;2 120,0;86,2;2 206,2;1 596,4;3 802,6;206,2;58,0;3,9;55,8
;április–június;2 123,4;102,2;2 225,7;1 576,1;3 801,7;228,2;58,5;4,6;55,9
;május–július;2 135,9;106,1;2 242,0;1 558,9;3 800,8;222,8;59,0;4,7;56,2
;június–augusztus;2 147,0;105,4;2 252,3;1 547,7;3 800,0;208,6;59,3;4,7;56,5
;július–szeptember;2 149,6;97,6;2 247,2;1 552,1;3 799,2;192,4;59,1;4,3;56,6
;augusztus–október;2 147,2;93,6;2 240,9;1 557,6;3 798,5;186,7;59,0;4,2;56,5
;szeptember–november;2 138,1;92,8;2 230,8;1 566,7;3 797,6;186,7;58,7;4,2;56,3
;október–december;2 142,5;92,7;2 235,2;1 561,2;3 796,4;187,1;58,9;4,1;56,4
;november–2021. január;2 129,2;101,3;2 230,5;1 564,5;3 795,0;210,7;58,8;4,5;56,1
;december–2021. február;2 119,6;105,4;2 225,1;1 565,0;3 790,1;228,3;58,7;4,7;55,9
2021.;január–március;2 111,5;108,5;2 220,0;1 565,1;3 785,1;237,1;58,7;4,9;55,8
;február–április;2 125,2;100,1;2 225,3;1 554,4;3 779,7;217,4;58,9;4,5;56,2
;március–május;2 134,2;97,0;2 231,1;1 546,1;3 777,2;199,4;59,1;4,3;56,5
;április–június;2 155,5;93,6;2 249,0;1 526,6;3 775,7;181,7;59,6;4,2;57,1
;május–július;2 167,0;94,3;2 261,3;1 513,4;3 774,6;173,0;59,9;4,2;57,4
;június–augusztus;2 179,1;95,6;2 274,7;1 499,4;3 774,1;171,5;60,3;4,2;57,7
;július–szeptember;2 184,3;91,2;2 275,6;1 497,1;3 772,7;160,5;60,3;4,0;57,9
;augusztus–október;2 188,8;93,6;2 282,3;1 489,0;3 771,4;158,1;60,5;4,1;58,0
;szeptember–november;2 201,3;90,3;2 291,6;1 478,3;3 769,9;151,0;60,8;3,9;58,4
;október–december;2 199,7;89,9;2 289,7;1 478,5;3 768,1;152,8;60,8;3,9;58,4
;november–2022. január;2 195,5;87,9;2 283,4;1 482,5;3 766,0;156,1;60,6;3,9;58,3
;december–2022. február;2 192,4;86,4;2 278,8;1 486,7;3 765,5;155,0;60,5;3,8;58,2
2022.;január–március;2 192,4;81,9;2 274,3;1 490,9;3 765,2;144,4;60,4;3,6;58,2
;február–április;2 199,5;75,3;2 274,7;1 490,3;3 765,1;133,0;60,4;3,3;58,4
;március–május;2 205,3;72,2;2 277,5;1 485,7;3 763,2;125,3;60,5;3,2;58,6
;április–június;2 201,6;69,6;2 271,2;1 490,1;3 761,4;125,2;60,4;3,1;58,5
;május–július;2 199,5;71,8;2 271,3;1 488,4;3 759,7;128,2;60,4;3,2;58,5
;június–augusztus;2 210,6;73,2;2 283,8;1 474,3;3 758,1;131,8;60,8;3,2;58,8
;július–szeptember;2 209,0;81,0;2 289,9;1 466,6;3 756,5;134,8;61,0;3,5;58,8
;augusztus–október;2 214,5;81,3;2 295,8;1 459,1;3 754,9;133,3;61,1;3,5;59,0
;szeptember–november;;;;;;;;;
;október–december;;;;;;;;;
;november–2023. január;;;;;;;;;
;december–2023. február;;;;;;;;;
