13.2.1.35. A kiemelt feldolgozóipari ágazatok új export rendelése havonta [összehasonlító áron, elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;
Év;Idõszak Kód;Papír, papírtermék gyártása 17;Vegyi anyag, termék gyártása 20;Gyógyszergyártás 21;Fémalapanyag és fémfeldolgozási termék gyártása 24+25;Számítógép, elektronikai, optikai termék gyártása 26;Villamos berendezés gyártása 27;Gép, gépi berendezés gyártása 28;Jármûgyártás 29+30;Kiemelt ágazatok összesen
2018.;január;112,5;138,3;179,3;123,8;116,5;100,5;113,6;98,2;111,1
;február;104,5;105,6;94,1;110,1;119,4;104,6;116,0;97,1;104,8
;március;92,3;110,9;89,1;98,6;99,3;91,4;119,5;87,1;95,3
;április;108,1;106,6;83,3;110,0;103,0;108,3;114,0;112,4;107,9
;május;88,8;124,9;103,5;118,1;122,8;113,0;100,1;88,2;103,3
;június;111,7;110,7;66,5;102,1;110,7;118,2;113,1;123,4;112,6
;július;113,2;118,0;82,2;109,9;130,0;110,0;114,8;107,3;112,5
;augusztus;103,7;110,4;111,9;98,4;124,3;129,7;102,2;82,0;99,3
;szeptember;93,4;100,0;76,1;100,3;94,3;94,2;112,3;90,0;93,6
;október;96,9;100,9;98,6;110,2;114,0;95,8;82,3;108,2;104,2
;november;105,2;85,1;96,6;93,2;101,8;116,0;91,5;108,3;101,8
;december;107,1;122,2;69,6;89,8;125,2;96,0;73,7;101,6;101,5
2019.;január;95,3;78,7;92,6;90,6;104,4;136,9;105,6;111,5;104,8
;február;125,1;100,6;94,3;87,9;101,1;126,3;97,3;112,1;105,6
;március;109,1;103,8;145,6;102,5;116,8;137,7;80,8;128,1;117,5
;április;108,6;93,6;51,8;98,4;92,7;114,5;104,5;100,1;97,3
;május;97,5;75,0;92,7;83,9;98,1;115,7;97,2;116,3;102,4
;június;86,1;84,2;107,0;85,5;92,3;104,6;99,6;77,5;86,7
;július;102,3;82,8;181,4;93,6;99,6;120,8;97,6;118,6;109,3
;augusztus;98,7;80,9;104,3;88,8;97,8;96,6;94,6;91,3;93,4
;szeptember;95,9;116,9;107,0;99,8;143,1;142,9;122,1;131,6;128,7
;október;122,7;78,0;109,8;82,0;104,2;90,0;113,8;106,1;100,3
;november;96,5;103,5;124,4;88,4;119,4;135,3;105,0;101,7;107,7
;december;111,8;79,3;119,7;105,5;95,3;143,5;108,5;108,8;107,1
2020.;január;85,7;120,5;102,4;122,0;114,8;112,6;88,8;115,0;112,1
;február;84,8;85,6;98,6;91,7;121,9;126,1;93,6;107,9;107,0
;március;127,6;83,6;61,5;90,2;91,3;110,7;109,2;78,8;86,8
;április;84,0;76,5;235,1;66,5;80,5;72,9;70,9;23,1;55,9
;május;78,9;107,1;89,8;66,3;75,2;96,1;84,6;32,1;60,7
;június;104,2;106,7;99,4;102,7;114,5;131,4;122,5;128,6;119,8
;július;93,6;108,9;70,4;88,0;95,3;120,5;94,9;90,5;93,8
;augusztus;98,3;140,6;102,1;88,0;104,5;124,7;98,0;134,2;117,1
;szeptember;104,0;88,5;134,0;108,3;105,5;126,4;83,6;111,9;108,3
;október;97,7;141,5;90,1;109,6;109,9;103,8;104,0;96,8;104,0
;november;96,4;110,7;114,4;103,6;101,5;152,0;119,2;106,7;110,2
;december;97,0;115,5;126,7;96,0;98,5;139,2;91,5;86,8;92,7
2021.;január;92,7;79,8;74,5;72,7;107,4;163,5;88,7;87,1;94,0
;február;101,1;120,3;132,2;99,4;115,9;151,3;98,8;88,0;104,3
;március;85,0;120,2;92,8;104,8;117,7;175,7;102,3;124,3;121,2
;április;126,7;146,5;89,5;138,8;153,9;257,2;140,8;442,4;203,3
;május;122,6;99,1;129,1;136,9;122,8;176,0;122,1;255,8;156,0
;június;112,7;111,1;95,3;106,7;118,4;154,3;123,0;86,6;106,7
;július;103,1;120,8;113,0;104,5;107,9;151,1;118,7;97,7;109,4
;augusztus;107,7;117,4;69,6;114,3;91,1;129,3;132,1;52,4;84,4
;szeptember;105,9;112,2;71,9;118,4;81,9;160,5;125,9;75,6;92,7
;október;83,8;79,4;82,0;111,5;89,9;89,4;106,9;62,8;82,2
;november;102,4;92,0;83,0;104,1;114,1;114,0;90,5;84,4;96,7
;december;89,3;98,4;62,7;102,3;128,6;120,3;113,1;130,9;123,4
2022.;január;105,7;104,5;107,8;132,2;97,8;103,2;119,4;92,7;101,7
;február;98,1;94,9;98,3;109,0;102,3;112,3;115,7;104,1;104,7
;március;108,9;97,6;138,9;115,5;100,0;128,9;98,2;90,3;102,2
;április;94,6;78,8;110,5;99,1;115,9;122,1;154,3;108,2;110,5
;május;111,1;100,9;86,0;99,8;127,1;142,8;120,4;149,8;128,3
;június;91,7;82,7;77,6;89,3;98,3;127,8;80,6;95,8;96,0
;július;100,4;71,7;86,1;87,2;111,9;139,5;99,4;129,1;112,2
;augusztus;114,9;72,2;138,6;71,8;145,8;165,3;94,3;167,0;130,0
;szeptember;110,9;93,9;127,2;60,7;125,8;147,3;94,3;140,4;121,3
;október;105,5;99,2;121,3;78,3;120,7;157,4;101,7;155,0;125,3
;november;;;;;;;;;
;december;;;;;;;;;
