20.2.2.6. A munkanélküliek száma, megye és régió szerint, negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009. I. negyedév;2009. II. negyedév;2009. III. negyedév;2009. IV. negyedév;2010. I. negyedév;2010. II. negyedév;2010. III. negyedév;2010. IV. negyedév;2011. I. negyedév;2011. II. negyedév;2011. III. negyedév;2011. IV. negyedév;2012. I. negyedév;2012. II. negyedév;2012. III. negyedév;2012. IV. negyedév;2013. I. negyedév;2013. II. negyedév;2013. III. negyedév;2013. IV. negyedév;2014. I. negyedév;2014. II. negyedév;2014. III. negyedév;2014. IV. negyedév;2015. I. negyedév;2015. II. negyedév;2015. III. negyedév;2015. IV. negyedév;2016. I. negyedév;2016. II. negyedév;2016. III. negyedév;2016. IV. negyedév;2017. I. negyedév;2017. II. negyedév;2017. III. negyedév;2017. IV. negyedév;2018. I. negyedév;2018. II. negyedév;2018. III. negyedév;2018. IV. negyedév;2019. I. negyedév;2019. II. negyedév;2019. III. negyedév;2019. IV. negyedév;2020. I. negyedév;2020. II. negyedév;2020. III. negyedév;2020. IV. negyedév;2021. I. negyedév;2021. II. negyedév;2021. III. negyedév;2021. IV. negyedév;2022. I. negyedév;2022. II. negyedév;2022. III. negyedév;2022. IV. negyedév
Nyugat-Dunántúl;régió;34,2;37,3;42,8;41,0;41,4;43,0;41,7;37,8;35,9;32,3;31,4;29,2;35,0;32,4;31,4;36,4;40,1;34,3;33,3;31,3;23,2;22,3;20,8;18,5;22,6;16,8;15,2;16,5;14,8;12,9;12,5;10,0;11,0;11,6;10,4;13,6;8,7;7,9;12,0;10,9;10,3;8,4;8,6;7,9;7,4;16,6;13,2;9,4;11,8;12,2;11,9;9,9;11,4;8,8;14,7;
Baranya;megye;16,6;18,4;17,2;19,2;23,1;22,4;18,4;22,9;23,6;18,8;23,3;23,5;22,9;23,3;20,6;20,3;20,2;14,9;15,8;12,5;13,2;15,5;13,6;11,3;13,7;13,3;15,6;13,6;13,4;12,0;12,9;12,4;12,3;12,8;13,3;11,7;13,7;12,6;8,9;12,4;11,3;10,2;9,7;12,8;14,8;11,6;10,3;10,1;10,1;8,3;8,4;9,5;7,3;7,0;7,6;
Somogy;megye;13,0;15,2;14,9;17,0;20,0;16,4;16,8;18,3;21,0;18,0;15,7;13,9;16,8;14,0;13,2;12,0;14,4;15,1;13,3;12,8;12,6;12,1;10,5;11,6;13,2;9,2;11,2;10,9;8,3;7,5;6,2;6,5;8,8;9,1;9,8;10,6;11,4;8,3;5,8;6,6;4,0;5,2;4,5;4,9;6,3;5,5;6,0;4,5;7,3;8,4;6,6;6,6;9,1;7,9;7,1;
Tolna ;megye;10,5;9,6;8,3;7,6;9,7;8,4;6,6;7,0;8,9;8,9;7,7;9,9;10,8;8,4;9,6;7,4;7,1;5,2;4,3;4,2;4,7;5,7;5,3;6,2;6,6;7,0;7,0;7,1;4,3;3,9;4,8;4,7;3,8;3,2;2,4;2,2;1,6;2,2;2,9;1,9;3,1;2,3;3,4;3,4;2,3;2,8;3,4;3,1;3,7;1,2;3,5;2,2;3,0;3,1;4,3;
Dél-Dunántúl;régió;40,1;43,3;40,4;43,9;52,8;47,1;41,8;48,2;53,5;45,7;46,7;47,4;50,6;45,8;43,4;39,7;41,7;35,3;33,3;29,5;30,6;33,3;29,4;29,1;33,5;29,6;33,8;31,6;26,1;23,4;23,9;23,6;24,9;25,2;25,5;24,5;26,7;23,1;17,6;20,9;18,4;17,8;17,5;21,1;23,4;19,9;19,7;17,6;21,0;17,9;18,5;18,3;19,4;18,1;19,1;
Dunántúl;nagyrégió;115,4;119,9;129,9;131,6;148,0;137,8;128,8;130,3;136,6;123,0;123,7;124,4;137,8;126,9;119,4;124,0;133,2;114,5;105,7;96,4;83,0;83,7;75,6;74,7;82,5;68,0;70,4;69,5;60,8;51,1;50,8;45,3;45,3;48,0;47,8;50,9;47,0;42,7;39,5;43,6;39,9;35,6;35,9;38,9;42,5;56,6;46,6;38,9;45,5;43,0;41,4;36,8;40,2;35,7;44,3;
Borsod-Abaúj-Zemplén;megye;43,7;41,4;41,3;43,6;46,3;47,2;46,7;45,0;49,6;44,5;47,0;45,9;48,8;42,4;43,9;40,6;37,3;34,3;28,5;27,2;26,4;32,8;34,9;29,3;32,7;25,1;24,3;20,1;20,9;16,9;19,1;18,6;18,5;15,8;15,2;15,9;13,4;15,1;15,4;14,9;13,6;13,7;12,6;10,2;12,3;12,5;16,1;14,4;14,0;14,4;20,7;20,4;22,4;18,2;16,9;
Heves;megye;16,6;15,6;16,8;16,6;16,6;14,2;13,8;15,2;16,0;16,2;16,7;17,9;18,8;18,8;17,6;16,9;16,1;14,6;14,8;15,1;11,6;14,0;13,9;10,8;12,3;11,8;9,6;7,8;6,5;5,9;4,1;5,9;5,5;5,0;7,0;5,1;4,7;2,2;2,6;3,4;3,1;3,9;3,4;3,8;2,8;4,7;4,8;4,4;4,8;5,4;4,1;5,0;3,9;3,8;7,3;
Nógrád ;megye;13,4;12,2;13,0;11,8;16,3;14,6;14,3;14,5;14,8;15,3;12,1;12,4;14,6;13,0;13,3;13,4;14,3;12,5;11,4;8,8;6,9;6,7;7,7;6,0;8,3;6,0;6,0;7,3;6,6;6,6;7,2;7,5;10,0;6,0;6,5;7,2;6,6;6,8;5,9;4,8;6,2;6,6;6,4;5,3;6,5;5,6;7,8;7,5;9,6;10,1;10,3;7,8;8,2;7,9;7,4;
Észak-Magyarország;régió;73,7;69,2;71,2;72,0;79,2;76,0;74,8;74,7;80,4;76,0;75,8;76,1;82,2;74,2;74,8;71,0;67,6;61,5;54,6;51,0;44,9;53,5;56,5;46,0;53,4;42,8;39,9;35,2;34,0;29,5;30,4;32,0;33,9;26,8;28,6;28,2;24,7;24,1;24,0;23,2;22,8;24,2;22,4;19,3;21,6;22,8;28,7;26,4;28,4;29,9;35,1;33,2;34,4;29,8;31,6;
