21.2.1.25. Külföld szektor negyedéves számlái [folyó áron, millió forint];;;;;;;;;;;;;;;;;
Év;Negyedév;Termékek és szolgáltatások exportja (-) P.6;Termékek és szolgáltatások importja (+) P.7;Termékek és szolgáltatások külkereskedelmi egyenlege B.11;Munkavállalói jövedelmek egyenlege D.1;Termelési és importadók és -támogatások egyenlege D.2–D.3;Tulajdonosi jövedelem egyenlege D.4;Folyó jövedelem-, vagyon- stb. adók egyenlege D.5;Nettó társadalombiztosítási hozzájárulások egyenlege D.61;Pénzbeni társadalmi juttatások egyenlege D.62;Egyéb folyó jövedelemátutalások egyenlege D.7;Nyugdíjjogosultságok változása miatti korrekció egyenlege D.8;Folyó külsõ egyenleg B.12;Tõketranszferek egyenlege D.9;A nettó vagyon változása megtakarítás és tõketranszferek miatt B.10.1;Nem termelt eszközök beszerzésének és eladásának egyenlege (-) NP;Nettó hitelnyújtás (+) / nettó hitelfelvétel (-) B.9
;III.;4 883 648;4 584 790;-298 858;-30 657;-55 586;404 739;10 072;11 154;-987;-5 432;–;34 445;-104 999;-70 554;-2 287;-68 267
;IV.;5 134 479;4 935 250;-199 229;-40 052;-63 374;390 387;12 321;13 691;-988;-29 241;–;83 515;-180 328;-96 813;4 968;-101 781
2010.;I.;4 904 490;4 614 122;-290 368;-43 359;-62 697;373 042;16 934;14 757;-1 395;35 862;–;42 776;-123 479;-80 703;-32;-80 671
;II.;5 476 415;5 110 902;-365 513;-52 812;-74 073;421 189;14 447;17 286;-1 395;-23 750;–;-64 621;-108 973;-173 594;1 863;-175 457
;III.;5 874 682;5 547 913;-326 769;-52 883;-65 452;392 285;17 143;17 298;-1 394;-14 540;–;-34 312;-132 175;-166 487;985;-167 472
;IV.;6 036 831;5 714 023;-322 808;-48 632;-73 854;580 893;13 902;16 279;-1 395;12 394;–;176 779;-193 712;-16 933;-61 624;44 691
2011.;I.;5 896 594;5 497 327;-399 267;-55 664;-104 396;433 835;20 909;17 908;-2 051;67 962;–;-20 764;-233 096;-253 860;-15 189;-238 671
;II.;5 859 471;5 430 798;-428 673;-72 293;-87 592;505 187;25 332;22 247;-2 051;15 138;–;-22 705;-77 962;-100 667;1 510;-102 177
;III.;6 089 215;5 644 171;-445 044;-77 420;-73 086;507 861;20 253;23 523;-2 051;-23 333;–;-69 297;-168 454;-237 751;1 605;-239 356
;IV.;6 719 747;6 359 715;-360 032;-77 706;-95 070;578 334;19 933;23 720;-2 053;-20 536;–;66 590;-201 945;-135 355;4 281;-139 636
2012.;I.;6 247 481;5 892 819;-354 662;-109 265;-90 879;372 554;37 677;31 554;-2 861;127 214;–;11 332;-137 193;-125 861;-1 830;-124 031
;II.;6 342 670;5 802 113;-540 557;-112 325;-88 415;507 064;31 457;32 403;-2 861;12 065;–;-161 169;-102 926;-264 095;-1 324;-262 771
;III.;6 216 404;5 637 696;-578 708;-130 568;-75 221;455 433;29 727;37 064;-2 861;-6 544;–;-271 678;-182 762;-454 440;4 757;-459 197
;IV.;6 095 578;5 797 772;-297 806;-136 304;-116 357;751 929;31 073;38 681;-2 862;-109 211;–;159 143;-307 035;-147 892;6 084;-153 976
2013.;I.;6 148 375;5 682 758;-465 617;-159 902;-112 624;374 748;39 853;44 459;-3 537;44 900;–;-237 720;-182 123;-419 843;2 997;-422 840
;II.;6 459 713;5 981 954;-477 759;-176 899;-93 614;548 749;45 189;48 940;-3 537;-57 347;–;-166 278;-274 626;-440 904;6 598;-447 502
;III.;6 638 241;5 963 509;-674 732;-178 149;-87 175;487 591;57 779;49 215;-3 537;-19 422;–;-368 430;-202 573;-571 003;1 483;-572 486
;IV.;6 677 481;6 330 141;-347 340;-165 199;-123 669;568 997;36 704;46 023;-3 536;-111 647;–;-99 667;-487 485;-587 152;-5 629;-581 523
2014.;I.;6 844 078;6 319 897;-524 181;-167 722;-93 203;686 782;58 062;46 218;-4 246;4 328;–;6 038;-132 112;-126 074;6 265;-132 339
;II.;7 085 340;6 699 991;-385 349;-169 004;-101 306;713 656;39 100;46 638;-4 246;-16 960;–;122 529;-211 552;-89 023;2 660;-91 683
;III.;7 342 901;6 719 730;-623 171;-179 983;-80 363;612 547;42 753;49 401;-4 246;-68 137;–;-251 199;-292 637;-543 836;-5 244;-538 592
;IV.;7 308 279;6 921 138;-387 141;-203 186;-132 035;594 412;46 594;55 506;-4 247;-9 137;–;-39 234;-583 571;-622 805;-10 969;-611 836
2015.;I.;7 257 659;6 514 041;-743 618;-201 649;-99 665;540 563;46 425;54 292;-5 126;30 125;–;-378 653;-227 656;-606 309;3 838;-610 147
;II.;7 567 384;6 973 041;-594 343;-206 475;-85 601;731 268;50 176;55 607;-5 126;-27 370;–;-81 864;-423 018;-504 882;-35 354;-469 528
;III.;7 802 009;7 066 654;-735 355;-221 565;-75 107;736 081;69 868;59 402;-5 126;-28 289;–;-200 091;-215 732;-415 823;6 193;-422 016
;IV.;7 976 758;7 346 404;-630 354;-225 250;-136 782;917 841;49 448;60 503;-5 125;-10 227;–;20 054;-764 562;-744 508;-7 955;-736 553
2016.;I.;7 391 488;6 693 516;-697 972;-229 508;-82 378;442 290;58 856;61 981;-6 237;11 787;–;-441 181;-78 479;-519 660;3 715;-523 375
;II.;8 036 888;7 149 179;-887 709;-220 326;-107 632;573 607;48 859;59 738;-6 237;19 606;–;-520 094;-16 204;-536 298;3 684;-539 982
;III.;7 958 099;7 070 502;-887 597;-213 451;-77 760;554 933;47 710;57 910;-6 237;15 855;–;-508 637;-89 992;-598 629;-80 836;-517 793
;IV.;7 897 800;7 327 709;-570 091;-215 944;-108 682;661 374;52 861;58 727;-6 239;85 224;–;-42 770;90 246;47 476;-23 333;70 809
2017.;I.;8 175 582;7 634 255;-541 327;-210 161;-68 358;567 124;47 252;58 148;-7 206;-6 871;–;-161 399;-86 189;-247 588;-1 684;-245 904
;II.;8 600 491;7 742 362;-858 129;-210 241;-113 507;765 115;51 812;58 374;-7 206;-4 789;–;-318 571;-151 274;-469 845;3 056;-472 901
;III.;8 393 958;7 707 547;-686 411;-206 983;-68 329;671 354;48 513;57 409;-7 207;48 419;–;-143 235;-42 902;-186 137;-19 105;-167 032
;IV.;8 574 669;8 064 234;-510 435;-185 003;-125 494;773 507;65 224;52 073;-7 208;-58 298;–;4 366;-65 922;-61 556;-1 346;-60 210
2018.;I.;8 551 382;8 023 871;-527 511;-176 875;-68 668;554 132;43 467;51 335;-8 900;-7 662;–;-140 682;-161 314;-301 996;9 272;-311 268
;II.;9 284 674;8 627 216;-657 458;-199 783;-119 099;799 296;51 683;57 468;-8 900;-33 148;–;-109 941;-170 831;-280 772;15 668;-296 440
