21.1.1.43. Külföld szektor számlái [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Megnevezés;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Termékek és szolgáltatások külföld számlája;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott osztalék, részesedés;45 454;59 813;109 580;214 062;262 589;279 062;297 865;332 857;328 095;503 217;667 181;1 428 194;1 694 952;1 665 560;2 004 510;2 010 232;2 009 887;1 563 324;1 379 920;1 049 184;1 744 459;1 367 019;1 227 679;1 345 680;1 932 557;1 742 197;2 422 018
;fizetett osztalék, részesedés;2 733;3 682;5 572;5 609;3 979;10 246;23 558;11 340;15 840;42 202;108 134;579 696;672 372;563 288;479 083;669 145;866 677;520 731;357 470;481 511;333 125;598 314;574 332;420 391;568 191;1 136 275;1 534 352
D.43;Külföldi közvetlen tõkebefektetés újrabefektetett jövedelme, nettó;-27 018;78 187;245 190;252 489;269 366;278 798;382 507;447 549;435 184;517 567;510 975;400 051;548 951;158 872;-960 810;-547 059;24 282;100 671;226 957;1 310 211;907 297;1 184 854;1 891 893;1 610 286;1 147 122;1 927 391;2 309 749
D.44;Egyéb befektetésbõl származó jövedelem, nettó;302;457;819;1 161;1 174;1 165;1 365;810;117;-984;-5 015;-11 758;-22 617;-30 519;-36 166;-48 045;-47 964;-24 175;-20 736;-16 058;-13 873;-22 539;-26 382;-23 576;-23 932;-27 595;-36 175
D.5;Folyó jövedelem-, vagyon-, stb. adók;308;1 254;2 381;4 403;6 086;8 359;10 100;10 081;10 120;15 644;17 278;23 321;23 278;36 011;45 761;62 426;86 427;129 934;179 525;186 509;215 917;208 286;212 801;192 799;230 793;187 222;161 824
D.61;Nettó társadalombiztosítási hozzájárulások;-4 255;-3 348;-1 837;-62;2 835;4 983;7 271;8 499;8 814;14 712;14 523;18 271;12 854;22 316;45 907;65 620;87 398;139 702;188 637;197 763;229 804;238 356;226 004;224 138;261 551;226 268;190 913
D.62;Pénzbeni társadalmi juttatások;2 624;2 833;3 029;3 211;3 360;3 465;3 385;3 160;2 811;1 961;1 648;658;-471;-2 770;-3 949;-5 579;-8 206;-11 445;-14 147;-16 985;-20 503;-24 950;-28 827;-35 601;-42 091;-49 097;-60 879
D.7;Egyéb folyó jövedelemátutalások, nettó;-28 222;-5 822;-40 764;-70 039;-105 025;-122 427;-119 326;-127 375;-129 141;52 342;45 549;123 748;177 889;161 112;21 061;9 966;39 231;23 524;-143 516;-89 906;-35 761;132 472;-21 539;-226 307;-174 703;-135 092;344 082
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;külföldre fizetett munkavállalói hazautalás;22 921;23 274;22 730;21 772;20 275;19 144;17 399;14 569;11 003;10 928;13 890;20 540;18 268;19 878;23 755;23 774;26 407;32 021;32 268;33 418;29 038;29 653;26 346;17 879;12 534;20 850;23 630
