20.2.1.15. A foglalkoztatottak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
 15–24 éves";"Ebbõl:
 20–64 éves"
Együtt ;;;;;;;;;;;;;;;;
2017.;I.;24,0;282,5;487,3;524,7;647,4;718,1;618,0;483,5;423,0;244,1;32,4;12,9;4 498,0;306,5;4 428,7
;II.;24,8;284,6;499,7;520,9;639,7;731,7;619,4;493,9;431,4;246,1;35,0;13,7;4 541,0;309,5;4 467,5
;III.;28,1;283,4;505,5;522,8;638,7;736,9;624,1;499,1;432,4;256,0;35,1;13,2;4 575,2;311,5;4 498,9
;IV.;27,3;283,8;502,3;523,1;628,6;741,9;626,3;504,5;426,7;265,2;36,0;13,7;4 579,3;311,1;4 502,4
2018.;I.;24,4;270,9;499,7;520,7;622,7;742,2;627,7;514,0;433,7;261,7;37,7;15,1;4 570,6;295,3;4 493,3
;II.;25,9;279,9;504,2;525,7;613,2;757,4;632,7;523,6;428,1;259,9;38,3;18,0;4 606,9;305,8;4 524,7
;III.;31,6;284,4;500,2;528,0;606,0;755,1;632,4;528,9;428,9;270,7;44,1;17,1;4 627,4;316,1;4 534,6
;IV.;30,8;280,7;502,1;526,1;599,9;748,9;628,2;536,5;423,2;279,2;45,9;19,0;4 620,6;311,6;4 524,8
2019.;I.;29,1;263,4;505,6;530,3;594,6;756,2;636,0;545,1;419,6;284,1;49,8;17,2;4 631,0;292,5;4 534,9
;II.;30,4;260,4;506,6;537,2;590,1;754,3;639,3;552,3;420,5;275,1;56,8;20,3;4 643,1;290,8;4 535,7
;III.;32,3;267,9;505,9;538,2;585,4;748,7;653,4;546,2;425,3;272,7;57,5;20,9;4 654,2;300,1;4 543,6
;IV.;28,3;262,2;508,8;533,5;571,9;745,0;658,7;559,2;421,2;279,2;61,3;20,7;4 649,9;290,5;4 539,6
2020.;I.;24,2;263,8;501,5;525,5;560,1;729,8;656,6;563,2;426,8;275,9;60,9;18,5;4 606,8;288,1;4 503,2
;II.;20,6;242,6;486,8;517,2;555,1;712,5;660,9;567,7;414,4;286,5;68,3;23,8;4 556,4;263,1;4 443,7
;III.;28,8;259,4;500,6;524,8;545,5;719,1;670,8;584,0;424,0;287,7;61,2;21,3;4 627,2;288,2;4 515,9
;IV.;21,6;251,9;495,7;527,3;548,4;707,1;683,6;589,4;420,5;292,5;63,7;21,0;4 622,6;273,5;4 516,3
2021.;I.;20,5;244,7;482,1;512,0;537,9;695,5;683,7;590,4;430,1;279,4;70,2;21,1;4 567,6;265,2;4 455,8
;II.;21,2;245,6;479,9;523,3;543,2;697,0;700,8;597,9;439,6;275,9;73,0;21,9;4 619,2;266,8;4 503,1
;III.;28,2;246,0;484,1;528,7;542,8;689,9;713,6;598,9;444,5;284,1;79,1;23,6;4 663,4;274,2;4 532,6
;IV.;25,7;249,2;486,9;533,5;542,3;686,4;724,8;602,7;439,7;288,9;82,7;25,2;4 687,9;274,9;4 554,3
2022.;I.;24,8;244,6;482,9;538,0;538,5;673,7;731,4;603,8;444,0;286,8;80,4;25,3;4 674,3;269,4;4 543,8
;II.;23,4;238,1;484,1;541,7;539,8;668,3;738,5;613,2;456,4;283,0;81,7;25,1;4 693,2;261,4;4 563,1
;III.;30,5;251,6;474,4;543,5;542,7;663,7;743,4;609,3;456,5;285,6;84,9;26,1;4 712,2;282,1;4 570,7
;IV.;;;;;;;;;;;;;;;
Ebbõl:;;;;;;;;;;;;;;;;
férfi;;;;;;;;;;;;;;;;
2009.;I.;6,8;116,2;271,6;329,2;317,2;268,9;243,6;218,9;182,6;43,0;12,7;3,8;2 014,5;123,0;1 991,2
;II.;8,0;116,3;265,4;336,4;320,0;276,6;245,4;220,9;187,2;45,9;13,2;5,1;2 040,4;124,4;2 014,1
;III.;7,9;115,8;258,2;333,4;322,5;274,6;243,0;216,1;192,5;45,3;15,7;3,9;2 029,0;123,7;2 001,4
;IV.;6,3;114,6;253,7;329,4;324,6;277,6;239,8;218,0;192,2;44,1;17,0;3,0;2 020,2;120,8;1 994,0
2010.;I.;5,3;111,1;239,3;315,9;316,9;273,3;231,3;211,8;187,3;43,9;15,3;2,5;1 953,8;116,4;1 930,7
;II.;5,4;112,8;242,4;319,6;327,3;275,3;236,9;212,7;194,8;46,1;13,4;3,9;1 990,6;118,2;1 968,0
;III.;6,9;116,9;242,1;325,6;334,5;275,4;239,8;216,4;198,6;46,9;13,6;4,0;2 020,6;123,8;1 996,2
;IV.;7,9;118,0;240,4;324,7;332,3;277,2;235,6;214,5;197,6;44,9;14,2;3,4;2 010,7;125,9;1 985,2
2011.;I.;5,5;110,8;233,0;318,9;328,3;271,7;229,4;211,2;195,0;47,3;14,9;4,0;1 970,1;116,3;1 945,7
;II.;6,6;113,7;236,8;329,4;340,4;281,0;228,5;219,6;198,8;50,0;15,5;3,6;2 023,8;120,2;1 998,2
;III.;8,2;114,0;239,2;327,6;346,7;280,8;233,8;225,5;205,2;51,2;16,6;4,7;2 053,3;122,2;2 023,8
;IV.;7,4;108,9;231,2;328,3;345,5;286,5;229,6;224,5;209,0;50,9;16,5;5,1;2 043,4;116,3;2 014,4
2012.;I.;5,3;102,7;229,9;316,3;342,8;284,5;225,3;219,1;204,1;48,8;16,2;4,6;1 999,6;108,0;1 973,6
;II.;4,8;106,7;226,1;313,2;350,5;295,7;238,4;217,9;217,9;50,6;16,9;4,3;2 043,0;111,5;2 017,1
;III.;6,6;115,7;231,0;313,2;355,6;297,1;241,4;223,1;226,0;49,3;15,4;3,9;2 078,2;122,4;2 052,2
;IV.;7,9;123,8;227,4;304,9;356,6;296,9;245,2;219,8;225,8;49,4;15,1;4,3;2 076,9;131,7;2 049,6
2013.;I.;7,1;114,1;221,5;289,0;352,9;289,6;240,7;206,8;221,3;53,3;12,8;4,7;2 013,8;121,2;1 989,2
;II.;6,5;124,9;235,4;296,4;367,0;298,6;252,0;219,2;228,6;59,3;15,3;3,8;2 107,0;131,4;2 081,3
;III.;9,1;133,4;239,3;294,1;372,0;305,2;257,8;220,3;227,1;67,0;14,3;5,0;2 144,6;142,5;2 116,2
;IV.;8,6;138,0;236,1;294,1;377,5;305,5;255,1;218,0;229,3;69,8;15,2;5,9;2 153,0;146,5;2 123,4
2014.;I.;9,5;143,1;247,5;293,4;378,3;312,4;262,4;215,4;232,7;72,7;13,6;4,3;2 185,2;152,6;2 157,8
;II.;9,8;140,0;251,7;287,6;379,5;318,2;272,6;217,3;234,1;78,6;12,5;6,0;2 207,8;149,7;2 179,5
;III.;10,9;141,8;254,8;293,1;380,9;326,5;278,5;224,0;235,6;88,5;13,3;4,4;2 252,6;152,8;2 223,9
;IV.;10,2;141,7;256,2;286,7;373,0;329,9;278,8;220,5;234,1;90,1;11,6;5,3;2 238,1;151,8;2 211,0
2015.;I.;10,4;137,4;256,6;276,7;369,7;330,1;281,4;219,1;224,2;99,3;11,7;4,4;2 220,9;147,7;2 194,4
;II.;14,3;141,3;256,6;276,3;372,8;343,6;286,4;229,4;234,0;106,5;12,2;4,8;2 278,0;155,6;2 246,8
;III.;16,3;147,9;256,7;280,6;369,1;351,1;293,8;231,4;234,2;116,9;14,9;6,3;2 319,3;164,3;2 281,8
;IV.;19,3;144,9;257,6;278,4;363,4;355,4;293,3;230,4;226,6;126,2;15,2;7,2;2 318,0;164,2;2 276,3
2016.;I.;15,8;148,7;257,0;277,1;353,1;355,0;299,2;227,1;224,4;135,4;14,2;7,4;2 314,2;164,4;2 276,9
;II.;14,8;158,0;261,7;278,1;353,5;364,1;302,8;236,2;225,2;141,7;16,0;7,1;2 359,1;172,8;2 321,2
;III.;16,2;160,9;267,4;281,4;351,5;367,5;303,8;235,2;224,9;147,7;18,4;9,5;2 384,2;177,1;2 340,2
;IV.;14,9;160,9;262,4;281,8;347,4;375,6;306,3;239,8;221,0;154,9;19,6;8,6;2 393,1;175,7;2 350,1
