20.1.1.75. Továbbvezetett havi munkaerõköltség fõbb elemeinek alakulása nemzetgazdasági áganként, forintban [Ft/fõ/hó];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág, ágazat;Bruttó munka-jövedelem 2009;Szociális költség 2009;Képzés és más költségelemek 2009;Munkaerõ-költség 2009;Bruttó munka-jövedelem 2010;Szociális költség 2010;Képzés és más költségelemek 2010;Munkaerõ-költség 2010;Bruttó munka-jövedelem 2011;Szociális költség 2011;Képzés és más költségelemek 2011;Munkaerõ-költség 2011;Bruttó munka-jövedelem 2012;Szociális költség 2012;Képzés és más költségelemek 2012;Munkaerõ-költség 2012;Bruttó munka-jövedelem 2013;Szociális költség 2013;Képzés és más költségelemek 2013;Munkaerõ-költség 2013;Bruttó munka-jövedelem 2014;Szociális költség 2014;Képzés és más költségelemek 2014;Munkaerõ-költség 2014;Bruttó munka-jövedelem 2015;Szociális költség 2015;Képzés és más költségelemek 2015;Munkaerõ-költség 2015;Bruttó munka-jövedelem 2016;Szociális költség 2016;Képzés és más költségelemek 2016;Munkaerõ-költség 2016;Bruttó munka-jövedelem 2017;Szociális költség 2017;Képzés és más költségelemek 2017;Munkaerõ-költség 2017;Bruttó munka-jövedelem 2018;Szociális költség 2018;Képzés és más költségelemek 2018;Munkaerõ-költség 2018
CK;Gép, gépi berendezés gyártása;216 947;73 614;7 087;297 648;250 852;77 841;7 732;336 426;247 634;75 551;6 047;329 231;264 324;76 223;5 551;346 099;278 931;75 436;6 420;360 787;289 845;81 870;9 000;380 715;299 083;84 539;9 594;393 217;321 914;94 018;11 245;427 178;344 832;78 270;12 274;435 376;377 966;77 782;13 366;469 114
CL;Jármûgyártás;241 170;85 357;6 299;332 827;243 167;77 410;5 439;326 016;271 029;86 539;8 174;365 741;299 172;88 565;9 655;397 391;307 386;91 937;23 627;422 950;319 186;92 207;25 666;437 059;336 060;101 821;24 316;462 197;355 725;106 226;12 549;474 500;386 671;94 326;13 778;494 775;429 407;95 244;15 291;539 942
CM;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása";168 226;57 707;5 429;231 363;174 339;55 368;4 281;233 988;190 324;57 525;-2 326;245 522;208 730;57 405;6 247;272 383;220 836;60 588;1 777;283 201;220 949;63 505;474;284 927;229 887;66 343;1 713;297 943;247 617;69 026;3 080;319 724;283 179;63 971;4 194;351 344;310 877;63 745;4 775;379 398
D;Villamosenergia-, gáz-, gõzellátás, légkondícionálás;382 021;166 673;20 115;568 809;396 107;160 438;17 697;574 242;415 327;158 438;14 331;588 097;443 977;166 523;18 066;628 567;436 814;164 829;27 454;629 097;456 604;175 517;28 972;661 093;469 819;194 523;32 880;697 223;483 911;188 861;25 448;698 220;528 405;161 728;27 828;717 961;580 119;165 094;30 533;775 745
B–D;Ipar (víz- és hulladékgazdálkodás nélkül);208 767;74 754;7 483;291 005;216 318;69 636;6 507;292 461;231 494;72 249;5 466;309 210;250 914;72 800;7 170;330 885;261 157;75 196;13 633;349 986;272 464;80 045;15 342;367 851;282 806;84 909;15 766;383 481;300 075;88 194;10 863;399 132;329 262;77 433;12 049;418 744;363 296;77 732;13 343;454 371
E;Vízellátsás, szennyvíz gyûjtése, kezelése, hulladékgazdálkodás, szennyezõdésmentesítés;195 457;73 737;9 942;279 136;206 334;69 379;10 041;285 754;222 906;76 823;7 966;307 694;235 677;76 340;8 326;320 344;236 554;77 753;14 771;329 077;237 560;73 441;11 899;322 900;244 051;75 686;13 614;333 350;249 826;77 729;11 920;339 475;284 143;69 464;13 745;367 351;316 750;71 402;15 429;403 580
B–E;Ipar;207 885;74 687;7 646;290 218;215 655;69 463;6 727;291 845;230 960;72 528;5 617;309 104;249 972;73 019;7 242;330 233;259 643;75 355;19 840;354 838;270 300;79 636;21 516;371 452;280 504;84 365;22 263;387 131;296 932;87 539;10 929;395 401;326 743;76 956;12 143;415 842;360 816;77 370;13 380;451 566
F;Építõipar;164 464;55 422;4 859;224 745;163 385;49 109;4 663;217 157;167 744;49 562;4 503;221 809;191 804;49 376;4 931;246 110;190 085;53 495;8 385;251 965;190 814;54 918;9 805;255 537;199 591;58 576;10 203;268 370;205 658;58 979;9 520;274 157;228 446;51 735;10 609;290 790;254 149;52 474;11 852;318 475
B–F;Ipar és építõipar;201 488;71 849;7 235;280 572;207 936;66 572;6 408;280 917;222 062;69 305;5 459;296 826;241 978;69 769;6 924;318 672;250 305;72 381;18 236;340 922;259 746;76 350;19 851;355 947;269 841;80 971;20 559;371 371;285 137;83 848;10 747;379 732;313 759;73 627;11 941;399 327;346 093;73 946;13 165;433 203
G;Kereskedelem, gépjármûjavítás;178 944;59 674;6 395;245 012;183 488;54 060;6 468;244 015;201 146;61 582;6 540;269 269;226 377;56 832;6 710;289 919;218 492;61 736;11 262;291 490;223 751;63 470;12 382;299 603;231 086;65 889;12 384;309 358;245 305;70 092;32 481;347 878;274 913;62 614;37 199;374 725;305 875;62 917;40 641;409 433
