20.1.1.65. A teljes munkaidõben alkalmazásban állók kedvezmények nélküli nettó átlagkeresete a munkavállalók fõbb demográfiai jellemzõje szerint;;;;;;;;;
Év;Férfi;Nõ;Összesen;ebbõl: 20 év alatt;ebbõl: 20–29 éves;ebbõl: 30–39 éves;ebbõl: 40–49 éves;ebbõl: 50–59 éves;ebbõl: 60 év és afelett
Nettó átlagkereset, forint/fõ/hó;;;;;;;;;
2019;268 382;223 285;244 609;158 840;220 177;266 907;260 076;238 052;254 798
2020;292 553;246 053;268 405;157 431;230 679;287 435;288 625;264 055;271 121
2021;318 641;267 109;291 812;170 177;249 454;311 069;313 297;288 182;303 683
Az elõzõ év  = 100,0% ;;;;;;;;;
2019;112,3;110,8;111,4;118,3;116,0;112,0;111,1;110,7;112,3
2020;109,0;110,2;109,7;99,1;104,8;107,7;111,0;110,9;106,4
2021;108,9;108,6;108,7;108,1;108,1;108,2;108,5;109,1;112,0
