20.1.2.15. A teljes munkaidõben alkalmazásban állók nettó átlagkeresete a munkáltató székhelyének elhelyezkedése alapján, megye és régió szerint;;;;;;;
Területi egység neve;Területi egység szintje;2016;2017;2018;2019;2020;2021
Nettó átlagkereset, forint;;;;;;;
Budapest;fõváros, régió;226 030;250 599;275 273;305 924;334 238;359 675
Pest ;megye, régió;159 209;179 887;198 673;224 835;248 110;268 014
Közép-Magyarország;nagyrégió;211 294;234 805;257 878;287 247;315 053;339 416
Fejér;megye;167 597;190 571;213 885;244 444;261 260;285 702
Komárom-Esztergom;megye;172 901;194 228;215 336;243 131;266 261;289 548
Veszprém;megye;154 062;175 333;197 894;222 701;240 558;264 436
Közép-Dunántúl;régió;165 284;187 305;209 677;237 858;256 926;280 859
Gyõr-Moson-Sopron;megye;182 561;204 712;226 805;258 766;278 899;308 516
Vas;megye;160 506;182 776;201 526;222 094;243 896;266 842
Zala;megye;137 164;156 527;172 648;192 551;213 859;233 609
Nyugat-Dunántúl;régió;165 761;187 412;207 530;234 025;255 349;281 058
Baranya;megye;139 202;160 149;179 951;200 334;218 926;240 905
Somogy;megye;141 709;162 413;180 871;199 328;215 116;234 118
Tolna ;megye;159 972;183 445;202 453;226 345;255 189;277 600
Dél-Dunántúl;régió;144 898;166 311;185 547;206 031;226 241;247 409
Dunántúl;nagyrégió;159 909;181 732;202 622;228 208;248 290;272 245
Borsod-Abaúj-Zemplén;megye;133 906;153 858;173 244;191 776;207 644;230 207
Heves;megye;158 956;182 727;202 914;225 027;243 468;266 162
Nógrád ;megye;131 505;151 889;168 904;182 817;199 821;219 750
Észak-Magyarország;régió;139 990;161 103;180 618;199 636;216 186;238 626
Hajdú-Bihar;megye;142 320;162 250;180 752;198 394;218 148;240 462
Jász-Nagykun-Szolnok;megye;137 504;160 685;178 951;198 159;219 560;236 774
Szabolcs-Szatmár-Bereg;megye;118 420;137 747;153 451;167 766;184 238;201 717
Észak-Alföld;régió;132 255;152 946;170 513;187 366;206 202;225 449
Bács-Kiskun ;megye;146 091;167 486;186 666;208 785;228 444;247 585
Békés;megye;128 422;146 305;163 117;178 746;194 408;213 146
Csongrád-Csanád;megye;148 731;169 754;189 010;205 933;225 316;248 341
Dél-Alföld;régió;142 255;162 770;181 451;200 227;218 845;239 326
Alföld és Észak;nagyrégió;137 717;158 494;177 008;195 109;213 184;233 770
Ország összesen;ország;175 009;197 516;219 412;244 609;268 405;291 812
Elõzõ év  = 100,0%;;;;;;;
Budapest;fõváros, régió;108,0;110,9;110,4;111,3;109,3;107,6
Pest ;megye, régió;107,5;113,0;110,8;111,1;110,4;108,0
Közép-Magyarország;nagyrégió;107,8;111,1;110,3;111,1;109,7;107,7
Fejér;megye;108,7;113,7;112,2;112,4;106,9;109,4
Komárom-Esztergom;megye;108,4;112,3;111,2;111,8;109,5;108,7
Veszprém;megye;108,8;113,8;113,2;111,3;108,0;109,9
Közép-Dunántúl;régió;108,6;113,3;112,2;111,9;108,0;109,3
Gyõr-Moson-Sopron;megye;107,5;112,1;110,9;112,6;107,8;110,6
Vas;megye;108,7;113,9;110,4;109,5;109,8;109,4
Zala;megye;107,9;114,1;110,6;111,3;111,1;109,2
Nyugat-Dunántúl;régió;107,9;113,1;110,9;111,7;109,1;110,1
Baranya;megye;106,5;115,0;112,3;112,4;109,3;110,0
Somogy;megye;106,1;114,6;112,0;110,6;107,9;108,8
Tolna ;megye;107,8;114,7;110,5;111,2;112,7;108,8
Dél-Dunántúl;régió;106,6;114,8;111,8;111,5;109,8;109,4
Dunántúl;nagyrégió;107,8;113,6;111,7;111,8;108,8;109,6
Borsod-Abaúj-Zemplén;megye;107,2;114,9;112,7;111,6;108,3;110,9
Heves;megye;107,6;115,0;110,7;111,0;108,2;109,3
Nógrád ;megye;109,9;115,5;111,2;109,5;109,3;110,0
Észak-Magyarország;régió;107,7;115,1;112,0;111,3;108,3;110,4
Hajdú-Bihar;megye;106,5;114,0;111,6;110,7;110,0;110,2
Jász-Nagykun-Szolnok;megye;107,5;116,9;111,5;111,1;110,8;107,8
Szabolcs-Szatmár-Bereg;megye;106,1;116,3;111,8;110,7;109,8;109,5
Észak-Alföld;régió;106,5;115,6;111,7;110,8;110,1;109,3
Bács-Kiskun ;megye;108,4;114,6;111,8;112,1;109,4;108,4
Békés;megye;108,2;113,9;111,8;110,5;108,8;109,6
Csongrád-Csanád;megye;107,5;114,1;111,7;109,6;109,4;110,2
Dél-Alföld;régió;108,1;114,4;111,9;110,9;109,3;109,4
Alföld és Észak;nagyrégió;107,4;115,1;111,9;111,0;109,3;109,7
Ország összesen;ország;107,8;112,9;111,3;111,4;109,7;108,7
