17.2.3.1. Külkereskedelmi termékforgalom, behozatal havonta [millió euró];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Idõszak;Ausztria;Belgium;Bulgária;Ciprus;Csehország;Dánia;Észtország;Finnország;Franciaország;Görögország;Hollandia;Horvátország;Írország;Lengyelország;Lettország;Litvánia;Luxemburg;Magyarország;Málta;Németország;Olaszország;Portugália;Románia;Spanyolország;Svédország;Szlovákia;Szlovénia;EU27_2020
;március;13 601;31 207;2 581;615;12 688;7 400;1 389;5 410;42 177;4 133;45 198;2 006;6 697;19 959;1 423;2 548;1 517;8 844;410;91 995;30 248;6 139;7 249;25 745;11 545;6 426;3 225;392 374
;április;10 462;24 347;2 021;414;9 756;6 078;1 084;4 259;30 027;3 202;37 675;1 479;5 646;14 465;1 063;1 963;1 151;6 303;334;72 178;23 317;4 040;4 567;16 719;9 277;4 094;2 221;298 138
;május;10 765;24 648;2 084;472;10 359;6 566;1 092;4 371;34 909;3 289;37 607;1 735;6 116;15 208;1 097;1 993;1 346;6 785;435;73 214;25 336;4 333;5 014;17 756;9 576;4 430;2 556;313 091
;június;12 246;28 293;2 470;688;11 815;7 125;1 177;4 776;43 716;4 022;43 018;2 015;6 662;17 218;1 252;2 313;1 532;8 090;459;80 611;30 002;5 157;6 166;22 776;10 954;5 866;2 977;363 395
;július;12 859;27 563;2 609;680;12 263;6 867;1 302;4 910;44 494;4 577;42 600;2 088;8 391;19 510;1 427;2 558;1 661;8 599;530;83 072;33 142;5 864;6 872;24 095;9 696;5 792;3 167;377 187
;augusztus;11 479;25 970;2 347;498;11 311;6 838;1 198;4 659;36 535;3 612;38 732;1 781;6 045;17 702;1 316;2 402;1 488;7 835;359;79 230;24 089;5 018;6 113;19 551;10 259;5 980;2 647;334 990
;szeptember;13 304;30 381;2 734;583;13 010;7 478;1 291;5 376;46 018;4 233;44 823;1 986;6 534;20 664;1 533;2 539;1 609;9 325;379;89 869;34 562;6 170;7 599;26 716;11 683;6 778;3 138;400 313
;október;14 139;29 776;2 890;838;14 297;7 558;1 377;5 223;47 214;4 124;45 131;2 123;7 691;21 832;1 524;2 719;1 695;9 598;352;92 481;35 290;6 463;8 053;26 166;11 979;7 256;3 472;411 258
;november;13 877;30 627;2 919;708;14 765;7 829;1 385;5 218;45 374;4 066;47 587;2 001;9 332;21 932;1 426;2 765;1 692;9 957;378;95 224;34 500;6 130;7 609;25 436;12 340;7 468;3 799;416 342
;december;12 022;30 786;2 642;709;13 148;7 565;1 468;5 103;43 617;4 528;47 030;2 103;8 952;20 044;1 523;2 570;1 618;8 367;372;86 020;32 292;5 704;7 027;26 375;11 628;6 336;3 207;392 754
2021.;január;12 198;29 250;2 574;598;12 542;7 123;1 305;4 777;43 001;4 006;43 807;1 763;6 383;19 259;1 216;2 220;1 491;8 226;315;84 230;32 396;5 548;6 588;23 344;10 903;6 185;2 999;374 245
;február;13 596;30 489;2 772;761;13 025;7 790;1 325;5 267;44 467;4 065;44 315;2 148;6 388;21 416;1 291;2 477;1 603;9 292;329;89 822;34 134;5 778;7 679;25 092;11 770;6 748;3 204;397 040
;március;17 007;36 718;3 416;615;16 185;9 029;1 654;6 109;52 906;5 464;55 012;2 592;9 061;24 617;1 623;3 137;1 908;10 510;353;106 196;41 321;7 056;8 780;31 118;13 920;8 011;3 960;478 278
;április;15 619;33 885;3 103;696;14 659;7 960;1 639;5 613;49 316;5 032;49 899;2 334;8 050;22 452;1 593;2 962;1 772;9 808;531;96 521;38 258;6 858;7 957;27 400;12 809;7 278;3 834;437 839
;május;14 749;34 447;3 086;666;14 723;8 213;1 648;5 535;47 196;4 915;49 032;2 344;8 422;23 190;1 731;3 106;1 823;9 743;497;97 093;38 600;6 791;7 722;27 795;12 830;6 966;3 819;436 682
;június;16 375;37 432;3 287;761;15 927;8 655;1 722;5 983;52 841;5 381;53 150;2 510;9 554;23 899;1 791;3 119;1 863;10 204;482;102 733;40 323;6 762;8 096;30 595;13 392;7 693;3 929;468 456
;július;15 314;33 249;3 232;791;14 036;7 901;1 676;5 970;48 906;5 798;52 305;2 469;7 833;23 940;1 856;3 191;1 792;9 940;742;97 270;41 439;7 133;8 550;28 988;11 767;6 851;4 008;446 947
;augusztus;14 268;33 939;3 184;700;13 853;7 808;1 690;5 746;44 247;5 040;51 524;2 292;7 349;23 450;2 082;3 152;1 547;9 397;409;93 244;32 563;6 111;7 401;26 013;12 377;6 551;3 889;419 825
;szeptember;16 437;37 406;3 366;633;15 637;9 065;1 769;6 521;52 050;5 858;56 251;2 611;8 372;25 228;1 937;3 358;1 873;10 754;458;102 056;43 703;7 371;8 470;32 255;13 895;7 311;4 546;479 189
;október;16 388;39 758;3 505;715;15 693;9 105;1 813;6 695;53 867;6 076;57 863;2 642;9 017;26 317;1 982;3 552;2 209;10 896;401;108 764;44 152;7 587;9 004;31 921;14 522;7 673;4 742;496 858
;november;17 504;41 084;3 847;979;17 278;9 685;1 869;7 016;57 980;6 874;64 150;2 801;10 422;28 357;1 802;3 734;2 010;11 543;610;114 444;46 397;8 296;9 228;34 885;15 318;8 733;4 794;531 637
;december;16 278;44 413;3 758;707;15 772;9 478;1 869;7 635;58 478;6 860;63 538;2 724;11 088;27 534;1 793;3 768;1 951;10 613;511;110 554;47 151;7 857;8 859;35 038;14 804;7 903;5 057;525 991
2022.;január;16 349;44 789;3 917;744;16 246;9 103;1 774;6 761;56 821;6 449;61 405;2 632;9 483;25 913;1 691;3 439;1 959;11 287;449;106 228;47 714;7 603;8 893;34 413;13 778;7 888;4 454;512 182
;február;16 600;43 569;3 938;771;16 377;8 974;1 774;6 818;57 346;6 982;58 528;2 929;8 981;27 224;1 847;3 495;1 928;11 959;475;112 390;48 820;8 198;9 522;34 668;14 263;8 395;4 888;521 657
;március;20 141;52 607;4 590;1 008;19 148;10 737;2 160;8 457;67 429;7 068;72 314;3 802;11 215;31 751;2 362;4 470;2 353;13 262;525;130 481;57 449;9 082;10 810;40 266;17 010;9 507;5 872;615 875
;április;18 060;47 950;4 276;841;17 782;9 719;2 120;7 607;61 470;6 912;66 814;3 552;11 284;29 999;2 291;4 305;2 138;11 926;700;121 868;53 877;8 711;9 723;37 803;15 437;8 483;5 451;571 099
;május;19 053;50 943;4 611;1 177;19 563;10 549;2 213;8 299;66 292;7 986;74 404;3 577;13 076;30 183;2 496;4 001;2 095;12 631;677;131 063;56 632;9 879;10 729;40 224;16 880;9 445;6 087;614 763
;június;17 968;52 267;5 204;1 206;19 651;10 629;2 128;7 935;67 942;8 339;75 112;3 548;12 770;29 857;2 170;4 149;2 133;12 986;733;128 568;57 202;9 661;10 563;43 011;16 918;9 271;5 810;617 731
;július;17 301;51 331;4 983;1 067;17 203;9 616;2 020;7 837;62 714;8 085;70 244;3 645;10 678;28 646;2 370;4 512;2 053;12 458;1 107;122 942;58 440;9 364;11 229;38 763;14 813;8 008;5 426;586 852
;augusztus;17 436;54 073;4 366;972;18 797;10 862;2 162;7 960;61 739;7 700;74 499;3 885;12 325;29 828;2 619;4 990;1 868;13 519;708;128 380;50 417;9 141;10 881;36 491;15 900;8 457;5 621;595 597
;szeptember;19 383;53 448;4 966;855;20 491;10 429;2 103;7 478;72 498;8 333;76 800;3 859;12 878;31 763;2 620;5 241;2 221;14 757;568;133 385;61 342;9 549;11 533;43 500;16 796;9 504;5 961;642 259
;október;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;;;;;;;;;;;;
