20.2.1.64. Üres álláshelyek száma és aránya nemzetgazdasági áganként, negyedévente;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D;Vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ipar B+C+D+E;Építõipar F;Kereskedelem, gépjármûjavítás G;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb szolgáltatás S;Nemzetgazdaság összesen A–S;Ebbõl: versenyszféra A–S;Ebbõl: költségvetés A–S
Üres álláshelyek száma, db;;;;;;;;;;;;;;;;;;;;;;;;;
2020.;I.;0,9;1,0;1,6;1,1;1,6;1,5;1,6;1,8;0,9;2,0;1,0;2,3;1,8;0,9;1,8;2,7;2,7;1,7;4,0;1,3;1,4;1,9;1,5;3,1
;II.;0,9;1,2;1,9;0,8;1,8;1,4;1,8;1,7;1,0;1,5;2,2;1,9;1,5;0,8;1,3;3,3;2,5;2,2;4,2;1,3;1,6;2,0;1,6;3,1
;III.;0,7;1,7;2,5;0,8;2,4;1,5;2,3;1,5;0,8;1,7;1,5;2,1;1,6;0,7;1,6;3,8;2,4;1,8;3,7;1,3;1,4;2,0;1,8;2,9
;IV.;0,9;2,0;2,3;0,9;2,2;1,3;2,2;1,6;0,8;1,6;0,9;2,4;2,0;0,7;1,5;3,2;2,4;1,8;3,8;1,5;1,9;2,0;1,7;3,0
2021.;I.;0,8;1,6;2,2;1,8;2,2;1,4;2,2;1,6;0,8;1,6;1,0;2,6;2,0;0,7;1,7;3,3;2,6;1,8;3,6;1,5;0,9;2,0;1,7;3,0
;II.;1,1;1,4;2,4;1,4;2,3;1,5;2,3;1,6;1,1;1,8;2,2;3,0;2,4;1,2;1,9;5,1;2,5;2,2;3,6;1,6;1,4;2,3;2,1;3,1
;III.;1,0;1,9;2,5;1,5;2,5;1,6;2,4;2,0;1,2;2,0;2,3;2,8;3,0;1,3;2,3;6,1;2,7;1,9;3,6;1,6;1,7;2,5;2,4;3,2
;IV.;1,0;2,6;2,8;1,3;2,7;1,8;2,7;2,3;1,2;2,0;1,7;2,9;2,6;1,1;2,5;4,2;2,8;2,2;3,8;1,4;1,5;2,4;2,3;3,4
2022. ;I. ;0,9;1,9;3,1;1,4;3,0;1,7;2,9;1,9;1,4;2,1;2,4;3,3;2,0;1,2;3,0;4,8;3,1;2,3;4,0;1,5;1,6;2,7;2,5;3,7
;II.;0,9;1,7;3,4;1,4;3,3;1,7;3,2;1,8;1,6;2,5;2,0;4,5;3,5;1,1;2,9;6,3;3,3;2,7;4,0;1,3;1,6;3,0;2,9;3,9
;III.;1,0;1,6;2,9;2,3;2,9;1,8;2,8;1,6;1,4;2,6;1,5;3,2;3,1;1,2;2,8;5,9;3,4;2,2;3,9;1,4;1,8;2,7;2,6;3,8
;IV.;;;;;;;;;;;;;;;;;;;;;;;;
