13.2.1.13. Az ipar belföldi értékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2021.;január;6 234;168 964;4 378;38 729;59 144;48 820;12 231;73 056;82 239;18 211;17 164;23 984;58 189;23 826;628 934;482 705;1 117 873
;február;7 524;174 558;5 332;46 732;65 745;51 832;12 150;87 440;100 333;15 382;20 291;24 529;87 748;30 812;722 883;438 682;1 169 089
;március;11 896;219 523;6 250;55 680;80 300;67 001;14 028;113 012;119 765;17 151;25 492;34 592;94 199;40 692;887 686;440 452;1 340 034
;április;12 476;189 294;6 711;54 347;89 914;61 800;13 337;109 098;108 956;15 568;22 950;28 482;73 642;38 531;812 632;386 240;1 211 348
;május;12 552;201 218;6 568;56 828;95 898;61 690;12 680;112 686;121 458;15 354;24 462;32 217;80 911;40 348;862 317;357 874;1 232 742
;június;14 149;214 888;7 765;59 332;106 006;59 925;11 776;123 466;145 218;21 190;25 703;41 427;81 584;45 163;943 443;354 291;1 311 884
;július;14 877;215 683;6 951;54 500;117 147;58 127;11 417;116 972;126 849;20 668;23 064;36 584;82 665;45 099;915 726;368 399;1 299 003
;augusztus;14 567;211 101;6 762;54 928;109 251;65 304;10 210;112 063;124 361;15 108;22 050;32 975;58 140;43 105;865 359;368 833;1 248 759
;szeptember;14 853;228 086;6 696;60 595;116 711;51 215;13 059;123 521;144 325;23 015;26 832;35 051;75 230;49 446;953 781;411 915;1 380 548
;október;16 167;224 942;6 679;61 422;154 438;83 935;13 027;124 072;142 904;18 147;21 976;36 448;70 889;50 671;1 009 550;532 756;1 558 473
;november;17 148;242 478;7 143;64 153;150 993;87 387;15 731;129 032;148 741;15 794;24 768;37 518;80 726;56 648;1 061 113;629 186;1 707 448
;december;15 747;243 914;7 349;57 012;151 804;89 458;15 926;96 497;137 619;22 004;25 162;48 361;64 186;73 702;1 032 993;794 856;1 843 596
2022.;január;11 219;216 052;4 684;57 473;145 417;92 189;12 564;96 879;117 415;18 412;21 072;32 748;67 977;31 141;914 024;769 669;1 694 912
;február;12 865;222 904;6 176;59 792;152 575;88 761;10 791;111 160;136 787;23 734;23 305;36 460;94 489;38 022;1 004 956;694 825;1 712 646
;március;17 939;281 621;7 831;77 204;250 311;118 522;13 860;138 245;164 186;19 224;31 603;43 651;89 713;52 268;1 288 239;854 067;2 160 245
;április;15 515;263 194;6 647;73 086;211 472;99 670;12 934;139 244;150 771;16 762;30 659;42 122;80 004;43 730;1 170 293;849 019;2 034 826
;május;19 179;286 553;8 386;81 489;220 975;101 462;12 557;159 714;170 836;22 095;35 062;54 139;94 492;51 238;1 298 997;674 875;1 993 051
;június;20 466;304 214;7 515;79 985;254 226;94 997;12 801;146 048;176 233;23 099;31 922;51 527;98 082;51 178;1 331 828;686 268;2 038 562
;július;21 988;280 997;5 665;74 349;244 710;86 153;11 454;133 226;153 089;19 920;32 340;46 211;94 908;42 998;1 226 020;859 393;2 107 401
;augusztus;26 952;316 407;5 947;78 892;233 146;74 488;11 676;137 994;160 839;22 916;32 591;54 493;81 675;48 126;1 259 189;1 507 294;2 793 435
;szeptember;21 382;315 118;7 726;81 366;184 561;87 605;14 617;147 789;177 750;20 311;39 134;65 846;109 659;54 957;1 306 438;1 405 672;2 733 491
;október;20 713;322 784;6 322;79 516;228 235;82 398;16 471;143 416;167 306;19 571;40 546;56 892;104 694;52 021;1 320 172;1 395 449;2 736 335
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
Évkezdettõl kumulált;;;;;;;;;;;;;;;;;;
2018.;január–december;141 237;1 964 732;79 302;526 770;1 049 546;556 572;139 455;1 032 216;1 040 576;168 647;177 191;316 152;759 254;421 085;8 231 497;3 805 857;12 178 592
2019.;január–december;175 248;2 126 538;75 880;571 646;1 029 437;591 657;130 472;1 164 968;1 129 907;151 495;216 366;380 124;983 095;505 340;9 056 925;3 957 700;13 189 872
2020.;január–december;128 033;2 220 175;75 911;544 855;763 501;537 845;138 787;1 079 700;1 058 479;150 704;229 836;341 916;891 866;470 112;8 503 687;4 097 170;12 728 890
2021.;január–december;158 191;2 534 648;78 584;664 260;1 297 350;786 494;155 571;1 320 913;1 502 769;217 592;279 914;412 168;908 108;538 045;10 696 416;5 566 189;16 420 797
2022.;január–október;188 217;2 809 842;66 901;743 150;2 125 627;926 244;129 725;1 353 716;1 575 211;206 045;318 236;484 089;915 694;465 679;12 120 157;9 696 532;22 004 906
