13.1.3.5. Bruttó villamosenergia-termelés [milliárd kWh];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;61,3;62,4;62,5;60,2;64,2;66,8;64,7;65,1;66,9;69,1;71,1;65,8;72,6;68,4;65,4;65,3;68,3;71,3;68,6;74,2;72,6;70,8
Belgium;84,0;79,8;82,1;84,6;84,2;85,7;84,6;88,1;84,4;91,2;94,6;90,6;83,0;83,5;72,5;69,7;85,6;86,6;75,0;93,6;89,4;100,1
Bulgária;40,9;44,0;42,7;42,6;41,6;44,4;45,8;43,3;45,0;43,0;46,7;50,8;47,3;43,8;47,5;49,2;45,3;45,6;46,8;44,3;40,8;47,6
Ciprus;3,4;3,6;3,8;4,1;4,2;4,4;4,7;4,9;5,1;5,2;5,3;4,9;4,7;4,3;4,4;4,5;4,9;5,0;5,1;5,1;4,8;5,1
Csehország;73,5;74,6;76,3;83,2;84,3;82,6;84,4;88,2;83,6;82,2;85,9;87,5;87,4;86,9;86,1;83,9;83,3;87,1;88,0;87,0;81,5;84,9
Dánia;36,1;37,7;39,3;46,2;40,4;36,2;45,6;39,3;36,6;36,4;38,9;35,2;30,7;34,7;32,2;28,9;30,5;31,0;30,4;29,5;28,7;33,0
Észtország;8,5;8,5;8,5;10,2;10,3;10,2;9,7;12,2;10,6;8,8;13,0;12,9;12,0;13,3;12,4;10,1;12,2;13,2;12,4;7,6;6,0;7,3
Finnország;70,0;74,5;75,0;84,3;85,8;70,6;82,3;81,2;77,4;72,1;80,7;73,5;70,4;71,3;68,1;68,6;68,8;67,5;70,3;68,7;68,9;71,7
Franciaország;540,0;549,5;559,1;566,8;574,1;576,1;574,9;569,8;573,8;535,9;569,3;573,1;572,8;582,3;572,6;579,5;564,1;562,0;581,8;570,9;531,8;554,8
Görögország;53,8;53,7;54,6;58,5;59,3;60,0;60,8;63,5;63,7;61,3;57,4;59,4;61,0;57,2;50,5;51,9;54,4;55,3;53,3;48,6;48,3;53,3
