"13.2.1.15. Az ipar belföldi értékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; eredeti, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2018.;január;115,4;96,0;100,6;110,3;98,1;74,7;117,8;115,4;106,3;129,8;93,3;96,6;111,0;75,5;99,5;127,4;111,3
;február;114,9;93,5;112,0;107,3;101,2;77,4;100,0;121,3;117,4;137,6;96,7;107,1;123,9;81,5;103,0;120,1;110,0
;március;134,2;109,8;121,0;121,4;103,8;85,1;105,7;128,2;122,0;166,7;103,3;124,9;124,3;112,4;113,8;123,0;117,6
;április;155,8;101,0;125,7;114,9;109,7;86,3;93,0;138,2;121,8;166,6;99,1;123,9;128,1;97,5;111,8;81,4;101,1
;május;180,1;114,7;139,9;125,3;102,8;83,4;110,5;155,2;133,8;148,6;105,3;119,8;128,5;119,1;118,9;71,3;102,0
;június;180,7;109,2;130,5;121,2;107,3;82,3;95,2;150,6;142,2;136,1;115,4;121,0;122,7;137,8;118,6;72,8;102,0
;július;201,1;108,6;102,2;119,4;106,8;68,2;113,2;149,3;130,2;136,8;113,7;116,8;88,3;121,0;111,5;74,7;98,3
;augusztus;218,4;116,5;104,4;116,5;103,0;72,2;90,3;146,6;125,6;166,6;108,6;118,2;92,7;115,8;113,0;80,6;101,6
;szeptember;213,0;105,8;107,9;117,9;95,1;73,7;115,0;156,8;137,4;147,4;115,0;121,9;101,4;136,1;113,9;77,2;100,7
;október;222,0;119,3;127,1;128,6;107,3;84,7;104,7;173,8;141,6;157,5;121,8;132,5;128,7;143,0;126,0;93,3;115,1
;november;203,2;116,1;140,1;133,1;106,8;84,8;99,0;164,9;140,3;205,2;139,2;139,3;126,2;168,2;126,9;104,6;119,5
;december;168,7;114,5;117,0;100,6;94,6;72,0;103,3;114,9;128,6;156,4;135,5;177,2;105,7;222,7;115,9;132,4;122,6
2019.;január;137,3;102,5;105,7;113,7;94,7;83,1;97,4;115,0;121,6;111,7;120,8;109,8;132,1;97,9;106,9;139,8;120,8
