13.1.3.3. A feldolgozóipari termelés volumenének alakulása [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Svájc;9,3;-1,2;-5,2;0,3;4,4;1,0;7,9;10,4;-0,5;-7,6;7,2;2,7;0,7;0,9;2,2;-1,4;0,6;6,2;6,1;4,3;-4,0
Szerbia;..;1,2;2,5;-4,5;7,8;-0,4;4,9;4,5;0,7;-15,9;2,5;-0,2;-1,3;5,5;-4,9;5,7;5,6;6,6;2,0;0,3;-0,6
Törökország;6,5;-9,7;11,0;9,4;9,9;15,7;7,1;8,2;-2,0;-12,8;16,4;15,3;4,3;8,2;6,2;6,3;3,4;9,0;1,2;-0,7;1,9
India;6,2;3,2;5,1;7,1;11,5;11,6;14,4;18,5;8,4;-0,7;10,5;5,2;-1,1;2,2;4,1;2,3;4,8;3,6;5,4;..;..
Izrael;10,0;-5,0;-1,9;-0,3;6,9;5,1;9,1;5,5;6,9;-5,8;8,0;2,2;4,7;-1,0;0,6;2,4;-0,3;1,8;2,5;3,9;2,5
Japán;5,7;-6,8;-1,2;3,7;4,8;1,4;4,5;2,8;-3,4;-21,9;15,6;-2,8;..;..;1,9;-1,1;0,0;3,1;1,1;-3,0;-10,3
Koreai Köztársaság;17,2;0,2;8,1;5,6;10,8;6,3;8,7;7,1;3,3;-0,2;16,7;6,0;1,4;0,7;0,2;-0,3;2,3;2,3;1,4;0,4;-0,2
Dél-afrikai Köztársaság;4,2;2,0;4,3;-2,3;4,1;2,9;4,6;4,2;-0,4;-13,8;4,6;2,8;2,2;1,3;0,1;0,0;0,7;-0,7;1,0;-1,1;-12,3
Brazília;6,1;1,4;0,6;0,1;8,6;2,4;2,4;6,0;3,0;-7,0;10,0;0,3;-2,4;2,8;-4,2;-9,8;-6,0;2,2;1,1;0,2;-4,6
Egyesült Államok;4,1;-3,7;0,4;1,3;3,1;4,1;2,6;2,8;-4,8;-13,8;5,9;2,9;2,6;0,9;1,1;-0,6;-0,8;0,6;1,3;-2,0;-6,6
Kanada;9,2;-3,8;1,7;-1,4;2,0;1,9;-1,8;-3,2;-5,5;-14,0;4,6;3,5;1,3;-0,4;3,0;0,7;-0,2;2,2;3,1;0,1;-9,6
Mexikó;6,5;-2,8;-2,4;-0,7;3,3;2,2;4,7;0,6;-1,4;-10,1;8,7;3,2;3,9;0,5;4,0;2,9;1,6;2,8;1,8;0,2;-9,6
Ausztrália;4,1;0,1;4,7;2,9;0,4;-1,0;0,5;1,9;3,2;-7,3;3,2;0,3;-1,8;-2,1;-1,4;-1,5;-1,7;0,7;1,5;-1,5;-1,3
Új-Zéland;4,3;0,6;6,3;4,3;4,2;0,6;-2,2;0,8;-5,8;-8,9;4,6;-1,3;1,2;0,8;2,3;1,8;3,1;1,9;2,0;1,4;-2,8
