22.1.1.24. A Magyarországon tartózkodó külföldön született magyar állampolgárok születési ország és nem szerint, január 1.;;;;;;;;;;;;;
Földrész, ország;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
  Csehszlovákia;21 574;20 518;3 340;3 256;3 149;3 099;2 994;2 860;2 713;2 556;2 405;2 256;2 076
  Jugoszlávia;18 872;18 539;3 567;3 617;3 613;3 574;3 505;3 432;3 333;3 250;3 128;3 021;2 870
  Szovjetunió;20 285;20 355;4 294;4 491;4 792;5 165;5 430;5 653;5 760;5 827;5 887;5 904;5 908
Ázsia;3 890;4 045;4 614;4 825;5 080;5 428;5 722;6 054;6 356;6 658;6 997;7 252;7 463
Ebbõl: Kína;269;288;306;314;328;352;381;404;429;449;466;485;508
Amerika;6 899;6 930;7 269;7 581;8 044;8 444;8 828;9 191;9 575;10 069;10 643;11 264;11 908
Ebbõl: Egyesült Államok;3 939;3 991;4 214;4 413;4 658;4 852;5 053;5 294;5 526;5 791;5 976;6 231;6 591
Afrika;1 650;1 642;1 683;1 753;1 854;2 029;2 178;2 368;2 653;2 794;2 973;3 178;3 334
Ausztrália és Óceánia;1 135;1 097;1 124;1 128;1 151;1 208;1 226;1 283;1 282;1 317;1 359;1 371;1 261
Összesen;244 120;242 234;266 233;290 429;314 608;337 552;355 193;370 126;381 705;391 257;401 504;410 053;417 021
