20.1.2.1. A 15–74 éves népesség gazdasági aktivitása, megye és régió szerint;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
2009;;;;;;;;;;
Budapest;fõváros, régió;766,0;47,2;813,2;502,6;1 315,8;76,2;61,8;5,8;58,2
Pest;megye, régió;504,6;37,1;541,7;373,4;915,0;58,4;59,2;6,8;55,1
Közép-Magyarország;nagyrégió;1 270,6;84,3;1 354,9;875,9;2 230,8;134,6;60,7;6,2;57,0
Fejér;megye;173,9;16,7;190,5;138,7;329,2;24,3;57,9;8,7;52,8
Komárom-Esztergom;megye;131,5;11,3;142,9;98,0;240,8;18,0;59,3;7,9;54,6
Veszprém;megye;143,7;15,5;159,2;119,3;278,5;21,7;57,2;9,7;51,6
Közép-Dunántúl;régió;449,2;43,5;492,6;355,9;848,5;64,0;58,1;8,8;52,9
Gyõr-Moson-Sopron;megye;192,8;13,0;205,7;137,9;343,6;18,4;59,9;6,3;56,1
Vas;megye;107,2;11,8;119,0;83,5;202,6;16,9;58,8;9,9;52,9
Zala;megye;120,1;14,0;134,2;91,2;225,4;20,7;59,5;10,5;53,3
Nyugat-Dunántúl;régió;420,1;38,8;458,9;312,6;771,6;55,9;59,5;8,5;54,4
Baranya;megye;145,1;17,9;163,0;137,1;300,1;32,1;54,3;11,0;48,4
Somogy;megye;109,6;15,0;124,7;123,7;248,3;28,8;50,2;12,1;44,1
Tolna ;megye;89,4;9,0;98,4;85,0;183,4;15,8;53,7;9,2;48,7
Dél-Dunántúl;régió;344,2;41,9;386,1;345,7;731,8;76,7;52,8;10,9;47,0
Dunántúl;nagyrégió;1 213,4;124,2;1 337,6;1 014,3;2 351,9;196,7;56,9;9,3;51,6
Borsod-Abaúj-Zemplén;megye;230,6;42,5;273,1;259,4;532,6;72,1;51,3;15,6;43,3
Heves;megye;109,4;16,4;125,8;114,5;240,3;25,2;52,3;13,0;45,5
Nógrád ;megye;69,8;12,6;82,4;77,7;160,1;21,0;51,5;15,3;43,6
Észak-Magyarország;régió;409,8;71,5;481,3;451,6;932,9;118,3;51,6;14,9;43,9
Hajdú-Bihar;megye;181,3;23,4;204,8;210,4;415,2;41,2;49,3;11,4;43,7
Jász-Nagykun-Szolnok;megye;147,0;18,1;165,1;138,3;303,4;31,3;54,4;10,9;48,5
Szabolcs-Szatmár-Bereg;megye;181,5;39,8;221,4;209,1;430,5;63,2;51,4;18,0;42,2
Észak-Alföld;régió;509,9;81,3;591,3;557,9;1 149,1;135,8;51,5;13,8;44,4
Bács-Kiskun ;megye;199,0;23,2;222,1;184,0;406,1;38,5;54,7;10,4;49,0
Békés;megye;129,2;19,8;149,0;136,2;285,2;30,4;52,2;13,3;45,3
Csongrád-Csanád;megye;162,6;13,1;175,7;144,5;320,1;20,1;54,9;7,5;50,8
Dél-Alföld;régió;490,7;56,1;546,8;464,7;1 011,5;89,0;54,1;10,3;48,5
Alföld és Észak;nagyrégió;1 410,4;208,9;1 619,4;1 474,2;3 093,5;343,1;52,3;12,9;45,6
Ország összesen;ország;3 894,5;417,4;4 311,9;3 364,3;7 676,2;674,4;56,2;9,7;50,7
2010;;;;;;;;;;
Budapest;fõváros, régió;745,9;70,6;816,4;500,4;1 316,8;102,5;62,0;8,6;56,6
Pest;megye, régió;501,4;45,8;547,2;374,9;922,1;69,7;59,3;8,4;54,4
Közép-Magyarország;nagyrégió;1 247,3;116,4;1 363,7;875,3;2 239,0;172,2;60,9;8,5;55,7
Fejér;megye;172,5;17,2;189,7;139,9;329,6;26,0;57,5;9,1;52,3
Komárom-Esztergom;megye;132,0;11,9;143,9;95,8;239,7;18,9;60,0;8,3;55,1
Veszprém;megye;142,1;18,7;160,7;116,7;277,4;24,1;57,9;11,6;51,2
Közép-Dunántúl;régió;446,6;47,8;494,3;352,4;846,8;69,0;58,4;9,7;52,7
