20.2.2.4. A foglalkoztatottak száma nemzetgazdasági szektorok szerint, régiónként, negyedévente – TEÁOR'08 [ezer fõ];;;;;;;;;;
Év;Negyedév;Budapest;Pest;Közép-Dunántúl;Nyugat-Dunántúl;Dél-Dunántúl;Észak-Magyarország;Észak-Alföld;Dél-Alföld;Összesen
Mezõgazdaság;;;;;;;;;;
;IV.;127,7;143,3;179,2;160,7;101,9;147,4;162,6;152,7;1 175,5
2013.;I.;125,3;140,3;172,5;149,5;98,3;142,1;157,9;149,7;1 135,6
;II.;123,9;142,8;178,8;155,9;100,5;147,8;171,1;151,6;1 172,4
;III.;123,9;150,3;190,0;168,5;101,6;150,3;181,2;156,2;1 221,9
;IV.;130,1;153,8;188,9;171,9;104,1;152,2;181,7;152,6;1 235,4
2014.;I.;130,4;150,5;188,1;178,0;110,0;148,4;181,4;147,2;1 234,0
;II.;132,6;153,6;197,2;185,9;104,8;150,2;186,4;153,6;1 264,3
;III.;140,8;153,9;201,3;183,5;109,5;159,9;188,9;160,0;1 297,8
;IV.;134,8;157,6;201,0;174,7;108,1;159,0;193,8;161,8;1 290,8
2015.;I.;135,0;153,4;200,9;171,7;112,5;154,4;186,4;158,8;1 273,1
;II.;140,9;160,0;198,8;173,5;113,3;154,5;181,6;166,4;1 289,1
;III.;142,8;157,5;204,7;167,7;110,8;158,0;187,9;172,2;1 301,5
;IV.;148,1;159,8;208,7;169,7;112,8;161,3;190,1;171,6;1 322,2
2016.;I.;139,3;160,7;207,8;173,2;109,3;163,2;183,6;170,4;1 307,4
;II.;138,1;165,2;210,9;166,6;118,2;172,9;179,1;170,5;1 321,6
;III.;145,9;164,5;218,3;181,5;114,5;177,4;187,6;171,7;1 361,5
;IV.;134,0;168,0;222,6;188,3;112,9;182,5;195,3;172,6;1 376,1
2017.;I.;142,8;166,2;226,2;189,2;111,9;182,4;188,5;173,1;1 380,3
;II.;149,1;168,8;230,4;189,0;118,0;185,7;189,2;169,6;1 399,8
;III.;144,7;180,1;228,6;196,0;123,6;192,4;196,9;173,2;1 435,6
;IV.;161,1;186,0;222,4;202,7;119,9;189,7;201,0;174,2;1 457,0
2018.;I.;158,8;192,8;222,9;202,7;119,4;189,2;202,8;168,8;1 457,5
;II.;149,7;189,3;230,1;211,1;125,0;191,2;205,9;174,4;1 476,8
;III.;152,4;182,5;234,0;207,2;127,7;188,9;212,1;182,4;1 487,2
;IV.;149,1;188,5;234,1;211,7;122,5;188,0;220,2;180,9;1 495,0
2019.;I.;136,0;180,2;234,9;209,9;123,4;188,1;209,7;188,6;1 470,7
;II.;132,5;176,6;231,7;212,3;127,8;191,1;209,6;185,4;1 467,0
;III.;128,5;184,2;228,4;210,5;129,7;192,4;209,2;182,4;1 465,4
;IV.;138,2;195,9;226,0;207,0;125,5;193,7;212,9;179,8;1 479,1
2020.;I.;136,8;196,2;225,0;192,4;121,4;191,5;214,9;187,0;1 465,2
;II.;141,5;198,9;216,8;182,7;123,6;188,9;207,7;174,6;1 434,5
;III.;132,4;192,6;223,1;189,8;117,1;192,8;214,4;192,4;1 454,6
;IV.;137,6;189,7;218,8;184,6;113,5;194,0;218,3;188,8;1 445,1
2021.;I.;138,0;186,0;225,9;183,5;113,6;188,4;215,2;187,2;1 437,8
;II.;140,6;184,3;222,7;186,4;116,8;189,2;223,0;190,9;1 453,9
;III.;137,9;182,4;221,6;194,5;119,1;189,5;225,2;188,6;1 458,7
;IV.;132,3;184,1;225,1;200,5;126,3;188,1;215,7;184,8;1 456,9
2022.;I.;146,0;179,8;221,7;201,3;125,6;188,7;209,2;180,4;1 452,5
;II.;142,2;182,8;226,6;201,3;132,1;187,4;214,6;178,1;1 465,2
;III.;133,2;192,5;227,1;198,9;135,9;190,5;217,2;175,1;1 470,3
;IV.;;;;;;;;;
Szolgáltatás;;;;;;;;;;
2009.;I.;637,3;338,7;237,3;231,8;198,4;242,4;307,6;292,5;2 486,0
;II.;624,8;341,9;236,9;235,6;205,0;249,7;322,2;301,0;2 517,0
;III.;619,5;342,0;238,8;236,6;203,3;246,1;321,7;307,3;2 515,4
;IV.;622,6;341,8;235,3;233,0;203,0;247,7;318,7;309,7;2 511,8
2010.;I.;610,9;343,8;237,6;234,8;199,0;241,0;318,9;310,5;2 496,5
;II.;614,0;345,0;234,5;231,6;209,7;239,7;322,1;311,1;2 507,6
;III.;606,1;347,0;246,3;231,2;208,8;240,2;331,2;315,6;2 526,6
;IV.;609,1;343,8;244,4;239,8;203,3;245,8;335,1;305,7;2 527,0
2011.;I.;618,0;343,1;239,1;236,1;201,6;232,3;315,0;294,4;2 479,6
;II.;618,2;348,8;239,8;235,8;206,3;241,3;331,7;296,2;2 518,1
;III.;621,6;348,3;245,6;229,8;206,3;243,3;330,1;301,1;2 526,2
;IV.;629,9;353,1;249,1;231,6;207,9;241,2;332,5;300,2;2 545,4
2012.;I.;631,1;361,4;243,9;231,6;201,2;236,9;324,7;296,2;2 527,0
;II.;639,4;357,3;249,6;240,1;207,2;239,5;341,4;311,3;2 585,7
;III.;656,9;361,0;255,2;247,8;216,1;239,3;341,1;315,2;2 632,6
;IV.;656,2;357,8;262,1;242,9;214,1;235,9;336,6;314,2;2 619,8
2013.;I.;660,8;357,8;257,9;250,8;204,5;236,0;319,6;294,7;2 582,0
;II.;662,9;367,9;259,0;253,1;220,7;245,3;339,6;309,1;2 657,5
;III.;656,0;367,7;256,5;251,8;225,4;252,7;346,2;308,7;2 664,9
;IV.;643,7;379,8;258,8;252,9;221,3;262,9;352,5;312,1;2 683,9
2014.;I.;663,2;385,5;257,4;258,6;216,7;263,4;349,4;308,7;2 703,0
;II.;670,1;384,1;263,9;255,0;228,0;264,5;348,1;316,0;2 729,8
