20.1.1.74. Továbbvezetett havi munkaerõköltség fõbb elemeinek megoszlása nemzetgazdasági áganként [munkaerõköltség = 100,0%];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág, ágazat;Bruttó munka-jövedelem 2009;Szociális költség 2009;Képzés és más költségelemek 2009;Munkaerõ-költség 2009;Bruttó munka-jövedelem 2010;Szociális költség 2010;Képzés és más költségelemek 2010;Munkaerõ-költség 2010;Bruttó munka-jövedelem 2011;Szociális költség 2011;Képzés és más költségelemek 2011;Munkaerõ-költség 2011;Bruttó munka-jövedelem 2012;Szociális költség 2012;Képzés és más költségelemek 2012;Munkaerõ-költség 2012;Bruttó munka-jövedelem 2013;Szociális költség 2013;Képzés és más költségelemek 2013;Munkaerõ-költség 2013;Bruttó munka-jövedelem 2014;Szociális költség 2014;Képzés és más költségelemek 2014;Munkaerõ-költség 2014;Bruttó munka-jövedelem 2015;Szociális költség 2015;Képzés és más költségelemek 2015;Munkaerõ-költség 2015;Bruttó munka-jövedelem 2016;Szociális költség 2016;Képzés és más költségelemek 2016;Munkaerõ-költség 2016;Bruttó munka-jövedelem 2017;Szociális költség 2017;Képzés és más költségelemek 2017;Munkaerõ-költség 2017;Bruttó munka-jövedelem 2018;Szociális költség 2018;Képzés és más költségelemek 2018;Munkaerõ-költség 2018
CK;Gép, gépi berendezés gyártása;72,9;24,7;2,4;100,0;74,6;23,1;2,3;100,0;75,3;22,7;2,0;100,0;76,4;22,0;1,6;100,0;77,3;20,9;1,8;100,0;76,1;21,5;2,4;100,0;76,1;21,5;2,4;100,0;75,4;22,0;2,6;100,0;79,2;18,0;2,8;100,0;80,6;16,6;2,8;100,0
CL;Jármûgyártás;72,5;25,6;1,9;100,0;74,6;23,7;1,7;100,0;75,0;23,7;1,4;100,0;75,3;22,3;2,4;100,0;72,7;21,7;5,6;100,0;73,0;21,1;5,9;100,0;72,7;22,0;5,3;100,0;75,0;22,4;2,6;100,0;78,2;19,1;2,8;100,0;79,5;17,6;2,8;100,0
CM;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása";72,7;24,9;2,3;100,0;74,5;23,7;1,8;100,0;74,7;23,3;2,1;100,0;76,6;21,1;2,3;100,0;78,0;21,4;0,6;100,0;77,5;22,3;0,2;100,0;77,2;22,3;0,6;100,0;77,4;21,6;1,0;100,0;80,6;18,2;1,2;100,0;81,9;16,8;1,3;100,0
D;Villamosenergia-, gáz-, gõzellátás, légkondícionálás;67,2;29,3;3,5;100,0;69,0;27,9;3,1;100,0;70,4;27,0;2,6;100,0;70,6;26,5;2,9;100,0;69,4;26,2;4,4;100,0;69,1;26,5;4,4;100,0;67,4;27,9;4,7;100,0;69,3;27,0;3,6;100,0;73,6;22,5;3,9;100,0;74,8;21,3;3,9;100,0
B–D;Ipar (víz- és hulladékgazdálkodás nélkül);71,7;25,7;2,6;100,0;74,0;23,8;2,2;100,0;74,7;23,5;1,8;100,0;75,8;22,0;2,2;100,0;74,6;21,5;3,9;100,0;74,1;21,8;4,2;100,0;73,7;22,1;4,1;100,0;75,2;22,1;2,7;100,0;78,6;18,5;2,9;100,0;80,0;17,1;2,9;100,0
E;Vízellátás, szennyvíz gyûjtése, kezelése, hulladékgazdálkodás, szennyezõdésmentesítés;70,0;26,4;3,6;100,0;72,2;24,3;3,5;100,0;72,4;24,4;3,1;100,0;73,6;23,8;2,6;100,0;71,9;23,6;4,5;100,0;73,6;22,7;3,7;100,0;73,2;22,7;4,1;100,0;73,6;22,9;3,5;100,0;77,3;18,9;3,7;100,0;78,5;17,7;3,8;100,0
B–E;Ipar;71,6;25,7;2,6;100,0;73,9;23,8;2,3;100,0;74,5;23,6;1,9;100,0;75,7;22,1;2,2;100,0;73,2;21,2;5,6;100,0;72,8;21,4;5,8;100,0;72,5;21,8;5,8;100,0;75,1;22,1;2,8;100,0;78,6;18,5;2,9;100,0;79,9;17,1;3,0;100,0
F;Építõipar;73,2;24,7;2,2;100,0;75,2;22,6;2,1;100,0;74,9;23,0;2,1;100,0;77,9;20,1;2,0;100,0;75,4;21,2;3,3;100,0;74,7;21,5;3,8;100,0;74,4;21,8;3,8;100,0;75,0;21,5;3,5;100,0;78,6;17,8;3,6;100,0;79,8;16,5;3,7;100,0
B–F;Ipar és építõipar;71,8;25,6;2,6;100,0;74,0;23,7;2,3;100,0;74,6;23,5;1,9;100,0;75,9;21,9;2,2;100,0;73,4;21,2;5,3;100,0;73,0;21,4;5,6;100,0;72,7;21,8;5,5;100,0;75,1;22,1;2,8;100,0;78,6;18,4;3,0;100,0;79,9;17,1;3,0;100,0
G;Kereskedelem, gépjármûjavítás;73,0;24,4;2,6;100,0;75,2;22,2;2,7;100,0;74,7;22,8;2,4;100,0;78,1;19,6;2,3;100,0;75,0;21,2;3,9;100,0;74,7;21,2;4,1;100,0;74,7;21,3;4,0;100,0;70,5;20,1;9,3;100,0;73,4;16,7;9,9;100,0;74,7;15,4;9,9;100,0
