20.1.1.15. A 15–74 éves foglalkoztatottak távmunkavégzése demográfiai jellemzõik szerint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;2011 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2011 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2011 Együtt, fõ;2011 Összes foglalkoztatott, fõ;2012 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2012 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2012 Együtt, fõ;2012 Összes foglalkoztatott, fõ;2013 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2013 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2013 Együtt, fõ;2013 Összes foglalkoztatott, fõ;2014 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2014 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2014 Együtt, fõ;2014 Összes foglalkoztatott, fõ;2015 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2015 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2015 Együtt, fõ;2015 Összes foglalkoztatott, fõ;2016 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2016 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2016 Együtt, fõ;2016 Összes foglalkoztatott, fõ;2017 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2017 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2017 Együtt, fõ;2017 Összes foglalkoztatott, fõ;2018 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2018 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2018 Együtt, fõ;2018 Összes foglalkoztatott, fõ;2019 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2019 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2019 Együtt, fõ;2019 Összes foglalkoztatott, fõ;2020 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2020 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2020 Együtt, fõ;2020 Összes foglalkoztatott, fõ;2021 Az elmúlt 4 hétben távmunkát végzett rendszeresen vagy alkalmanként, fõ;2021 Az elmúlt 4 hétben nem végzett távmunkát, fõ;2021 Együtt, fõ;2021 Összes foglalkoztatott, fõ
középfok érettségi nélkül szakképesítéssel;8 701;1 091 348;1 100 049;1 123 501;8 201;1 092 664;1 100 865;1 120 229;8 955;1 123 085;1 132 040;1 151 575;8 076;1 148 645;1 156 721;1 178 302;6 879;1 145 906;1 152 785;1 174 023;6 555;1 175 457;1 182 012;1 204 652;7 140;1 223 546;1 230 686;1 249 541;5 736;1 249 202;1 254 938;1 272 549;2 765;1 240 129;1 242 894;1 260 197;6 159;1 184 809;1 190 967;1 208 552;5 855;1 148 017;1 153 872;1 170 633
középfok érettségivel szakképesítés nélkül;7 244;332 675;339 918;359 014;12 684;334 913;347 597;362 753;15 697;356 766;372 462;388 059;10 888;403 462;414 350;429 356;13 240;458 882;472 121;488 810;10 548;526 598;537 146;555 248;11 600;521 883;533 483;553 346;17 464;519 926;537 390;558 083;9 093;554 323;563 417;583 213;35 457;533 164;568 620;593 849;35 622;510 821;546 443;569 947
középfok érettségivel és szakképesítéssel;26 491;904 843;931 334;967 722;29 912;922 024;951 936;980 502;33 205;906 193;939 398;969 401;27 954;943 999;971 954;1 000 290;22 266;934 766;957 032;984 639;21 196;947 865;969 061;998 297;19 806;964 445;984 251;1 006 852;17 102;947 350;964 453;992 947;10 654;947 392;958 046;987 805;45 605;890 074;935 679;962 192;43 697;892 934;936 631;962 868
felsõfok;53 157;914 038;967 195;1 020 379;77 792;935 684;1 013 476;1 073 951;93 795;943 944;1 037 738;1 102 939;84 629;1 005 839;1 090 467;1 147 432;80 848;1 055 159;1 136 006;1 192 255;61 664;1 079 166;1 140 830;1 194 779;71 280;1 076 386;1 147 666;1 204 795;92 907;1 107 905;1 200 812;1 261 636;66 810;1 176 682;1 243 491;1 302 655;296 355;995 512;1 291 867;1 356 724;332 970;1 058 116;1 391 085;1 455 232
Régió;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;37 308;681 699;719 007;752 860;54 914;690 104;745 018;775 924;69 082;678 933;748 016;784 921;56 828;724 613;781 441;809 051;56 388;747 161;803 549;833 340;46 202;793 925;840 127;870 342;49 911;795 346;845 257;873 534;74 612;759 202;833 814;863 463;45 790;802 330;848 120;874 344;181 431;669 705;851 136;878 425;237 216;610 288;847 505;872 500
Pest;14 497;468 069;482 566;508 035;17 374;473 769;491 143;513 096;22 516;480 712;503 228;526 449;21 760;506 421;528 181;547 937;10 966;528 066;539 032;561 352;9 634;555 967;565 601;584 631;14 887;563 076;577 964;597 875;16 524;578 679;595 204;618 893;11 143;603 532;614 675;636 676;61 867;558 024;619 891;644 257;51 328;581 192;632 519;658 443
Közép-Dunántúl;9 484;433 120;442 604;459 478;11 341;429 961;441 302;456 504;10 469;435 360;445 829;462 116;9 764;457 360;467 124;484 157;10 540;477 409;487 949;500 704;7 588;480 069;487 657;504 503;7 127;491 569;498 696;516 325;7 406;491 713;499 119;517 017;3 138;502 497;505 635;520 174;21 300;481 995;503 295;519 314;23 688;486 324;510 013;526 239
Nyugat-Dunántúl;7 984;401 482;409 466;423 670;8 202;407 276;415 478;428 982;11 161;406 802;417 963;433 946;13 862;428 128;441 989;458 269;13 721;436 105;449 826;462 501;10 606;446 255;456 861;473 656;10 765;458 818;469 584;484 775;10 278;471 596;481 873;496 718;12 095;475 902;487 997;503 091;28 667;452 595;481 261;498 632;23 261;461 032;484 293;502 275
Dél-Dunántúl;15 300;311 030;326 330;337 980;20 642;306 446;327 088;338 045;16 593;324 967;341 560;349 275;12 651;343 785;356 436;365 750;12 339;349 876;362 215;369 432;12 566;357 691;370 257;379 626;15 003;354 248;369 252;377 514;7 034;366 975;374 009;381 920;3 208;369 832;373 040;381 365;18 851;344 395;363 246;373 583;13 695;354 267;367 962;377 559
Észak-Magyarorság;7 931;383 996;391 927;402 565;9 279;385 073;394 352;404 524;12 513;395 802;408 315;417 314;8 165;421 181;429 346;443 750;10 959;439 651;450 610;463 435;5 766;460 255;466 020;477 700;6 149;468 626;474 775;484 051;5 121;480 162;485 283;495 147;4 153;477 502;481 656;495 399;19 663;450 200;469 863;483 244;22 219;444 127;466 346;478 736
Észak-Alföld;2 057;509 262;511 319;524 178;3 805;524 146;527 952;539 379;4 856;534 623;539 479;551 157;2 036;570 171;572 207;589 603;1 880;584 203;586 084;604 169;2 566;609 829;612 394;626 696;3 013;628 078;631 091;644 087;7 231;632 483;639 714;656 942;5 807;634 167;639 974;656 436;30 061;592 826;622 887;640 664;22 951;606 202;629 152;645 851
Dél-Alföld;4 784;471 015;475 800;494 218;7 159;477 721;484 881;502 270;7 212;481 160;488 372;504 091;10 883;497 580;508 463;524 083;8 075;516 395;524 470;540 161;6 840;542 447;549 287;565 055;5 538;549 227;554 764;570 212;7 634;552 818;560 452;576 279;5 028;555 996;561 024;577 081;23 228;525 651;548 879;565 110;24 647;531 122;555 769;572 947
