20.2.1.25. A munkanélküliek száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
2021.;I.;6,1;13,3;16,8;12,3;13,3;11,3;9,7;9,0;7,4;4,9;…;…;106,2;19,4
;II.;6,4;13,6;16,9;10,6;8,3;10,7;10,8;11,7;9,2;5,4;…;…;104,4;20,0
;III.;8,0;17,3;12,6;7,8;9,0;11,3;7,6;9,8;9,5;4,3;…;…;98,5;25,4
;IV.;4,9;14,9;12,4;8,4;9,0;9,9;9,5;7,8;8,8;3,6;…;…;90,4;19,8
2022.;I.;4,2;14,0;13,5;9,7;8,1;10,4;11,0;12,0;8,7;6,7;…;…;99,2;18,2
;II.;4,1;12,5;10,0;8,9;10,6;8,6;10,3;8,5;5,3;7,0;…;…;87,3;16,7
;III.;5,3;15,1;13,0;9,4;9,5;8,6;10,4;10,7;9,1;5,1;…;…;97,3;20,5
;IV.;;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;;
2009.;I.;4,4;25,2;24,7;26,5;21,6;22,9;21,4;18,8;11,3;1,5;...;...;178,2;29,5
;II.;4,1;25,0;23,2;24,6;23,2;23,8;21,4;18,6;10,6;1,8;...;...;176,4;29,0
;III.;4,3;28,9;26,0;24,4;25,1;24,6;24,4;20,6;11,8;1,4;...;...;192,3;33,3
;IV.;4,7;28,8;28,3;23,7;28,7;23,4;23,3;21,4;12,6;0,5;...;...;195,6;33,5
2010.;I.;3,4;27,1;31,9;28,2;32,1;26,9;26,5;20,3;13,6;1,0;...;...;210,9;30,5
;II.;3,4;26,5;27,6;25,0;29,9;26,6;25,6;21,8;15,8;1,4;...;...;203,6;29,8
;III.;3,4;30,7;28,2;28,1;29,4;25,7;23,7;21,6;16,6;1,7;...;...;209,0;34,1
;IV.;3,9;28,7;26,0;26,0;26,8;26,4;26,6;23,1;16,5;1,9;...;...;205,9;32,6
2011.;I.;2,5;26,5;26,9;28,5;31,6;28,4;29,3;24,1;17,5;1,8;...;...;217,2;29,0
;II.;2,8;24,7;25,1;26,6;31,3;29,3;26,1;24,2;21,0;2,1;...;...;213,2;27,4
;III.;4,1;28,0;25,5;24,7;28,9;27,9;27,8;24,3;18,7;2,9;...;...;213,0;32,2
;IV.;3,3;30,5;24,1;23,1;27,2;26,8;26,3;26,6;21,8;2,3;...;...;212,4;33,8
2012.;I.;2,8;30,8;26,3;27,0;32,0;24,6;27,4;28,9;23,3;1,9;...;...;225,5;33,6
;II.;2,3;30,6;24,7;24,1;29,8;23,2;22,9;25,3;19,9;1,8;...;...;205,7;32,9
;III.;4,4;35,4;25,6;22,8;27,6;23,5;22,7;20,5;17,3;2,5;...;...;203,2;39,8
;IV.;5,3;33,0;27,5;22,9;30,4;25,7;23,8;20,7;16,0;2,4;...;...;208,4;38,3
2013.;I.;5,0;35,0;24,3;25,1;29,8;27,1;26,0;21,3;16,1;1,9;...;...;212,3;40,0
;II.;6,1;29,2;21,7;24,7;27,0;29,4;24,8;19,4;18,2;2,7;...;...;204,1;35,3
;III.;5,2;33,1;21,3;22,6;28,9;26,6;22,4;18,5;18,8;2,6;...;...;200,3;38,3
;IV.;4,7;29,3;23,9;19,7;24,5;24,8;25,2;15,6;15,7;3,4;...;...;187,2;34,1
2014.;I.;4,0;27,4;24,3;18,3;24,1;21,0;22,0;13,0;14,8;1,9;...;...;171,1;31,4
;II.;3,8;26,8;24,7;20,3;21,2;22,1;18,9;12,0;14,0;3,5;...;...;167,3;30,6
;III.;4,8;28,3;20,5;18,9;21,4;20,6;13,8;12,1;14,5;3,5;...;...;158,9;33,0
;IV.;3,5;20,5;17,2;19,7;25,1;20,2;13,3;12,0;13,4;2,0;...;...;147,3;23,9
2015.;I.;4,0;21,4;23,3;17,2;25,6;21,0;16,3;13,7;14,0;4,6;...;...;161,0;25,5
;II.;4,7;18,9;18,8;18,2;24,2;16,8;14,6;14,2;10,6;5,5;...;...;146,8;23,5
