21.2.1.21. Hozzájárulás a bruttó hazai termék (GDP) változásához (felhasználási oldal), elõzõ év azonos idõszakához viszonyított negyedéves indexekbõl számítva[százalékpont] ;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
;II.;4,8;0,4;0,1;5,3;0,8;6,1;0,1;2,4;0,0;2,5;8,6;1,4;-1,1;0,3;5,3;-0,5;4,8;-3,9;-0,7;-4,5;4,1
;III.;4,8;0,4;0,1;5,3;0,7;6,0;0,4;2,1;0,0;2,4;8,4;5,7;-1,4;4,3;7,1;1,2;8,3;-1,4;-2,7;-4,0;4,4
;IV.;3,1;-0,4;0,1;2,8;-0,3;2,5;1,2;-1,5;0,0;-0,2;2,3;9,1;-0,5;8,6;6,4;0,2;6,6;2,7;-0,7;2,0;4,3
2004.;I. ;-1,0;0,5;0,2;-0,3;-0,1;-0,3;2,8;0,5;0,0;3,3;2,9;9,3;1,4;10,7;8,9;0,1;9,0;0,3;1,3;1,7;4,6
;II.;2,1;0,6;0,2;2,9;0,1;3,1;2,1;2,5;0,0;4,6;7,7;12,7;-0,5;12,2;14,1;0,5;14,5;-1,4;-0,9;-2,3;5,4
;III.;2,2;0,6;0,1;2,9;0,1;3,0;2,9;1,1;0,0;3,9;7,0;10,0;-0,8;9,3;10,6;0,5;11,1;-0,6;-1,3;-1,8;5,2
;IV.;0,6;-0,3;0,0;0,3;-0,8;-0,5;0,0;5,7;0,0;5,7;5,3;9,9;-1,6;8,3;9,4;-0,7;8,7;0,5;-0,9;-0,4;4,9
2005.;I. ;2,1;0,7;0,1;2,8;-0,1;2,7;0,6;-0,5;0,0;0,1;2,9;8,1;-1,2;6,8;5,8;0,7;6,4;2,3;-1,9;0,4;3,3
;II.;1,4;0,7;0,1;2,2;0,3;2,5;1,3;-3,5;0,0;-2,2;0,3;7,9;0,1;8,0;2,3;1,2;3,5;5,6;-1,1;4,5;4,8
;III.;0,3;0,3;0,1;0,7;0,2;0,9;1,0;-0,3;0,0;0,7;1,6;7,6;0,2;7,9;4,9;0,3;5,2;2,8;-0,1;2,7;4,3
;IV.;2,1;0,0;0,1;2,2;-0,3;2,0;0,5;-0,2;0,0;0,4;2,3;6,8;1,1;7,9;4,6;0,9;5,5;2,2;0,2;2,3;4,6
2006.;I. ;2,0;1,5;-0,1;3,4;0,9;4,3;2,3;-2,3;0,0;0,0;4,3;10,3;2,8;13,1;10,8;1,7;12,5;-0,5;1,1;0,6;4,9
;II.;0,9;0,2;-0,1;1,0;-0,1;0,8;0,0;-0,2;0,0;-0,2;0,6;7,4;2,9;10,3;6,2;1,0;7,3;1,2;1,8;3,0;3,6
;III.;1,0;-0,5;-0,2;0,3;-0,5;-0,2;-0,2;1,2;0,0;1,0;0,8;8,0;3,2;11,2;6,8;1,5;8,3;1,2;1,7;3,0;3,8
;IV.;0,0;0,2;0,0;0,2;0,3;0,5;-1,0;1,6;0,0;0,6;1,1;11,3;2,9;14,2;9,5;2,1;11,6;1,7;0,8;2,5;3,6
2007.;I. ;1,0;-2,3;0,0;-1,3;-0,9;-2,2;0,9;0,0;0,0;1,0;-1,3;13,1;1,3;14,4;10,3;1,3;11,6;2,8;0,0;2,8;1,6
;II.;0,5;-1,3;0,0;-0,8;0,2;-0,7;0,9;-1,2;0,0;-0,3;-1,0;11,0;1,1;12,1;9,1;2,0;11,1;1,9;-0,8;1,1;0,1
;III.;0,2;-0,6;0,0;-0,4;0,7;0,3;0,4;-2,2;0,0;-1,8;-1,5;11,0;1,5;12,6;8,5;2,7;11,2;2,6;-1,2;1,4;-0,1
;IV.;0,5;-0,6;0,0;0,0;0,7;0,7;2,1;-3,0;0,0;-0,9;-0,2;7,6;1,3;8,9;6,8;2,2;9,0;0,8;-0,9;-0,1;-0,3
2008.;I. ;0,2;0,0;-0,1;0,0;1,1;1,1;-0,3;-0,2;0,0;-0,4;0,7;11,7;1,0;12,6;10,5;1,0;11,5;1,2;-0,1;1,1;1,8
;II.;0,6;0,2;0,0;0,7;0,7;1,4;0,2;1,9;0,0;2,2;3,6;7,6;0,7;8,3;9,0;0,3;9,3;-1,4;0,4;-1,0;2,6
;III.;-0,7;0,5;0,0;-0,3;0,9;0,7;0,6;0,4;0,0;1,0;1,7;3,0;0,8;3,8;3,1;0,5;3,6;-0,1;0,3;0,2;1,9
;IV.;-2,3;-0,7;-0,1;-3,1;0,0;-3,1;0,4;-1,5;0,0;-1,0;-4,2;-3,4;0,7;-2,7;-5,2;0,5;-4,8;1,9;0,2;2,1;-2,1
2009.;I. ;-3,9;-0,1;0,1;-3,9;-0,2;-4,1;-1,8;-3,6;0,0;-5,3;-9,5;-16,7;0,9;-15,9;-18,9;0,7;-18,3;2,2;0,2;2,4;-7,1
;II.;-3,7;0,1;0,0;-3,6;0,1;-3,5;-1,3;-8,1;0,0;-9,4;-12,9;-13,1;0,8;-12,2;-17,5;0,3;-17,2;4,4;0,5;5,0;-7,9
;III.;-4,3;-0,5;0,0;-4,8;-0,1;-5,0;-2,2;-3,2;0,0;-5,5;-10,4;-7,1;0,1;-6,9;-9,7;-0,2;-9,9;2,6;0,4;3,0;-7,4
;IV.;-2,5;0,3;0,0;-2,2;1,0;-1,2;-3,2;-0,2;0,0;-3,4;-4,6;-0,2;0,3;0,2;-1,6;1,2;-0,4;1,4;-0,8;0,6;-4,0
2010.;I. ;-1,0;-0,7;0,0;-1,8;0,6;-1,1;-1,4;0,6;0,0;-0,9;-2,0;6,5;1,3;7,7;6,2;-0,3;5,9;0,2;1,6;1,8;-0,2
;II.;-1,8;-0,2;0,0;-2,0;0,3;-1,7;-1,8;3,2;0,0;1,4;-0,3;8,7;0,9;9,6;8,3;0,3;8,6;0,4;0,7;1,1;0,8
;III.;0,6;0,3;0,0;0,9;0,3;1,2;-1,4;1,3;0,0;-0,1;1,1;7,7;0,5;8,3;8,1;-0,4;7,7;-0,3;0,9;0,6;1,6
;IV.;-0,4;-0,3;-0,1;-0,8;-0,5;-1,2;-3,8;5,0;0,0;1,1;-0,1;7,0;0,5;7,4;7,0;-1,6;5,4;-0,1;2,1;2,0;1,9
2011.;I. ;-0,5;0,7;0,0;0,2;0,0;0,3;0,3;0,6;0,0;0,9;1,2;10,7;-0,1;10,7;8,5;0,5;9,0;2,3;-0,6;1,7;2,8
;II.;1,2;-0,2;0,0;1,0;0,0;1,0;-0,6;0,0;0,0;-0,6;0,4;4,0;0,9;4,9;3,7;0,2;3,8;0,3;0,8;1,1;1,5
;III.;0,6;0,0;0,0;0,6;-0,1;0,5;-0,5;-1,6;0,0;-2,1;-1,6;2,3;1,4;3,7;0,4;0,5;0,9;1,9;0,9;2,8;1,3
;IV.;0,4;-0,1;0,1;0,3;0,0;0,4;-0,2;-0,9;0,0;-1,1;-0,7;1,0;1,3;2,3;-0,7;0,3;-0,4;1,7;1,1;2,7;2,0
2012.;I. ;-0,4;-0,5;0,0;-0,9;-0,2;-1,0;-0,6;0,5;0,0;-0,2;-1,2;-1,2;0,6;-0,6;-1,0;-0,7;-1,7;-0,2;1,3;1,1;-0,1
;II.;-1,3;-0,3;0,0;-1,6;0,1;-1,5;-0,3;-1,8;0,0;-2,2;-3,6;0,5;-0,2;0,3;-1,7;-0,5;-2,2;2,1;0,3;2,5;-1,2
;III.;-2,8;-0,4;0,0;-3,2;0,1;-3,2;-0,1;0,3;0,0;0,2;-3,0;-0,8;-0,3;-1,1;-2,4;-0,5;-2,9;1,6;0,2;1,8;-1,1
