;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
;III.;1 203 254;x;490 754;1 694 008;1 001 772;x;713 966;1 715 738;201 482;x;-223 212;-21 730;1 115 272;x;492 400;1 607 672;951 443;x;682 645;1 634 088;163 829;x;-190 245;-26 416;110,3;x;112,3;111,1;109,9;x;114,9;111,9
;IV.;1 380 752;x;534 782;1 915 534;1 178 248;x;822 940;2 001 188;202 504;x;-288 158;-85 654;1 251 457;x;519 147;1 770 604;1 069 843;x;752 905;1 822 748;181 614;x;-233 758;-52 144;118,2;x;118,9;118,9;113,5;x;122,7;117,2
2000.;I.;1 297 653;1 081 988;521 720;1 819 373;1 104 424;886 442;866 009;1 970 433;193 229;195 546;-344 289;-151 060;1 209 595;1 047 097;528 408;1 738 003;1 071 814;860 369;767 876;1 839 690;137 781;186 728;-239 468;-101 687;121,4;x;132,9;124,7;117,9;x;129,6;122,5
;II.;1 522 770;1 253 896;604 304;2 127 074;1 203 951;966 634;964 088;2 168 039;318 819;287 262;-359 784;-40 965;1 348 881;1 159 048;596 575;1 945 456;1 126 394;903 470;824 285;1 950 679;222 487;255 578;-227 710;-5 223;123,6;x;132,7;126,2;113,0;x;126,4;118,3
;III.;1 631 779;1 325 423;697 476;2 329 255;1 293 356;1 026 545;1 109 044;2 402 400;338 423;298 878;-411 568;-73 145;1 405 333;1 198 306;679 661;2 084 994;1 184 461;938 159;930 852;2 115 313;220 872;260 147;-251 191;-30 319;117,7;x;138,5;123,8;117,8;x;129,9;122,8
;IV.;1 840 292;1 533 190;792 186;2 632 478;1 493 372;1 201 961;1 365 703;2 859 075;346 920;331 229;-573 517;-226 597;1 582 659;1 368 046;743 602;2 326 261;1 337 869;1 075 539;1 125 627;2 463 496;244 790;292 507;-382 025;-137 235;118,2;x;143,8;125,4;118,3;x;142,4;128,2
2001.;I.;1 748 429;1 430 846;604 496;2 352 925;1 379 190;1 107 817;1 135 467;2 514 657;369 239;323 029;-530 971;-161 732;1 672 791;1 397 388;596 184;2 268 975;1 317 180;1 076 996;1 092 357;2 409 537;355 611;320 392;-496 173;-140 562;121,9;x;109,9;118,6;113,9;x;120,6;116,6
;II.;1 743 996;1 437 038;785 140;2 529 136;1 375 803;1 116 500;1 203 368;2 579 171;368 193;320 538;-418 228;-50 035;1 658 627;1 403 925;761 759;2 420 386;1 321 996;1 085 369;1 164 238;2 486 234;336 631;318 556;-402 479;-65 848;108,4;x;124,4;113,1;108,7;x;119,7;113,5
;III.;1 684 526;1 362 964;826 428;2 510 954;1 315 395;1 053 589;1 104 901;2 420 296;369 131;309 375;-278 473;90 658;1 648 613;1 330 242;822 614;2 471 227;1 294 852;1 024 266;1 095 844;2 390 696;353 761;305 976;-273 230;80 531;103,4;x;117,9;107,7;101,3;x;99,8;100,6
;IV.;1 702 809;1 403 513;894 440;2 597 249;1 412 716;1 122 048;1 262 133;2 674 849;290 093;281 465;-367 693;-77 600;1 651 983;1 371 208;882 410;2 534 393;1 402 610;1 090 857;1 260 716;2 663 326;249 373;280 351;-378 306;-128 933;92,0;x;115,6;99,0;97,1;x;94,9;96,3
