;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
2012.;I.;4 678 624;3 494 841;1 568 857;6 247 481;4 115 286;3 244 899;1 777 533;5 892 819;563 338;249 942;-208 676;354 662;4 476 266;3 343 417;1 471 704;5 947 970;3 904 828;3 076 183;1 636 979;5 541 807;571 438;267 234;-165 275;406 163;97,3;99,7;106,2;99,3;99,9;100,7;93,7;98,0
;II.;4 823 281;3 552 554;1 519 389;6 342 670;4 182 744;3 330 560;1 619 369;5 802 113;640 537;221 994;-99 980;540 557;4 634 461;3 424 878;1 445 504;6 079 965;3 988 418;3 168 492;1 495 911;5 484 329;646 043;256 386;-50 407;595 636;100,1;100,7;101,1;100,3;100,2;102,9;90,3;97,3
;III.;4 694 638;3 413 868;1 521 766;6 216 404;4 010 304;3 129 888;1 627 392;5 637 696;684 334;283 980;-105 626;578 708;4 629 563;3 375 803;1 465 086;6 094 649;3 937 168;3 070 431;1 569 457;5 506 625;692 395;305 372;-104 371;588 024;98,8;99,3;98,7;98,7;97,8;98,4;92,7;96,3
;IV.;4 638 029;3 345 750;1 457 549;6 095 578;4 062 009;3 205 939;1 735 763;5 797 772;576 020;139 811;-278 214;297 806;4 594 028;3 326 020;1 429 881;6 023 909;3 994 062;3 150 502;1 684 960;5 679 022;599 966;175 518;-255 079;344 887;94,3;94,7;96,9;94,9;97,3;100,1;92,6;95,9
2013.;I.;4 736 259;3 469 411;1 412 116;6 148 375;4 047 627;3 142 049;1 635 131;5 682 758;688 632;327 362;-223 015;465 617;4 671 346;3 428 295;1 413 102;6 084 448;4 002 166;3 105 010;1 658 094;5 660 260;669 180;323 285;-244 992;424 188;101,6;100,0;92,0;99,2;99,1;97,5;95,7;98,1
;II.;4 900 137;3 563 532;1 559 576;6 459 713;4 378 989;3 382 239;1 602 965;5 981 954;521 148;181 293;-43 389;477 759;4 867 760;3 536 664;1 568 464;6 436 224;4 366 933;3 367 800;1 639 498;6 006 431;500 827;168 864;-71 034;429 793;102,2;100,7;103,9;102,6;105,8;102,6;103,6;105,2
;III.;5 018 380;3 588 038;1 619 861;6 638 241;4 405 353;3 362 712;1 558 156;5 963 509;613 027;225 326;61 705;674 732;5 006 254;3 570 019;1 640 337;6 646 591;4 387 726;3 346 262;1 600 219;5 987 945;618 528;223 757;40 118;658 646;105,3;103,2;107,2;105,7;107,7;105,2;96,3;104,4
;IV.;5 087 399;3 688 841;1 590 082;6 677 481;4 717 156;3 622 270;1 612 985;6 330 141;370 243;66 571;-22 903;347 340;5 135 222;3 715 916;1 621 381;6 756 603;4 734 953;3 618 886;1 692 843;6 427 796;400 269;97 030;-71 462;328 807;108,8;109,0;108,6;108,8;114,6;110,9;94,9;108,7
2014.;I.;5 498 065;4 035 467;1 346 013;6 844 078;4 782 516;3 685 563;1 537 381;6 319 897;715 549;349 904;-191 368;524 181;5 414 333;3 969 863;1 339 700;6 754 033;4 715 140;3 627 018;1 542 173;6 257 313;699 193;342 845;-202 473;496 720;115,5;115,3;95,8;111,0;117,4;116,2;95,6;111,1
;II.;5 661 485;4 143 854;1 423 855;7 085 340;5 032 448;3 866 955;1 667 543;6 699 991;629 037;276 899;-243 688;385 349;5 628 240;4 115 109;1 424 049;7 052 289;5 011 025;3 838 807;1 692 753;6 703 778;617 215;276 302;-268 704;348 511;115,3;115,9;91,7;109,6;114,4;113,4;106,2;112,2
;III.;5 723 132;4 150 456;1 619 769;7 342 901;5 128 589;3 902 020;1 591 141;6 719 730;594 543;248 436;28 628;623 171;5 631 127;4 076 061;1 599 217;7 230 344;5 046 047;3 831 198;1 626 395;6 672 442;585 080;244 863;-27 178;557 902;112,1;113,7;98,5;108,8;114,6;113,9;104,5;112,0
;IV.;5 744 015;4 173 664;1 564 264;7 308 279;5 299 999;4 102 576;1 621 139;6 921 138;444 016;71 088;-56 875;387 141;5 726 289;4 155 417;1 545 271;7 271 560;5 263 462;4 048 508;1 673 087;6 936 549;462 827;106 909;-127 816;335 011;111,2;111,4;96,3;107,6;110,8;111,3;101,6;108,5
2015.;I.;5 609 604;4 099 815;1 648 055;7 257 659;4 970 732;3 811 990;1 543 309;6 514 041;638 872;287 825;104 746;743 618;5 669 542;4 127 020;1 646 615;7 316 157;5 015 820;3 821 111;1 569 290;6 585 110;653 722;305 909;77 325;731 047;103,7;102,8;122,0;107,3;105,3;103,9;103,6;104,9
;II.;5 753 490;4 124 532;1 813 894;7 567 384;5 338 593;4 117 351;1 634 448;6 973 041;414 897;7 181;179 446;594 343;5 809 846;4 144 702;1 796 412;7 606 258;5 378 454;4 120 453;1 645 098;7 023 552;431 392;24 249;151 314;582 706;102,2;99,6;125,2;106,8;106,2;105,9;99,0;104,4
;III.;6 004 595;4 249 826;1 797 414;7 802 009;5 387 664;4 108 314;1 678 990;7 066 654;616 931;141 512;118 424;735 355;5 999 421;4 222 825;1 771 893;7 771 314;5 378 238;4 077 492;1 712 958;7 091 196;621 183;145 333;58 935;680 118;105,5;102,4;109,9;106,5;105,5;105,0;107,2;105,9
;IV.;5 966 728;4 242 283;2 010 030;7 976 758;5 569 285;4 130 628;1 777 119;7 346 404;397 443;111 655;232 911;630 354;5 999 930;4 221 565;1 992 008;7 991 938;5 607 088;4 121 447;1 867 335;7 474 423;392 842;100 118;124 673;517 515;103,7;100,4;127,9;108,9;105,4;100,4;113,6;107,4
2016.;I.;5 921 992;4 292 702;1 469 496;7 391 488;5 211 071;4 043 046;1 482 445;6 693 516;710 921;249 656;-12 949;697 972;6 011 451;4 330 272;1 509 886;7 521 337;5 287 083;4 084 244;1 573 589;6 860 672;724 368;246 028;-63 703;660 665;106,7;104,9;90,9;103,1;106,0;106,7;102,7;105,2
;II.;6 396 512;4 658 241;1 640 376;8 036 888;5 632 611;4 348 017;1 516 568;7 149 179;763 901;310 224;123 808;887 709;6 486 430;4 701 347;1 675 913;8 162 343;5 715 519;4 389 028;1 612 716;7 328 235;770 911;312 319;63 197;834 108;112,3;113,4;92,5;107,6;106,8;106,3;100,4;105,4
;III.;6 163 667;4 418 915;1 794 432;7 958 099;5 563 992;4 238 075;1 506 510;7 070 502;599 675;180 840;287 922;887 597;6 254 275;4 473 195;1 809 407;8 063 682;5 654 147;4 285 272;1 585 344;7 239 491;600 128;187 923;224 063;824 191;104,9;105,9;101,2;104,0;105,7;104,9;94,8;103,1
;IV.;6 200 369;4 457 837;1 697 431;7 897 800;5 659 086;4 323 937;1 668 623;7 327 709;541 283;133 900;28 808;570 091;6 315 442;4 536 335;1 705 231;8 020 673;5 732 060;4 364 914;1 708 008;7 440 068;583 382;171 421;-2 777;580 605;105,9;107,5;84,9;100,6;102,8;105,7;93,7;100,5
2017.;I.;6 546 728;4 761 420;1 628 854;8 175 582;5 782 380;4 441 185;1 851 875;7 634 255;764 348;320 235;-223 021;541 327;6 480 634;4 729 118;1 589 551;8 070 185;5 713 596;4 411 842;1 742 155;7 455 751;767 038;317 276;-152 604;614 434;109,5;110,5;106,9;109,0;109,6;109,1;116,2;111,1
;II.;6 848 338;4 953 436;1 752 153;8 600 491;6 020 311;4 639 077;1 722 051;7 742 362;828 027;314 359;30 102;858 129;6 733 575;4 895 251;1 715 819;8 449 394;5 938 763;4 592 823;1 649 547;7 588 310;794 812;302 428;66 272;861 084;105,4;105,4;103,9;105,1;105,4;105,7;107,3;105,8
;III.;6 607 192;4 753 660;1 786 766;8 393 958;5 980 557;4 532 435;1 726 990;7 707 547;626 635;221 225;59 776;686 411;6 555 849;4 743 364;1 784 355;8 340 204;5 939 641;4 525 110;1 726 768;7 666 409;616 208;218 254;57 587;673 795;106,5;107,3;100,1;105,0;106,6;106,7;114,3;108,3
;IV.;6 847 419;4 910 316;1 727 250;8 574 669;6 202 426;4 737 869;1 861 808;8 064 234;644 993;172 447;-134 558;510 435;6 748 537;4 867 406;1 701 751;8 450 288;6 082 294;4 666 104;1 819 403;7 901 697;666 243;201 302;-117 652;548 591;108,5;108,6;101,3;107,0;107,7;108,0;111,8;108,6
2018.;I.;6 826 511;4 916 933;1 724 871;8 551 382;6 194 794;4 700 687;1 829 077;8 023 871;631 717;216 246;-104 206;527 511;6 804 418;4 911 939;1 748 745;8 553 163;6 122 337;4 646 858;1 839 573;7 961 910;682 081;265 081;-90 828;591 253;103,7;103,1;108,4;104,6;105,8;104,4;102,3;105,0
;II.;7 473 005;5 351 663;1 811 669;9 284 674;6 637 271;5 096 962;1 989 945;8 627 216;835 734;254 701;-178 276;657 458;7 297 337;5 233 420;1 799 528;9 096 865;6 446 150;4 945 173;1 958 561;8 404 711;851 187;288 247;-159 033;692 154;107,0;106,1;103,3;106,3;107,1;106,8;115,0;108,9
;III.;7 223 707;5 143 024;1 789 092;9 012 799;6 560 352;4 912 642;2 164 636;8 724 988;663 355;230 382;-375 544;287 811;6 911 733;4 930 783;1 728 772;8 640 505;6 252 649;4 689 053;2 033 953;8 286 602;659 084;241 730;-305 181;353 903;104,1;103,2;95,4;102,3;103,9;102,7;114,1;106,2
;IV.;7 625 886;5 427 821;1 863 935;9 489 821;6 836 984;5 172 786;2 281 630;9 118 614;788 902;255 035;-417 695;371 207;7 322 254;5 226 425;1 813 940;9 136 194;6 520 024;4 942 377;2 144 171;8 664 195;802 230;284 048;-330 231;471 999;107,2;106,6;105,0;106,7;105,8;105,0;114,2;107,8
2019.;I.;7 602 693;5 449 249;1 708 698;9 311 391;6 765 865;5 124 130;2 186 423;8 952 288;836 828;325 119;-477 725;359 103;7 634 316;5 463 578;1 723 786;9 358 102;6 758 423;5 123 527;2 176 360;8 934 783;875 893;340 051;-452 574;423 319;109,1;108,4;97,2;106,7;106,7;106,6;114,2;108,4
;II.;7 892 475;5 685 087;1 839 474;9 731 949;6 907 340;5 266 283;2 352 402;9 259 742;985 135;418 804;-512 928;472 207;7 803 688;5 613 607;1 830 997;9 634 685;6 842 196;5 216 278;2 344 143;9 186 339;961 492;397 329;-513 146;448 346;104,0;104,5;100,4;103,3;102,5;102,0;115,5;105,6
;III.;7 851 138;5 622 108;2 096 596;9 947 734;7 222 477;5 471 513;2 482 643;9 705 120;628 661;150 595;-386 047;242 614;7 664 714;5 472 329;2 052 485;9 717 199;7 090 501;5 374 853;2 474 095;9 564 596;574 213;97 476;-421 610;152 603;107,8;108,1;117,1;109,6;109,6;110,8;117,4;111,5
;IV.;7 808 219;5 633 518;2 069 348;9 877 567;7 409 129;5 580 824;2 441 976;9 851 105;399 090;52 694;-372 628;26 462;7 600 888;5 456 685;1 998 202;9 599 090;7 222 120;5 434 370;2 417 498;9 639 618;378 768;22 315;-419 296;-40 528;100,9;101,7;108,6;102,4;107,0;106,3;108,8;107,5
2020.;I.;7 511 857;5 748 746;2 276 107;9 787 964;6 967 348;5 433 780;2 492 169;9 459 517;544 509;314 966;-216 062;328 447;7 300 241;5 573 830;2 213 342;9 513 583;6 810 927;5 300 148;2 499 089;9 310 016;489 314;273 682;-285 747;203 567;94,2;100,3;126,6;100,2;99,4;102,0;114,2;103,0
;II.;5 862 633;4 511 492;1 886 479;7 749 112;5 447 671;4 270 014;2 449 247;7 896 918;414 962;241 478;-562 768;-147 806;5 610 345;4 274 653;1 823 466;7 433 811;5 300 256;4 109 481;2 488 833;7 789 089;310 089;165 172;-665 367;-355 278;70,9;74,8;98,2;76,0;76,4;77,7;105,6;83,8
;III.;7 539 947;5 830 144;2 333 381;9 873 328;6 834 297;5 309 036;2 572 019;9 406 316;705 650;521 108;-238 638;467 012;7 190 698;5 523 208;2 277 356;9 468 054;6 584 701;5 082 651;2 635 937;9 220 638;605 997;440 557;-358 581;247 416;92,5;99,2;109,4;96,0;91,6;93,3;106,0;95,3
;IV.;8 134 945;6 233 703;2 568 379;10 703 324;7 348 836;5 724 993;3 068 377;10 417 213;786 109;508 710;-499 998;286 111;7 631 897;5 809 078;2 431 820;10 063 717;6 941 294;5 379 670;3 051 370;9 992 664;690 603;429 408;-619 550;71 053;99,0;104,6;120,0;103,3;94,8;97,6;125,5;102,4
2021.;I.;8 206 562;6 282 315;2 651 220;10 857 782;7 410 179;5 799 392;2 821 173;10 231 352;796 383;482 923;-169 953;626 430;7 910 109;6 086 302;2 576 800;10 486 909;7 111 876;5 609 479;2 699 189;9 811 065;798 233;476 823;-122 389;675 844;103,4;103,6;112,3;105,5;100,6;101,4;109,0;102,9
;II.;8 362 455;6 379 814;2 672 012;11 034 467;7 743 085;6 080 754;3 032 585;10 775 670;619 370;299 060;-360 573;258 797;7 981 907;6 163 115;2 590 580;10 572 487;7 297 542;5 816 481;2 844 321;10 141 863;684 365;346 634;-253 741;430 624;135,8;136,8;137,1;136,1;132,7;135,6;115,3;127,2
;III.;8 068 138;6 035 353;2 823 368;10 891 506;7 896 685;6 155 273;3 330 391;11 227 076;171 453;-119 920;-507 023;-335 570;7 541 610;5 728 276;2 631 306;10 172 916;7 192 871;5 760 912;2 970 301;10 163 172;348 739;-32 636;-338 995;9 744;100,1;98,4;111,5;102,8;105,3;108,6;113,7;107,7
;IV.;8 932 919;6 720 245;3 236 635;12 169 554;8 984 290;7 004 574;3 568 229;12 552 519;-51 371;-284 329;-331 594;-382 965;7 965 794;6 085 843;2 822 777;10 788 571;7 541 519;6 109 652;2 903 803;10 445 322;424 275;-23 809;-81 026;343 249;99,6;99,4;112,0;102,6;104,7;108,8;96,0;102,1
2022.;I.;9 710 250;7 270 533;3 187 078;12 897 328;9 514 267;7 423 720;3 925 486;13 439 753;195 983;-153 187;-738 408;-542 425;8 953 467;6 787 624;2 839 168;11 792 635;8 486 663;6 745 929;3 253 924;11 740 587;466 804;41 695;-414 756;52 048;105,9;105,6;102,8;105,1;108,6;111,9;107,9;108,4
;II.;10 826 002;8 057 832;3 643 040;14 469 042;10 439 175;8 128 248;4 401 015;14 840 190;386 827;-70 416;-757 975;-371 148;9 133 171;6 919 698;3 036 074;12 169 245;8 632 715;6 865 916;3 346 068;11 978 783;500 456;53 782;-309 994;190 462;107,0;106,3;109,4;107,6;107,6;109,8;105,3;107,0
;III.;11 876 344;9 045 564;4 090 626;15 966 970;11 778 639;9 113 344;5 187 275;16 965 914;97 705;-67 780;-1 096 649;-998 944;9 335 702;7 301 993;3 081 923;12 417 625;8 889 466;7 113 085;3 517 158;12 406 624;446 236;188 908;-435 235;11 001;115,8;120,7;109,3;114,1;112,4;114,9;106,0;110,6
;IV.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;32 412 596;24 373 929;10 920 744;43 333 340;31 732 081;24 665 312;13 513 776;45 245 857;680 515;-291 383;-2 593 032;-1 912 517;27 422 340;21 009 315;8 957 165;36 379 505;26 008 844;20 724 930;10 117 150;36 125 994;1 413 496;284 385;-1 159 985;253 511;109,5;110,6;107,2;108,9;109,5;112,2;106,4;108,6
