20.1.1.21. A munkanélküliek száma elõzõ munkahelyük nemzetgazdasági ága, ágazata szerint, nemenként – TEÁOR'08 [ezer fõ]  ;;;;;;;;;;;;;;;;;;;;
Év;8 éven belüli munkatapasztalattal rendelkezõk, mezõgazdaság, erdõgazdálkodás, halászat A;8 éven belüli munkatapasztalattal rendelkezõk, ipari szektor B–F;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: feldolgozóipar C;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: élelmiszer, ital, dohánytermék gyártása CA;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: textília, ruházat, bõr, és bõrtermék gyártása CB;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: fémalapanyag és fémfeldolgozási termék gyártása CH;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: számítógép, elektronikai, optikai termék gyártása CI;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: jármûgyártás CL;8 éven belüli munkatapasztalattal rendelkezõk, építõipar F;8 éven belüli munkatapasztalattal rendelkezõk, szolgáltatások G–U;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: kereskedelem, gépjármûjavítás G;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: szállítás, raktározás H;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: szálláshely-szolgáltatás, vendéglátás I;8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";8 éven belüli munkatapasztalattal rendelkezõk, ebbõl: humán egészségügyi, szociális ellátás Q;8 éven belüli munkatapasztalattal rendelkezõk, összesen A–U;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
2010;3,8;46,2;42,2;8,4;10,1;1,8;7,2;3,2;2,9;110,4;31,4;4,8;14,7;9,1;17,3;7,0;160,5;20,2;26,7;207,4
2011;3,7;38,4;34,5;6,2;7,6;0,6;7,4;1,8;2,4;121,7;32,2;4,2;13,9;7,8;28,1;9,1;163,7;22,7;27,6;214,0
2012;4,2;34,8;30,8;5,2;5,0;1,4;6,6;2,4;1,6;120,7;33,0;4,0;12,9;7,7;26,0;9,0;159,8;19,3;31,7;210,7
2013;3,8;32,2;27,4;6,1;5,0;1,0;5,3;1,4;1,8;110,5;28,9;3,5;13,8;8,6;20,4;8,2;146,5;19,9;34,6;201,0
2014;2,3;24,8;22,3;5,5;3,5;0,7;4,2;1,9;0,9;88,2;24,2;3,2;10,3;7,1;20,4;5,5;115,3;16,5;29,3;161,1
2015;3,1;22,1;20,0;6,0;2,6;1,1;2,2;1,9;0,6;81,1;17,2;2,9;9,3;6,0;23,8;5,4;106,3;15,7;23,8;145,7
2016;1,8;13,4;11,2;3,1;2,5;0,5;1,0;0,3;0,6;61,1;12,7;1,1;6,6;5,0;18,8;5,3;76,4;11,4;19,2;107,0
2017;1,8;13,6;10,7;3,1;1,5;0,1;1,2;1,0;0,9;53,6;12,5;0,6;7,2;2,3;16,0;4,8;69,0;9,4;17,5;95,8
2018;1,9;12,4;11,0;3,4;1,0;0,2;1,4;1,8;0,5;49,1;11,2;1,0;6,4;2,2;14,6;2,6;63,4;7,2;13,1;83,7
2019;1,6;12,2;11,8;2,5;1,2;0,8;1,2;1,8;0,4;41,7;9,2;1,2;4,9;2,4;11,2;3,3;55,6;4,6;12,6;72,8
2020;1,6;17,3;14,6;2,8;2,6;0,6;2,1;1,7;1,7;53,8;14,0;1,5;9,8;3,8;9,7;2,6;72,6;4,9;15,9;93,4
2021;2,4;17,0;15,8;4,8;2,0;0,8;2,2;2,0;0,9;55,7;12,0;1,5;11,5;3,2;11,8;4,9;75,0;4,6;16,2;95,8
