13.1.1.4. Az ipari termelés értéke alágak szerint [folyó áron, millió Ft];;;;;;;;;;;;;;;;;
Év Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
2001;67 424;1 829 555;432 071;470 599;577 216;499 049;278 286;763 657;919 328;1 753 036;1 091 818;346 885;1 960 679;231 327;11 153 506;744 596;11 965 527
2002;64 040;1 881 489;408 548;482 413;512 568;498 016;289 293;812 983;871 126;1 750 315;1 138 563;456 777;1 944 648;248 195;11 294 933;805 962;12 164 935
2003;64 696;1 917 125;378 448;512 277;511 541;521 469;357 871;857 787;1 004 519;2 504 489;801 514;451 291;2 240 879;226 123;12 285 332;924 538;13 274 565
2004;74 413;1 949 535;366 847;510 629;696 953;578 742;394 821;884 142;1 206 824;3 004 796;932 530;482 924;2 406 677;261 862;13 677 282;1 004 539;14 756 234
2005;74 277;1 854 774;343 877;531 222;1 001 575;714 059;427 101;992 713;1 247 967;3 303 164;1 006 560;541 711;2 762 387;276 862;15 003 972;1 106 888;16 185 137
2006;88 749;1 946 498;373 175;570 101;1 211 686;813 834;518 730;1 195 464;1 508 454;3 785 035;1 168 085;635 218;3 608 769;328 640;17 663 688;1 233 322;18 985 759
2007;73 919;2 003 964;368 200;609 195;1 235 519;890 272;497 920;1 432 697;1 571 829;3 963 039;1 174 372;732 541;4 045 001;361 924;18 886 472;1 478 510;20 438 901
2008;104 068;2 103 600;323 430;628 565;1 511 197;897 343;525 794;1 502 536;1 662 025;3 670 099;1 152 716;842 590;4 047 862;461 422;19 329 180;1 518 436;20 951 684
2009;93 938;2 070 442;261 632;570 803;1 070 824;729 250;574 768;1 226 829;1 074 497;3 431 913;1 004 044;815 629;3 074 563;496 144;16 401 337;1 467 714;17 962 989
2010;73 739;2 031 621;250 257;672 398;1 432 331;942 469;614 371;1 336 700;1 295 869;4 161 954;919 120;1 155 806;3 610 240;481 379;18 904 517;1 484 095;20 462 351
2011;83 607;2 285 006;318 554;679 355;1 794 031;1 141 753;674 921;1 519 410;1 575 815;3 893 327;864 391;1 682 500;4 100 546;512 112;21 041 720;1 529 382;22 654 708
2012;98 848;2 527 308;321 451;683 614;1 814 615;1 259 793;760 550;1 602 776;1 600 762;3 213 556;894 287;1 763 382;4 448 366;579 042;21 469 503;1 572 666;23 141 018
2013;94 187;2 615 300;323 758;703 281;1 663 279;1 360 055;723 679;1 619 850;1 616 759;2 783 217;930 466;1 761 947;5 401 375;600 476;22 103 442;1 378 137;23 575 766
2014;99 362;2 737 005;391 065;793 522;1 608 379;1 505 604;757 804;1 747 504;1 775 179;2 702 827;1 017 320;1 887 800;6 659 071;679 558;24 262 639;1 273 322;25 635 324
2015;87 617;2 831 413;405 980;824 896;1 142 191;1 523 394;816 493;2 030 773;1 860 684;2 969 400;1 094 044;1 933 486;7 755 306;790 638;25 978 699;1 285 603;27 351 920
2016;71 246;2 870 800;410 565;887 375;954 648;1 451 023;781 086;2 091 693;1 924 118;3 106 140;1 158 316;1 741 162;7 895 616;845 519;26 118 061;1 269 125;27 458 432
2017;91 802;3 010 305;443 332;926 956;1 207 942;1 554 359;876 995;2 274 428;2 303 813;3 352 801;1 236 250;1 908 988;8 101 589;918 885;28 116 642;1 254 199;29 462 643
2018;148 293;3 217 469;446 453;1 046 804;1 552 790;1 729 228;868 827;2 744 854;2 663 262;3 678 431;1 394 848;1 788 001;8 547 480;929 809;30 608 257;1 299 248;32 055 798
2019;184 425;3 538 515;417 944;1 138 392;1 513 323;1 640 798;910 914;2 946 796;2 695 929;3 995 959;1 716 896;1 855 675;9 578 836;1 084 546;33 034 524;1 360 992;34 579 941
2020;135 143;3 797 990;368 052;1 149 796;1 059 657;1 618 098;963 454;2 857 552;2 476 405;4 176 941;2 071 240;1 865 156;9 216 664;1 080 748;32 701 753;1 368 657;34 205 553
2021;167 999;4 441 111;409 186;1 421 566;1 863 472;2 535 669;995 560;3 553 617;3 435 951;4 512 167;3 059 166;2 156 579;9 362 237;1 243 128;38 989 409;1 681 150;40 838 559
