13.2.1.17. Az ipar exportértékesítése alágak szerint havonta, évkezdettõl kumulált [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
2021.;január;248;127 240;24 985;50 745;30 048;119 392;65 865;167 511;128 570;349 171;223 528;117 237;604 636;49 433;2 058 361;164 715;2 223 323
;február;402;137 079;28 021;55 686;34 676;124 626;71 491;175 197;133 813;377 474;214 398;138 313;798 844;56 733;2 346 354;119 732;2 466 487
;március;729;155 922;35 018;67 487;47 297;147 980;78 127;204 274;153 693;405 334;243 934;160 024;921 742;62 648;2 683 479;124 330;2 808 537
;április;708;144 355;28 404;57 027;44 585;142 171;74 304;190 290;147 335;333 954;214 507;134 502;765 799;57 793;2 335 024;133 006;2 468 737
;május;793;143 572;27 476;63 228;39 533;140 743;71 029;184 972;147 879;321 873;209 453;134 222;707 730;54 974;2 246 686;106 892;2 354 371
;június;846;154 770;29 675;62 634;44 595;141 509;79 839;188 945;159 320;362 746;231 674;151 593;775 121;59 199;2 441 621;132 620;2 575 087
;július;758;153 053;28 089;61 806;53 476;147 550;60 475;181 756;155 148;286 387;216 444;137 017;651 171;56 562;2 188 935;241 141;2 430 833
;augusztus;731;152 063;22 027;61 419;47 997;129 767;54 043;167 868;143 655;305 816;182 052;118 307;426 195;53 836;1 865 045;241 843;2 107 619
;szeptember;794;178 999;26 484;64 939;50 227;131 024;70 225;190 712;175 061;376 668;230 350;162 062;683 006;63 327;2 403 085;426 204;2 830 084
;október;706;179 031;24 232;66 314;39 435;132 994;62 973;188 041;182 426;376 392;220 720;131 686;655 789;62 701;2 322 733;325 482;2 648 921
;november;1 110;193 175;25 591;69 669;36 686;161 699;75 030;200 633;191 738;424 473;255 568;146 506;770 204;64 537;2 615 509;425 343;3 041 962
;december;649;162 375;24 641;66 304;39 591;155 383;58 871;160 029;142 523;348 452;216 996;155 667;642 566;65 967;2 239 366;584 053;2 824 067
2022.;január;364;185 962;28 239;71 180;44 500;176 919;70 745;184 701;166 726;363 752;245 750;137 026;688 033;58 794;2 422 327;537 342;2 960 034
;február;562;179 509;32 576;73 098;52 174;172 554;75 168;185 521;175 566;389 494;259 254;151 001;843 865;67 762;2 657 543;488 251;3 146 356
;március;913;225 428;41 708;82 961;84 178;198 740;87 112;225 157;205 745;449 780;338 499;193 224;799 611;75 389;3 007 532;542 016;3 550 461
;április;757;213 100;33 719;78 649;77 586;184 784;74 832;196 720;204 250;360 231;282 912;164 406;764 586;66 667;2 702 442;320 594;3 023 793
;május;916;238 483;35 711;88 170;54 132;191 000;86 927;227 807;224 980;394 273;346 280;197 492;916 321;79 016;3 080 593;351 712;3 433 221
;június;891;239 534;39 924;86 601;63 565;175 824;94 927;219 012;210 162;455 066;365 541;206 455;928 908;77 733;3 163 253;384 584;3 548 728
;július;854;249 201;31 742;80 226;57 483;165 257;79 498;208 069;189 883;369 933;354 587;159 415;902 591;69 681;2 917 564;720 183;3 638 601
;augusztus;831;265 764;31 130;88 788;56 985;142 621;81 568;220 636;172 401;452 766;371 506;179 799;862 708;74 520;3 001 190;1 078 116;4 080 137
;szeptember;1 008;267 815;35 155;94 894;42 051;182 988;108 293;248 419;201 329;536 326;455 577;194 360;1 099 170;88 625;3 555 001;1 203 572;4 759 581
;október;775;264 686;33 568;94 973;48 755;170 542;95 815;233 213;189 543;507 413;452 709;189 567;1 089 424;80 678;3 450 887;535 144;3 986 805
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
Évkezdettõl kumulált;;;;;;;;;;;;;;;;;;
2018.;január–december;7 260;1 248 275;362 868;514 355;496 406;1 171 011;710 170;1 701 321;1 597 775;3 475 985;1 207 160;1 445 955;7 676 736;503 738;22 111 754;1 143 081;23 262 095
2019.;január–december;8 866;1 389 735;346 301;566 335;474 031;1 039 666;776 998;1 760 758;1 567 539;3 828 826;1 466 547;1 516 514;8 622 352;570 948;23 926 551;1 110 197;25 045 613
2020.;január–december;7 860;1 561 517;292 622;603 658;321 266;1 096 682;806 115;1 773 948;1 432 605;4 010 472;1 807 845;1 545 811;8 301 084;608 224;24 161 849;920 107;25 089 816
2021.;január–december;8 474;1 881 634;324 643;747 258;508 147;1 674 838;822 272;2 200 230;1 861 162;4 268 740;2 659 623;1 687 136;8 402 804;707 710;27 746 197;3 025 359;30 780 030
2022.;január–október;7 871;2 329 482;343 473;839 541;581 408;1 761 229;854 883;2 149 255;1 940 584;4 279 034;3 472 616;1 772 743;8 895 218;738 865;29 958 332;6 161 514;36 127 718
