1.1.3.3. Az ipari termelõi árak alakulása [az elõzõ évhez képest százalék];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;4,1;0,2;-1,1;0,0;1,6;3,2;1,7;2,7;3,5;-1,5;2,7;4,1;0,9;-0,9;-1,1;-1,5;-1,8;1,9;2,4;0,1;-1,6;7,9
Belgium;..;..;0,1;-1,1;7,5;6,1;6,1;2,3;8,0;-5,4;7,1;8,9;3,7;-0,5;-3,5;-4,9;-1,4;8,4;5,2;1,1;-3,7;17,3
Bulgária;..;3,0;1,7;5,8;7,5;8,1;12,8;7,6;10,3;-6,9;9,0;9,6;4,1;-1,6;-1,3;-2,0;-3,1;5,0;3,9;3,1;-1,9;15,3
Ciprus;..;2,2;2,3;3,1;4,1;5,2;5,1;3,3;10,9;-1,7;3,8;5,0;6,9;-2,1;-2,9;-5,1;-4,1;3,0;2,3;2,5;-2,5;6,6
Csehország;..;1,3;-3,6;-0,1;4,1;1,4;-0,1;2,5;0,0;-1,3;-0,1;3,5;2,4;1,1;1,4;-2,3;-3,2;0,8;0,7;1,7;0,6;6,2
Dánia;..;3,9;2,0;-0,4;2,4;7,9;7,4;1,9;12,7;-10,4;7,4;8,6;2,3;1,6;-1,0;-3,7;-1,4;2,5;4,3;-0,7;-2,7;13,6
Észtország;..;..;..;0,1;2,9;2,2;4,4;8,2;7,1;-0,7;3,3;4,5;2,3;4,1;-1,5;-2,1;-0,7;3,6;2,6;-0,2;-2,5;12,5
Finnország;2,8;-2,5;-3,3;-2,1;0,6;2,7;4,1;2,4;4,7;-7,3;5,6;5,3;1,4;-0,5;-0,9;-1,9;-2,3;3,6;4,6;0,4;-4,9;12,9
Franciaország;5,2;2,2;0,5;0,7;1,9;3,0;3,1;2,2;4,6;-4,7;2,6;4,5;2,4;0,0;-1,4;-1,7;-2,2;2,4;2,4;0,5;-1,9;8,6
Görögország;7,5;2,8;2,0;1,5;4,0;5,2;6,7;4,0;9,2;-5,9;6,7;7,7;4,8;-0,8;-1,3;-7,2;-5,7;5,3;4,3;0,4;-7,3;13,7
Hollandia;14,9;1,5;-2,0;1,3;3,0;8,4;8,2;4,5;9,5;-12,7;7,5;11,0;0,1;-1,3;-2,4;-5,2;-3,6;4,8;3,7;0,0;-5,2;16,7
Horvátország;..;-0,4;-0,4;1,3;3,3;4,4;1,5;3,7;6,8;-2,3;4,2;7,2;5,2;-0,2;-2,5;-3,7;-4,0;2,1;2,0;0,7;-3,3;8,0
Írország;..;..;..;..;..;..;0,8;-2,1;-1,4;0,4;-0,3;0,7;1,8;-0,4;-1,2;5,4;-1,2;-0,2;-1,7;-1,5;-9,0;-0,9
Lengyelország;..;1,6;1,2;2,6;7,3;0,2;2,0;2,0;2,1;3,5;2,2;7,7;3,2;-1,1;-1,5;-2,2;-0,2;3,0;2,0;1,0;-0,5;8,1
Lettország;..;1,0;0,6;3,3;8,2;7,9;10,2;16,2;11,7;-4,2;2,9;7,6;3,8;1,7;0,4;-0,9;-2,4;2,5;4,4;1,7;-1,9;13,1
Litvánia;16,1;-2,9;-2,8;-0,5;5,8;11,6;7,4;6,9;18,2;-13,5;10,3;13,8;5,0;-2,3;-4,9;-9,7;-4,4;5,1;5,6;-0,1;-8,9;9,6
Luxemburg;4,7;1,8;-1,5;1,3;9,2;6,6;7,7;5,3;7,8;-8,3;3,7;7,7;1,1;-2,5;-3,0;-1,1;-1,2;2,9;4,6;-1,9;-2,0;11,3
Magyarország;..;6,1;-0,3;1,9;4,1;4,2;7,3;0,7;5,7;4,4;3,7;4,2;4,1;0,8;-0,4;-1,0;-1,7;3,3;5,5;2,1;4,3;13,4
Málta;..;1,0;-2,3;-5,3;-3,3;-0,7;5,9;-4,8;-1,2;-1,1;1,3;2,2;-1,4;-3,0;-0,6;-2,2;-0,2;1,5;4,4;2,2;0,3;3,2
Németország;..;5,7;-1,8;2,9;1,3;3,1;4,1;1,2;4,2;-3,3;1,8;4,2;1,7;-0,2;-0,6;-0,5;-1,2;1,9;1,9;0,9;-0,8;7,5
