20.1.2.13. Az álláskeresõk támogatása, megye és régió szerint, december [fõ];;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Közép-Dunántúl;régió;6 283;6 198;5 753;6 167;6 964;9 874;12 185;12 606;13 605;9 109;7 193;7 290;4 524;3 798;3 181;3 038;3 785;3 714
Gyõr-Moson-Sopron;megye;645;876;832;842;829;1 348;1 659;1 467;1 648;632;649;604;239;175;134;128;160;136
Vas;megye;849;1 053;995;1 252;1 237;2 006;2 220;1 751;1 844;1 422;1 253;1 080;898;979;999;998;1 327;1 178
Zala;megye;2 123;2 863;3 051;3 649;3 820;4 332;4 590;4 446;4 703;3 943;3 291;2 337;1 614;1 664;1 537;1 441;1 879;1 604
Nyugat-Dunántúl;régió;3 617;4 792;4 878;5 743;5 886;7 686;8 469;7 664;8 195;5 997;5 193;4 021;2 751;2 818;2 670;2 567;3 366;2 918
Baranya;megye;7 945;8 861;7 611;9 026;9 381;9 699;10 568;11 047;11 242;5 638;5 999;5 704;4 542;4 173;4 278;4 151;4 281;3 972
Somogy;megye;8 168;8 215;8 324;9 139;9 283;10 219;10 126;9 402;9 966;6 670;7 319;6 222;5 004;5 437;4 530;4 151;4 496;4 147
Tolna ;megye;3 571;3 784;3 578;3 999;3 994;4 277;4 144;4 339;4 727;2 996;2 665;3 101;2 324;1 781;1 587;1 465;1 959;1 880
Dél-Dunántúl;régió;19 684;20 860;19 513;22 164;22 658;24 195;24 838;24 788;25 935;15 304;15 983;15 027;11 870;11 391;10 395;9 767;10 736;9 999
Dunántúl;nagyrégió;29 584;31 850;30 144;34 074;35 508;41 755;45 492;45 058;47 735;30 410;28 369;26 338;19 145;18 007;16 246;15 372;17 887;16 631
Borsod-Abaúj-Zemplén;megye;30 755;29 519;24 265;28 394;30 135;30 497;30 313;32 316;31 099;19 201;18 568;17 272;13 368;14 062;13 132;12 077;14 037;14 139
Heves;megye;5 577;5 543;4 684;5 345;5 960;6 987;7 732;8 424;8 203;4 538;4 750;5 313;4 248;3 851;3 299;3 250;3 932;4 050
Nógrád ;megye;5 468;5 569;5 694;6 368;6 868;7 188;7 511;8 089;9 248;4 066;5 223;5 497;4 499;4 069;3 828;3 288;4 066;3 757
Észak-Magyarország;régió;41 800;40 631;34 643;40 107;42 963;44 672;45 556;48 829;48 550;27 805;28 541;28 082;22 115;21 982;20 259;18 615;22 035;21 946
Hajdú-Bihar;megye;10 227;11 518;10 385;12 648;13 967;15 715;16 898;17 255;17 562;10 484;10 045;9 728;8 416;7 778;7 054;5 059;5 396;4 828
Jász-Nagykun-Szolnok;megye;6 706;6 732;5 258;6 492;7 660;8 936;10 388;12 295;11 888;7 052;6 505;7 078;4 720;4 192;3 329;3 110;3 990;3 740
Szabolcs-Szatmár-Bereg;megye;19 024;19 900;18 169;20 894;23 527;25 020;24 723;25 615;26 600;19 655;17 174;13 002;10 298;11 777;10 698;8 249;8 586;8 858
Észak-Alföld;régió;35 957;38 150;33 812;40 034;45 154;49 671;52 009;55 165;56 050;37 191;33 724;29 808;23 434;23 747;21 081;16 418;17 972;17 426
Bács-Kiskun ;megye;5 877;6 273;6 647;7 571;8 403;8 845;9 942;9 818;10 508;7 344;7 530;6 876;4 170;3 651;2 826;2 289;2 586;2 367
Békés;megye;7 120;7 389;6 937;8 361;8 888;8 735;9 391;9 432;8 545;4 700;4 553;3 666;3 133;2 869;2 688;2 588;3 242;3 348
Csongrád-Csanád;megye;2 967;3 238;2 574;3 413;3 621;3 867;4 492;4 706;5 571;2 883;3 448;3 385;1 941;1 640;1 124;756;735;512
Dél-Alföld;régió;15 964;16 900;16 158;19 345;20 912;21 447;23 825;23 956;24 624;14 927;15 531;13 927;9 244;8 160;6 638;5 633;6 563;6 227
Alföld és Észak;nagyrégió;93 721;95 681;84 613;99 486;109 029;115 790;121 390;127 950;129 224;79 923;77 796;71 817;54 793;53 889;47 978;40 666;46 570;45 599
Ország összesen;ország;129 029;133 193;119 936;140 186;152 058;167 742;181 714;192 048;200 257;128 291;122 138;113 683;84 423;80 228;70 792;61 549;71 589;69 179
