22.2.2.8. Csecsemõhalálozások megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Csecsemõhalálozások száma, fõ;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;11;19;25;36;3;10;14;23;7;14;20;26;8;15;24;
Pest ;megye, régió;9;19;29;39;10;21;30;37;4;9;15;26;9;16;27;
Közép-Magyarország;nagyrégió;20;38;54;75;13;31;44;60;11;23;35;52;17;31;51;
Fejér;megye;3;3;5;9;5;7;11;16;5;11;14;17;3;5;6;
Komárom-Esztergom;megye;2;3;6;8;2;5;7;9;2;4;11;15;3;4;9;
Veszprém;megye;2;4;6;9;4;7;10;14;2;8;9;10;1;3;4;
Közép-Dunántúl;régió;7;10;17;26;11;19;28;39;9;23;34;42;7;12;19;
Gyõr-Moson-Sopron;megye;4;6;8;8;–;6;10;15;1;4;11;13;3;4;8;
Vas;megye;2;6;8;9;1;4;6;9;2;6;7;8;4;5;6;
Zala;megye;2;5;7;7;2;7;8;9;6;7;7;9;1;1;1;
Nyugat-Dunántúl;régió;8;17;23;24;3;17;24;33;9;17;25;30;8;10;15;
Baranya;megye;5;8;9;9;2;2;3;5;3;6;7;7;1;4;5;
Somogy;megye;4;5;9;12;4;11;15;19;1;2;7;8;5;6;8;
Tolna ;megye;1;2;5;6;2;3;3;4;1;3;5;6;1;6;7;
Dél-Dunántúl;régió;10;15;23;27;8;16;21;28;5;11;19;21;7;16;20;
Dunántúl;nagyrégió;25;42;63;77;22;52;73;100;23;51;78;93;22;38;54;
Borsod-Abaúj-Zemplén;megye;9;12;20;35;13;21;32;40;11;17;26;41;9;16;26;
Heves;megye;6;9;12;16;5;9;10;12;1;4;5;6;4;4;6;
Nógrád ;megye;6;7;7;10;3;5;7;7;–;2;7;8;2;4;4;
Észak-Magyarország;régió;21;28;39;61;21;35;49;59;12;23;38;55;15;24;36;
Hajdú-Bihar;megye;6;12;16;21;3;7;10;13;3;8;11;18;4;5;12;
Jász-Nagykun-Szolnok;megye;4;6;13;22;6;10;10;13;3;6;7;12;4;6;10;
Szabolcs-Szatmár-Bereg;megye;5;18;29;35;7;18;18;29;7;15;27;40;5;12;25;
Észak-Alföld;régió;15;36;58;78;16;35;38;55;13;29;45;70;13;23;47;
Bács-Kiskun ;megye;5;6;9;12;6;12;15;25;2;7;13;17;6;9;15;
Békés;megye;5;11;16;17;1;3;7;10;2;5;9;12;3;4;6;
Csongrád-Csanád;megye;–;4;6;11;5;7;8;9;1;4;5;8;1;4;9;
Dél-Alföld;régió;10;21;31;40;12;22;30;44;5;16;27;37;10;17;30;
Alföld és Észak;nagyrégió;46;85;128;179;49;92;117;158;30;68;110;162;38;64;113;
Ország összesen;ország;91;166;248;335;85;176;235;319;65;143;224;309;77;133;218;
Az elõzõ év azonos idõszaka = 100,0%;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;183,3;146,2;96,2;90,0;27,3;52,6;56,0;63,9;233,3;140,0;142,9;113,0;114,3;107,1;120,0;
Pest ;megye, régió;180,0;172,7;145,0;130,0;111,1;110,5;103,4;94,9;40,0;42,9;50,0;70,3;225,0;177,8;180,0;
Közép-Magyarország;nagyrégió;181,8;158,3;117,4;107,1;65,0;81,6;81,5;80,0;84,6;74,2;79,5;86,7;154,5;134,8;145,7;
Fejér;megye;300,0;60,0;62,5;100,0;166,7;233,3;220,0;177,8;100,0;157,1;127,3;106,3;60,0;45,5;42,9;
