20.1.2.2. A 15–64 éves népesség gazdasági aktivitása, megye és régió szerint;;;;;;;;;;
Területi egység neve;Területi egység szintje;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
2009;;;;;;;;;;
Budapest;fõváros, régió;754,9;47,1;802,0;341,0;1 143,0;74,9;70,2;5,9;66,0
Pest;megye, régió;502,1;37,1;539,1;275,1;814,2;58,2;66,2;6,9;61,7
Közép-Magyarország;nagyrégió;1 256,9;84,2;1 341,1;616,1;1 957,2;133,1;68,5;6,3;64,2
Fejér;megye;173,3;16,6;190,0;101,3;291,3;24,2;65,2;8,7;59,5
Komárom-Esztergom;megye;130,8;11,3;142,1;70,5;212,6;18,0;66,9;8,0;61,5
Veszprém;megye;143,0;15,5;158,5;86,3;244,8;21,7;64,7;9,8;58,4
Közép-Dunántúl;régió;447,1;43,4;490,6;258,1;748,7;64,0;65,5;8,9;59,7
Gyõr-Moson-Sopron;megye;192,1;13,0;205,0;99,3;304,3;18,3;67,4;6,3;63,1
Vas;megye;106,3;11,8;118,1;60,4;178,5;16,9;66,2;10,0;59,6
Zala;megye;119,7;13,9;133,7;64,0;197,7;20,5;67,6;10,4;60,6
Nyugat-Dunántúl;régió;418,1;38,7;456,8;223,7;680,5;55,7;67,1;8,5;61,4
Baranya;megye;144,3;17,9;162,2;101,3;263,5;32,0;61,5;11,0;54,8
Somogy;megye;109,0;15,0;124,0;93,4;217,4;28,6;57,0;12,1;50,1
Tolna ;megye;88,8;9,0;97,8;63,4;161,3;15,8;60,7;9,2;55,1
Dél-Dunántúl;régió;342,1;41,9;384,0;258,1;642,2;76,5;59,8;10,9;53,3
Dunántúl;nagyrégió;1 207,4;124,1;1 331,4;740,0;2 071,4;196,2;64,3;9,3;58,3
Borsod-Abaúj-Zemplén;megye;228,6;42,5;271,2;197,9;469,1;71,7;57,8;15,7;48,7
Heves;megye;108,6;16,3;124,9;84,1;209,0;25,1;59,8;13,1;52,0
Nógrád ;megye;69,2;12,6;81,8;57,3;139,1;21,0;58,8;15,4;49,8
Észak-Magyarország;régió;406,5;71,5;477,9;339,3;817,2;117,8;58,5;15,0;49,7
Hajdú-Bihar;megye;180,2;23,4;203,6;165,8;369,5;41,1;55,1;11,5;48,8
Jász-Nagykun-Szolnok;megye;145,6;18,1;163,7;102,0;265,7;31,1;61,6;11,0;54,8
Szabolcs-Szatmár-Bereg;megye;180,8;39,8;220,6;167,0;387,7;63,0;56,9;18,1;46,6
Észak-Alföld;régió;506,6;81,3;587,9;434,9;1 022,8;135,2;57,5;13,8;49,5
Bács-Kiskun ;megye;197,2;23,2;220,4;135,6;356,0;38,1;61,9;10,5;55,4
Békés;megye;127,7;19,8;147,5;101,1;248,6;30,3;59,3;13,4;51,4
Csongrád-Csanád;megye;161,7;13,1;174,8;105,8;280,6;19,9;62,3;7,5;57,6
Dél-Alföld;régió;486,6;56,1;542,7;342,5;885,2;88,3;61,3;10,3;55,0
Alföld és Észak;nagyrégió;1 399,7;208,8;1 608,6;1 116,6;2 725,2;341,3;59,0;13,0;51,4
Ország összesen;ország;3 864,0;417,1;4 281,1;2 472,7;6 753,8;670,6;63,4;9,7;57,2
2010;;;;;;;;;;
Budapest;fõváros, régió;734,3;70,6;804,8;337,4;1 142,2;101,5;70,5;8,8;64,3
Pest;megye, régió;498,7;45,7;544,4;274,8;819,3;69,4;66,5;8,4;60,9
Közép-Magyarország;nagyrégió;1 233,0;116,3;1 349,3;612,2;1 961,5;170,9;68,8;8,6;62,9
Fejér;megye;171,6;17,2;188,8;103,0;291,8;26,0;64,7;9,1;58,8
Komárom-Esztergom;megye;131,4;11,9;143,3;68,0;211,3;18,9;67,8;8,3;62,2
Veszprém;megye;141,1;18,7;159,8;83,8;243,6;24,1;65,6;11,7;57,9
Közép-Dunántúl;régió;444,1;47,8;491,8;254,8;746,7;69,0;65,9;9,7;59,5
Gyõr-Moson-Sopron;megye;192,7;14,0;206,7;98,4;305,1;20,0;67,7;6,8;63,2
