14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
LED-,LCD-, plazma-, lézertelevízió;41;70;75;71;65;66;31;59;49;71;46;35;28;38;23;31
Digitális kamera;10;17;19;14;15;16;3;10;5;12;6;5;1;4;1;3
Digitális fényképezõgép;48;59;68;58;47;57;19;45;28;47;30;25;16;29;9;19
DVD-lejátszó és -felvevõ;62;58;61;58;64;60;24;50;36;58;36;27;22;33;14;24
E-könyv olvasó;5;7;8;7;2;6;1;5;1;4;3;3;1;3;0;1
Házimozi-berendezés;8;19;18;13;12;15;6;13;4;15;8;10;3;10;1;6
Asztali számítógép (PC);60;71;72;79;79;72;24;52;36;71;38;32;18;35;12;24
Hordozható számítógép (laptop, notebook);39;64;81;63;71;66;22;54;23;65;35;25;21;35;8;22
Kézi számítógép (tablet, PDA);14;19;25;20;21;20;4;9;5;11;6;5;3;6;1;4
Mobiltelefon;186;249;281;288;341;269;91;199;152;291;151;95;88;103;77;91
Vezetékes telefon;39;40;45;35;43;41;43;42;70;56;49;29;54;27;63;43
Légkondicionáló;9;9;16;8;4;10;5;9;6;6;6;6;4;6;3;5
Nagyértékû riasztóberendezés;1;7;5;8;2;5;3;4;5;3;3;3;2;3;2;3
Motorkerékpár;4;13;12;10;16;12;3;8;4;16;6;5;1;3;2;3
Személygépkocsi;33;86;97;80;87;80;25;72;60;94;51;37;17;33;16;25
Ebbõl:;;;;;;;;;;;;;;;;
saját;32;81;90;72;84;75;24;69;60;90;49;35;16;31;16;24
2016;;;;;;;;;;;;;;;;
Hûtõszekrény;38;38;37;39;44;39;45;34;46;42;42;45;46;44;39;50
Fagyasztógép;30;44;46;51;61;47;28;45;61;61;42;28;22;32;22;34
Hûtõ- és fagyasztógép;66;66;69;65;69;67;57;69;60;69;62;57;54;59;61;53
Mikrohullámú sütõ;85;92;93;85;96;91;81;88;88;94;85;81;79;82;81;80
Mosogatógép;15;27;40;29;22;28;6;21;14;19;13;6;6;6;9;4
Mosógép;97;100;100;100;107;101;95;98;101;102;98;95;93;97;94;97
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;89;91;94;85;91;91;80;90;90;95;86;80;76;82;82;78
Mosógép szárítóval;1;2;2;1;3;2;1;2;1;1;1;1;2;1;2;1
