22.2.2.6. Természetes szaporodás, fogyás (–) megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Természetes szaporodás, fogyás (–), fõ;;;;;;;;;;;;;;;;;
Veszprém;megye;115,6;102,5;93,5;96,7;87,7;103,2;99,2;133,8;128,1;134,8;136,0;112,0;91,6;76,7;85,9;
Közép-Dunántúl;régió;107,9;102,6;98,7;94,9;87,0;92,4;90,5;120,7;148,0;158,5;149,4;123,1;82,5;71,2;79,3;
Gyõr-Moson-Sopron;megye;112,8;95,6;87,3;85,8;55,3;69,7;70,5;141,0;244,0;242,0;222,0;122,9;91,2;74,9;81,5;
Vas;megye;128,5;113,5;110,4;104,0;75,1;78,0;79,7;118,3;144,8;166,0;160,1;122,5;93,0;77,1;78,9;
Zala;megye;119,9;115,2;106,2;103,6;75,6;85,4;92,0;123,1;120,8;122,6;115,9;98,7;111,4;94,7;104,2;
Nyugat-Dunántúl;régió;119,9;108,7;101,7;98,5;69,0;78,9;82,7;126,2;160,0;164,0;152,4;112,4;98,2;82,4;89,0;
Baranya;megye;117,4;114,5;114,4;104,1;65,7;74,8;82,2;108,2;161,2;173,7;153,3;133,9;98,0;81,4;83,5;
Somogy;megye;123,4;113,6;105,4;98,8;62,1;73,0;77,7;104,4;203,7;184,7;168,5;139,3;78,5;72,6;76,9;
Tolna ;megye;123,3;111,6;103,0;106,3;73,1;86,7;81,5;105,5;189,3;160,1;163,8;132,1;81,7;82,4;85,8;
Dél-Dunántúl;régió;121,0;113,5;108,1;102,6;66,1;76,9;80,4;106,2;183,7;174,1;161,3;135,4;85,9;78,3;81,6;
Dunántúl;nagyrégió;116,0;108,3;103,0;98,7;73,9;82,6;84,4;116,9;163,0;165,5;154,5;123,8;88,1;76,9;82,9;
Borsod-Abaúj-Zemplén;megye;117,3;129,2;117,7;107,3;62,7;63,3;73,4;129,0;191,5;225,1;199,6;136,6;84,3;63,9;68,9;
Heves;megye;100,0;106,3;108,8;98,8;72,4;70,9;70,9;113,4;177,5;183,9;166,6;128,3;76,3;75,7;78,2;
