21.2.1.3. A bruttó hazai termék (GDP) termelése folyó áron nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;II.;195 800;944 595;816 199;220 337;2 389 673;482 880;401 684;81 196;209 542;190 269;135 099;309 695;303 061;638 391;313 309;178 320;146 762;120 735;551 807;4 302 211
;III.;232 508;954 744;821 823;246 897;2 396 224;502 556;411 247;91 310;210 681;184 611;132 787;309 791;300 683;634 284;311 163;177 023;146 098;120 830;613 912;4 444 286
;IV.;172 509;989 737;820 351;255 603;2 706 435;517 571;439 118;78 452;215 389;211 450;141 160;306 446;341 826;827 346;396 974;236 871;193 502;145 247;623 190;4 747 475
2003.;I.;124 522;919 714;779 635;122 186;2 436 697;401 199;338 014;63 185;185 519;198 725;153 857;304 424;297 234;786 122;362 721;231 719;191 683;109 615;569 712;4 172 831
;II.;206 954;988 848;855 666;227 841;2 608 685;500 581;417 197;83 383;205 454;212 603;153 047;336 905;328 612;750 169;347 492;220 451;182 226;121 315;672 103;4 704 431
;III.;237 201;1 068 902;915 417;255 615;2 617 916;522 838;425 616;97 222;212 670;210 358;149 352;333 472;309 333;758 137;351 277;222 269;184 591;121 756;694 813;4 874 447
;IV.;177 752;1 177 226;1 003 345;287 894;2 984 383;559 459;466 970;92 488;238 210;245 767;162 087;363 381;384 367;890 745;406 464;265 238;219 043;140 367;751 046;5 378 302
2004.;I.;139 984;1 098 681;934 353;148 292;2 584 013;455 804;385 847;69 958;212 929;208 642;169 716;340 461;300 542;775 013;362 942;222 984;189 087;120 907;782 977;4 753 947
;II.;281 709;1 174 088;1 007 444;242 033;2 906 082;559 316;465 227;94 088;245 157;234 048;167 438;354 680;355 674;859 668;398 838;248 733;212 097;130 100;752 406;5 356 318
;III.;305 081;1 187 338;1 009 553;272 094;2 897 920;588 970;475 262;113 708;236 505;219 172;168 044;355 012;346 325;853 803;398 105;246 363;209 335;130 089;686 883;5 349 315
;IV.;192 022;1 243 451;1 050 037;302 203;3 096 249;604 859;508 929;95 930;249 372;251 114;182 162;363 107;437 617;872 898;405 156;251 832;215 911;135 119;816 554;5 650 478
2005.;I.;139 061;1 147 162;969 625;165 397;2 885 892;505 861;427 710;78 151;234 804;229 207;204 181;366 032;328 288;878 414;404 886;258 026;215 503;139 103;546 879;4 884 392
;II.;215 800;1 264 012;1 088 182;276 952;3 086 169;598 487;500 582;97 905;265 811;244 213;202 206;380 103;385 581;875 036;405 373;253 551;216 113;134 733;814 151;5 657 084
;III.;283 195;1 263 824;1 080 092;326 115;3 072 875;615 356;506 351;109 005;250 130;244 090;201 045;387 641;390 124;836 937;389 005;243 590;204 342;147 552;857 053;5 803 062
;IV.;202 789;1 348 095;1 158 625;350 156;3 445 785;655 852;555 995;99 857;267 827;283 538;211 629;400 712;483 560;998 820;459 478;292 986;246 357;143 847;903 603;6 250 428
2006.;I.;131 179;1 262 549;1 089 276;176 431;3 133 380;551 697;470 711;80 986;261 316;250 040;247 012;380 956;357 424;945 148;454 342;270 251;220 555;139 788;612 295;5 315 834
;II.;220 088;1 374 754;1 202 173;262 345;3 353 428;664 571;560 868;103 704;287 654;269 230;242 475;399 639;430 688;912 509;424 009;265 951;222 549;146 661;876 543;6 087 158
;III.;311 118;1 413 646;1 238 670;329 588;3 365 131;685 178;570 258;114 921;291 991;266 437;241 872;425 241;432 863;871 657;407 411;254 471;209 775;149 893;874 945;6 294 427
;IV.;198 375;1 442 416;1 263 764;358 239;3 808 147;731 148;627 068;104 080;307 840;304 564;257 489;454 366;542 022;1 051 486;495 746;304 969;250 771;159 231;840 813;6 647 989
2007.;I.;137 462;1 372 635;1 154 689;190 348;3 253 836;584 456;492 525;91 931;285 662;262 583;247 720;406 069;382 516;941 654;456 309;266 434;218 912;143 175;842 390;5 796 671
;II.;231 629;1 448 455;1 228 033;273 152;3 502 864;716 766;604 266;112 500;322 792;293 143;243 656;417 794;428 717;922 850;441 089;260 319;221 443;157 145;900 494;6 356 593
;III.;313 979;1 448 045;1 235 529;301 033;3 594 397;715 709;591 003;124 706;321 835;288 846;242 924;452 500;442 175;966 984;471 758;270 818;224 408;163 424;890 300;6 547 755
;IV.;214 436;1 517 450;1 287 030;322 478;4 020 165;798 073;676 380;121 693;357 084;341 331;262 946;509 437;539 883;1 034 254;499 101;291 695;243 459;177 157;966 351;7 040 879
2008.;I.;140 735;1 481 866;1 274 326;173 842;3 603 299;647 604;553 546;94 058;309 475;293 454;261 089;476 685;457 050;992 654;488 656;271 777;232 222;165 288;931 057;6 330 799
;II.;233 396;1 518 180;1 293 086;282 875;3 819 815;774 326;660 842;113 484;330 587;307 238;257 451;456 779;478 321;1 037 453;511 045;285 332;241 076;177 661;1 001 236;6 855 502
;III.;326 095;1 424 060;1 194 625;309 253;3 729 557;757 753;636 182;121 571;316 238;294 679;249 757;471 083;485 893;979 750;486 857;271 276;221 617;174 403;981 258;6 770 223
;IV.;240 707;1 454 999;1 214 980;374 802;4 232 689;877 803;760 543;117 260;358 343;351 966;249 293;520 133;586 629;1 099 710;535 981;307 477;256 252;188 812;990 224;7 293 420
2009.;I.;125 111;1 348 622;1 090 988;164 389;3 544 889;543 711;453 649;90 062;303 195;300 556;298 428;493 101;460 657;993 390;494 763;265 542;233 085;151 851;840 435;6 023 446
;II.;196 166;1 354 245;1 124 717;284 858;3 756 361;695 898;585 452;110 446;321 044;302 617;294 363;466 478;491 178;1 009 717;503 852;272 897;232 967;175 066;982 823;6 574 453
;III.;260 775;1 355 473;1 115 559;297 538;3 674 518;660 748;537 417;123 331;318 332;306 427;282 909;500 109;480 611;958 059;483 675;257 150;217 235;167 323;1 034 971;6 623 275
;IV.;228 541;1 505 082;1 211 803;343 682;4 107 894;791 431;677 434;113 997;359 869;352 966;250 576;550 471;558 919;1 069 999;526 218;292 785;250 996;173 663;1 114 403;7 299 602
