4.1.1.34. Vélt egészség nem és korcsoport szerint ;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Vélt egészség: nagyon jó vagy jó, 16–24 éves;Vélt egészség: kielégítõ, 16–24 éves;Vélt egészség: rossz vagy nagyon rossz, 16–24 éves;Vélt egészség: nagyon jó vagy jó, 25–34 éves;Vélt egészség: kielégítõ, 25–34 éves;Vélt egészség: rossz vagy nagyon rossz, 25–34 éves;Vélt egészség: nagyon jó vagy jó, 35–44 éves;Vélt egészség: kielégítõ, 35–44 éves;Vélt egészség: rossz vagy nagyon rossz, 35–44 éves;Vélt egészség: nagyon jó vagy jó, 45–54 éves;Vélt egészség: kielégítõ, 45–54 éves;Vélt egészség: rossz vagy nagyon rossz, 45–54 éves;Vélt egészség: nagyon jó vagy jó, 55–64 éves;Vélt egészség: kielégítõ, 55–64 éves;Vélt egészség: rossz vagy nagyon rossz, 55–64 éves;Vélt egészség: nagyon jó vagy jó, 65–74 éves;Vélt egészség: kielégítõ, 65–74 éves;Vélt egészség: rossz vagy nagyon rossz, 65–74 éves;Vélt egészség: nagyon jó vagy jó, 75– éves;Vélt egészség: kielégítõ, 75– éves;Vélt egészség: rossz vagy nagyon rossz, 75– éves;Vélt egészség: nagyon jó vagy jó, együtt;Vélt egészség: kielégítõ, együtt;Vélt egészség: rossz vagy nagyon rossz, együtt;Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
2019;461,8;23,5;4,2;431,4;43,1;8,4;507,1;121,3;19,7;464,1;184,4;52,2;303,3;310,4;123,3;120,3;221,7;97,6;40,1;117,0;90,4;2 328,1;1 021,4;395,9;3 745,4
2020;476,8;20,2;5,7;476,1;36,8;12,1;509,7;83,7;13,7;499,1;172,4;55,2;331,5;274,8;98,0;131,9;239,4;79,4;45,4;130,1;70,2;2 470,6;957,4;334,2;3 762,2
2021;445,9;22,4;2,1;485,4;38,0;7,9;503,2;76,1;10,7;549,8;187,3;40,4;339,2;249,6;75,9;172,1;236,3;67,8;52,7;124,7;59,6;2 548,3;934,3;264,4;3 747,1
Nõk becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
2010;558,2;36,8;7,3;537,0;74,7;17,2;469,6;151,6;44,8;380,7;255,0;125,1;229,5;370,8;184,3;75,8;273,2;204,4;24,4;151,7;234,0;2 275,2;1 313,8;817,1;4 406,1
2011;538,6;27,8;9,9;552,5;65,4;14,8;467,6;122,8;38,9;382,4;243,1;121,3;245,6;375,4;190,9;79,4;280,1;211,6;24,6;167,6;238,0;2 290,8;1 282,1;825,5;4 398,4
2012;538,8;22,8;9,1;531,5;59,2;12,8;495,1;111,6;37,3;379,9;226,5;106,0;276,1;376,2;206,8;81,3;274,2;195,6;26,2;164,6;242,6;2 328,9;1 235,2;810,2;4 374,3
2013;497,6;33,3;7,8;514,1;63,9;12,0;484,0;130,3;33,2;385,4;218,8;93,9;296,9;389,0;201,6;77,4;276,5;193,2;30,4;179,2;235,9;2 285,8;1 291,1;777,6;4 354,5
2014;486,8;26,6;7,9;516,0;56,1;14,2;503,9;101,4;30,0;400,4;224,9;99,0;294,4;376,1;197,5;86,9;263,2;196,1;27,7;179,0;250,6;2 316,0;1 227,3;795,3;4 338,6
2015;451,3;25,4;7,4;531,0;57,9;7,1;490,3;120,9;36,0;409,4;224,9;83,8;312,4;385,8;188,0;93,6;282,1;175,9;37,3;153,6;265,4;2 325,3;1 250,7;763,6;4 339,6
2016;455,9;26,4;7,1;494,1;56,5;13,9;536,7;108,8;25,3;448,6;183,3;67,2;321,0;360,9;162,3;128,0;301,3;158,7;38,5;184,1;219,1;2 422,9;1 221,2;653,6;4 297,7
2017;448,6;26,1;7,1;455,4;64,1;9,9;505,6;128,6;30,0;484,2;197,6;70,9;307,5;336,8;153,4;132,2;328,3;153,6;36,8;185,3;208,9;2 370,2;1 266,6;633,6;4 270,5
2018;462,5;23,2;5,9;406,5;34,8;5,9;539,3;130,4;22,8;499,7;189,8;51,4;325,6;315,7;125,4;156,6;336,6;150,8;47,4;202,6;197,7;2 437,7;1 233,1;559,8;4 230,6
2019;478,9;22,9;4,1;367,6;53,9;4,1;464,7;137,4;23,1;506,9;238,6;66,8;317,5;317,1;116,1;145,9;356,4;134,2;39,6;230,3;191,7;2 321,1;1 356,5;540,3;4 217,9
2020;441,0;29,4;9,1;420,3;37,5;8,0;453,1;100,6;20,2;564,9;218,6;56,0;380,0;304,6;83,8;186,1;351,7;122,7;53,1;241,1;158,9;2 498,4;1 283,4;458,6;4 240,5
2021;417,9;30,8;2,6;462,6;35,4;9,2;479,4;81,6;8,6;569,9;207,7;39,6;376,9;296,8;73,2;219,4;334,7;108,8;79,6;234,6;141,2;2 605,7;1 221,6;383,2;4 210,6
A népesség becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
2010;1 139,1;67,7;17,6;1 118,0;138,3;34,7;956,7;279,7;85,8;731,4;500,9;223,8;431,3;660,8;347,5;133,5;451,7;327,1;40,0;239,9;327,5;4 550,1;2 338,9;1 364,1;8 253,1
2011;1 078,4;54,0;19,6;1 128,3;131,0;26,8;981,9;239,9;71,5;735,9;460,4;223,8;474,9;683,5;348,0;151,9;469,6;317,6;42,3;263,3;338,9;4 593,7;2 301,7;1 346,2;8 241,7
2012;1 084,8;52,1;17,6;1 078,2;98,0;24,5;1 042,3;215,3;78,5;757,6;409,7;197,1;539,2;680,1;378,0;145,0;447,9;303,4;49,9;274,0;339,6;4 696,9;2 177,1;1 338,6;8 212,6
2013;1 030,9;58,5;20,7;1 015,4;109,1;23,9;1 029,4;252,6;63,4;756,9;415,4;180,7;568,3;711,9;377,0;141,8;459,1;305,2;56,8;285,4;328,5;4 599,6;2 292,0;1 299,4;8 191,0
2014;1 011,2;47,7;18,3;1 041,8;93,8;25,7;1 028,9;210,4;57,3;778,2;437,7;183,3;571,3;701,8;367,1;155,3;449,6;294,2;49,1;290,9;340,9;4 635,8;2 231,9;1 286,8;8 154,5
2015;950,1;50,1;17,6;1 049,8;113,2;17,2;1 031,8;229,9;70,6;777,3;444,5;166,4;562,8;729,2;365,0;172,5;460,0;281,8;66,0;246,5;366,6;4 610,4;2 273,5;1 285,2;8 169,0
2016;929,2;53,5;14,4;1 014,9;113,8;23,2;1 082,6;210,5;51,7;875,6;372,6;118,4;612,5;662,5;303,0;234,6;485,7;244,7;70,8;294,1;315,7;4 820,1;2 192,7;1 071,1;8 083,8
2017;923,4;54,1;14,4;965,9;104,3;21,4;1 032,8;241,1;62,0;958,1;371,4;124,5;584,6;623,4;268,8;232,7;535,3;238,5;68,4;308,2;309,7;4 766,0;2 237,8;1 039,3;8 043,1
2018;945,3;37,6;11,7;862,8;70,7;15,2;1 049,9;238,4;50,6;989,3;370,2;102,2;628,4;578,7;235,8;284,3;559,4;233,3;84,6;336,1;293,6;4 844,6;2 191,2;942,3;7 978,1
2019;940,7;46,4;8,3;799,0;97,1;12,5;971,8;258,6;42,8;971,0;422,9;119,0;620,8;627,5;239,5;266,2;578,1;231,8;79,8;347,3;282,1;4 649,2;2 377,9;936,1;7 963,3
2020;917,8;49,7;14,8;896,4;74,2;20,0;962,8;184,2;33,8;1 064,0;391,0;111,2;711,6;579,4;181,8;318,0;591,1;202,1;98,5;371,2;229,1;4 969,0;2 240,8;792,8;8 002,7
2021;863,8;53,3;4,7;948,1;73,4;17,1;982,6;157,6;19,4;1 119,8;395,0;80,0;716,1;546,4;149,1;391,4;571,0;176,6;132,3;359,3;200,7;5 154,1;2 156,0;647,6;7 957,7
