13.2.1.18. Az ipar exportértékesítésének volumenindexei alágak szerint havonta, évkezdettõl kumulált [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
;február;71,2;103,8;86,2;107,0;86,8;110,4;103,2;107,8;94,6;113,5;140,6;102,9;88,8;101,5;101,2;120,1;102,0
;március;115,6;98,2;105,1;120,7;121,8;113,4;97,2;122,4;107,4;115,1;156,7;107,0;133,1;115,6;121,3;116,6;121,1
;április;127,6;114,0;166,8;117,6;187,4;136,2;100,1;165,2;133,6;151,8;230,1;135,7;413,9;133,2;185,2;159,5;183,6
;május;104,0;114,7;139,2;125,9;108,6;129,6;100,4;143,6;126,4;123,5;170,3;117,4;167,5;122,3;138,5;117,6;137,4
;június;142,4;116,1;115,3;110,4;100,0;115,7;117,4;120,9;117,3;101,9;159,5;84,6;111,3;114,5;112,4;147,4;113,8
;július;103,7;103,2;108,6;103,9;101,9;119,6;92,7;107,2;102,8;93,4;146,2;105,9;91,3;103,5;102,0;201,0;107,2
;augusztus;115,2;113,8;103,6;110,2;121,3;117,5;90,8;112,8;112,6;93,1;130,5;114,1;67,0;109,7;95,5;166,2;100,4
;szeptember;100,8;118,2;92,2;103,4;96,6;107,4;93,6;102,6;100,9;85,6;125,2;113,3;72,9;106,1;91,9;192,2;99,7
;október;103,9;109,1;98,5;97,4;76,3;84,4;84,2;99,2;106,2;87,3;115,6;95,6;68,4;107,7;86,7;108,4;88,9
;november;139,5;121,6;94,8;105,6;65,4;96,1;93,5;106,5;109,6;97,0;112,2;97,4;82,5;113,0;95,9;131,9;99,7
;december;111,9;114,7;113,3;109,3;76,6;98,7;83,6;103,5;110,9;114,5;117,9;100,4;90,9;115,8;102,1;138,1;107,9
2022.;január;140,8;125,4;106,5;110,2;93,7;98,4;94,9;96,7;101,8;99,9;102,9;112,0;109,5;109,5;105,2;112,0;106,3
;február;131,9;111,6;108,0;104,7;87,4;93,8;93,4;92,7;101,6;99,0;111,6;104,3;102,4;107,5;101,6;155,7;107,4
;március;104,2;118,0;107,5;96,1;92,1;95,1;102,4;94,4;99,9;105,4;125,6;111,8;81,9;106,3;98,2;133,2;102,3
;április;87,0;115,7;107,4;104,4;73,6;90,3;86,9;86,8;100,3;98,8;117,6;111,6;92,1;100,7;97,7;83,9;96,0
;május;93,2;122,4;113,0;104,0;58,8;91,0;97,2;100,2;107,4;110,4;140,0;124,5;113,7;121,1;111,1;114,9;111,4
;június;81,6;109,2;114,6;99,3;56,3;82,6;90,7;92,0;94,1;111,5;131,4;110,4;100,6;107,0;102,0;110,7;102,8
;július;78,4;113,3;96,0;98,8;46,4;75,9;98,4;91,3;90,2;112,1;137,9;93,6;116,1;99,6;104,2;99,2;103,2
