"13.2.1.12. Az ipar összes értékesítésének volumenindexei alágak szerint, a 2015. év havi átlaga = 100,0%; szezonálisan és munkanappal kiigazítva, havonta";;;;;;;;;;;;;;;;;;
Év;Idõszak Kód;Bányászat, kõfejtés B;Élelmiszer, ital, dohány-termék gyártása CA;Textília, ruházat, bõr, és bõrtermék gyártása CB;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység CC;Kokszgyártás, kõolaj-feldolgozás CD;Vegyi anyag, termék gyártása CE;Gyógyszer-gyártás CF;Gumi-, mûanyag és nemfém ásványi termék gyártása CG;Fémalapanyag és fémfeldolgozási termék gyártása CH;Számítógép, elektronikai, optikai termék gyártása CI;Villamos berendezés gyártása CJ;Gép, gépi berendezés gyártása CK;Jármûgyártás CL;"Egyéb feldolgozóipar; ipari gép, berendezés üzembe helyezése, javítása CM";Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D
Havonta;;;;;;;;;;;;;;;;;;
;február;135,8;118,3;79,2;130,8;87,1;104,2;112,2;137,9;118,0;157,2;223,7;90,4;107,6;118,5;118,8;114,7;118,1
;március;146,1;115,8;82,8;134,2;86,6;103,6;110,5;140,9;119,4;149,4;222,1;90,2;112,1;119,9;119,1;116,4;118,5
;április;143,1;115,2;79,0;132,4;91,7;102,8;114,9;139,6;118,0;151,0;222,1;88,3;103,9;125,1;116,7;125,3;117,5
;május;140,0;119,4;81,7;140,9;94,2;103,7;107,7;139,1;122,5;147,7;217,6;94,1;102,9;119,4;118,4;119,9;118,8
;június;145,0;120,1;78,8;131,8;100,2;102,1;114,5;137,0;122,4;142,5;221,2;86,7;100,5;118,5;117,0;123,7;118,1
;július;149,7;120,9;84,5;129,9;98,1;109,0;100,4;138,9;117,9;141,5;221,9;100,2;95,9;127,5;118,1;131,1;119,5
;augusztus;148,7;122,3;81,4;134,4;102,4;116,9;100,0;138,7;123,4;136,9;212,1;95,7;78,0;123,7;114,2;126,2;115,9
;szeptember;143,6;127,5;76,5;126,9;99,1;89,0;102,1;134,3;121,4;137,5;213,9;96,1;88,4;120,7;113,9;137,8;117,8
;október;147,4;124,2;76,8;125,9;102,6;95,8;94,0;136,3;129,3;138,9;213,6;92,6;86,6;123,8;113,6;126,5;117,0
;november;157,1;128,1;78,9;127,4;95,4;101,8;104,6;140,8;126,9;145,2;222,3;92,4;96,4;123,2;118,6;126,4;120,5
;december;139,7;122,3;83,4;127,9;98,1;105,3;99,2;138,2;126,0;152,9;227,6;88,9;97,9;122,5;118,6;132,3;122,6
2022.;január;158,6;131,0;81,8;133,7;98,9;106,6;102,4;137,2;123,0;149,7;239,5;99,7;101,4;125,6;121,3;121,7;121,4
;február;168,1;128,6;84,7;132,0;99,0;101,0;102,8;134,8;123,9;156,7;249,2;99,3;109,7;129,2;122,7;130,9;124,7
;március;160,0;130,2;86,8;134,1;110,7;104,9;110,8;137,2;124,6;157,2;272,4;101,6;92,6;134,7;121,2;138,6;124,7
;április;139,6;130,5;85,1;135,5;95,0;99,6;100,3;134,1;122,9;149,6;270,0;105,6;98,8;127,6;121,2;138,0;124,1
;május;153,6;130,2;85,6;134,2;86,2;97,4;103,7;136,3;120,0;157,1;283,4;108,6;106,0;132,2;122,9;136,8;125,0
;június;154,5;131,9;87,6;131,1;91,3;92,8;104,5;131,7;118,7;162,6;293,8;99,7;105,6;130,5;122,9;140,8;125,8
;július;159,5;128,1;79,6;130,9;85,4;91,4;98,7;130,1;113,0;159,1;309,4;100,6;113,4;123,2;123,1;142,4;126,7
;augusztus;173,6;129,9;83,1;132,0;84,6;86,1;109,5;130,1;114,5;167,8;324,1;106,1;117,3;126,7;126,0;149,6;130,2
;szeptember;145,7;126,3;82,6;130,4;65,8;91,4;114,5;131,9;114,7;164,4;336,2;101,2;116,5;128,6;125,7;149,8;129,2
;október;142,6;124,2;83,4;128,5;79,4;76,4;108,0;127,8;110,4;159,0;349,2;105,2;115,2;121,6;123,3;128,2;124,1
;november;;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;;
