14.1.1.31. Az egy fõre jutó éves kiadások részletezése COICOP-csoportosítás, a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [forint/fõ/év];;;;;;;;;;;;;;;;;
Megnevezés;Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
07;Közlekedés;117 500;67 401;122 491;148 101;78 080;34 944;95 882;139 712;181 862;94 515;189 737;89 290;109 800;81 442;139 263;112 559
08;Hírközlés;73 673;67 729;69 428;80 401;83 456;41 162;65 055;85 871;94 545;75 980;110 146;87 426;60 760;70 491;80 175;56 970
09;Kultúra, szórakozás;68 738;50 215;71 055;67 473;64 519;27 801;42 010;69 566;133 762;107 856;129 638;71 373;57 214;44 732;59 367;38 257
10;Oktatás;9 660;18 004;12 620;5 616;1 559;2 530;4 918;12 098;18 035;17 717;10 165;1 064;12 938;8 665;2 648;13 468
11;Vendéglátás és szálláshely-szolgáltatás ;38 171;42 519;44 239;32 679;20 889;13 127;20 505;39 410;78 579;77 359;66 271;21 656;40 291;36 292;26 688;17 153
12;Egyéb termékek és szolgáltatások;83 170;48 536;74 893;95 015;107 093;46 902;66 752;88 116;126 304;73 798;112 956;112 818;65 288;88 880;101 721;59 844
;Mindösszesen;1 022 132;847 439;949 659;1 140 738;1 197 072;694 613;877 056;1 092 930;1 372 916;1 115 536;1 499 412;1 270 357;830 321;938 998;1 100 889;773 562
2017;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;273 010;217 462;242 732;315 431;349 954;248 503;264 767;276 195;296 565;266 184;371 112;364 985;215 094;267 971;310 857;214 180
02;Szeszes italok, dohányáru;37 350;35 643;33 986;50 774;37 372;36 831;40 794;36 204;35 213;41 915;67 350;42 804;26 888;34 163;48 415;29 162
03;Ruházat és lábbeli (szolgáltatással együtt);46 437;38 438;50 062;46 908;34 756;22 658;36 726;48 183;73 035;62 133;61 821;35 933;47 996;45 798;42 033;38 434
04;Lakásfenntartás, háztartási energia;221 611;182 768;191 368;264 849;294 872;197 804;202 041;228 345;253 225;275 863;332 691;316 210;161 346;229 874;229 628;158 775
05;Lakberendezés, háztartásvitel;44 775;30 238;40 669;51 291;55 711;29 224;37 826;47 148;61 264;47 789;60 243;59 240;36 926;45 109;46 059;31 130
06;Egészségügy;55 027;29 192;34 706;62 615;123 366;47 051;45 010;55 696;71 715;17 546;54 204;123 231;29 628;76 735;67 303;40 486
07;Közlekedés;128 820;77 012;135 822;163 076;82 648;44 071;108 935;148 213;189 332;104 542;210 080;95 412;126 240;108 605;136 073;109 954
08;Hírközlés;78 532;62 418;74 368;89 269;86 174;46 753;71 930;86 777;98 964;80 736;119 564;91 128;65 291;80 310;82 716;60 935
09;Kultúra, szórakozás;74 241;37 969;72 718;81 751;78 978;30 253;48 150;76 127;134 651;82 516;114 132;86 826;65 945;78 090;59 304;46 923
10;Oktatás;10 261;15 458;13 232;8 181;895;2 185;6 622;9 120;21 943;10 154;4 637;1 330;16 699;6 776;1 608;11 839
11;Vendéglátás és szálláshely-szolgáltatás ;46 437;40 777;52 590;43 959;28 190;18 589;27 264;47 156;88 394;83 735;75 262;31 221;49 139;40 309;31 135;27 670
12;Egyéb termékek és szolgáltatások;89 748;54 424;82 733;101 707;109 471;50 462;71 751;95 836;131 797;71 680;119 973;118 658;75 117;84 321;95 811;63 774
;Mindösszesen;1 106 250;821 799;1 024 986;1 279 811;1 282 386;774 385;961 817;1 154 999;1 456 098;1 144 792;1 591 068;1 366 977;916 311;1 098 060;1 150 942;833 262
2018;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;300 380;236 077;266 649;342 721;382 851;276 146;285 164;309 867;323 621;294 772;383 077;408 616;236 410;277 586;342 984;254 889
02;Szeszes italok, dohányáru;41 812;40 206;40 198;50 866;38 951;47 718;46 301;38 269;36 848;48 039;81 782;43 955;31 799;24 275;50 007;29 836
03;Ruházat és lábbeli (szolgáltatással együtt);51 176;54 153;54 819;51 843;38 166;27 639;39 389;53 154;79 815;58 496;64 686;40 168;52 967;50 636;50 847;45 306
04;Lakásfenntartás, háztartási energia;235 432;215 510;208 951;272 446;290 810;201 819;213 934;250 211;265 969;319 402;332 782;319 802;180 566;244 041;244 121;171 137
05;Lakberendezés, háztartásvitel;50 965;28 082;47 760;57 085;60 073;34 607;43 800;51 731;70 432;45 365;73 130;65 952;41 242;42 560;52 756;41 127
06;Egészségügy;62 409;30 485;42 817;68 931;126 054;53 144;49 403;63 631;83 317;38 622;69 648;128 053;33 762;93 701;81 226;42 676
07;Közlekedés;145 553;123 715;152 953;173 798;99 493;53 804;120 163;160 793;221 934;153 149;223 466;119 653;143 764;116 801;144 338;108 387
08;Hírközlés;83 562;73 148;77 754;97 469;91 490;52 703;76 753;90 782;104 320;90 309;115 427;97 045;69 753;81 667;94 281;72 255
09;Kultúra, szórakozás;85 202;56 066;82 568;91 282;93 689;38 204;52 519;84 097;160 363;90 015;124 850;102 247;72 709;70 714;91 061;53 677
10;Oktatás;11 394;18 559;15 513;5 704;1 937;1 937;6 763;12 875;21 850;21 626;10 501;1 429;16 783;19 215;1 564;10 341
11;Vendéglátás és szálláshely-szolgáltatás ;55 184;43 246;61 975;53 142;37 333;17 935;35 056;57 369;103 581;83 947;86 492;41 507;57 109;37 529;42 200;38 392
12;Egyéb termékek és szolgáltatások;99 918;63 998;91 874;117 320;116 747;60 750;76 634;105 809;148 567;105 958;134 479;130 662;80 408;92 443;111 153;76 872
