21.1.3.5. A háztartások végsõ fogyasztási kiadása – ESA2010;;;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000 volumenváltozás (az elözõ évhez képest, százalék);2001 volumenváltozás (az elözõ évhez képest, százalék);2002 volumenváltozás (az elözõ évhez képest, százalék);2003 volumenváltozás (az elözõ évhez képest, százalék);2004 volumenváltozás (az elözõ évhez képest, százalék);2005 volumenváltozás (az elözõ évhez képest, százalék);2006 volumenváltozás (az elözõ évhez képest, százalék);2007 volumenváltozás (az elözõ évhez képest, százalék);2008 volumenváltozás (az elözõ évhez képest, százalék);2009 volumenváltozás (az elözõ évhez képest, százalék);2010 volumenváltozás (az elözõ évhez képest, százalék);2011 volumenváltozás (az elözõ évhez képest, százalék);2012 volumenváltozás (az elözõ évhez képest, százalék);2013 volumenváltozás (az elözõ évhez képest, százalék);2014 volumenváltozás (az elözõ évhez képest, százalék);2015 volumenváltozás (az elözõ évhez képest, százalék);2016 volumenváltozás (az elözõ évhez képest, százalék);2017 volumenváltozás (az elözõ évhez képest, százalék);2018 volumenváltozás (az elözõ évhez képest, százalék);2019 volumenváltozás (az elözõ évhez képest, százalék);2020 volumenváltozás (az elözõ évhez képest, százalék);2021 volumenváltozás (az elözõ évhez képest, százalék);2021 a GDP %-ában
Szlovákia;2,5;5,3;5,7;0,9;7,3;4,5;6,3;7,9;7,0;-0,2;0,8;-1,9;0,4;-1,2;1,9;2,8;3,9;4,6;4,1;2,7;-1,3;1,2;57,7
Szlovénia;-0,1;2,9;2,4;3,5;2,5;2,1;1,3;6,5;2,9;2,1;1,0;0,8;-2,2;-3,9;1,6;2,0;4,4;1,9;3,6;4,8;-6,6;11,6;52,5
EU27_2020;2,9;1,9;1,0;1,4;2,0;2,1;2,3;2,2;0,6;-1,1;0,9;0,3;-0,8;-0,5;1,1;2,1;2,2;2,1;1,8;1,6;-7,2;4,0;51,0
Egyesült Királyság;4,3;3,1;3,2;3,3;3,0;2,1;1,6;2,2;-0,2;-2,7;1,7;-0,2;1,8;2,3;2,6;3,6;3,7;1,6;2,4;1,3;-10,8;..;..
Norvégia;4,2;2,1;3,1;3,2;5,4;4,4;5,0;5,3;1,7;0,0;3,8;2,4;3,5;2,8;2,1;2,7;1,1;2,2;1,6;1,1;-6,6;4,9;39,0
Oroszország;7,1;9,3;8,3;7,5;11,9;11,7;12,0;14,2;10,4;-5,1;5,5;7,2;7,5;5,1;-0,3;-7,7;-1,4;3,2;3,6;3,0;-5,5;..;49,5
Svájc;2,3;2,4;0,4;0,5;1,9;1,3;1,5;2,1;1,5;1,6;1,9;1,4;2,2;2,3;1,0;2,5;1,6;1,2;0,7;1,4;-3,7;2,6;50,0
Szerbia;5,1;1,6;9,2;2,7;12,7;2,4;10,5;7,7;4,5;-3,3;-0,6;1,4;-1,7;-1,7;-0,1;-0,6;1,9;2,2;3,1;3,7;-1,9;7,6;65,4
Törökország;4,5;-6,7;4,0;8,1;9,6;6,3;3,7;5,3;0,3;-3,7;10,8;12,2;3,1;7,5;3,1;5,3;3,8;5,9;0,6;1,5;3,2;15,1;55,4
Izrael;8,4;3,9;1,5;0,1;5,3;3,4;4,9;8,0;2,2;1,2;4,9;4,3;3,1;3,5;4,4;3,6;6,2;3,6;3,5;3,9;-9,2;11,7;50,6
Japán;1,5;2,1;1,3;0,6;1,3;1,5;0,9;0,8;-1,1;-0,9;2,3;-0,5;2,0;2,6;-0,9;-0,2;-0,4;1,1;0,2;-0,5;-5,3;..;53,8
Kína;10,9;7,0;9,1;6,4;7,7;10,2;8,4;11,8;8,0;10,2;9,2;11,9;8,6;7,1;8,3;7,6;8,5;7,3;7,8;6,4;-0,8;..;38,1
Koreai Köztársaság;9,3;5,8;9,0;-0,4;0,4;4,7;4,9;5,3;1,6;0,2;4,4;2,9;1,7;1,7;2,0;2,2;2,6;2,8;3,2;2,1;-5,0;..;46,4
Dél-afrikai Köztársaság;4,1;3,5;3,2;2,8;6,2;6,1;8,8;6,5;1,2;-2,6;3,9;5,1;3,7;2,0;0,8;1,9;0,6;2,1;1,8;1,0;-5,4;..;118,8
Egyesült Államok;5,0;2,5;2,5;3,2;3,8;3,5;2,9;2,4;0,2;-1,3;1,9;1,7;1,4;1,5;2,7;3,3;2,5;2,4;2,9;2,2;-3,8;..;67,2
Kanada;4,1;2,4;4,0;2,7;3,1;3,9;4,2;4,4;3,0;0,1;3,6;2,3;1,9;2,6;2,6;2,3;2,1;3,7;2,5;1,7;-6,3;4,9;54,5
Mexikó;7,1;2,5;1,7;2,2;4,8;2,8;4,1;2,5;0,7;-6,3;3,6;3,4;2,3;1,8;2,1;2,7;3,7;3,2;2,6;0,4;-10,5;..;63,1
Ausztrália;3,4;3,0;4,3;5,3;4,5;3,3;5,3;4,8;0,3;3,4;4,1;2,9;1,9;2,2;2,5;2,6;2,4;2,7;1,5;-3,1;0,9;..;51,6
Új-Zéland;1,4;2,7;5,0;6,2;5,3;4,6;2,9;3,8;-0,8;1,5;2,2;3,2;2,3;3,8;3,3;4,2;6,4;4,8;4,6;2,5;0,4;..;57,5
