20.2.1.51. Fõbb kereseti adatok – költségvetés, havonta valamint havi és negyedévente kumulált;;;;;;;;;;;;;;;;;
Év;Idõszak;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete, elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma, elõzõ év azonos idõszaka = 100,0%
Havonta;;;;;;;;;;;;;;;;;
2018.;január;289 038;115,3;..;..;192 210;115,3;791,3;96,1;328 367;111,8;..;..;218 364;111,8;665,0;101,2
;február;290 122;114,5;..;..;192 931;114,5;786,4;95,7;327 992;110,7;..;..;218 114;110,7;665,8;101,2
;március;313 726;119,3;..;..;208 628;119,3;781,3;98,6;353 428;118,1;..;..;235 030;118,1;666,9;101,1
;április;319 169;116,6;..;..;212 247;116,6;786,5;97,4;361 352;114,2;..;..;240 299;114,2;667,6;101,1
;május;302 063;109,9;..;..;200 872;109,9;784,3;96,9;340 726;107,0;..;..;226 583;107,0;667,2;101,0
;június;308 163;114,0;..;..;204 928;114,0;779,5;96,5;346 666;111,0;..;..;230 533;111,0;666,4;100,8
;július;312 847;116,9;..;..;208 043;116,9;765,6;95,2;347 440;112,9;..;..;231 048;112,9;665,7;100,6
;augusztus;299 648;106,1;..;..;199 266;106,1;765,1;95,7;332 636;102,4;..;..;221 203;102,4;664,6;100,6
;szeptember;307 405;108,5;..;..;204 424;108,5;766,2;95,7;341 247;105,0;..;..;226 929;105,0;666,5;100,4
;október;304 376;109,6;..;..;202 410;109,6;767,0;96,0;338 077;106,4;..;..;224 821;106,4;666,3;100,4
;november;331 621;108,1;..;..;220 528;108,1;765,6;96,1;369 439;105,1;..;..;245 677;105,1;665,0;100,1
;december;325 633;108,2;..;..;216 546;108,2;762,8;96,0;362 158;105,3;..;..;240 835;105,3;663,5;99,9
2019.;január;307 639;106,4;283 000;108,1;204 580;106,4;756,1;95,6;340 989;103,8;305 488;104,5;226 757;103,8;659,3;99,1
;február;324 556;111,9;287 335;107,7;215 830;111,9;754,2;95,9;360 085;109,8;310 590;104,5;239 457;109,8;658,3;98,9
;március;330 464;105,3;292 800;106,8;219 758;105,3;741,0;94,8;362 329;102,5;314 500;103,4;240 949;102,5;656,6;98,5
;április;330 718;103,6;300 000;109,2;219 927;103,6;744,5;94,7;364 073;100,8;322 502;105,9;242 109;100,8;656,5;98,3
;május;334 415;110,7;300 000;108,9;222 386;110,7;741,5;94,5;368 274;108,1;322 500;106,3;244 902;108,1;654,0;98,0
;június;334 040;108,4;301 455;108,0;222 136;108,4;739,7;94,9;367 547;106,0;324 800;105,7;244 419;106,0;653,1;98,0
;július;335 076;107,1;304 746;109,4;222 826;107,1;737,3;96,3;368 152;106,0;328 860;108,3;244 821;106,0;652,4;98,0
;augusztus;334 743;111,7;300 950;109,1;222 604;111,7;736,6;96,3;367 687;110,5;322 650;107,6;244 512;110,5;651,9;98,1
;szeptember;343 621;111,8;296 100;107,1;228 508;111,8;740,1;96,6;369 022;108,1;319 725;106,1;245 400;108,1;654,6;98,2
;október;340 001;111,7;303 104;109,4;226 100;111,7;740,0;96,5;374 126;110,7;326 874;108,5;248 794;110,7;653,9;98,1
;november;395 274;119,2;337 699;114,4;262 857;119,2;739,1;96,5;436 366;118,1;363 650;113,1;290 183;118,1;653,5;98,3
;december;363 240;111,5;324 246;112,5;241 554;111,5;737,7;96,7;399 779;110,4;349 805;111,2;265 853;110,4;653,0;98,4
2020.;január;341 524;111,0;310 590;109,7;227 113;111,0;735,0;97,2;374 106;109,7;331 514;108,5;248 780;109,7;653,3;99,1
;február;347 752;107,1;316 056;110,0;231 255;107,1;733,8;97,3;380 827;105,8;336 261;108,3;253 250;105,8;653,0;99,2
;március;359 193;108,7;325 263;111,1;238 863;108,7;721,3;97,3;388 000;107,1;345 100;109,7;258 020;107,1;653,2;99,5
;április;362 614;109,6;327 413;109,1;241 138;109,6;724,5;97,3;394 101;108,2;347 130;107,6;262 077;108,2;651,4;99,2
;május;368 102;110,1;328 860;109,6;244 788;110,1;723,9;97,6;400 883;108,9;349 360;108,3;266 587;108,9;649,4;99,3
;június;435 137;130,3;350 000;116,1;289 366;130,3;729,5;98,6;477 026;129,8;375 550;115,6;317 222;129,8;652,1;99,8
;július;369 899;110,4;337 995;110,9;245 983;110,4;731,9;99,3;404 874;110,0;360 000;109,5;269 241;110,0;652,8;100,1
;augusztus;359 777;107,5;331 590;110,2;239 251;107,5;729,8;99,1;393 683;107,1;352 300;109,2;261 799;107,1;650,7;99,8
;szeptember;365 845;106,5;331 601;112,0;243 287;106,5;736,3;99,5;400 521;108,5;355 250;111,1;266 346;108,5;656,6;100,3
;október;365 262;107,4;331 352;109,3;242 899;107,4;736,0;99,5;400 050;106,9;354 547;108,5;266 033;106,9;655,9;100,3
;november;427 299;108,1;375 475;111,2;284 154;108,1;735,5;99,5;469 742;107,6;401 800;110,5;312 378;107,6;655,3;100,3
;december;388 789;107,0;358 776;110,6;258 545;107,0;734,3;99,5;425 772;106,5;383 388;109,6;283 139;106,5;655,5;100,4
2021.;január;386 782;113,3;350 000;112,7;257 210;113,3;730,4;99,4;422 702;113,0;372 601;112,4;281 097;113,0;653,6;100,0
;február;394 833;113,5;350 517;110,9;262 564;113,5;728,4;99,3;431 577;113,3;374 811;111,5;286 999;113,3;651,9;99,8
;március;398 661;111,0;355 000;109,1;265 110;111,0;721,1;100,0;433 420;111,7;378 595;109,7;288 224;111,7;649,3;99,4
;április;408 631;112,7;361 746;110,5;271 740;112,7;725,4;100,1;446 473;113,3;387 455;111,6;296 905;113,3;649,6;99,7
;május;407 146;110,6;360 900;109,7;270 752;110,6;726,6;100,4;444 964;111,0;385 000;110,2;295 901;111,0;650,4;100,1
;június;417 809;96,0;364 650;104,2;277 843;96,0;727,5;99,7;456 758;95,8;388 661;103,5;303 744;95,8;651,5;99,9
;július;413 639;111,8;362 156;107,1;275 070;111,8;721,3;98,6;451 344;111,5;385 703;107,1;300 144;111,5;647,3;99,2
;augusztus;398 415;110,7;351 698;106,1;264 946;110,7;684,4;93,8;435 813;110,7;374 341;106,3;289 816;110,7;611,6;94,0
;szeptember;400 339;109,4;352 800;106,4;266 225;109,4;685,6;93,1;437 719;109,3;377 633;106,3;291 083;109,3;613,4;93,4
;október;399 612;109,4;355 653;107,3;265 742;109,4;684,9;93,1;436 980;109,2;379 400;107,0;290 592;109,2;612,7;93,4
;november;474 553;111,1;398 333;106,1;315 578;111,1;685,0;93,1;520 919;110,9;423 130;105,3;346 411;110,9;612,5;93,5
;december;420 784;108,2;371 795;103,6;279 822;108,2;683,7;93,1;460 092;108,1;396 800;103,5;305 961;108,1;612,2;93,4
2022.;január;436 154;112,8;386 000;110,3;290 043;112,8;680,1;93,1;474 890;112,3;409 091;109,8;315 802;112,3;610,2;93,4
;február;763 787;193,4;404 200;115,3;507 919;193,4;678,2;93,1;840 200;194,7;430 336;114,8;558 733;194,7;608,4;93,3
;március;467 687;117,3;405 594;114,3;311 012;117,3;674,3;93,5;507 880;117,2;430 000;113,6;337 740;117,2;608,0;93,6
;április;457 794;112,0;406 087;112,3;304 433;112,0;677,0;93,3;497 491;111,4;429 749;110,9;330 831;111,4;609,4;93,8
;május;459 184;112,8;405 594;112,4;305 357;112,8;676,2;93,1;499 028;112,2;428 650;111,3;331 854;112,2;608,7;93,6
;június;471 211;112,8;411 785;112,9;313 355;112,8;674,5;92,7;511 808;112,1;434 826;111,9;340 352;112,1;608,1;93,3
;július;464 902;112,4;406 592;112,3;309 160;112,4;670,5;93,0;503 360;111,5;428 434;111,1;334 734;111,5;606,6;93,7
;augusztus;464 258;116,5;400 610;113,9;308 732;116,5;667,4;97,5;501 694;115,1;421 000;112,5;333 626;115,1;605,3;99,0
;szeptember;478 312;119,5;409 248;116,0;318 078;119,5;666,2;97,2;513 460;117,3;430 000;113,9;341 451;117,3;609,7;99,4
;október;;;;;;;;;;;;;;;;
;november;;;;;;;;;;;;;;;;
;december;;;;;;;;;;;;;;;;
Havi kumulált adatok;;;;;;;;;;;;;;;;;
2022.;január–január;436 154;112,8;386 000;110,3;290 043;112,8;680,1;93,1;474 890;112,3;409 091;109,8;315 802;112,3;610,2;93,4
;január–február;599 748;153,5;395 000;112,9;398 832;153,5;679,1;93,1;657 279;153,9;419 797;112,3;437 090;153,9;609,3;93,4
;január–március;555 935;141,3;399 198;113,6;369 697;141,3;677,5;93,2;607 549;141,5;422 893;112,6;404 020;141,5;608,9;93,4
;január–április;531 413;133,8;400 000;113,0;353 390;133,8;677,4;93,3;580 016;133,8;424 900;112,2;385 711;133,8;609,0;93,5
;január–május;516 989;129,5;401 000;112,8;343 797;129,5;677,2;93,2;563 825;129,4;425 683;112,0;374 943;129,4;609,0;93,5
;január–június;509 384;126,6;402 960;112,8;338 740;126,6;676,7;93,1;555 165;126,4;427 356;112,2;369 185;126,4;608,8;93,5
;január–július;503 080;124,6;403 612;112,7;334 548;124,6;675,8;93,1;547 788;124,2;427 518;112,0;364 279;124,2;608,5;93,5
;január–augusztus;498 280;123,6;403 178;112,8;331 356;123,6;674,8;93,6;542 053;123,1;426 667;112,1;360 465;123,1;608,1;94,2
;január–szeptember;496 086;123,1;403 904;113,1;329 897;123,1;673,8;94,0;538 868;122,4;427 062;112,4;358 347;122,4;608,3;94,7
;január–október;;;;;;;;;;;;;;;;
;január–november;;;;;;;;;;;;;;;;
;január–december;;;;;;;;;;;;;;;;
Negyedéves kumulált adatok;;;;;;;;;;;;;;;;;
2018.;I.;297 576;116,4;..;..;197 888;116,4;786,3;96,8;336 608;113,5;..;..;223 844;113,5;665,9;101,2
;I–II.;303 682;114,9;..;..;201 948;114,9;784,9;96,8;343 102;112,1;..;..;228 163;112,1;666,5;101,1
;I–III.;304 650;113,4;..;..;202 592;113,4;778,4;96,4;342 217;110,2;..;..;227 574;110,2;666,2;100,9
;I–IV.;308 568;112,1;..;..;205 198;112,1;775,1;96,3;345 793;109,0;..;..;229 953;109,0;665,9;100,7
2019.;I.;320 819;107,8;287 576;107,7;213 345;107,8;750,4;95,4;354 454;105,3;310 590;104,1;235 712;105,3;658,1;98,8
;I–II.;326 901;107,6;293 898;107,9;217 389;107,6;746,2;95,1;360 524;105,1;316 870;105,1;239 749;105,1;656,3;98,5
;I–III.;330 515;108,5;296 276;108,1;219 792;108,5;743,4;95,5;363 104;106,1;319 725;106,1;241 464;106,1;655,2;98,3
;I–IV.;339 386;110,0;301 455;108,8;225 692;110,0;742,3;95,8;373 162;107,9;325 200;107,0;248 153;107,9;654,8;98,3
2020.;I.;349 430;108,9;317 425;110,4;232 371;108,9;730,0;97,3;380 977;107,5;337 995;108,8;253 350;107,5;653,2;99,3
;I–II.;369 025;112,9;325 571;110,8;245 401;112,9;728,0;97,6;402 475;111,6;347 130;109,5;267 646;111,6;652,1;99,4
;I–III.;367 738;111,3;328 751;111,0;244 546;111,3;729,6;98,1;401 549;110,6;350 000;109,5;267 030;110,6;652,5;99,6
;I–IV.;374 286;110,3;334 114;110,8;248 901;110,3;731,0;98,5;409 150;109,6;356 265;109,6;272 084;109,6;653,3;99,8
2021.;I.;393 402;112,6;351 366;110,7;261 612;112,6;726,7;99,5;429 222;112,7;375 454;111,1;285 433;112,7;651,6;99,8
;I–II.;402 300;109,0;357 280;109,7;267 529;109,0;726,6;99,8;439 304;109,2;380 800;109,7;292 137;109,2;651,0;99,8
;I–III.;402 947;109,6;357 067;108,6;267 960;109,6;716,8;98,2;440 115;109,6;380 016;108,6;292 677;109,6;642,1;98,4
;I–IV.;409 880;109,5;361 080;108,1;272 570;109,5;708,7;96,9;447 967;109,5;385 000;108,1;297 898;109,5;634,7;97,2
2022.;I.;555 935;141,3;399 198;113,6;369 697;141,3;677,5;93,2;607 549;141,5;422 893;112,6;404 020;141,5;608,9;93,4
;I–II.;509 384;126,6;402 960;112,8;338 740;126,6;676,7;93,1;555 165;126,4;427 356;112,2;369 185;126,4;608,8;93,5
;I–III.;496 086;123,1;403 904;113,1;329 897;123,1;673,8;94,0;538 868;122,4;427 062;112,4;358 347;122,4;608,3;94,7
;I–IV.;;;;;;;;;;;;;;;;
